timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.06,9.87,0.42,4.82,-4.94,-0.18
10,-0.11,9.73,0.46,4.64,-2.56,-0.06
20,-0.08,9.89,0.42,2.75,-2.87,-1.71
30,-0.09,9.79,0.27,-0.31,-1.71,-1.22
40,-0.09,9.76,0.30,-1.83,-2.26,-1.71
50,-0.15,9.80,0.26,-4.94,-2.50,0.24
60,-0.15,9.75,0.22,-8.36,-6.29,1.04
70,-0.02,9.92,0.56,-7.39,-5.13,1.59
80,-0.19,9.68,0.52,-7.20,-2.81,0.79
90,-0.17,9.72,0.46,-5.00,-0.24,-0.06
100,-0.09,9.85,0.44,-5.13,-1.89,0.92
110,-0.04,9.76,0.43,-4.46,-1.46,-1.04
120,-0.17,9.66,0.48,-3.42,-1.40,-0.31
130,-0.10,9.76,0.47,-2.99,-1.83,-0.37
140,-0.16,9.74,0.51,-2.14,-2.26,0.06
150,-0.19,9.72,0.37,1.16,-2.69,0.06
160,0.12,9.90,0.91,1.10,-4.09,-0.43
170,-0.00,9.73,0.44,0.37,-1.77,-0.73
180,0.03,9.79,0.40,-1.34,-1.53,-1.10
190,-0.13,9.79,0.35,-1.95,-1.22,-1.83
200,-0.13,9.75,0.44,-0.49,-0.85,-2.44
210,-0.07,9.73,0.39,-2.44,-0.24,-1.53
220,-0.16,9.66,0.36,-3.36,-0.73,-1.71
230,-0.16,9.75,0.51,-2.69,-0.55,-0.85
240,-0.13,9.81,0.47,-3.11,-0.12,-0.61
250,-0.23,9.73,0.46,-2.26,-0.12,-0.31
260,-0.18,9.66,0.44,-3.85,-1.53,-0.43
270,0.13,8.49,1.35,-1.28,-0.73,-1.59
280,0.02,10.44,0.41,-3.97,6.65,1.16
290,-0.32,9.72,0.17,-8.91,6.47,-2.62
300,0.13,10.46,0.17,-9.03,3.05,-0.73
310,0.16,9.60,1.19,-12.63,4.70,-1.16
320,-0.19,10.02,0.12,-12.21,11.96,-0.12
330,-0.12,9.90,0.37,-14.95,9.52,-0.31
340,-0.10,9.13,0.83,-12.82,7.93,-0.92
350,-0.16,7.64,2.24,17.46,3.30,-3.97
360,0.02,11.76,-0.82,17.03,11.84,4.33
370,-0.01,10.58,0.16,-13.49,5.68,-4.82
380,0.16,9.81,1.00,2.44,-2.26,2.56
390,0.05,10.38,-0.07,6.35,-1.16,1.89
400,-0.45,9.36,0.44,-9.34,-1.77,-3.30
410,-0.11,9.09,0.93,-3.72,-1.46,-0.98
420,-0.07,10.06,0.23,1.53,-1.83,1.71
430,-0.05,9.79,0.43,-1.83,-0.67,-2.01
440,-0.12,9.53,0.64,-1.28,-1.83,-0.12
450,-0.05,9.81,0.39,0.98,-0.98,0.24
460,-0.07,9.70,0.58,-2.99,-2.50,-0.79
470,-0.13,9.64,0.50,-1.16,-0.61,0.24
480,0.01,9.82,0.43,-2.01,-1.40,-0.37
490,-0.10,9.82,0.46,-1.77,-1.59,0.12
500,-0.12,9.38,0.33,-0.24,-0.98,-0.92
510,0.03,9.53,0.76,-2.26,-1.34,1.10
520,-0.05,9.89,0.32,-0.31,0.43,0.37
530,-0.26,9.65,0.54,-2.87,-1.04,-1.53
540,-0.12,9.64,0.49,-1.04,-0.85,-0.12
550,-0.01,9.80,0.46,-1.34,-1.89,0.43
560,-0.09,9.73,0.44,-1.53,-0.55,0.67
570,-0.22,9.78,0.50,-2.32,-0.98,-0.24
580,-0.12,9.72,0.50,0.31,-0.85,-0.55
