timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.93,0.20,0.51,-1.04,-1.77,-0.73
10,-9.97,0.02,0.35,-0.67,-0.24,-1.10
20,-9.88,0.07,0.17,-2.01,-1.83,-0.67
30,-9.89,0.11,0.26,-0.79,-1.59,-0.49
40,-9.87,0.16,0.22,-1.34,-1.89,-0.06
50,-9.93,0.17,0.34,-0.49,-1.65,-0.37
60,-10.00,0.19,0.32,-1.83,-1.04,-0.73
70,-10.01,0.23,0.38,-2.14,-0.37,-0.85
80,-9.83,0.25,0.41,-1.53,-0.12,-1.04
90,-9.96,0.13,0.27,-3.30,2.14,-0.43
100,-9.82,0.09,0.04,-1.95,0.06,-1.65
110,-9.96,0.15,0.13,-0.61,-3.97,-0.49
120,-9.81,-0.03,0.18,-2.20,-6.16,0.24
130,-10.04,0.15,0.25,-0.55,-7.51,0.85
140,-9.94,0.12,0.21,-1.83,-8.24,0.79
150,-9.94,0.22,0.32,-0.31,-9.28,-0.79
160,-9.71,0.96,1.78,0.49,-10.07,-0.55
170,-9.63,0.34,1.18,-3.30,-7.02,-1.34
180,-9.83,0.13,0.44,-1.53,0.85,-1.16
190,-9.94,0.38,0.44,-1.40,1.28,-2.08
200,-9.80,0.04,0.35,-1.40,1.16,-2.08
210,-9.72,0.29,0.62,-2.93,0.73,-1.59
220,-9.88,0.03,0.47,-2.75,7.14,-1.16
230,-10.08,0.07,-0.32,-1.89,7.02,-0.49
240,-9.92,0.04,0.05,-2.26,-0.67,-0.61
250,-10.55,-0.07,-0.61,-0.92,-4.39,0.31
260,-9.87,1.05,0.05,-0.61,-18.74,-1.40
270,-8.90,-2.00,-0.01,-1.40,-17.70,-5.55
280,-9.97,0.14,0.08,-0.92,-22.52,-0.31
290,-10.01,0.35,0.49,-2.08,-26.79,1.77
300,-9.48,0.11,2.51,-1.71,-10.68,-0.43
310,-9.79,0.22,1.79,-1.65,7.20,-1.10
320,-9.96,0.21,0.66,-1.16,19.90,-1.16
330,-9.97,-0.14,0.45,-0.79,21.85,-1.59
340,-9.68,0.19,0.43,-1.34,20.81,-0.12
350,-10.13,0.25,-0.94,-0.49,22.58,-0.18
360,-10.02,-0.12,-1.11,-1.71,-11.05,-0.43
370,-9.91,0.39,0.88,-2.26,-18.25,0.37
380,-9.87,0.22,1.16,-1.34,-7.81,0.37
390,-9.80,0.02,1.17,-0.73,-0.12,-0.92
400,-9.92,0.11,0.86,-0.92,10.07,-0.98
410,-10.28,0.16,-0.70,-1.22,12.02,-0.61
420,-9.95,-0.17,-0.35,-2.14,-9.46,-0.06
430,-10.04,0.48,0.89,-1.53,-11.60,1.28
440,-9.70,0.01,1.03,-0.85,-1.71,-0.55
450,-9.83,0.17,0.79,-1.28,3.85,-0.37
460,-10.12,0.19,-0.65,-0.73,7.32,-0.12
470,-10.01,0.00,-0.50,-1.77,-4.03,-0.67
480,-9.91,0.23,0.89,-1.28,-6.84,-0.67
490,-9.70,0.08,0.81,-1.10,-1.16,0.00
500,-9.93,0.05,0.02,-1.59,4.70,-0.73
510,-10.05,0.21,-0.38,-1.59,0.37,0.12
520,-9.97,0.23,0.60,-1.40,-5.62,-0.06
530,-9.83,-0.02,0.85,-1.95,-3.30,0.24
540,-10.00,0.10,0.43,-1.04,2.01,0.18
550,-10.12,0.29,-0.00,-1.83,-1.34,-0.49
560,-9.98,-0.16,0.39,-0.06,-3.97,-2.26
570,-10.03,0.55,0.78,-0.31,-0.79,1.10
580,-9.90,-0.06,0.31,-1.89,1.59,-1.04
590,-10.10,0.17,0.06,-2.93,-1.53,0.06
600,-9.86,0.12,0.34,-1.16,-2.81,-0.61
610,-10.04,0.10,0.60,-0.92,-0.73,-0.55
620,-9.90,0.02,0.18,-0.98,1.04,0.18
630,-9.97,-0.05,0.10,-0.61,-2.26,0.18
640,-9.87,0.08,0.43,-0.98,-4.33,-0.18
650,-9.78,0.04,0.48,-1.77,-1.22,0.18
660,-9.96,0.25,0.45,-0.85,0.12,0.98
670,-9.96,0.09,0.26,-0.98,-1.77,0.12
680,-9.97,0.25,0.45,-2.08,-2.62,-0.55
690,-9.81,0.17,0.33,-1.59,-1.16,0.06
700,-9.92,0.15,0.35,-1.71,-0.85,0.24
710,-10.02,0.11,0.44,-1.22,-1.16,0.18
720,-9.92,0.04,0.40,-0.98,-1.10,-0.31
730,-9.99,0.14,0.29,-1.46,-0.31,-0.79
740,-9.88,0.05,0.20,-2.26,-1.40,0.18
750,-9.97,0.05,0.32,-0.98,-2.56,-0.06
760,-9.94,0.00,0.44,-0.37,-1.28,-0.61
770,-9.92,0.01,0.34,-1.59,-1.16,-0.49
780,-9.97,0.20,0.23,-1.65,-1.10,-0.18
790,-10.03,0.20,0.28,-2.14,-1.40,0.92
800,-9.85,0.19,0.33,-1.34,-1.95,-1.16
810,-9.92,0.24,0.38,-0.85,-0.98,0.12
820,-9.91,0.02,0.43,-1.10,-0.06,0.43
830,-9.93,-0.04,0.33,-1.71,-1.89,0.06
840,-9.92,-0.03,0.42,-2.14,-1.40,0.61
850,-9.87,0.16,0.19,-1.77,-1.65,0.37
860,-9.97,0.26,0.26,-1.46,-1.10,-0.49
870,-9.74,-0.06,0.31,-1.40,-2.32,-0.49
880,-9.91,0.24,0.57,-2.14,-2.26,0.49
890,-9.84,0.43,0.45,-1.83,-0.85,0.79
900,-9.99,0.46,0.12,-2.20,-0.18,0.12
910,-9.92,0.13,0.18,-1.10,-2.26,-1.28
920,-8.82,1.18,0.70,-1.40,-2.87,1.71
930,-9.30,-0.03,0.49,-1.53,-1.77,-2.62
940,-10.44,1.05,0.35,-0.98,0.61,2.44
950,-9.66,-0.45,0.19,-2.62,-1.71,-2.01
960,-10.11,0.31,0.36,-2.38,-2.14,-0.61
970,-9.67,-0.27,0.37,-0.85,-2.50,-0.37
980,-9.93,0.02,0.43,-1.95,-1.46,-1.65
990,-10.06,0.20,0.35,-0.24,-0.37,-0.06
1000,-9.88,0.06,0.32,-1.89,-1.71,-0.85
1010,-9.98,0.24,0.35,-0.43,-0.98,0.12
1020,-9.84,0.05,0.39,-2.08,-1.83,-0.37
1030,-9.92,0.26,0.37,-1.46,-2.44,-0.24
1040,-9.94,0.09,0.37,-0.98,-0.31,0.12
1050,-9.89,0.20,0.40,-1.10,-0.85,-0.67
1060,-9.94,0.11,0.34,-0.06,-0.49,-0.12
1070,-9.92,0.06,0.32,-0.73,-2.08,-0.43
1080,-9.96,0.15,0.39,-1.71,-2.26,-0.37
1090,-9.88,0.15,0.38,-1.40,-2.08,-0.37
1100,-9.98,0.06,0.24,-1.95,-1.04,0.18
1110,-9.95,0.15,0.38,-1.53,-1.53,-0.06
1120,-9.91,0.14,0.37,-1.28,-1.83,-0.18
1130,-9.96,0.02,0.29,-1.34,-2.08,-0.79
1140,-9.91,0.09,0.42,-0.92,-1.46,-0.37
1150,-9.91,0.12,0.45,-0.92,-1.95,-0.18
1160,-9.89,0.16,0.37,-1.16,-1.16,-0.67
1170,-9.89,0.18,0.26,-1.53,-1.46,-1.04
1180,-9.94,0.13,0.26,-0.85,-1.16,0.55
1190,-9.89,0.13,0.44,-0.67,-0.67,0.12
1200,-9.96,0.08,0.32,-0.73,-0.85,-0.12
1210,-9.88,0.11,0.33,-1.22,-1.22,-0.31
1220,-9.92,0.10,0.29,-2.38,-1.22,-0.55
1230,-9.89,0.06,0.48,-2.20,-1.83,-0.37
1240,-10.02,0.04,0.40,-1.10,-2.08,-0.61
1250,-9.88,0.12,0.36,-1.40,-1.83,0.73
1260,-10.02,0.13,0.51,-1.40,-1.65,-0.67
1270,-9.94,0.13,0.26,-1.16,-0.92,-0.06
1280,-9.93,0.08,0.37,-1.95,-2.44,-0.85
1290,-9.91,0.16,0.41,-1.83,-2.32,0.00
1300,-9.84,0.20,0.42,-0.67,-1.65,-0.24
1310,-9.95,0.05,0.43,-1.04,-0.79,-0.85
1320,-9.92,0.15,0.35,-1.53,-1.95,-0.31
1330,-10.00,0.10,0.21,-1.28,-0.61,0.00
1340,-9.87,0.09,0.36,-1.40,-0.67,0.06
1350,-9.96,0.15,0.43,-1.53,-1.53,-0.31
1360,-9.98,0.11,0.44,-2.44,-2.32,0.18
1370,-9.93,0.12,0.39,-1.53,-1.16,-0.92
1380,-9.88,0.06,0.35,-2.08,-2.01,-0.55
1390,-9.89,0.15,0.28,-1.46,-1.46,0.55
1400,-9.99,0.16,0.42,-2.44,-0.67,-0.24
1410,-9.93,0.12,0.38,-1.34,-1.59,0.55
1420,-9.92,0.04,0.29,-1.46,-1.46,-0.31
1430,-9.88,0.06,0.29,-1.40,-0.98,-0.06
1440,-9.99,0.09,0.26,-1.28,-1.77,0.18
