timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.62,0.66,0.78,15.32,-6.71,5.74
10,-9.81,0.20,0.62,9.52,-0.92,3.48
20,-10.17,-0.02,0.31,10.19,0.67,3.85
30,-9.93,0.35,0.39,9.83,0.92,4.21
40,-9.96,0.05,0.36,5.62,0.37,3.48
50,-9.88,0.32,0.29,3.17,0.43,4.39
60,-9.85,0.27,0.25,-0.67,0.92,3.60
70,-9.98,0.39,0.22,-5.37,-1.40,3.36
80,-9.92,0.36,0.58,-7.02,-2.20,2.20
90,-9.97,-0.04,0.44,-9.89,0.92,2.14
100,-9.96,0.13,0.31,-6.41,0.61,4.52
110,-10.06,-0.18,0.14,3.48,-2.56,4.76
120,-9.96,-0.11,0.20,13.73,-7.14,7.02
130,-9.78,0.14,0.82,30.21,-8.79,6.10
140,-9.90,0.13,0.74,34.61,-7.51,6.04
150,-9.47,0.92,1.56,39.31,-5.49,9.83
160,-9.75,1.34,0.59,20.32,9.46,5.86
170,-9.79,0.99,-0.00,-4.94,15.56,-1.04
180,-10.17,0.82,-1.02,-21.91,15.75,-4.64
190,-9.64,1.13,0.33,-32.29,2.56,-17.40
200,-9.78,0.85,-0.21,-45.17,2.20,-27.04
210,-9.81,0.56,0.31,-59.20,-0.37,-36.99
220,-13.18,-4.43,-1.85,-66.10,-0.24,-38.02
230,-11.89,-1.09,0.34,-32.59,2.01,-3.42
240,-10.33,-0.28,-0.72,-7.75,-2.56,-2.26
250,-9.76,-1.35,-1.79,-1.40,-32.65,-3.48
260,-10.23,0.46,0.01,-1.53,-50.54,1.53
270,-8.70,2.47,7.28,-10.13,-21.24,-2.32
280,-9.09,-1.45,2.92,-5.13,33.75,-2.20
290,-9.70,-0.11,0.50,-2.32,54.02,-2.56
300,-11.95,1.30,-4.94,-6.96,42.24,-0.98
310,-9.87,0.21,1.02,-46.08,-24.54,1.95
320,-9.85,-0.66,0.07,-4.33,7.14,-2.69
330,-10.16,0.35,-0.76,-5.00,1.10,-0.18
340,-9.80,0.08,0.76,-1.89,-4.64,-1.04
350,-9.97,-0.04,0.50,-2.87,0.24,-0.73
360,-9.74,-0.17,-0.00,-3.36,0.73,0.00
370,-9.98,0.37,0.08,-2.93,-3.54,1.10
380,-9.83,-0.09,0.37,-1.46,-2.75,0.31
390,-9.92,0.22,0.17,-1.95,-0.92,0.00
400,-9.95,0.09,0.40,-2.32,-4.03,0.73
410,-9.90,0.10,0.38,-2.99,-4.21,-0.61
420,-9.93,0.06,0.38,-1.40,-4.09,-0.98
430,-9.88,0.21,0.59,-2.38,-3.23,-1.10
440,-9.93,0.12,0.16,-1.10,0.98,-0.79
450,-9.96,0.08,0.03,-1.59,-0.79,-0.37
460,-9.83,0.05,0.58,-1.40,-3.66,0.00
470,-9.88,0.02,0.47,-1.95,-1.22,-0.55
480,-9.97,0.03,0.13,-0.43,0.73,-0.85
490,-9.94,0.05,0.24,-2.32,-2.75,-0.43
500,-9.94,0.04,0.48,-1.77,-1.46,0.49
510,-9.93,0.05,0.31,-2.38,-2.26,-0.55
520,-9.97,0.09,0.22,-0.85,-0.49,-0.18
530,-9.93,0.16,0.32,-2.01,-2.69,0.37
540,-9.90,0.10,0.32,-1.28,-1.65,-0.67
550,-9.89,0.04,0.31,-1.40,-0.61,0.31
560,-10.02,0.07,0.30,0.00,-0.79,0.12
570,-9.92,0.16,0.24,-2.14,-2.99,-0.12
580,-9.94,0.04,0.44,-1.34,-0.24,0.00
590,-10.02,0.05,0.30,-2.75,-2.08,-0.24
600,-9.89,-0.00,0.28,-1.28,-1.04,0.06
610,-9.95,0.06,0.35,-0.37,-1.40,0.24
620,-9.97,0.03,0.31,0.18,-1.10,-0.49
630,-9.95,0.04,0.36,-1.10,-1.46,0.06
640,-9.98,0.05,0.32,-0.49,-0.85,0.12
650,-9.97,0.07,0.42,-1.16,-0.12,-0.12
660,-10.02,0.05,0.36,-2.14,-1.89,0.43
670,-9.94,0.26,0.21,-2.75,-1.71,0.00
680,-9.98,0.10,0.28,-0.92,-1.53,-0.92
690,-9.93,0.08,0.34,-1.65,-1.77,-0.92
700,-9.97,0.03,0.40,-1.77,-1.71,-0.12
710,-9.91,0.14,0.20,-1.95,-2.14,-0.85
720,-9.91,0.01,0.25,-2.20,-2.14,-0.85
730,-9.91,-0.00,0.33,-0.98,-2.26,-0.73
740,-9.89,0.03,0.41,-1.53,-2.38,-0.37
750,-9.85,-0.04,0.22,-1.83,-1.34,-0.85
760,-9.86,0.17,0.32,-1.89,-1.77,0.06
770,-9.87,0.13,0.50,-1.77,-1.77,0.18
780,-9.93,0.18,0.39,-2.32,-2.01,0.24
790,-9.89,0.21,0.31,-0.98,-1.22,-0.31
800,-9.95,0.13,0.42,-1.77,-0.43,-0.24
810,-9.85,0.20,0.37,-1.34,-0.73,-0.31
820,-9.98,0.17,0.21,-0.37,-1.28,-0.12
830,-9.95,-0.03,0.35,-1.40,-1.16,0.24
840,-9.90,0.08,0.27,-0.18,-0.37,-0.18
850,-9.92,-0.01,0.33,-2.20,-0.79,0.61
860,-9.87,0.08,0.15,-2.08,-1.59,0.73
870,-9.86,0.03,0.36,-1.83,-1.04,0.73
880,-9.97,0.17,0.41,-2.38,-1.46,-0.98
890,-9.76,0.21,0.27,-1.77,-1.16,-0.43
900,-10.06,0.10,0.22,-1.65,-2.26,0.00
910,-10.09,0.11,0.42,-1.71,-2.38,-0.18
920,-9.84,0.17,0.27,-2.14,-1.34,0.24
930,-10.05,0.11,0.40,-1.40,-0.55,1.04
940,-10.00,0.11,0.27,-1.16,-0.24,0.61
950,-10.05,0.11,0.33,-1.83,-1.40,-0.61
960,-9.93,0.19,0.23,-2.20,-1.22,0.61
970,-9.88,0.05,0.36,-2.08,-0.98,1.04
