timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.87,0.09,0.47,-0.18,0.37,0.55
10,-9.92,0.17,0.40,-0.24,0.37,0.79
20,-9.96,0.21,0.36,-0.61,-0.92,0.73
30,-9.92,0.17,0.42,-0.18,0.98,0.06
40,-9.89,0.12,0.35,-0.55,-0.18,-0.18
50,-9.92,0.13,0.35,-0.12,0.79,1.04
60,-10.02,0.14,0.25,0.24,0.24,0.43
70,-9.96,0.09,0.33,0.18,-0.37,0.61
80,-9.84,0.14,0.29,0.31,-0.18,-0.31
90,-9.95,0.06,0.35,-0.18,-0.49,0.31
100,-9.89,0.19,0.50,-0.61,-0.73,0.67
110,-9.80,0.20,0.39,-0.43,-0.12,0.31
120,-9.93,0.21,0.38,0.31,0.79,-0.18
130,-9.92,0.23,0.36,-0.85,-0.31,-0.31
140,-9.93,0.18,0.36,-1.40,-2.14,-0.37
150,-9.96,0.17,0.36,-0.67,-0.73,-0.61
160,-9.94,0.07,0.41,-0.18,-0.43,0.67
170,-9.93,0.10,0.39,0.31,0.00,-0.49
180,-9.87,0.16,0.41,0.18,0.49,0.73
190,-9.86,0.06,0.42,-0.12,0.37,0.06
200,-9.93,0.08,0.25,-0.85,1.04,0.85
210,-9.98,0.17,0.26,0.00,0.61,-0.12
220,-9.90,0.22,0.22,-0.61,-0.55,0.18
230,-9.98,0.10,0.35,-0.55,0.06,0.18
240,-10.00,0.09,0.36,-1.10,-1.04,0.55
250,-9.91,0.19,0.37,-0.37,-1.04,0.24
260,-9.85,0.08,0.45,-0.49,0.24,0.24
270,-9.90,0.17,0.42,-0.12,0.24,0.24
280,-9.94,0.22,0.34,0.12,0.37,0.79
290,-9.94,0.19,0.45,-0.92,-0.73,0.73
300,-9.94,0.18,0.41,-0.43,0.85,-0.43
310,-9.91,0.28,0.33,-0.67,0.61,-0.79
320,-9.93,0.22,0.37,0.06,0.18,0.18
330,-9.93,0.14,0.38,-0.49,-1.65,0.18
340,-9.95,0.11,0.46,-0.18,1.16,0.98
350,-9.97,0.24,0.38,-1.59,0.67,0.06
360,-9.87,0.16,0.24,-0.18,0.00,0.43
370,-9.93,0.12,0.37,1.10,-0.43,-0.06
380,-9.88,0.18,0.36,-0.18,0.43,0.06
