timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.19,9.73,0.49,-0.61,-0.24,-0.43
10,-0.15,9.77,0.47,-0.55,-0.79,-0.37
20,-0.19,9.87,0.49,0.61,0.49,-0.06
30,-0.15,9.76,0.53,0.55,-0.18,-0.49
40,-0.24,9.74,0.50,-0.43,-0.24,0.00
50,-0.16,9.86,0.46,-0.55,0.18,0.73
60,-0.21,9.83,0.50,-1.04,-0.12,-0.12
70,-0.11,9.85,0.54,-1.46,-0.79,0.00
80,-0.11,9.86,0.53,-0.92,-0.55,0.18
90,-0.14,9.81,0.50,-0.55,-0.55,0.31
100,-0.19,9.78,0.53,-0.98,0.24,-0.79
110,-0.26,9.75,0.54,-0.98,0.06,-0.24
120,-0.21,9.82,0.55,-0.31,-0.31,0.00
130,-0.21,9.77,0.51,-0.55,-0.06,0.37
140,-0.23,9.73,0.47,-1.04,-0.18,0.18
150,-0.28,9.83,0.42,-0.43,-0.24,0.79
160,-0.15,9.83,0.52,-0.43,0.37,0.00
170,-0.16,9.83,0.48,-0.55,-0.92,0.18
180,-0.16,9.74,0.52,-0.12,-0.37,0.18
190,-0.16,9.76,0.48,-0.18,-0.98,-0.55
200,-0.20,9.85,0.44,0.31,-0.12,0.61
210,-0.18,9.86,0.55,-0.49,-1.22,-0.18
220,-0.11,9.75,0.48,-0.49,-0.55,0.55
230,-0.18,9.78,0.48,-0.55,-0.06,-0.79
240,-0.19,9.79,0.56,0.24,-0.61,0.43
250,-0.18,9.73,0.41,0.55,0.00,0.06
260,-0.17,9.78,0.48,-0.73,-0.92,0.18
270,-0.18,9.77,0.43,-1.22,-0.85,0.18
280,-0.10,9.76,0.38,-0.79,-0.24,0.12
290,-0.09,9.78,0.53,-1.10,-0.43,0.00
300,-0.16,9.77,0.56,0.43,0.24,-0.37
310,-0.16,9.79,0.57,-0.18,0.18,0.00
320,-0.16,9.81,0.50,-1.77,-1.04,-0.61
330,-0.25,9.76,0.41,-0.79,-0.24,0.31
340,-0.13,9.81,0.38,-0.06,0.00,0.37
350,-0.28,9.73,0.51,-1.04,-1.16,-0.18
360,-0.19,9.82,0.51,0.31,-0.24,-0.49
370,-0.15,9.79,0.42,-1.71,-2.14,0.61
380,-0.13,9.82,0.47,-0.73,-0.61,-0.18
390,-0.28,9.77,0.58,-0.67,-0.49,0.55
400,-0.19,9.78,0.46,0.37,-0.12,0.31
410,-0.14,9.76,0.51,-0.67,-0.43,0.37
420,-0.18,9.74,0.53,-0.12,-1.04,0.18
430,-0.16,9.69,0.51,0.00,0.24,0.06
440,-0.20,9.80,0.51,-1.40,-0.55,0.24
450,-0.13,9.73,0.47,-0.31,-0.61,0.73
460,-0.25,9.77,0.41,0.12,-0.18,0.06
470,-0.21,9.75,0.51,-0.24,0.06,0.00
480,-0.20,9.83,0.58,-1.22,-0.49,-0.79
490,-0.20,9.77,0.52,0.00,0.98,-0.37
500,-0.28,9.76,0.49,-1.16,-0.37,0.67
510,-0.20,9.76,0.47,-0.31,-0.12,0.43
520,-0.19,9.73,0.42,0.00,0.79,0.49
530,-0.14,9.85,0.49,-0.06,0.49,-0.49
540,-0.14,9.75,0.49,-0.24,0.06,0.43
550,-0.10,9.84,0.48,-0.92,-0.31,0.43
560,-0.22,9.83,0.48,-0.12,0.00,-0.67
570,-0.16,9.94,0.46,0.31,-0.12,-0.31
580,-0.17,9.77,0.46,-0.37,-0.06,0.31
590,-0.22,9.75,0.47,-0.98,-0.37,0.43
600,-0.14,9.85,0.50,-0.37,0.43,-0.24
610,-0.19,9.79,0.49,-1.04,-0.67,-0.12
620,-0.21,9.71,0.50,-0.67,-1.04,-0.43
630,-0.20,9.80,0.50,-0.61,-0.18,-0.24
640,-0.12,9.71,0.56,-0.37,0.00,-0.55
650,-0.11,9.77,0.52,-1.10,0.00,-0.24
660,-0.16,9.83,0.52,-0.61,-0.49,-0.24
670,-0.13,9.79,0.53,-1.16,-0.24,0.85
680,-0.17,9.82,0.65,-0.24,-0.24,0.18
690,-0.10,9.74,0.47,-0.85,-0.73,0.06
700,-0.18,9.76,0.51,0.55,-0.31,0.61
710,-0.23,9.74,0.49,-0.79,-0.67,-0.06
720,-0.25,9.77,0.46,-0.37,0.18,-0.31
730,-0.19,9.79,0.51,-0.12,0.31,-0.73
740,-0.21,9.75,0.46,-0.24,-0.55,0.00
750,-0.17,9.85,0.41,0.12,-0.24,0.18
760,-0.16,9.78,0.50,0.31,0.24,0.43
770,-0.14,9.80,0.44,-0.24,1.10,-0.06
780,-0.11,9.79,0.51,-0.37,0.18,0.06
790,-0.19,9.82,0.46,-0.79,-0.12,-0.06
800,-0.12,9.75,0.52,-0.49,0.06,-0.43
810,-0.13,9.73,0.48,-0.98,-0.12,0.24
820,-0.15,9.80,0.50,-0.24,0.18,-0.12
830,-0.18,9.79,0.46,-1.46,-1.34,0.12
840,-0.17,9.87,0.46,-0.43,-0.06,-0.18
850,-0.17,9.84,0.48,-0.98,-0.98,0.55
860,-0.16,9.86,0.50,0.06,-0.73,-0.06
870,-0.13,9.70,0.56,-0.55,-0.06,-0.06
880,-0.23,9.80,0.48,0.12,-1.10,0.24
890,-0.16,9.78,0.48,-0.18,0.43,-0.43
900,-0.12,9.82,0.57,-0.12,-0.37,-0.49
910,-0.16,9.74,0.47,-0.31,-0.43,-0.37
920,-0.20,9.75,0.55,-0.06,0.12,0.73
930,-0.10,9.84,0.47,-0.61,-0.43,-0.12
940,-0.17,9.75,0.48,-0.55,-0.18,0.00
950,-0.19,9.85,0.56,0.18,0.37,-0.12
960,-0.11,9.73,0.47,-0.31,-0.24,-0.06
970,-0.16,9.82,0.47,-0.43,-0.61,0.18
980,-0.11,9.80,0.46,-0.79,-0.18,0.61
990,-0.13,9.82,0.48,-0.73,0.18,-0.06
1000,-0.16,9.78,0.43,-0.18,-0.31,0.79
1010,-0.13,9.78,0.61,0.06,-0.43,-0.12
1020,-0.12,9.74,0.49,-0.55,-0.31,-0.06
1030,-0.20,9.77,0.52,-0.67,-0.43,0.37
1040,-0.11,9.75,0.50,-1.53,-0.43,0.79
1050,-0.18,9.87,0.50,-0.85,-1.40,0.43
1060,-0.16,9.81,0.42,-0.49,0.24,0.06
1070,-0.12,9.79,0.46,-0.43,-0.37,-0.49
1080,-0.18,9.76,0.54,-0.73,-0.61,-0.18
1090,-0.12,9.76,0.57,-1.16,-1.16,0.06
1100,-0.26,9.78,0.51,0.24,-0.12,0.31
1110,-0.11,9.75,0.44,-0.98,-2.20,-0.98
1120,-0.17,9.82,0.55,-0.61,-1.34,0.24
1130,-0.26,9.81,0.45,-1.65,-1.04,0.73
1140,-0.18,9.76,0.50,-0.12,-0.73,-0.06
1150,-0.22,9.76,0.55,0.12,0.49,0.49
1160,-0.16,9.77,0.56,-0.43,-0.31,0.43
1170,-0.16,9.78,0.51,-0.06,-0.31,0.12
1180,-0.17,9.78,0.51,-0.61,-1.34,0.55
1190,-0.21,9.80,0.37,-0.43,-0.55,0.61
1200,-0.10,9.85,0.50,0.61,0.31,-0.43
1210,-0.14,9.89,0.44,0.06,0.49,0.24
1220,-0.17,9.76,0.52,-0.12,-0.67,-0.67
1230,-0.11,9.82,0.47,-0.55,-0.24,0.31
1240,-0.18,9.80,0.53,-0.24,-0.79,0.43
1250,-0.18,9.80,0.50,-0.06,-1.04,0.55
1260,-0.22,9.75,0.48,-0.12,0.31,0.79
1270,-0.20,9.81,0.53,-1.59,-1.40,-0.55
1280,-0.10,9.85,0.47,-0.85,-0.06,0.00
1290,-0.12,9.68,0.44,-0.06,-0.18,-0.18
1300,-0.14,9.78,0.44,0.18,-0.24,-0.55
1310,-0.08,9.79,0.39,-0.55,-1.04,-0.24
1320,-0.13,9.82,0.45,-1.10,-1.16,0.00
1330,-0.18,9.78,0.45,-0.98,-0.12,-0.24
1340,-0.26,9.72,0.48,-0.06,0.24,-0.37
1350,-0.21,9.78,0.47,-0.43,-0.55,0.00
1360,-0.17,9.75,0.52,-0.61,0.92,-0.31
1370,-0.14,9.88,0.50,-0.98,-0.55,0.18
1380,-0.15,9.75,0.52,0.31,0.79,0.98
1390,-0.10,9.78,0.47,0.37,0.98,0.37
1400,-0.10,9.77,0.43,-0.55,0.24,0.49
1410,-0.15,9.80,0.49,-0.31,0.06,0.24
1420,-0.26,9.77,0.49,-0.55,-0.98,-0.31
1430,-0.17,9.80,0.58,0.18,-0.06,0.73
1440,-0.19,9.70,0.51,-0.24,-0.43,0.06
