timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.21,9.70,0.50,-0.12,0.00,0.12
10,-0.05,9.77,0.47,-0.43,0.55,-0.18
20,-0.17,9.82,0.49,-0.55,0.24,-0.79
30,-0.22,9.77,0.53,-0.92,-0.37,0.43
40,-0.18,9.77,0.51,-0.61,-0.24,0.06
50,-0.17,9.76,0.43,-1.10,-0.18,-0.31
60,-0.19,9.81,0.51,-0.67,0.24,0.61
70,-0.12,9.71,0.47,-0.61,-0.24,0.18
80,-0.16,9.76,0.46,-0.18,0.31,-0.18
90,-0.15,9.70,0.43,-0.12,0.55,0.31
100,-0.16,9.76,0.47,-0.31,-0.37,0.55
110,-0.12,9.81,0.48,0.24,-0.18,0.61
120,0.02,9.77,0.60,-0.55,-0.12,-0.06
130,-0.17,9.76,0.49,0.00,0.12,0.24
140,-0.21,9.76,0.50,-0.85,-0.37,0.12
150,-0.12,9.83,0.50,-0.12,0.31,0.67
160,-0.13,9.70,0.46,0.00,-0.43,0.67
170,-0.04,9.82,0.46,-1.28,-0.61,0.31
180,-0.19,9.80,0.49,0.00,0.61,0.18
190,-0.26,9.77,0.55,-0.49,-0.18,0.00
200,-0.06,9.83,0.43,0.06,0.61,0.55
210,-0.12,9.77,0.57,0.55,1.34,0.31
220,-0.11,9.72,0.53,-0.43,-0.92,-0.18
230,-0.23,9.71,0.53,-0.49,0.31,0.55
240,-0.21,9.81,0.53,0.24,0.79,0.43
250,-0.09,9.82,0.47,-0.49,0.12,0.31
260,-0.19,9.80,0.52,0.31,0.55,-0.24
270,-0.10,9.81,0.59,0.00,-0.49,0.92
280,-0.09,9.72,0.58,0.06,-0.31,-0.31
290,-0.09,9.91,0.56,0.18,0.31,0.61
300,-0.22,9.76,0.56,-0.85,0.00,0.18
310,-0.14,9.82,0.50,0.85,0.67,1.10
320,-0.17,9.75,0.47,-0.55,0.43,0.55
330,-0.20,9.78,0.44,0.43,0.18,1.04
340,-0.16,9.82,0.46,-0.06,-0.06,0.06
350,-0.13,9.88,0.55,0.92,0.98,0.18
360,-0.23,9.80,0.46,0.92,0.73,-0.55
370,-0.19,9.82,0.47,-0.61,-0.79,0.00
380,-0.16,9.83,0.58,0.55,1.16,0.85
390,-0.10,9.76,0.50,-0.85,-0.49,-0.37
400,-0.15,9.82,0.55,-0.37,0.31,0.49
410,-0.18,9.75,0.51,-0.06,-0.06,-0.18
