timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.91,0.20,0.36,-0.55,-0.12,-0.61
10,-9.89,0.19,0.30,-0.85,-0.55,-0.43
20,-9.95,0.13,0.39,-0.37,-1.83,-0.18
30,-9.99,0.15,0.39,-0.85,0.12,-0.31
40,-9.93,0.13,0.39,-0.85,-0.37,0.31
50,-9.87,0.18,0.31,0.12,0.06,-0.12
60,-9.89,0.12,0.40,0.31,0.37,-0.12
70,-9.95,0.17,0.34,0.00,0.37,-0.43
80,-9.94,0.23,0.33,-0.55,0.06,0.06
90,-9.91,0.13,0.27,-0.61,-1.46,0.12
100,-9.95,0.10,0.39,-1.10,-1.04,0.37
110,-9.95,0.15,0.28,-0.49,-0.92,0.61
120,-9.91,0.17,0.30,-0.43,-0.85,-0.24
130,-9.94,0.12,0.37,-1.10,-0.12,0.67
140,-9.97,0.08,0.30,-1.34,-1.59,-0.06
150,-9.95,0.12,0.31,0.43,0.37,-0.92
160,-9.98,0.04,0.34,-0.61,-0.67,0.31
170,-9.97,0.20,0.36,0.55,0.06,0.79
180,-9.99,0.22,0.43,-0.67,0.12,-0.61
190,-9.92,0.15,0.37,-0.55,-0.61,0.67
200,-9.92,0.22,0.38,0.06,-0.12,-0.49
210,-9.87,0.19,0.28,-0.98,-0.18,-0.43
220,-9.92,0.07,0.44,-0.73,-0.79,0.37
230,-9.98,0.09,0.41,-0.79,-0.49,-0.43
240,-9.94,0.14,0.40,-1.10,0.06,0.49
250,-9.95,0.19,0.27,-0.37,0.06,-0.18
260,-9.96,0.15,0.28,-0.67,-0.79,1.04
270,-9.84,0.13,0.30,-0.79,0.06,-0.43
280,-9.96,0.14,0.36,0.37,0.31,0.73
290,-10.14,0.09,0.35,-0.61,-0.37,-0.24
300,-9.79,0.18,0.32,-0.24,0.37,-0.24
310,-9.82,0.21,0.22,0.18,0.43,0.00
320,-10.00,0.01,0.20,-1.04,-1.46,-0.49
330,-9.99,0.09,0.31,-0.43,-0.49,-0.31
340,-9.90,0.31,0.33,0.12,-0.12,-0.24
350,-9.87,0.21,0.48,-0.92,-1.22,0.43
360,-10.06,0.10,0.62,-0.79,-0.98,0.18
370,-9.92,0.25,0.43,-1.04,0.73,0.43
380,-9.90,0.34,0.16,0.12,0.67,-0.24
390,-10.05,0.26,0.22,-0.31,-1.10,-0.18
400,-9.97,0.08,0.41,-0.24,-0.85,0.18
410,-9.89,-0.05,0.44,0.37,-0.06,0.06
420,-9.99,-0.03,0.30,0.12,-0.06,0.37
430,-9.89,-0.03,0.34,-1.40,-0.18,0.00
440,-9.85,-0.03,0.26,-1.40,-1.77,0.00
450,-9.92,0.13,0.41,-0.37,-0.61,-0.18
460,-9.94,0.17,0.36,-0.67,-0.67,0.18
470,-9.86,0.33,0.33,0.31,0.06,0.00
480,-9.93,0.37,0.29,-1.40,-1.59,0.37
490,-9.96,0.27,0.29,0.00,0.18,0.12
500,-9.92,0.16,0.37,-1.22,-1.40,-0.18
510,-9.92,0.11,0.62,-0.37,-1.16,0.37
520,-10.16,-0.09,0.64,-0.43,0.24,-0.49
530,-9.68,0.35,0.60,0.31,1.53,0.43
540,-10.78,0.31,0.37,-0.49,1.59,-0.85
550,-10.64,0.27,-0.12,0.31,1.46,1.65
560,-9.65,-0.68,-0.19,-0.43,-1.10,-2.08
570,-10.11,0.03,0.30,-0.12,-1.89,0.18
