timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.90,0.23,0.32,-0.61,-1.22,-0.43
10,-9.94,0.14,0.38,0.18,0.00,0.06
20,-9.91,0.06,0.39,-0.18,-0.37,0.06
30,-9.89,0.20,0.28,-0.61,0.00,-0.06
40,-9.91,0.12,0.46,-0.55,0.18,-0.37
50,-9.93,0.16,0.35,-0.61,-0.43,-0.06
60,-9.91,0.08,0.34,-0.06,0.37,0.12
70,-9.88,0.18,0.30,-0.79,-0.49,0.43
80,-9.98,0.23,0.31,0.31,-0.24,-0.06
90,-9.86,0.17,0.33,-0.55,-0.06,0.55
100,-9.90,0.17,0.41,-0.79,-0.85,0.06
110,-9.85,0.16,0.28,0.00,0.49,-0.61
120,-9.89,0.13,0.34,-1.04,-0.49,0.43
130,-9.91,0.20,0.45,-0.55,-0.24,0.12
140,-9.90,0.17,0.40,-0.49,-0.37,-0.37
150,-9.96,0.14,0.40,-0.49,-0.12,0.73
160,-9.90,0.18,0.35,-0.67,0.00,0.43
170,-9.99,0.09,0.23,-0.98,0.49,0.06
180,-9.88,0.20,0.23,-1.40,-0.85,-0.18
190,-9.92,0.11,0.38,-0.24,-0.98,0.12
200,-9.97,0.13,0.47,0.24,-0.85,-0.49
210,-9.96,0.18,0.42,-0.79,-0.73,0.00
220,-9.90,0.01,0.43,-1.28,-1.34,0.49
230,-9.87,0.17,0.37,-0.67,0.06,0.18
240,-9.94,0.17,0.38,-0.67,0.24,-0.61
250,-9.89,0.19,0.30,-0.24,-0.43,0.85
260,-9.96,0.23,0.32,-0.67,-0.37,-0.18
270,-9.84,0.24,0.30,0.12,-0.79,0.61
280,-9.93,0.17,0.38,0.00,-0.79,-0.49
290,-9.89,0.19,0.41,-0.24,0.06,0.24
300,-9.87,0.20,0.39,-1.04,0.06,0.98
310,-9.95,0.12,0.36,-0.55,-1.16,0.98
320,-10.01,0.20,0.43,-0.12,-0.49,0.06
330,-9.95,0.19,0.29,-1.04,-0.37,0.18
340,-9.98,0.09,0.33,-0.61,0.00,-0.43
350,-9.91,0.08,0.29,-0.98,-0.79,0.24
360,-9.95,0.14,0.31,-0.06,-0.55,-0.31
370,-9.90,0.15,0.40,-0.67,-0.49,1.16
