timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-10.04,0.05,0.62,-0.55,0.12,0.31
10,-9.96,0.05,0.53,0.06,1.65,-0.85
20,-9.96,0.26,0.46,0.06,1.77,-0.37
30,-9.94,0.19,0.52,-1.46,0.00,0.06
40,-9.94,0.10,0.52,-0.61,0.31,-0.06
50,-9.94,0.22,0.52,-1.04,-0.18,0.12
60,-9.84,0.03,0.57,-0.49,-0.67,0.00
70,-9.99,0.12,0.63,-0.18,-1.04,0.37
80,-9.84,0.16,0.74,0.06,0.06,-0.12
90,-9.78,0.17,0.56,-0.18,0.18,0.12
100,-9.98,0.14,0.55,-1.04,-0.73,0.24
110,-9.84,0.11,0.44,-1.16,0.24,-0.55
120,-9.94,0.20,0.45,-0.79,0.37,0.61
130,-9.95,0.18,0.47,-0.67,-0.18,0.49
140,-9.93,0.12,0.48,-0.67,-0.37,0.73
150,-9.86,0.11,0.53,-1.71,-0.49,0.61
160,-9.91,0.14,0.58,-0.98,-0.12,0.37
170,-9.92,0.12,0.56,-0.73,-0.24,-0.24
180,-9.90,0.17,0.51,-0.43,0.37,-0.12
190,-9.87,0.16,0.58,0.43,1.10,-0.06
200,-9.94,0.18,0.45,-1.34,-0.31,-0.43
210,-9.92,0.17,0.51,-0.06,0.12,0.06
220,-9.94,0.06,0.56,-0.18,-1.04,-0.79
230,-9.92,0.15,0.51,-0.43,-0.92,0.85
240,-9.89,0.26,0.51,-0.61,-0.18,-0.61
250,-9.93,0.18,0.50,-0.61,-0.43,-0.55
260,-9.86,0.19,0.48,-0.12,0.37,0.06
270,-10.08,0.19,0.42,0.18,0.73,0.06
280,-9.86,0.13,0.52,0.12,-0.37,0.73
290,-9.97,0.22,0.51,-0.06,0.12,0.24
300,-9.79,0.21,0.49,-0.43,-0.31,0.31
310,-9.92,0.20,0.48,-1.28,-0.12,-0.31
320,-9.74,0.25,0.53,0.12,0.85,0.55
330,-9.94,0.08,0.47,0.18,0.43,0.06
340,-9.82,0.03,0.50,-0.43,-0.06,0.49
350,-9.98,0.23,0.56,-0.73,-0.31,0.61
360,-9.93,0.15,0.50,-0.24,-0.37,0.00
370,-9.97,0.20,0.51,-0.43,-0.12,0.12
380,-9.92,0.19,0.49,-0.85,-0.73,0.24
390,-9.87,0.18,0.48,-0.43,-0.79,-0.18
400,-9.85,0.16,0.54,-0.73,-0.98,0.49
410,-9.89,0.07,0.54,-0.31,-0.37,0.18
420,-9.97,0.00,0.48,-0.61,0.85,-0.31
430,-9.93,0.21,0.50,-0.37,0.43,-0.79
440,-10.06,0.11,0.49,-0.61,-0.37,0.00
450,-9.93,-0.00,0.53,-1.34,-1.10,-0.49
460,-9.91,0.10,0.56,-0.49,-0.43,-0.24
470,-9.94,0.36,0.47,-1.34,-0.55,0.24
480,-9.91,0.04,0.58,-0.06,-0.18,0.12
490,-9.88,0.15,0.48,-0.98,0.67,0.18
500,-9.89,0.20,0.48,0.00,1.10,-0.06
510,-9.93,0.25,0.41,0.43,0.00,-0.12
520,-10.01,-0.01,0.51,-0.79,-0.18,0.24
530,-10.04,0.12,0.54,0.67,1.04,-0.61
540,-9.95,0.17,0.39,-0.31,-0.06,0.24
550,-10.02,0.25,0.47,0.31,-0.92,-0.79
560,-9.86,0.20,0.49,-0.37,-0.85,-0.73
570,-9.94,0.20,0.62,-0.49,-1.10,0.31
580,-9.95,0.16,0.59,0.00,0.12,0.92
590,-9.84,0.21,0.53,0.00,0.73,-0.06
600,-10.03,0.16,0.52,-0.12,0.61,-0.18
610,-9.83,0.09,0.50,-0.85,-0.18,-0.06
620,-9.95,0.23,0.50,-0.55,-0.85,-0.12
630,-9.92,0.16,0.45,-1.16,-0.49,0.18
640,-9.77,0.30,0.51,-0.37,0.24,-0.92
650,-9.88,0.18,0.45,-0.37,0.98,0.37
660,-9.67,0.15,0.46,-0.24,0.79,0.06
670,-9.92,0.12,0.50,-0.79,-1.04,0.37
680,-9.84,0.16,0.45,-0.37,-0.06,-0.31
690,-9.84,0.16,0.56,0.98,0.98,0.55
700,-9.75,0.31,0.57,-0.67,-0.55,0.85
710,-9.83,0.12,0.53,-1.95,-2.50,0.18
720,-9.87,0.16,0.61,-1.34,-0.43,0.85
730,-9.98,0.32,0.40,-0.43,0.12,0.18
740,-9.95,0.08,0.49,-0.67,0.37,0.73
750,-9.77,0.16,0.55,-0.79,-0.24,0.00
