timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.04,9.79,0.57,-2.56,-8.24,0.43
10,-0.07,9.86,0.50,-1.40,-5.37,0.24
20,-0.10,9.78,0.52,-1.28,-4.94,-0.24
30,-0.15,9.79,0.50,1.40,-2.38,-0.55
40,-0.13,9.78,0.52,-1.04,-5.25,1.04
50,-0.10,9.82,0.43,-3.91,-6.23,-0.24
60,-0.06,9.88,0.44,-2.93,-3.66,-0.06
70,0.09,9.74,0.51,-1.95,-2.20,-0.55
80,-0.14,9.82,0.65,-3.78,-2.32,-0.55
90,-0.12,9.68,0.46,-1.95,-0.92,-0.61
100,-0.20,9.84,0.44,-3.05,-3.72,-0.43
110,-0.13,9.81,0.39,-1.10,-5.55,-1.16
120,-0.13,9.72,0.53,-4.88,-8.18,0.06
130,-0.10,9.76,0.48,-2.93,-4.09,-0.24
140,0.02,9.75,0.64,-2.62,-2.32,-1.53
150,0.00,9.88,0.51,-4.46,-0.18,-0.49
160,0.02,10.14,0.31,-5.55,4.64,-1.83
170,0.00,9.40,0.65,-2.56,4.46,0.31
180,0.09,10.21,0.30,-9.22,5.86,-1.53
190,-0.19,9.83,0.37,-16.85,7.26,-1.71
200,-0.00,6.06,3.47,-13.18,6.96,-8.36
210,-0.84,10.67,-0.46,17.03,16.48,1.28
220,-0.06,11.79,-0.94,-16.54,-1.71,-0.85
230,0.23,9.05,1.14,-40.71,0.24,0.61
240,0.02,8.68,1.72,-6.77,27.71,-1.04
250,-1.59,7.87,0.67,18.74,20.75,-3.97
260,0.96,10.48,0.84,57.92,-8.91,-0.06
270,0.20,9.57,-0.90,34.61,-2.14,3.42
280,-0.09,8.71,-0.32,-18.19,4.27,0.37
290,-0.54,15.09,-0.48,-45.23,7.45,5.07
300,-0.04,7.62,0.82,-3.97,4.70,2.14
310,-0.06,8.64,0.98,20.39,-3.85,-1.65
320,0.40,9.48,-0.80,-1.65,-0.49,1.46
330,0.01,8.15,1.53,-19.78,-1.77,-1.77
340,-0.06,9.97,0.65,9.46,-1.22,0.18
350,-0.03,10.56,-0.46,0.55,0.18,1.53
360,-0.24,8.90,1.01,-2.32,-0.49,-1.16
370,-0.14,10.13,0.18,1.65,-0.79,0.49
380,-0.06,9.64,0.65,-4.27,-0.92,-0.37
390,-0.10,9.72,0.61,-0.18,-1.46,0.06
400,-0.11,9.79,0.57,-2.14,0.18,0.06
410,-0.20,9.60,0.67,-2.62,-2.50,-0.43
