timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.90,0.10,0.26,-1.53,-1.22,-0.18
10,-9.96,0.20,0.22,-1.71,-2.75,-0.67
20,-9.84,0.20,0.23,-1.95,-3.05,0.49
30,-9.89,0.23,0.28,-1.83,-2.38,-0.43
40,-9.99,0.16,0.49,-1.46,-2.08,-1.28
50,-9.85,0.09,0.31,-1.28,0.31,-1.71
60,-10.05,0.20,0.35,-1.22,0.37,-0.73
70,-9.81,0.19,0.34,-2.99,0.55,-1.46
80,-9.84,0.12,0.40,-6.96,-0.06,-0.61
90,-9.98,0.13,-0.11,-8.30,-1.04,-0.98
100,-9.96,0.22,-0.28,-3.54,-1.40,-1.16
110,-9.84,-0.06,0.09,-1.71,-6.59,-0.43
120,-9.99,0.01,-0.06,-1.04,-7.26,1.71
130,-9.84,0.07,0.43,-0.43,-9.40,0.85
140,-9.95,0.11,0.51,-0.85,-7.20,1.16
150,-9.87,0.07,0.51,-1.10,-3.66,-0.98
160,-9.80,0.47,0.36,-1.89,-3.30,0.61
170,-9.92,0.09,0.38,-2.20,-0.98,-3.11
180,-9.93,0.09,0.19,-2.93,0.06,-2.32
190,-10.02,0.25,0.24,-6.35,-3.60,-3.48
200,-9.96,0.08,0.32,-2.99,-2.26,-2.50
210,-10.61,-1.12,-0.95,-3.97,-16.78,-7.20
220,-10.35,-0.22,-0.44,-1.83,-25.33,-2.93
230,-9.67,0.04,1.14,-0.98,-28.14,-2.38
240,-9.46,-0.06,2.24,-0.98,-18.80,-1.59
250,-9.57,0.01,2.10,-1.89,10.01,-1.53
260,-9.92,0.01,1.32,-1.53,24.41,-1.53
270,-10.30,0.17,-0.24,-0.73,36.38,-1.53
280,-10.55,0.31,-3.61,-7.69,10.01,-2.20
290,-10.00,0.89,1.06,-4.39,-20.87,0.73
300,-9.62,-0.28,1.14,-1.04,-13.55,-0.73
310,-9.87,0.10,1.29,-0.06,-0.67,-1.04
320,-9.89,0.22,0.92,-1.34,5.43,-0.31
330,-10.12,0.07,0.06,-0.67,13.98,-1.22
340,-10.18,0.06,-1.49,-0.49,5.98,-1.16
350,-9.87,0.20,0.80,-2.20,-13.73,0.61
360,-9.76,0.05,1.06,-1.59,-9.28,-1.34
370,-9.82,0.00,1.00,-1.65,-1.77,-0.12
380,-9.91,0.16,0.44,-1.53,7.69,-0.61
390,-10.16,0.06,-0.77,-2.14,4.94,-0.61
400,-9.90,0.08,0.37,-2.01,-9.70,-0.06
410,-9.83,0.07,0.89,-1.16,-6.59,-0.92
420,-9.89,0.22,0.83,-0.18,3.30,-1.28
430,-9.96,0.11,0.06,-1.53,5.31,-0.49
440,-10.03,0.03,-0.05,-1.22,-3.78,-0.24
450,-9.84,0.09,0.71,-0.31,-6.16,-0.06
460,-9.76,0.08,0.63,-0.43,1.34,-0.06
470,-9.99,0.12,-0.03,-1.65,2.20,-0.49
480,-10.02,0.07,0.12,-0.92,-3.17,0.18
490,-9.88,0.09,0.66,0.06,-3.60,0.00
500,-9.92,0.19,0.61,-2.81,-0.61,-0.31
510,-9.90,0.21,0.07,-1.83,0.37,-0.37
520,-9.95,0.16,0.28,-1.16,-2.87,-0.18
530,-9.93,0.12,0.55,-1.95,-4.52,0.37
540,-9.93,0.16,0.46,0.18,0.43,0.12
550,-9.94,0.07,0.13,-1.16,-0.06,-0.43
560,-9.90,0.18,0.21,-1.22,-2.62,-0.18
570,-9.86,0.10,0.44,-1.53,-2.50,-1.34
580,-9.89,0.09,0.37,-1.77,-0.37,0.18
590,-9.99,0.09,0.19,-1.83,-0.24,-0.61
600,-9.90,0.04,0.39,-0.67,-2.56,-0.43
610,-9.99,0.16,0.47,-2.20,-2.08,-1.16
620,-9.97,0.13,0.36,-1.10,-0.79,-0.49
630,-10.00,0.17,0.22,-1.59,-0.79,0.24
640,-9.94,0.11,0.50,-2.75,-3.23,-0.92
650,-9.90,0.12,0.38,-1.77,-2.44,-0.43
660,-9.85,0.17,0.33,-1.46,-0.79,-0.24
670,-9.87,0.10,0.22,-2.44,-1.59,-0.37
680,-9.87,0.08,0.38,-1.46,-2.75,-0.49
690,-9.90,0.14,0.39,-0.24,0.00,-0.73
700,-9.95,0.03,0.35,-1.71,-0.98,-0.43
710,-9.96,0.34,0.27,-0.37,-1.10,-0.49
720,-10.73,0.89,0.15,-0.79,-1.59,-3.05
