timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.13,9.81,0.53,0.49,-1.95,1.28
10,0.00,9.79,0.46,0.49,-1.77,0.98
20,-0.18,9.68,0.45,-0.31,-0.92,-0.49
30,-0.05,9.73,0.46,0.73,-0.61,1.04
40,-0.11,9.79,0.43,-1.04,0.00,0.24
50,-0.11,9.62,0.40,-1.40,-0.31,0.31
60,-0.07,9.83,0.56,-2.08,-0.67,0.49
70,-0.05,9.79,0.42,-2.87,0.43,-0.24
80,-0.04,9.76,0.50,-0.85,0.79,-0.37
90,-0.03,9.84,0.50,-2.44,6.84,-0.98
100,-0.08,9.76,0.33,-1.10,10.62,-1.77
110,-0.24,9.63,0.44,-2.08,7.14,-2.01
120,-0.38,9.86,0.35,-2.26,4.82,-1.83
130,-0.22,9.80,0.40,-0.12,5.25,-2.69
140,0.91,9.40,2.50,-1.46,3.36,-2.93
150,-0.57,9.90,0.15,-2.87,-1.22,-6.16
160,0.36,9.99,0.58,-8.00,-0.98,-2.81
170,0.50,11.30,0.76,-8.00,-1.71,-2.69
180,-0.02,8.83,2.02,-2.14,5.55,-10.13
190,-0.12,9.59,-0.69,-0.49,0.24,-6.84
200,-0.27,8.84,0.23,-2.56,-10.86,-2.87
210,-0.78,10.90,-0.69,-10.74,1.89,16.66
220,0.18,9.13,1.38,-1.34,-4.82,-6.71
230,0.33,10.79,0.95,-2.62,-2.75,2.81
240,-0.44,9.61,0.61,-1.16,-0.85,-1.77
250,-0.22,9.56,0.49,0.31,0.18,-0.37
260,-0.06,9.89,0.45,-1.89,-1.83,0.31
270,-0.14,9.68,0.50,-1.40,-0.55,-0.24
280,-0.14,9.77,0.55,-3.23,-1.89,-0.06
290,-0.09,9.69,0.50,-2.75,-2.08,-0.73
300,-0.16,9.72,0.59,-1.53,-1.59,-0.31
310,-0.09,9.79,0.45,-0.61,-0.24,-0.31
320,-0.12,9.75,0.49,-2.87,-1.46,-0.37
330,-0.08,9.79,0.49,-1.65,-2.14,0.37
340,-0.16,9.74,0.50,-1.71,-1.65,0.24
350,-0.15,9.73,0.61,-1.71,-2.20,-0.55
360,-0.22,9.81,0.58,-2.38,-1.34,-0.31
370,-0.10,9.69,0.60,-1.95,-0.12,-0.43
380,-0.22,9.75,0.53,0.73,1.10,-0.31
390,0.00,9.74,0.53,0.55,-0.43,-0.06
400,-0.16,9.70,0.59,-1.40,-1.34,-0.24
410,-0.20,9.83,0.44,-2.01,-0.85,-0.31
420,-0.13,9.84,0.43,0.55,0.31,-0.92
430,-0.19,9.76,0.48,-1.22,-1.34,-0.37
440,-0.12,9.72,0.45,-1.71,-0.98,0.18
450,-0.15,9.62,0.46,-1.71,-0.12,0.06
460,-0.20,9.70,0.53,-0.06,-0.43,0.49
470,-0.17,9.75,0.46,-0.67,-1.34,-0.24
480,-0.16,9.70,0.58,-0.18,0.00,0.85
490,-0.13,9.70,0.52,-1.53,-1.95,0.18
500,-0.05,9.80,0.56,-1.59,-2.14,0.24
510,-0.08,9.70,0.54,-2.01,-0.92,-0.49
520,-0.19,9.69,0.58,-0.67,-1.10,0.18
530,-0.08,9.73,0.44,-1.77,-0.73,-0.61
540,-0.15,9.68,0.45,-2.08,-1.53,0.55
550,-0.04,9.68,0.44,-1.77,-2.08,-0.24
560,-0.14,9.68,0.43,-1.10,-1.10,0.12
570,-0.10,9.74,0.61,-3.11,-2.93,-0.18
580,-0.18,9.68,0.57,0.00,0.55,-0.73
