timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.94,0.13,0.36,-0.79,-0.12,-0.55
10,-9.92,0.13,0.28,-1.95,-1.28,0.06
20,-9.89,0.13,0.35,-1.22,-1.77,-0.37
30,-9.98,0.20,0.40,-0.24,-1.89,-0.18
40,-9.87,0.12,0.45,0.12,-3.48,0.49
50,-9.94,0.10,0.28,-0.06,-3.17,-0.49
60,-9.92,0.23,0.18,-0.61,-1.77,0.61
70,-10.04,0.13,0.35,-0.85,-4.88,-0.37
80,-10.03,0.18,0.23,-0.18,-4.70,-1.40
90,-9.94,0.17,0.41,2.14,-6.35,-0.55
100,-9.94,0.11,0.44,4.52,-5.86,-0.67
110,-9.96,0.08,0.46,7.69,-6.65,-0.49
120,-9.93,0.21,0.48,9.03,-7.45,-0.73
130,-10.00,0.22,0.24,8.42,-6.35,-0.06
140,-9.79,1.40,1.62,14.65,-13.55,0.67
150,-9.82,0.44,0.55,3.30,-3.23,-0.12
160,-10.03,0.13,0.35,-0.12,-3.60,-1.28
170,-9.96,0.23,0.41,-2.01,-3.17,-1.40
180,-9.88,0.16,0.35,-2.62,-3.48,-1.04
190,-9.94,0.06,0.67,-0.85,-4.39,-2.01
200,-9.91,0.18,0.52,-2.56,-2.99,-1.95
210,-9.92,0.10,0.36,-1.77,-3.23,-1.71
220,-9.90,0.13,0.19,-1.95,-4.64,-0.79
230,-9.75,0.14,0.72,-2.38,-6.35,-0.79
240,-9.97,0.13,0.59,-2.56,-2.26,-0.24
250,-9.91,0.31,0.30,-2.99,-1.22,-0.31
260,-9.95,0.19,0.32,-2.56,-2.99,-0.43
270,-9.84,0.28,0.53,-3.11,-3.72,-0.43
280,-9.94,0.11,0.13,-4.58,-2.81,-1.04
290,-9.93,0.19,0.27,-5.55,-8.36,-0.06
300,-9.86,0.21,0.68,-6.35,-9.46,-0.79
310,-9.86,-0.02,0.00,-4.70,-8.73,-1.28
320,-9.19,0.20,3.43,-7.81,-0.98,-6.65
330,-9.44,-0.49,2.06,-2.26,25.57,0.00
340,-9.63,-0.65,0.07,-1.83,38.39,-4.70
350,-9.92,0.48,0.00,-1.16,37.60,1.77
360,-10.27,-0.10,-3.07,-8.54,7.57,-3.36
370,-9.99,-0.28,0.17,-13.37,-22.58,1.22
380,-9.83,0.03,1.12,-1.04,-10.80,-0.55
