timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.92,0.14,0.30,-1.10,-0.98,0.18
10,-10.01,0.06,0.32,0.12,0.61,-0.37
20,-9.87,0.14,0.46,0.12,0.18,-0.06
30,-9.91,0.28,0.40,-0.06,0.43,0.18
40,-9.92,0.28,0.33,0.37,0.92,-0.49
50,-9.94,0.17,0.30,-0.24,0.49,0.06
60,-9.95,0.14,0.45,-0.06,-1.16,0.61
70,-9.87,0.11,0.48,-1.10,-1.10,-0.43
80,-9.95,0.13,0.42,-0.12,0.85,0.43
90,-9.95,0.16,0.28,0.55,1.77,0.79
100,-9.98,0.14,0.22,-0.37,0.00,0.00
110,-9.87,0.18,0.31,0.12,-1.28,-0.18
120,-10.00,0.09,0.32,-0.98,-0.85,1.16
130,-9.88,0.18,0.37,-0.43,0.55,0.37
140,-9.89,0.10,0.28,-0.18,0.00,0.18
150,-9.96,0.13,0.36,-1.22,-0.67,0.12
160,-9.86,0.14,0.45,-0.55,-0.49,0.37
170,-10.02,0.04,0.47,0.37,0.12,-0.24
180,-9.97,0.17,0.43,-0.55,-0.55,-0.18
190,-9.89,0.15,0.41,-0.24,0.43,-0.92
200,-9.98,0.06,0.31,0.06,0.79,0.67
210,-9.98,0.16,0.30,-0.79,-1.22,0.79
220,-9.93,0.15,0.31,0.43,0.06,-0.06
230,-9.91,0.00,0.35,-0.43,0.24,0.49
240,-9.85,0.12,0.42,-0.79,-0.06,0.00
250,-9.86,0.17,0.29,-0.79,0.18,0.43
260,-9.89,0.15,0.30,-1.22,-1.16,-0.55
270,-9.95,0.18,0.37,0.00,-0.24,0.06
280,-9.93,0.17,0.47,-0.31,-0.61,0.24
290,-9.85,0.18,0.32,0.00,0.79,0.18
300,-9.92,0.19,0.36,-0.06,0.31,-0.31
310,-9.95,0.19,0.45,-0.49,-0.55,-0.37
320,-9.90,0.16,0.33,-0.92,-0.85,-0.18
330,-9.85,0.14,0.41,-1.10,-0.43,0.67
340,-9.92,0.11,0.45,0.18,1.46,-0.31
350,-9.98,0.16,0.43,-0.31,0.06,0.24
360,-9.96,0.16,0.34,-0.73,-0.61,0.12
370,-9.89,0.16,0.32,-1.89,-1.71,0.55
380,-9.96,0.09,0.28,-1.16,-1.46,1.46
390,-9.93,0.19,0.34,-0.49,-0.85,-0.06
400,-9.95,0.13,0.42,0.24,-0.18,-0.37
410,-9.96,0.18,0.44,0.49,0.55,0.49
420,-9.96,0.21,0.37,0.24,0.67,0.24
430,-9.93,0.10,0.35,-0.92,0.06,0.61
440,-9.90,0.16,0.37,-0.49,0.43,0.12
450,-9.95,0.18,0.33,-0.67,-0.24,0.31
460,-9.91,0.19,0.33,0.18,0.43,0.67
470,-9.94,0.14,0.43,-1.40,-0.49,0.43
480,-9.93,0.18,0.34,-0.55,-0.24,0.37
490,-9.86,0.20,0.36,-0.98,-0.92,-0.06
500,-9.93,0.14,0.36,-1.22,-1.10,0.00
510,-9.87,0.20,0.40,-0.37,-1.10,-0.67
520,-9.92,0.13,0.29,-0.37,-0.79,-0.06
530,-9.89,0.16,0.29,-1.53,-0.73,0.43
540,-9.89,0.25,0.31,0.37,0.67,-0.06
550,-9.88,0.15,0.35,-1.10,-0.61,0.24
560,-9.93,0.14,0.30,0.61,0.67,0.18
570,-9.89,0.11,0.32,-0.18,-0.43,0.24
580,-9.84,0.03,0.36,-0.49,-0.98,-0.12
590,-9.93,0.16,0.35,-0.31,0.37,0.06
600,-9.85,0.13,0.34,-0.92,0.43,-0.06
610,-9.91,0.15,0.32,0.61,0.98,0.43
620,-9.97,0.14,0.30,0.06,0.37,0.43
630,-9.91,0.21,0.39,-1.40,-1.04,-0.37
640,-9.86,0.19,0.41,0.61,0.18,0.37
650,-9.97,0.14,0.39,-0.73,-0.18,0.06
660,-9.90,0.18,0.48,0.06,0.61,0.43
670,-9.93,0.13,0.31,-0.06,0.18,0.24
680,-9.87,0.24,0.44,-0.55,-0.79,0.43
690,-9.89,0.16,0.37,-0.31,-0.06,0.12
700,-9.95,0.14,0.28,-0.67,-0.61,0.79
710,-9.89,0.31,0.31,-1.16,-1.53,-0.37
720,-9.88,0.25,0.26,-0.37,-0.73,-0.18
730,-9.87,0.13,0.41,-0.49,-0.49,0.12
740,-9.93,0.14,0.41,-0.43,0.06,0.43
750,-9.85,0.17,0.45,-0.12,-0.61,0.00
760,-9.81,0.10,0.41,0.43,0.85,-0.18
770,-9.90,0.14,0.36,0.43,-0.06,-0.06
780,-9.89,0.19,0.41,-0.73,0.12,0.67
790,-9.93,0.13,0.29,-0.31,-1.16,-0.24
800,-9.87,0.15,0.34,-0.79,-0.37,-0.18
810,-9.88,0.20,0.33,-0.31,-0.49,0.00
820,-9.85,0.16,0.38,-0.31,-0.92,-0.06
830,-9.98,0.09,0.31,-0.73,-0.49,0.18
840,-9.90,0.11,0.32,0.31,-0.43,0.00
850,-9.93,0.08,0.41,-1.22,-0.73,0.24
860,-9.86,0.11,0.36,0.06,0.12,0.73
870,-9.96,0.17,0.38,-0.73,-0.67,0.24
880,-9.87,0.15,0.31,-0.98,0.49,0.55
890,-9.93,0.16,0.32,0.67,0.00,0.24
900,-9.89,0.10,0.37,-0.12,0.18,0.24
910,-9.87,0.21,0.41,-0.49,0.00,0.18
920,-9.92,0.22,0.34,0.00,-0.37,1.10
930,-9.92,0.14,0.36,-0.49,0.18,0.37
940,-9.92,0.21,0.40,-1.22,-1.71,0.00
950,-9.95,0.12,0.39,0.37,0.73,0.06
960,-9.95,0.16,0.39,0.12,0.98,-0.31
970,-9.98,0.24,0.36,-0.73,-0.18,-0.24
980,-9.87,0.22,0.27,-0.92,-1.46,-0.06
990,-9.91,0.14,0.33,-0.49,0.12,0.12
1000,-9.87,0.18,0.28,-0.49,-0.73,-0.49
1010,-9.93,0.16,0.43,0.12,-0.85,-0.12
1020,-9.97,0.14,0.40,-0.67,-0.31,-0.31
1030,-9.91,0.09,0.36,-0.49,0.37,-0.31
1040,-9.98,0.24,0.29,-0.31,-0.18,0.12
1050,-10.00,0.14,0.40,-0.55,-0.43,0.18
1060,-9.87,0.07,0.33,0.06,0.43,-0.06
1070,-9.90,0.24,0.28,-1.46,-0.61,-0.31
1080,-9.93,0.21,0.28,0.61,0.79,0.31
1090,-9.94,0.23,0.24,-0.49,-0.49,-0.06
1100,-9.98,0.19,0.35,0.18,-0.85,0.00
1110,-9.86,0.18,0.39,0.55,-0.18,-0.37
1120,-9.85,0.17,0.45,-0.85,-0.61,-0.55
1130,-9.90,0.23,0.31,-0.18,0.92,0.12
1140,-9.90,0.18,0.26,-0.43,-0.55,-0.31
1150,-9.97,0.29,0.23,-0.55,-0.61,0.79
1160,-9.91,0.22,0.43,-0.98,-0.98,0.06
1170,-9.99,0.19,0.40,-1.22,-1.10,-0.73
1180,-9.88,0.11,0.33,-0.79,-0.85,-0.06
1190,-9.92,0.18,0.36,0.06,0.79,-0.06
1200,-9.98,0.05,0.38,0.73,1.71,-0.37
1210,-9.92,0.11,0.36,-0.12,0.67,0.43
1220,-9.97,0.15,0.45,0.00,0.18,-0.12
1230,-9.91,0.15,0.36,-0.98,-0.24,0.24
1240,-9.95,0.22,0.38,-0.06,0.98,0.06
1250,-10.01,0.28,0.30,-0.85,-0.06,0.00
1260,-9.89,0.24,0.39,0.24,-1.40,0.18
1270,-9.94,0.13,0.54,-0.79,-0.79,-0.18
1280,-9.88,0.07,0.49,-0.61,-0.37,0.12
1290,-9.89,0.05,0.37,-0.67,0.98,-0.06
1300,-9.88,0.11,0.17,-0.85,-0.12,0.12
1310,-9.92,0.12,0.11,-0.12,0.12,-0.18
1320,-9.93,0.15,0.34,-0.43,-2.01,0.12
1330,-9.89,0.21,0.48,-0.43,-0.61,0.43
1340,-9.91,0.19,0.46,-1.40,-0.73,0.37
1350,-9.88,0.15,0.27,-0.55,1.04,0.00
1360,-9.83,0.15,0.36,-0.31,-0.79,-0.24
1370,-9.88,0.19,0.44,-0.49,-0.67,0.00
1380,-9.94,0.25,0.49,-0.85,-1.40,-0.12
1390,-9.82,0.16,0.46,-0.43,-0.24,0.00
