timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.89,0.14,0.41,-0.98,-0.55,-0.49
10,-9.89,0.14,0.34,0.31,-0.43,-0.92
20,-9.93,0.17,0.35,-0.55,-0.98,-0.31
30,-9.94,0.14,0.31,-0.73,0.12,-0.12
40,-9.88,0.21,0.26,0.06,0.18,-0.31
50,-9.92,0.15,0.28,-0.31,0.24,0.49
60,-9.89,0.15,0.35,-0.37,-0.12,1.10
70,-9.95,0.12,0.38,-0.79,-0.18,0.00
80,-9.80,0.24,0.37,0.55,-0.55,0.31
90,-9.94,0.12,0.40,-0.49,-0.37,-0.43
100,-9.99,0.21,0.40,-0.98,0.24,-0.06
110,-9.89,0.23,0.33,-0.49,-0.18,0.18
120,-9.89,0.24,0.23,0.24,-0.18,-0.73
130,-10.00,0.16,0.36,-0.55,-0.85,0.49
140,-9.94,0.14,0.38,0.37,-0.06,-0.73
150,-9.86,0.20,0.37,-0.73,-0.67,-0.18
160,-9.97,0.14,0.44,0.24,-0.55,0.06
170,-9.93,0.16,0.40,-0.37,0.06,0.24
180,-9.85,0.09,0.37,-0.98,-0.98,0.49
190,-9.94,0.15,0.33,-0.73,0.37,0.37
200,-9.93,0.08,0.30,-0.43,-0.73,-0.49
210,-9.85,0.26,0.29,0.24,-0.18,0.31
220,-9.95,0.14,0.33,-0.06,-0.67,0.12
230,-9.95,0.18,0.41,-0.85,-0.92,-0.06
240,-9.91,0.18,0.35,-0.92,-0.98,-0.37
250,-9.89,0.22,0.41,-1.28,-0.43,0.73
260,-9.90,0.19,0.36,-0.61,-0.49,-0.12
270,-9.96,0.15,0.27,0.37,1.22,-0.12
280,-9.89,0.19,0.30,-0.43,0.18,0.49
290,-9.90,0.20,0.38,-0.85,0.00,-0.61
300,-9.88,0.20,0.30,-0.37,-0.67,0.49
310,-9.97,0.17,0.33,0.06,0.06,0.85
320,-9.89,0.21,0.31,1.22,0.37,-0.18
330,-9.81,0.23,0.38,0.12,1.28,-0.49
340,-9.93,0.16,0.33,-0.85,-0.98,0.06
350,-10.00,0.12,0.27,-0.43,0.61,0.00
360,-9.86,0.16,0.33,-0.55,-0.92,-0.43
370,-9.89,0.20,0.40,-0.92,0.43,0.00
380,-9.90,0.24,0.27,-0.49,0.49,-0.12
390,-9.95,0.14,0.29,-0.92,-0.18,-0.06
400,-9.85,0.17,0.41,-0.12,-0.12,0.06
410,-9.87,0.13,0.41,-0.85,-0.61,0.06
420,-9.88,0.12,0.28,-0.31,-0.31,-0.18
430,-9.87,0.13,0.32,-0.73,-0.18,-0.18
440,-9.91,0.15,0.28,-0.06,-0.31,-1.22
450,-9.88,0.14,0.30,0.31,-0.06,0.98
460,-9.98,0.17,0.38,-0.79,-0.37,-0.12
470,-9.90,0.13,0.36,0.61,0.49,-0.55
480,-9.91,0.11,0.35,-0.24,-0.55,0.37
490,-9.95,0.12,0.41,-0.61,-0.61,-0.79
500,-9.91,0.17,0.31,-0.73,-0.55,0.92
510,-9.88,0.13,0.32,-0.61,-0.61,-0.06
520,-9.84,0.17,0.35,-0.55,0.49,-0.49
530,-9.94,0.22,0.37,-0.85,-0.55,0.49
540,-9.92,0.20,0.34,-0.43,0.18,0.67
550,-9.84,0.17,0.29,-1.71,-1.34,-0.24
560,-9.86,0.25,0.30,-1.71,-1.46,-0.85
570,-9.91,0.14,0.28,0.24,0.61,0.12
580,-9.86,0.17,0.36,0.49,0.00,-0.12
590,-9.93,0.11,0.40,-0.73,-0.61,0.73
600,-10.00,0.23,0.31,-0.49,-0.24,-0.43
610,-9.83,0.23,0.41,-1.59,-1.89,-0.49
620,-9.86,0.13,0.37,-0.18,0.06,-0.18
630,-9.93,0.15,0.33,-0.37,-0.85,-0.55
640,-9.94,0.10,0.37,-0.43,-0.73,0.00
650,-9.95,0.08,0.31,-0.73,-0.85,0.73
660,-9.99,0.16,0.25,-0.79,-0.67,-0.31
670,-9.94,0.10,0.31,0.06,-0.12,0.31
680,-9.90,0.17,0.36,-0.37,-0.06,0.18
690,-9.93,0.23,0.35,0.18,0.85,0.67
700,-9.87,0.28,0.29,-0.67,-0.06,0.31
710,-9.90,0.16,0.28,0.12,0.06,0.85
