timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.98,0.13,0.32,-1.16,-0.61,-0.06
10,-9.85,0.20,0.40,-0.31,0.12,-0.12
20,-9.95,0.16,0.35,-0.12,-0.06,0.79
30,-9.84,0.18,0.27,-0.49,-0.49,0.12
40,-9.90,0.20,0.30,-1.04,-0.61,0.12
50,-9.87,0.19,0.36,-0.67,-0.18,0.24
60,-9.91,0.16,0.34,-0.85,-0.24,0.31
70,-9.89,0.20,0.36,-0.79,-0.37,-0.43
80,-9.90,0.24,0.36,0.24,0.12,-1.22
90,-9.93,0.13,0.41,-1.10,0.55,0.98
100,-9.96,0.13,0.33,-0.49,-0.55,0.55
110,-10.01,0.19,0.39,0.31,0.37,0.79
120,-9.90,0.18,0.37,0.43,-0.06,0.00
130,-9.96,0.22,0.36,-0.92,0.00,0.00
140,-9.89,0.21,0.35,-1.95,-0.73,0.31
150,-9.94,0.09,0.32,-0.24,0.43,-0.24
160,-9.74,0.20,0.28,-0.49,-0.06,0.55
170,-10.45,-0.02,0.41,0.06,-0.55,-1.40
180,-10.12,-0.10,0.47,0.12,-1.16,0.18
190,-9.77,0.37,0.51,-0.55,0.24,0.00
200,-9.95,0.57,0.28,0.55,1.40,-0.06
210,-10.00,0.09,0.05,0.00,1.83,-1.59
220,-9.94,0.14,0.32,-0.49,-1.40,-0.37
230,-9.92,0.11,0.63,-0.06,-2.14,-0.12
240,-9.95,0.19,0.52,-0.79,0.67,0.12
250,-9.94,0.08,0.35,-0.49,1.46,-0.24
260,-9.97,0.19,0.31,0.73,-0.24,0.12
270,-10.00,0.35,0.41,-0.79,-0.92,0.49
280,-9.96,0.16,0.37,-1.10,-0.67,0.12
290,-9.94,0.17,0.40,0.43,0.06,0.61
300,-9.88,0.19,0.41,-0.73,-0.67,-0.24
310,-10.03,0.17,0.43,-0.55,-0.18,-0.43
320,-9.76,0.15,0.27,-0.24,1.40,-0.61
330,-9.88,0.08,0.33,-1.22,-1.65,-0.12
340,-9.95,0.08,0.50,-1.10,-1.46,0.18
350,-9.85,0.05,0.49,-0.18,0.37,-0.31
360,-9.95,0.19,0.35,0.37,0.98,-0.18
370,-9.93,0.23,0.28,-0.55,-0.24,0.31
380,-9.90,0.25,0.22,1.22,1.10,-0.67
390,-9.97,0.20,0.28,-0.31,-1.22,0.00
400,-9.95,0.17,0.45,-0.31,-1.28,-0.12
410,-9.94,0.15,0.50,-0.55,0.55,-0.67
420,-9.87,0.14,0.53,-0.79,0.98,0.79
430,-9.86,0.09,0.27,-0.55,0.92,0.61
440,-9.91,0.16,0.35,0.37,0.37,0.61
450,-9.84,0.18,0.34,-0.37,-0.18,0.12
460,-9.94,0.14,0.35,-0.55,0.43,0.79
470,-9.89,0.14,0.32,-1.22,-0.06,-0.24
480,-9.95,0.16,0.27,1.04,0.79,0.49
490,-9.93,0.15,0.38,-0.24,-1.53,0.18
500,-9.91,0.14,0.36,-0.18,-0.61,0.55
510,-9.89,0.11,0.51,-0.73,-0.31,-0.24
520,-9.93,0.10,0.50,-0.43,-0.24,-0.12
530,-10.03,0.15,0.28,0.31,1.89,0.73
540,-9.93,0.19,0.30,-0.24,1.10,-0.37
550,-9.91,0.27,0.28,-0.55,-0.85,-0.12
560,-9.92,0.17,0.33,-0.92,-0.55,0.37
570,-9.92,0.07,0.37,-0.31,-1.04,0.43
580,-9.86,0.18,0.38,0.06,0.00,0.06
590,-9.88,0.14,0.31,-0.43,0.00,0.24
600,-9.78,0.16,0.34,-0.49,-0.61,0.31
610,-9.88,0.15,0.32,-0.31,-0.49,0.73
620,-9.80,0.24,0.40,-0.67,0.31,0.92
630,-9.97,0.17,0.38,-0.85,-1.16,-0.06
640,-9.97,0.20,0.34,-1.16,0.24,-0.24
650,-9.99,0.15,0.29,-0.79,0.12,-0.12
660,-9.90,0.16,0.40,-0.37,-0.85,0.37
670,-9.85,0.17,0.39,-0.49,-0.73,-0.98
680,-9.89,0.14,0.39,-0.55,0.67,-0.24
690,-9.93,0.06,0.40,-0.37,-0.18,0.79
700,-9.94,0.26,0.28,-0.55,0.98,0.92
710,-9.93,0.20,0.24,-0.43,-0.06,0.18
720,-9.86,0.13,0.31,0.43,0.00,-0.06
730,-9.97,0.18,0.42,1.22,0.61,-0.12
740,-9.90,0.18,0.44,-0.79,-0.61,-0.55
750,-9.93,0.11,0.36,-0.92,-0.61,0.06
760,-9.92,0.08,0.41,-0.37,-0.24,0.12
770,-9.93,0.17,0.35,-0.31,-0.55,-0.24
780,-9.96,0.13,0.36,-0.55,-0.61,0.55
790,-9.89,0.19,0.42,-0.12,-0.67,0.06
800,-9.84,0.17,0.30,-0.67,-0.12,-0.37
810,-9.91,0.16,0.27,-0.61,-0.37,0.00
820,-9.94,0.13,0.31,-0.79,-0.67,0.61
830,-9.97,0.15,0.33,0.24,-0.31,0.73
840,-9.88,0.25,0.42,-0.24,-0.55,0.24
850,-9.91,0.23,0.44,-1.04,-0.79,0.49
860,-9.89,0.21,0.42,-0.92,-0.43,1.04
870,-9.92,0.17,0.45,-0.85,-1.53,-0.31
880,-9.99,0.11,0.34,-0.55,-0.73,-0.12
890,-9.92,0.10,0.35,-0.49,-0.24,-0.18
900,-9.86,0.05,0.35,-0.12,0.06,0.18
910,-9.93,0.05,0.38,-0.73,0.00,0.12
920,-9.96,0.05,0.29,-0.06,0.85,0.61
930,-9.95,0.20,0.28,-0.85,0.00,0.00
940,-9.96,0.15,0.37,-0.67,0.06,-0.06
950,-9.87,0.23,0.44,-0.61,-0.24,0.49
960,-9.97,0.27,0.32,-0.43,0.12,0.67
970,-9.89,0.23,0.39,-0.18,0.12,0.12
980,-9.89,0.25,0.37,-1.04,0.31,0.06
990,-9.42,0.49,0.49,-0.98,-1.53,-0.67
1000,-12.66,-0.10,0.46,-1.10,-1.46,-0.85
1010,-12.27,-0.57,0.45,-0.49,1.95,-0.31
1020,-8.79,0.02,-0.22,-0.12,4.64,-2.62
1030,-10.14,1.04,-0.28,-0.43,-4.64,1.71
1040,-9.77,-1.41,0.73,-0.43,-7.32,-1.53
1050,-10.11,-0.28,0.96,-0.55,-4.58,1.10
1060,-9.44,-0.01,1.02,-1.10,2.08,0.37
1070,-10.37,1.05,-0.93,0.24,15.38,0.79
1080,-10.14,0.27,-2.07,0.98,3.36,-0.79
1090,-9.88,0.46,0.79,-0.98,-18.68,-0.49
1100,-9.98,0.53,1.17,-0.92,-17.46,-0.24
1110,-9.76,0.24,1.76,0.06,-10.99,0.37
1120,-9.61,0.21,1.76,-0.06,-0.31,0.00
1130,-9.81,0.20,1.11,-0.12,16.85,-0.55
1140,-9.87,-0.11,0.73,-0.98,23.13,-0.12
1150,-10.44,0.04,-2.85,-2.93,7.69,-0.73
1160,-9.68,-0.53,-0.01,-8.67,-18.43,0.49
1170,-9.78,-0.15,0.97,-0.61,-7.20,-0.61
1180,-9.72,0.13,0.88,-0.24,1.77,0.37
1190,-9.99,0.27,-0.20,0.00,10.86,0.98
1200,-10.09,0.06,-0.88,-1.53,1.71,-0.24
1210,-9.91,0.25,0.69,-0.31,-10.38,-0.31
1220,-9.90,0.25,0.88,0.06,-8.24,-0.24
1230,-9.82,0.44,1.05,-0.49,-1.71,0.61
1240,-9.84,0.33,1.02,-0.31,2.87,0.67
1250,-9.84,0.34,0.62,-0.67,11.78,0.12
1260,-10.19,0.15,-1.05,0.31,12.94,-0.06
1270,-9.90,-0.03,0.02,-0.43,-9.34,0.49
1280,-9.90,-0.03,0.84,-0.12,-10.74,-0.12
1290,-9.78,-0.02,0.93,0.24,-1.71,0.31
1300,-9.93,0.11,0.93,-0.06,4.09,0.92
1310,-9.98,0.12,-0.12,1.04,11.54,-0.55
1320,-10.16,0.08,-1.02,-0.43,3.11,-0.92
1330,-9.91,0.26,0.22,0.37,-7.45,0.85
1340,-9.79,0.24,0.84,0.31,-4.88,-0.49
1350,-9.94,0.27,0.93,0.98,0.00,0.43
