timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.09,9.72,0.55,-0.24,0.67,1.34
10,-0.18,9.83,0.49,-0.85,-0.49,0.31
20,-0.09,9.78,0.52,0.06,0.00,-0.55
30,-0.22,9.73,0.46,0.37,-0.18,-0.06
40,-0.06,9.74,0.57,0.00,-0.24,0.55
50,-0.13,9.76,0.50,-0.43,-0.24,1.10
60,-0.14,9.73,0.50,0.49,1.28,0.31
70,-0.14,9.72,0.50,-0.67,-0.55,0.18
80,-0.13,9.76,0.49,0.67,1.16,0.18
90,-0.17,9.81,0.47,0.06,0.24,-0.37
100,-0.16,9.77,0.49,0.00,-0.43,-0.37
110,-0.13,9.82,0.46,-0.18,0.49,-0.31
120,-0.11,9.76,0.52,-1.28,-0.55,-0.37
130,-0.12,9.77,0.44,-1.16,-0.37,-0.37
140,-0.20,9.79,0.55,0.24,-0.12,0.98
150,-0.13,9.85,0.50,-1.22,-1.16,-0.06
160,-0.22,9.65,0.49,-0.92,-0.43,-0.49
170,-0.18,9.80,0.54,-0.06,0.24,-0.12
180,-0.19,9.80,0.50,0.00,-0.73,0.00
190,-0.14,9.83,0.49,-0.37,-0.49,0.43
200,-0.12,9.84,0.41,-0.31,-0.67,-0.37
210,-0.05,9.76,0.53,-1.10,-0.31,0.06
220,-0.19,9.75,0.55,-0.49,-0.31,0.12
230,-0.20,9.74,0.53,0.00,-0.79,0.18
240,-0.14,9.75,0.44,-1.34,-0.37,-0.06
250,-0.10,9.80,0.45,0.18,0.92,0.73
260,-0.07,9.78,0.44,-0.79,-0.31,-0.55
270,-0.15,9.80,0.44,0.18,-0.24,-0.12
280,-0.14,9.81,0.46,0.06,0.37,0.18
290,-0.16,9.83,0.52,-0.73,-0.12,-0.43
300,-0.15,9.75,0.52,0.79,0.12,0.12
310,-0.09,9.74,0.45,-0.55,0.12,0.43
320,-0.14,9.73,0.60,0.18,-0.55,0.49
330,-0.15,9.78,0.53,-0.12,0.55,0.06
340,-0.05,9.80,0.59,0.67,0.73,-0.18
350,-0.14,9.74,0.41,-0.18,0.06,0.12
360,-0.20,9.83,0.47,-0.43,0.49,-0.12
370,-0.14,9.70,0.52,0.43,0.06,0.55
380,-0.12,9.75,0.44,0.06,0.55,0.06
390,-0.15,9.79,0.47,0.43,0.73,-0.43
400,-0.13,9.78,0.56,-0.43,0.12,0.24
410,-0.18,9.82,0.42,-0.43,-0.31,0.06
420,-0.07,9.85,0.46,0.18,1.10,0.31
430,-0.15,9.77,0.57,-0.85,-1.46,0.67
440,-0.15,9.77,0.46,-0.67,-0.73,0.24
450,-0.12,9.79,0.49,-0.18,-0.49,-0.37
460,-0.16,9.80,0.48,0.24,-0.43,0.49
470,-0.15,9.84,0.47,-0.49,-0.37,-0.92
480,-0.19,9.80,0.52,-0.12,0.24,-0.55
490,-0.13,9.83,0.47,0.06,0.18,-0.18
500,-0.11,9.78,0.52,-0.55,0.06,-0.24
510,-0.22,9.80,0.49,0.31,0.31,0.24
520,-0.16,9.79,0.59,-0.61,-0.12,0.67
530,-0.19,9.78,0.42,0.18,0.31,0.06
540,-0.15,9.73,0.56,1.04,0.73,-0.37
550,-0.22,9.80,0.48,0.61,1.16,0.18
560,-0.18,9.73,0.51,-0.55,-0.31,-0.24
570,-0.16,9.80,0.47,-0.55,-0.67,0.00
580,-0.11,9.79,0.41,-0.61,-0.85,0.06
590,-0.16,9.87,0.55,0.12,0.37,0.31
600,-0.16,9.79,0.41,0.00,-0.43,0.67
610,-0.11,9.76,0.47,0.61,-0.06,0.79
620,-0.13,9.84,0.48,-0.79,-0.92,0.49
630,-0.12,9.72,0.54,-1.04,0.00,0.37
640,-0.20,9.76,0.54,0.18,-0.37,-0.12
650,-0.17,9.82,0.52,0.49,0.67,0.31
660,-0.22,9.74,0.48,-0.31,-0.37,0.18
670,-0.15,9.84,0.47,-0.31,-0.06,0.12
680,-0.11,9.80,0.58,-0.49,-0.73,0.49
690,-0.14,9.79,0.46,0.12,-0.24,0.79
700,-0.17,9.74,0.46,-0.73,-0.61,0.24
710,-0.16,9.75,0.60,0.24,0.98,0.55
720,-0.18,9.82,0.57,-0.12,0.37,0.00
730,-0.17,9.71,0.54,0.12,0.49,-0.61
740,-0.11,9.76,0.45,0.43,0.85,0.06
750,-0.09,9.70,0.36,-0.85,-0.24,0.31
760,-0.09,9.78,0.46,-0.18,0.00,-0.18
770,-0.12,9.79,0.53,0.06,0.12,0.49
780,-0.09,9.78,0.54,-0.79,0.12,-0.24
790,-0.22,9.77,0.58,0.61,1.10,0.98
800,-0.19,9.70,0.51,-1.10,-0.61,1.10
810,-0.22,9.81,0.50,-0.31,-0.67,0.18
820,-0.17,9.73,0.56,-0.55,0.18,-0.18
830,-0.19,9.85,0.51,0.18,0.79,-0.18
840,-0.12,9.74,0.43,-0.85,-0.31,0.79
850,-0.08,9.80,0.43,-0.37,-0.37,-0.31
860,-0.12,9.71,0.51,0.06,0.18,-0.37
870,-0.07,9.87,0.48,-0.06,-0.12,0.85
880,-0.15,9.77,0.50,-0.67,-0.49,0.49
890,-0.17,9.76,0.53,-1.40,-0.61,0.79
900,-0.17,9.83,0.52,-0.49,-0.24,-0.12
910,-0.21,9.78,0.56,-0.85,-0.31,-0.37
920,-0.17,9.75,0.46,-0.06,0.00,0.49
930,-0.12,9.81,0.47,0.18,0.06,-0.18
940,-0.12,9.70,0.45,-0.61,0.06,-0.06
950,-0.05,9.70,0.55,-0.85,0.18,0.31
960,-0.13,9.82,0.56,-0.37,-0.06,-0.06
970,-0.15,9.78,0.58,0.00,0.18,0.31
980,-0.19,9.82,0.53,-0.67,-0.85,0.06
990,-0.10,9.81,0.56,-0.92,-0.24,-0.31
1000,-0.21,9.78,0.47,-0.18,0.79,0.18
1010,-0.20,9.84,0.44,-1.40,0.06,0.92
1020,-0.10,9.79,0.53,0.18,-0.43,0.00
1030,-0.15,9.73,0.40,-0.49,-0.12,0.06
1040,-0.22,9.84,0.50,-0.12,0.49,-0.12
1050,-0.11,9.81,0.51,0.24,0.43,0.61
1060,-0.20,9.77,0.53,-0.12,-0.55,-0.06
1070,-0.12,9.76,0.59,0.12,0.18,0.49
1080,-0.13,9.78,0.59,-0.37,0.18,-0.49
1090,-0.17,9.82,0.43,0.37,0.00,-0.12
1100,-0.09,9.83,0.40,0.06,-0.37,1.16
1110,-0.16,9.82,0.43,0.24,-0.06,0.61
1120,-0.16,9.83,0.45,-0.37,-0.92,0.55
