timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.16,9.85,0.42,-0.73,-0.85,0.18
10,-0.23,9.75,0.50,-0.24,0.18,0.00
20,-0.13,9.81,0.52,0.37,0.73,-0.37
30,-0.18,9.81,0.40,-0.43,-0.85,-0.49
40,-0.17,9.82,0.49,-1.71,-0.31,0.37
50,-0.18,9.81,0.57,-2.14,-0.92,0.31
60,-0.21,9.72,0.50,-0.67,-0.79,0.12
70,-0.16,9.75,0.47,-0.55,-1.16,0.31
80,-0.17,9.73,0.50,-1.04,-0.79,0.98
90,-0.17,9.72,0.53,0.12,0.00,0.24
100,-0.15,9.74,0.47,0.00,-0.06,1.22
110,-0.11,9.80,0.54,-0.92,-0.24,-0.37
120,-0.15,9.76,0.36,0.43,0.61,-0.12
130,-0.14,9.76,0.51,-0.37,0.06,-0.43
140,-0.20,9.74,0.47,-1.53,-0.67,0.98
150,-0.18,9.82,0.40,-1.04,0.12,0.24
160,-0.14,9.79,0.47,-1.04,0.31,-0.06
170,-0.19,9.88,0.39,0.06,0.06,1.04
180,-0.16,9.80,0.52,-0.55,0.37,-0.43
190,-0.12,9.79,0.43,-1.04,-1.16,0.49
200,-0.21,9.81,0.41,-0.43,-0.18,0.06
210,-0.21,9.78,0.49,0.06,0.61,-0.73
220,-0.19,9.75,0.43,-0.49,-0.18,-0.24
230,-0.18,9.79,0.41,0.06,-0.79,0.98
240,-0.14,9.76,0.54,0.37,-0.06,0.49
250,-0.11,9.80,0.39,-1.04,-0.85,-0.31
260,-0.15,9.72,0.54,-1.53,-0.24,0.31
270,-0.19,9.79,0.47,-0.55,-0.31,-0.24
280,-0.22,9.84,0.41,-0.73,-0.31,-0.61
290,-0.22,9.78,0.49,-0.37,-0.24,0.37
300,-0.17,9.83,0.59,-0.12,0.49,-0.31
310,-0.14,9.78,0.47,-0.79,-0.49,-0.24
320,-0.21,9.86,0.57,-0.12,-0.73,0.12
330,-0.18,9.86,0.53,-0.18,0.00,0.06
340,-0.19,9.80,0.45,0.43,-0.31,-0.12
350,-0.15,9.84,0.50,-0.85,0.24,0.49
360,-0.14,9.79,0.52,-0.55,-0.49,0.12
