timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.21,9.79,0.46,0.43,0.24,-0.06
10,-0.14,9.82,0.50,0.12,0.31,-0.24
20,-0.15,9.83,0.49,0.00,0.24,0.67
30,-0.22,9.80,0.48,0.49,0.43,-0.12
40,-0.16,9.71,0.46,-0.06,0.12,0.43
50,-0.18,9.76,0.53,-0.98,-1.59,0.12
60,-0.16,9.68,0.51,0.37,0.73,0.00
70,-0.14,9.79,0.48,-0.49,-0.79,-0.37
80,-0.13,9.77,0.49,-0.67,-0.85,-0.79
90,-0.14,9.85,0.57,1.04,0.55,0.12
100,-0.21,9.78,0.51,0.18,0.73,0.67
110,-0.07,9.89,0.53,-0.06,0.92,0.67
120,-0.16,9.70,0.53,-0.31,-0.12,0.31
130,-0.19,9.81,0.43,-0.12,0.85,0.61
140,-0.13,9.78,0.52,-0.18,0.43,1.04
150,-0.15,9.86,0.49,0.43,1.16,0.12
160,-0.15,9.72,0.54,-0.24,0.37,0.85
170,-0.17,9.76,0.51,0.12,0.79,0.61
180,-0.22,9.70,0.53,0.43,0.67,0.12
190,-0.09,9.77,0.55,-0.24,0.73,-0.55
200,-0.14,9.76,0.46,-0.79,0.24,-0.37
210,-0.27,9.73,0.52,-0.43,0.00,0.31
220,-0.13,9.87,0.39,0.61,1.46,0.31
230,-0.17,9.73,0.45,0.49,0.31,0.31
240,-0.11,9.77,0.55,-0.18,-0.37,0.24
250,-0.17,9.83,0.55,-0.37,-0.24,-0.37
260,-0.14,9.74,0.50,0.06,0.49,0.18
270,-0.13,9.81,0.53,-0.37,0.06,-0.67
280,-0.09,9.72,0.45,0.31,0.43,0.00
290,-0.12,9.77,0.50,-1.10,-0.37,-0.49
300,-0.13,9.76,0.52,-0.24,0.37,-0.43
310,-0.14,9.75,0.56,0.06,0.61,-0.49
320,-0.16,9.82,0.52,-0.73,-0.12,0.12
330,-0.07,9.80,0.48,0.06,-0.18,0.79
340,-0.10,9.77,0.57,-0.49,-0.24,-0.31
350,-0.11,9.77,0.57,-1.40,0.12,0.18
360,-0.19,9.78,0.51,0.37,0.55,0.18
370,-0.12,9.75,0.44,0.43,-0.18,0.67
380,-0.16,9.64,0.47,0.06,0.31,0.24
390,-0.13,9.82,0.50,0.06,-0.49,-0.43
400,-0.20,9.77,0.55,-0.37,0.24,-0.06
410,-0.11,9.78,0.52,-0.79,-0.98,0.18
420,-0.24,9.69,0.47,0.92,1.04,-0.73
430,-0.18,9.76,0.51,0.00,-0.92,-0.55
440,-0.10,9.88,0.52,-0.31,-0.43,-0.31
450,-0.12,9.78,0.45,0.12,-0.49,-0.12
460,-0.23,9.73,0.60,-0.55,0.18,-0.06
470,-0.16,9.78,0.53,0.49,1.16,0.43
480,-0.18,9.76,0.55,-0.12,-0.43,-0.37
490,-0.12,9.80,0.53,-0.06,0.00,0.24
500,-0.12,9.85,0.56,-1.16,-0.24,-0.06
510,-0.17,9.81,0.53,0.37,0.55,0.43
520,-0.16,9.76,0.59,0.61,1.04,0.79
530,-0.14,9.76,0.57,-0.12,0.18,-0.24
540,-0.19,9.81,0.49,-0.12,0.37,-0.12
550,-0.14,9.81,0.50,0.12,0.18,0.06
560,-0.14,9.76,0.55,0.31,0.43,0.61
570,-0.18,9.73,0.45,-0.79,-0.12,0.55
580,-0.11,9.75,0.50,-1.40,-0.98,0.85
590,-0.19,9.84,0.53,-0.79,0.49,-0.49
600,-0.19,9.73,0.51,-1.34,-0.92,0.61
610,-0.15,9.76,0.45,-0.49,-0.12,-0.37
620,-0.20,9.86,0.48,0.67,0.49,0.06
630,-0.16,9.81,0.47,-0.85,0.06,0.12
640,-0.18,9.64,0.52,-0.55,-0.12,0.67
650,-0.15,9.70,0.55,0.43,-0.12,0.00
660,-0.10,9.76,0.56,-0.43,0.55,-0.06
670,-0.17,9.74,0.51,0.55,0.98,-0.37
680,-0.19,9.81,0.51,-0.06,-0.31,0.85
690,-0.19,9.80,0.54,-0.43,-0.24,0.00
700,-0.06,9.85,0.48,-0.55,-0.98,0.24
710,-0.13,9.81,0.51,-0.92,-0.31,0.55
720,-0.18,9.79,0.46,-0.37,-0.85,-0.18
730,-0.13,9.87,0.44,-0.85,-0.85,0.12
740,-0.11,9.80,0.44,-0.18,0.00,-0.24
750,-0.22,9.76,0.47,-0.55,0.31,-0.24
760,-0.08,9.74,0.44,-0.55,-0.37,-0.12
770,-0.14,9.81,0.48,-0.24,0.12,0.49
780,-0.16,9.75,0.52,-1.16,-0.67,-0.67
790,-0.23,9.82,0.45,-0.49,-0.18,-0.79
800,-0.11,9.76,0.44,0.37,0.98,0.85
810,-0.12,9.76,0.47,-0.37,-0.85,0.06
820,-0.16,9.78,0.51,0.12,0.24,0.31
830,-0.17,9.85,0.50,0.67,0.43,0.18
840,-0.19,9.71,0.48,-0.12,-0.31,0.12
850,-0.21,9.83,0.49,-0.37,-0.18,0.37
860,-0.21,9.86,0.44,-0.43,-0.49,0.31
870,-0.25,9.84,0.48,-0.31,0.12,0.18
880,-0.19,9.83,0.46,-0.31,-0.24,0.00
890,-0.20,9.80,0.47,-0.43,-0.06,-0.12
900,-0.17,9.80,0.56,-0.43,0.00,0.61
910,-0.17,9.81,0.53,-0.92,-1.16,-0.61
920,-0.07,9.77,0.44,-0.73,-0.49,0.00
930,-0.21,9.82,0.43,0.18,-0.79,0.18
940,-0.12,9.70,0.55,-0.98,-0.31,-0.18
950,-0.10,9.78,0.52,-0.06,0.43,-0.18
960,-0.17,9.74,0.45,0.43,0.98,-0.37
970,-0.22,9.70,0.52,-0.37,-0.24,-0.49
980,-0.19,9.86,0.42,0.31,0.12,0.24
990,-0.09,9.76,0.45,-0.43,-0.55,-0.24
1000,-0.20,9.84,0.50,0.06,0.49,0.37
1010,-0.16,9.83,0.42,0.06,-0.37,0.00
1020,-0.12,9.76,0.44,-0.37,0.24,0.79
1030,-0.11,9.73,0.54,0.06,-0.06,-0.12
1040,-0.12,9.70,0.47,-1.04,-1.40,-0.24
1050,-0.05,9.84,0.54,0.55,1.22,0.12
1060,-0.16,9.75,0.40,0.55,0.67,-0.37
1070,-0.15,9.80,0.47,0.98,0.67,0.43
1080,-0.16,9.81,0.57,0.18,0.55,-0.37
1090,-0.24,9.77,0.52,0.06,0.55,0.67
1100,-0.10,9.80,0.48,0.24,0.12,-0.37
1110,-0.15,9.72,0.57,-0.18,-0.31,0.98
1120,-0.09,9.79,0.50,-0.12,0.24,0.55
1130,-0.10,9.76,0.51,-0.43,-0.61,-1.10
1140,-0.13,9.80,0.51,0.92,0.79,1.22
1150,-0.17,9.75,0.52,-0.49,-0.18,0.12
1160,-0.08,9.76,0.57,-0.61,-0.06,-0.06
1170,-0.21,9.71,0.49,0.00,-0.06,0.00
1180,-0.22,9.76,0.53,0.00,-1.10,0.18
1190,-0.09,9.79,0.53,-0.61,-0.18,-0.12
1200,-0.12,9.80,0.43,-0.49,-0.18,-0.43
1210,-0.13,9.84,0.47,-0.61,-0.61,0.98
1220,-0.07,9.83,0.58,0.12,-0.31,-0.79
1230,-0.18,9.74,0.52,0.06,0.31,-0.12
1240,-0.16,9.79,0.55,-0.31,-0.55,1.10
1250,-0.15,9.73,0.60,-0.79,-0.43,-0.24
1260,-0.12,9.75,0.48,-0.79,-0.24,0.43
1270,-0.20,9.70,0.51,-0.55,-0.43,0.37
1280,-0.19,9.81,0.50,-0.37,-0.18,-0.43
1290,-0.10,9.83,0.53,0.67,0.31,-0.92
1300,-0.12,9.84,0.45,0.18,0.12,-0.43
1310,-0.16,9.84,0.45,-1.34,-0.43,0.79
1320,-0.08,9.84,0.43,-1.34,-1.16,0.00
1330,-0.09,9.80,0.52,-0.73,-1.71,-0.73
1340,-0.18,9.78,0.54,-0.37,0.12,0.55
1350,-0.12,9.80,0.50,-0.49,-0.31,-0.06
1360,-0.11,9.78,0.58,-0.67,0.06,-0.18
1370,-0.15,9.80,0.51,-0.67,-0.49,0.06
1380,-0.14,9.81,0.52,-0.18,-0.24,0.37
1390,-0.21,9.76,0.45,-0.24,-0.18,-0.24
1400,-0.20,9.82,0.49,-0.18,1.28,0.31
1410,-0.19,9.83,0.43,-0.61,-0.49,0.18
1420,-0.18,9.77,0.47,-1.04,-0.67,0.31
1430,-0.15,9.70,0.53,0.98,0.85,-0.12
1440,-0.11,9.69,0.49,0.00,0.18,0.37
1450,-0.18,9.83,0.50,-0.43,0.06,-0.18
1460,-0.13,9.81,0.50,-0.73,-0.92,0.00
1470,-0.13,9.86,0.46,0.37,0.85,0.06
1480,-0.11,9.86,0.46,-1.04,-0.49,0.43
1490,-0.15,9.82,0.47,-0.55,0.00,0.43
