timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.98,0.14,0.40,-0.49,-0.43,0.85
10,-9.94,0.16,0.21,0.12,-0.12,0.49
20,-9.95,0.20,0.36,-0.55,-1.16,0.49
30,-9.92,0.13,0.37,-0.67,-0.67,0.67
40,-9.91,0.05,0.35,-0.06,0.06,0.73
50,-9.95,0.09,0.43,-0.55,-0.18,0.18
60,-9.99,0.13,0.42,-0.37,0.98,0.24
70,-9.84,0.05,0.40,-0.24,0.49,0.18
80,-9.91,0.18,0.39,0.31,0.43,0.37
90,-9.94,0.16,0.33,-0.79,-0.18,-0.18
100,-9.97,0.15,0.33,-0.06,0.49,0.37
110,-9.98,0.21,0.41,0.37,0.92,-0.61
120,-9.97,0.07,0.30,-0.37,-0.55,-0.31
130,-9.86,0.10,0.34,-0.31,-0.49,0.37
140,-10.04,0.04,0.40,-0.67,-0.67,-0.49
150,-9.94,0.18,0.37,0.24,0.00,-0.18
160,-9.86,0.15,0.36,-0.92,-1.22,0.49
170,-9.92,0.19,0.41,-0.12,-0.43,-0.31
180,-9.96,0.05,0.47,-0.06,-0.67,0.00
190,-9.89,0.20,0.35,0.55,0.98,0.67
200,-9.94,0.14,0.31,-1.34,0.00,0.31
210,-9.94,0.25,0.35,0.43,0.18,0.31
220,-9.95,0.16,0.32,-0.31,-0.55,0.24
230,-9.96,0.13,0.31,0.43,0.67,0.24
240,-9.82,0.12,0.37,0.00,0.73,0.67
250,-9.87,0.19,0.33,-0.98,-0.55,0.49
260,-9.85,0.15,0.37,-0.49,-0.12,0.18
270,-9.97,0.20,0.33,-0.79,-0.43,0.00
280,-9.89,0.12,0.40,0.31,0.61,0.00
290,-9.97,0.14,0.30,-0.18,-0.67,-0.24
300,-10.00,0.17,0.49,-0.06,-0.06,-0.31
310,-9.94,0.18,0.36,0.06,0.67,0.24
320,-9.93,0.16,0.37,-0.55,0.37,-0.06
330,-9.84,0.22,0.35,0.67,0.55,-0.06
340,-9.95,0.08,0.42,-0.18,0.24,-0.06
350,-9.88,0.21,0.28,-0.37,0.00,-0.31
360,-9.89,0.13,0.38,0.49,0.18,-0.67
370,-9.98,0.11,0.34,-0.92,-1.59,-0.67
380,-9.95,0.14,0.39,-0.31,-0.06,-0.18
390,-9.95,0.06,0.41,0.31,0.43,0.73
400,-9.86,0.13,0.35,0.06,0.06,0.92
410,-9.92,0.10,0.25,-0.92,-0.18,-0.49
420,-9.96,0.17,0.35,-0.67,-0.43,0.00
430,-9.91,0.15,0.36,-0.73,-0.55,0.55
440,-9.95,0.27,0.30,0.43,-0.18,-1.16
450,-9.88,0.22,0.31,0.06,-0.67,-0.61
460,-9.22,0.36,0.34,0.18,1.04,-0.79
470,-11.05,0.12,0.17,-0.79,0.73,0.43
480,-9.82,-0.25,0.23,-0.61,-1.04,0.55
490,-9.25,-0.54,0.57,-0.31,-0.61,-2.50
500,-9.64,0.92,0.28,0.73,2.01,2.87
510,-9.89,-0.26,-0.09,0.00,1.95,-0.37
520,-9.92,0.21,0.35,-0.31,-2.08,0.73
530,-9.70,0.16,0.68,-1.04,-2.38,-0.37
540,-10.16,0.19,0.76,0.00,1.16,0.92
550,-9.89,0.10,0.02,0.06,3.42,0.18
560,-9.92,0.21,0.03,0.18,0.00,0.92
570,-9.99,0.18,0.51,0.00,-1.59,-0.37
580,-9.93,0.05,0.45,-0.61,1.28,-0.67
590,-9.99,-0.06,0.30,-0.24,0.24,0.31
600,-9.95,0.29,0.45,-0.67,-2.14,-0.06
610,-9.80,0.15,0.45,-0.43,0.73,0.31
620,-9.87,0.11,0.16,-0.18,0.79,-0.24
630,-10.01,0.16,0.32,-0.49,-0.79,0.06
