timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.10,9.78,0.53,-0.67,-0.85,0.67
10,-0.19,9.78,0.46,-0.06,-0.79,-0.06
20,-0.22,9.71,0.53,0.12,0.18,-0.49
30,-0.16,9.75,0.52,-0.55,0.24,1.34
40,-0.20,9.80,0.49,-0.61,0.18,-0.06
50,-0.21,9.75,0.53,-0.92,-0.43,1.04
60,-0.16,9.81,0.50,-0.73,-0.06,0.61
70,-0.12,9.80,0.49,-0.18,-0.06,0.18
80,-0.16,9.76,0.53,-0.37,0.85,-0.06
90,-0.15,9.78,0.47,0.49,-0.31,0.24
100,-0.06,9.74,0.49,-0.43,-0.37,0.61
110,-0.18,9.76,0.58,-0.06,1.04,-0.49
120,-0.17,9.74,0.50,0.24,0.49,-0.61
130,-0.08,9.85,0.47,0.12,-0.49,0.12
140,-0.21,9.73,0.51,-0.55,-0.31,-0.06
150,-0.15,9.87,0.51,0.24,0.43,0.61
160,-0.20,9.76,0.51,0.67,0.49,0.24
170,-0.10,9.85,0.51,1.22,0.92,-0.55
180,-0.18,9.78,0.48,-0.24,-0.31,1.04
190,-0.11,9.70,0.49,-0.18,-0.73,-1.10
200,-0.11,9.72,0.36,0.55,0.24,0.49
210,-0.17,9.73,0.50,-0.12,0.55,0.12
220,-0.13,9.73,0.50,-0.73,0.31,0.31
230,-0.17,9.81,0.55,-1.40,-1.28,0.12
240,-0.13,9.73,0.43,-0.49,-0.18,0.79
250,-0.09,9.77,0.52,-0.92,-0.55,-1.28
260,-0.14,9.82,0.41,-0.67,0.37,-0.24
270,-0.15,9.70,0.58,-0.37,1.16,0.67
280,-0.15,9.79,0.51,0.73,0.79,0.31
290,-0.18,9.75,0.49,-0.92,-0.55,-0.12
300,-0.17,9.79,0.44,-0.12,0.12,-0.31
310,-0.20,9.68,0.41,-0.37,-0.06,-1.04
320,-0.14,9.82,0.51,0.79,0.24,0.55
330,-0.21,9.71,0.51,-0.37,-0.06,0.18
340,-0.17,9.76,0.60,0.67,0.06,0.49
350,-0.24,9.73,0.47,-0.24,-0.31,0.73
360,-0.22,9.77,0.61,-0.06,-0.18,1.40
370,-0.24,9.68,0.45,-0.85,0.06,0.43
380,-0.13,9.82,0.49,0.06,0.98,-0.06
390,-0.06,9.79,0.53,-0.55,0.18,0.12
400,-0.11,9.85,0.52,-0.18,0.67,0.31
410,-0.22,9.67,0.37,-0.55,0.00,0.06
420,-0.17,9.71,0.54,0.00,0.55,0.18
430,-0.17,9.72,0.50,-0.18,0.98,-0.18
440,-0.22,9.83,0.51,0.06,0.67,0.06
450,-0.22,9.74,0.49,0.00,0.31,0.55
460,-0.16,9.81,0.48,0.31,0.55,0.12
470,-0.15,9.75,0.48,-0.43,-0.24,0.00
480,-0.21,9.77,0.62,-0.06,-0.67,0.85
490,-0.00,9.71,0.43,-0.55,-0.37,1.46
500,-0.09,9.81,0.46,0.92,0.24,-0.61
510,-0.14,9.72,0.56,-0.18,-0.73,0.37
520,-0.12,9.83,0.50,0.67,0.55,0.55
530,-0.15,9.75,0.47,0.06,1.53,0.43
540,-0.16,9.84,0.54,0.43,-0.55,-0.06
550,-0.24,9.70,0.58,-0.55,0.00,0.18
560,-0.16,9.89,0.47,0.24,-1.28,0.31
570,-0.24,9.73,0.49,-0.12,0.06,1.28
580,-0.07,9.77,0.50,-0.24,0.00,0.06
