timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.20,9.82,0.53,-0.24,0.85,0.67
10,-0.17,9.72,0.51,-0.12,-0.24,-0.61
20,-0.07,9.74,0.49,-0.49,0.73,0.06
30,-0.20,9.90,0.52,-0.24,-0.98,-0.49
40,-0.14,9.81,0.54,0.24,0.67,0.79
50,-0.11,9.77,0.50,-0.61,-0.73,0.00
60,-0.11,9.83,0.52,0.37,1.53,0.37
70,-0.16,9.80,0.50,0.06,0.79,0.18
80,-0.21,9.76,0.52,-0.67,-0.18,0.12
90,-0.21,9.81,0.54,0.43,0.06,0.12
100,-0.19,9.78,0.59,-0.67,0.49,0.37
110,-0.07,9.74,0.50,0.31,1.46,0.00
120,-0.19,9.79,0.47,-0.24,1.10,0.79
130,-0.16,9.81,0.47,-1.28,-1.22,0.73
140,-0.09,9.70,0.56,-0.67,-1.04,-0.24
150,-0.16,9.74,0.55,-0.43,0.18,-0.49
160,-0.07,9.86,0.46,-0.06,0.61,-0.55
170,-0.06,9.83,0.51,-1.28,-0.92,0.00
180,-0.16,9.74,0.49,0.37,-0.18,-0.67
190,-0.15,9.69,0.45,0.06,-0.06,0.79
200,-0.17,9.78,0.59,0.31,0.43,0.24
210,-0.12,9.87,0.42,0.61,1.22,-0.18
220,-0.12,9.82,0.52,-0.18,-0.06,-0.18
230,-0.19,9.78,0.55,-0.55,-0.24,0.12
240,-0.23,9.83,0.50,-0.12,-0.18,0.00
250,-0.13,9.79,0.47,-0.61,-0.12,0.12
260,-0.21,9.72,0.54,-0.85,-0.31,0.18
270,-0.16,9.79,0.52,0.31,-0.18,1.04
280,-0.12,9.82,0.50,-0.73,0.37,0.55
290,-0.16,9.79,0.50,-0.37,-0.61,0.00
300,-0.09,9.76,0.49,-0.12,-0.55,-0.31
310,-0.18,9.81,0.44,-0.12,0.12,-0.18
320,-0.17,9.83,0.50,-0.06,-0.06,0.98
330,-0.10,9.74,0.53,0.37,0.85,0.31
340,-0.18,9.79,0.51,-0.55,0.18,-0.55
350,-0.20,9.78,0.55,-0.06,-0.12,-0.49
360,-0.22,9.87,0.56,-0.06,1.22,0.31
370,-0.24,9.68,0.46,0.00,0.43,0.24
380,-0.18,9.81,0.50,0.37,1.40,1.10
390,-0.13,9.77,0.48,0.12,0.92,0.24
400,-0.18,9.75,0.60,0.18,0.18,0.37
410,-0.15,9.83,0.55,0.85,1.10,0.31
420,-0.16,9.76,0.55,-0.12,-0.37,-0.18
430,-0.09,9.80,0.45,-0.79,0.18,-0.24
440,-0.07,9.90,0.47,0.00,0.18,0.06
450,-0.16,9.76,0.55,0.00,0.24,0.55
460,-0.18,9.80,0.44,0.00,-0.06,0.18
470,-0.12,9.76,0.55,-0.31,-0.18,0.18
480,-0.15,9.83,0.44,-0.18,0.18,0.24
490,-0.15,9.73,0.51,0.18,-0.61,-0.67
500,-0.17,9.70,0.50,-0.61,-0.43,0.37
510,-0.21,9.77,0.55,-0.18,-0.92,0.12
520,-0.21,9.84,0.60,0.31,0.92,-0.06
530,-0.15,9.77,0.47,-0.98,0.00,-0.49
