timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.11,9.75,0.51,-0.31,-1.10,-0.67
10,-0.14,9.76,0.55,0.49,0.18,0.37
20,-0.16,9.74,0.52,-0.49,-0.61,0.43
30,-0.18,9.79,0.60,1.53,1.71,-0.24
40,-0.24,9.81,0.46,-0.43,0.43,-0.43
50,-0.24,9.82,0.48,-0.18,0.37,-0.67
60,-0.26,9.79,0.48,-1.04,-1.34,-0.18
70,-0.20,9.77,0.48,0.61,0.37,-0.55
80,-0.13,9.76,0.46,-0.24,1.22,0.49
90,-0.07,9.80,0.57,0.06,0.18,0.31
100,-0.17,9.82,0.58,0.06,-0.12,0.00
110,-0.09,9.77,0.47,-0.49,0.43,0.18
120,-0.16,9.75,0.49,0.18,0.55,-0.18
130,-0.19,9.71,0.49,0.43,0.73,0.85
140,-0.27,9.77,0.56,0.31,1.71,0.12
150,-0.24,9.80,0.44,0.55,1.10,0.61
160,-0.22,9.80,0.55,-1.16,-0.49,0.67
170,-0.12,9.73,0.53,-0.55,-0.61,0.18
180,-0.10,9.69,0.54,1.10,0.61,0.00
190,-0.07,9.84,0.52,0.43,0.43,0.18
200,-0.10,9.72,0.51,-0.24,0.92,-0.18
210,-0.17,9.78,0.57,-0.43,0.79,-1.04
220,-0.14,9.81,0.51,0.55,0.85,0.37
230,-0.22,9.79,0.47,-0.12,0.79,0.24
240,-0.18,9.75,0.47,0.61,0.37,0.43
250,-0.25,9.76,0.53,-0.37,0.24,0.49
260,-0.22,9.83,0.56,-0.12,-0.31,0.79
270,-0.22,9.74,0.44,0.18,0.43,-0.06
280,-0.15,9.84,0.51,0.67,0.55,0.73
290,-0.14,9.77,0.49,0.12,0.67,0.49
300,-0.02,9.82,0.53,0.24,-0.12,0.43
310,-0.14,9.78,0.55,0.37,-0.06,-0.43
320,-0.12,9.80,0.46,-0.98,-0.06,0.24
330,-0.17,9.79,0.59,0.00,0.61,-0.12
340,-0.19,9.83,0.54,0.24,0.61,0.43
350,-0.19,9.74,0.44,-0.98,-0.43,-0.43
360,-0.14,9.80,0.50,0.43,0.12,0.24
370,-0.17,9.79,0.41,-1.04,-2.01,0.67
380,-0.14,9.78,0.40,0.31,-0.49,-0.61
390,-0.15,9.83,0.43,-0.06,-0.67,0.79
400,-0.13,9.74,0.46,-0.55,-0.37,0.37
410,-0.18,9.76,0.51,0.00,-0.24,0.55
420,-0.09,9.80,0.56,-0.79,-0.31,0.31
430,-0.19,9.74,0.61,0.43,0.12,-0.85
440,-0.18,9.72,0.52,0.37,-0.12,-0.06
450,-0.26,9.79,0.45,-0.43,-0.06,-0.24
460,-0.16,9.72,0.43,-1.10,-0.31,0.06
470,-0.12,9.85,0.47,-1.04,-1.16,-0.12
480,-0.10,9.81,0.54,-0.43,-0.85,0.12
490,-0.15,9.74,0.48,-0.06,-0.31,-0.37
500,-0.14,9.74,0.55,-0.24,0.06,0.12
510,-0.12,9.75,0.54,0.00,0.06,0.31
520,-0.13,9.75,0.54,-0.43,-0.06,-0.06
530,-0.13,9.71,0.41,0.43,0.85,0.61
540,-0.15,9.75,0.46,-0.06,0.12,0.85
550,-0.14,9.80,0.56,-0.18,-0.18,0.55
560,-0.22,9.80,0.56,-0.61,-0.55,-0.37
570,-0.23,9.76,0.57,-0.12,0.67,0.61
580,-0.13,9.88,0.52,0.12,0.31,-0.24
590,-0.15,9.78,0.53,-0.43,0.49,0.00
600,-0.10,9.80,0.48,0.24,0.37,0.31
610,0.01,9.83,0.50,-0.18,0.37,0.00
620,-0.14,9.74,0.46,-0.43,0.49,-0.31
630,-0.11,9.81,0.50,-0.92,0.37,-0.18
640,-0.07,9.76,0.53,-0.37,0.73,-0.12
650,-0.20,9.79,0.57,-0.61,-0.31,0.31
660,-0.19,9.81,0.63,-0.24,0.31,-0.24
670,-0.10,9.86,0.46,0.67,0.00,-0.43
680,-0.21,9.74,0.46,-0.37,-0.67,-0.06
690,-0.14,9.77,0.38,-0.67,-0.31,0.06
700,-0.06,9.75,0.41,-0.37,-0.18,-0.18
710,-0.11,9.82,0.50,0.12,0.37,0.92
720,-0.11,9.75,0.51,0.24,0.85,0.37
730,-0.20,9.77,0.61,-0.31,-0.55,0.31
740,-0.02,9.75,0.49,0.37,-0.12,-0.18
750,-0.10,9.80,0.55,0.24,-0.18,-0.61
760,-0.05,9.85,0.46,-0.37,0.12,-0.12
770,-0.16,9.84,0.44,0.43,0.43,0.18
780,-0.22,9.75,0.49,-0.31,-0.61,0.31
790,-0.22,9.81,0.52,-0.43,0.18,0.12
800,-0.27,9.70,0.49,0.18,0.12,0.18
810,-0.24,9.71,0.44,-0.24,-0.24,0.12
820,-0.18,9.76,0.46,-0.18,-0.18,0.12
830,-0.11,9.73,0.52,-0.31,0.12,-0.37
840,-0.17,9.83,0.50,0.43,0.92,0.06
850,-0.11,9.75,0.49,0.12,0.24,0.55
860,-0.04,9.74,0.46,-0.67,-0.61,0.00
870,-0.07,9.81,0.57,-1.10,0.06,-0.12
880,-0.11,9.76,0.64,-1.34,-0.49,0.31
890,-0.09,9.72,0.56,0.06,-0.61,-0.24
900,-0.09,9.77,0.54,0.92,0.43,0.37
910,-0.24,9.82,0.53,-0.18,0.24,0.06
920,-0.23,9.74,0.52,0.24,0.24,-0.18
930,-0.09,9.81,0.47,0.24,1.10,1.16
940,-0.14,9.80,0.45,-0.49,0.18,0.12
950,-0.20,9.77,0.54,0.49,0.06,0.18
960,-0.17,9.76,0.49,0.37,0.24,-0.49
970,-0.14,9.78,0.49,-0.24,-1.40,0.24
980,-0.20,9.77,0.47,-0.12,-1.04,0.24
990,-0.21,9.88,0.53,-0.79,-0.43,1.16
1000,-0.14,9.81,0.58,0.18,-0.31,0.24
1010,-0.14,9.88,0.47,-0.31,0.43,0.24
1020,-0.10,9.82,0.44,-0.43,0.18,-0.18
1030,-0.15,9.82,0.51,0.31,0.67,-0.49
1040,-0.12,9.81,0.43,-0.61,-0.12,0.06
1050,-0.08,9.91,0.52,-1.04,0.18,-0.55
1060,-0.11,9.77,0.43,0.06,0.37,-0.61
1070,-0.16,9.78,0.52,-0.73,0.31,-0.43
1080,-0.13,9.79,0.45,-2.14,-1.04,0.49
1090,-0.15,9.80,0.50,-0.37,-0.67,0.06
1100,-0.18,9.81,0.59,-0.49,0.31,0.55
1110,-0.16,9.81,0.42,-0.98,0.24,0.61
1120,-0.14,9.81,0.50,0.37,1.71,-0.12
1130,-0.17,9.75,0.52,0.24,0.49,0.37
1140,-0.12,9.77,0.48,-0.55,-0.49,0.98
1150,-0.19,9.69,0.59,0.85,0.67,0.00
1160,-0.14,9.87,0.52,0.24,0.06,1.22
1170,-0.24,9.73,0.52,0.06,0.18,-0.55
1180,-0.22,9.75,0.46,-0.18,-0.18,0.98
1190,-0.23,9.70,0.41,-0.31,0.37,0.49
1200,-0.16,9.79,0.51,0.18,-0.12,0.55
1210,-0.14,9.84,0.47,-0.06,0.06,1.04
1220,-0.09,9.82,0.63,0.31,0.85,0.67
1230,-0.05,9.69,0.55,-0.31,-0.24,-0.12
1240,-0.04,9.76,0.49,-1.53,-1.53,0.06
1250,-0.13,9.79,0.52,-0.61,0.37,-0.49
1260,-0.13,9.81,0.47,0.49,0.85,-0.24
1270,-0.16,9.75,0.58,-0.37,-0.24,0.24
1280,-0.12,9.82,0.42,-0.24,-1.04,-0.31
1290,-0.23,9.85,0.56,-0.79,0.06,-0.85
1300,-0.20,9.65,0.48,1.10,-0.12,0.18
1310,-0.22,9.81,0.54,0.61,0.31,0.92
1320,-0.12,9.76,0.53,-0.49,-0.55,0.98
1330,-0.17,9.78,0.50,0.06,-0.18,-0.49
1340,-0.11,9.79,0.41,-0.24,-1.04,0.85
1350,-0.20,9.81,0.48,-0.55,-1.16,0.12
1360,-0.06,9.76,0.47,0.00,0.98,0.18
1370,-0.12,9.83,0.53,-0.06,-0.24,0.24
1380,-0.19,9.75,0.57,-1.16,-0.98,0.73
1390,-0.14,9.81,0.46,0.00,0.98,0.55
1400,-0.08,9.73,0.48,0.00,0.98,-0.12
1410,-0.11,9.79,0.56,0.49,1.16,-0.24
1420,-0.12,9.81,0.54,-0.37,0.12,0.06
1430,-0.14,9.68,0.47,-0.12,1.34,0.06
1440,-0.15,9.81,0.39,-0.43,0.12,-0.67
1450,-0.22,9.69,0.50,0.37,0.73,-0.49
1460,-0.22,9.79,0.52,0.18,0.00,-0.06
1470,-0.12,9.80,0.51,-0.49,-0.73,0.67
1480,-0.11,9.77,0.46,0.37,0.06,-0.06
1490,-0.08,9.83,0.48,-0.55,-0.06,-0.18
