timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.96,0.10,0.15,-0.18,-0.73,0.37
10,-9.94,0.17,0.54,0.00,-0.61,0.24
20,-9.99,0.10,0.63,0.12,0.31,0.49
30,-9.98,0.17,0.44,0.06,0.73,-0.24
40,-9.91,0.20,0.30,-1.04,0.24,-0.06
50,-9.94,0.24,0.34,0.49,0.79,-0.98
60,-9.86,0.20,0.38,-1.04,-1.04,0.43
70,-10.00,0.11,0.35,0.12,-0.24,0.37
80,-9.93,0.09,0.40,0.18,1.04,0.24
90,-9.88,0.14,0.27,-0.61,0.00,0.79
100,-9.91,0.15,0.21,-0.24,0.24,0.00
110,-9.97,0.09,0.23,-0.49,-0.37,0.18
120,-9.93,0.11,0.35,0.31,0.18,-0.12
130,-9.96,0.08,0.38,-0.73,-0.55,0.43
140,-9.95,0.17,0.53,-0.12,-0.31,0.92
150,-9.84,0.12,0.40,-0.31,0.43,1.22
160,-9.94,0.23,0.34,-0.31,0.79,0.00
170,-9.94,0.17,0.36,-0.55,0.79,-0.12
180,-9.99,0.16,0.39,0.00,-0.43,0.61
190,-9.90,0.13,0.42,0.31,0.49,0.55
200,-9.97,0.17,0.36,-0.73,0.37,0.43
210,-9.98,0.16,0.25,-0.73,-0.31,-0.55
220,-9.92,0.16,0.32,-0.18,-0.31,0.06
230,-9.88,0.14,0.26,-0.37,-0.37,-0.85
240,-9.89,0.08,0.38,-1.22,-0.61,0.12
250,-9.96,0.07,0.40,-0.37,-0.85,-0.06
260,-9.90,0.20,0.35,-0.85,0.24,0.12
270,-9.94,0.19,0.35,-0.31,-0.43,0.12
280,-9.92,0.22,0.30,0.06,-0.43,0.37
290,-9.91,0.19,0.39,0.00,0.18,-0.73
300,-9.90,0.20,0.40,-0.55,0.00,-0.49
310,-9.95,0.25,0.36,-0.12,-1.16,0.24
320,-9.86,0.17,0.29,0.31,-0.37,-0.49
330,-9.91,0.13,0.38,-1.95,-0.92,0.67
340,-9.93,0.13,0.33,-1.04,-1.16,-0.06
350,-9.82,0.13,0.30,0.12,0.06,-0.24
360,-9.96,0.10,0.30,0.37,0.55,-0.31
370,-9.88,0.18,0.26,0.18,0.00,0.37
380,-9.91,0.27,0.38,-0.73,0.00,-0.06
390,-9.95,0.21,0.33,-0.55,-0.61,0.49
400,-9.92,0.19,0.41,-0.73,-0.67,-0.37
410,-9.93,0.25,0.41,-0.98,-1.46,-0.06
420,-9.97,0.20,0.38,-1.34,0.00,0.37
430,-9.89,0.23,0.38,-0.98,0.18,-0.37
440,-9.93,0.02,0.36,-0.73,-0.18,0.12
450,-9.91,0.15,0.29,-0.24,0.12,-0.24
460,-9.95,0.18,0.30,0.24,0.06,0.18
470,-9.89,0.18,0.32,-0.55,-0.73,-0.49
480,-9.94,0.15,0.36,-0.79,-0.67,-0.55
490,-9.82,0.20,0.34,-0.61,0.55,-0.12
500,-9.91,0.17,0.41,-0.24,-0.06,-0.24
510,-9.82,0.15,0.42,-0.12,-0.06,-0.67
520,-9.99,0.14,0.34,-1.65,-0.49,-1.10
530,-9.88,0.16,0.31,-0.18,0.18,0.12
540,-9.99,0.14,0.32,-0.24,0.18,0.18
550,-9.95,0.17,0.35,-0.98,-0.92,-0.06
560,-9.99,0.17,0.33,-1.16,-0.79,-0.06
570,-9.89,0.18,0.38,-0.43,-1.04,-0.31
580,-9.93,0.15,0.39,-0.18,-0.37,0.49
590,-9.93,0.13,0.36,-0.55,0.67,0.37
600,-9.91,0.08,0.41,-0.12,0.12,-0.18
610,-9.93,0.18,0.37,-1.46,-1.10,-0.49
620,-9.84,0.24,0.38,0.61,0.67,-0.24
630,-9.93,0.16,0.33,0.24,-0.12,0.49
640,-9.90,0.05,0.44,-0.12,0.00,0.55
650,-9.97,0.15,0.40,-0.24,0.24,1.04
