timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.16,9.77,0.58,0.98,0.43,0.06
10,-0.17,9.75,0.56,-0.61,-0.06,-0.18
20,-0.24,9.73,0.48,-0.55,-0.12,-1.04
30,0.05,10.28,0.19,-0.61,0.00,-0.18
40,0.43,9.52,0.04,-3.97,-1.34,-4.03
50,1.15,10.11,-0.88,-1.71,-3.60,2.56
60,0.56,10.22,-0.86,0.49,-12.63,-2.01
70,0.41,9.75,-0.08,2.69,-20.39,-5.37
80,-0.07,10.45,0.42,1.16,-23.93,-9.28
90,-0.26,10.03,0.49,-1.04,-26.73,-14.10
100,-0.59,10.21,0.82,-0.92,-25.70,-17.76
110,-0.91,9.84,1.16,-5.13,-20.51,-20.45
120,-0.81,9.58,1.26,-7.02,-15.50,-18.86
130,-0.67,9.22,0.86,-6.10,-6.71,-15.32
140,-0.66,8.95,0.43,-3.05,-7.63,-10.25
150,-0.40,9.28,0.25,3.05,-11.47,-2.14
160,-0.55,9.80,0.10,4.64,-15.50,0.61
170,-0.10,10.15,0.22,5.74,-21.48,-1.34
180,0.04,10.41,0.55,4.03,-22.58,-4.39
190,0.24,10.65,1.35,-0.85,-15.26,-14.65
200,0.07,10.43,0.88,-0.85,-2.99,-21.48
210,-0.40,9.97,0.40,-5.43,2.44,-26.98
220,-0.49,10.21,0.63,-12.33,5.74,-26.61
230,-0.84,10.21,0.59,-21.18,10.19,-30.88
240,-0.77,10.37,1.06,-22.16,10.62,-35.46
250,-0.58,10.59,1.14,-19.78,14.34,-48.22
260,-0.89,10.91,0.88,-13.98,16.42,-60.85
270,-1.01,11.25,0.58,-7.32,18.68,-85.88
280,-1.37,12.15,1.03,-17.03,20.20,-99.85
290,-1.25,12.23,0.92,-43.58,41.99,-129.03
300,-1.52,11.89,1.20,-62.74,58.04,-148.01
310,-2.21,10.88,1.37,-77.88,78.98,-177.06
320,-2.40,10.04,0.95,-76.78,90.88,-193.42
330,-2.83,9.14,0.92,-73.24,92.83,-206.85
340,-2.54,8.68,0.98,-64.15,93.08,-201.29
350,-2.56,8.74,1.11,-47.49,81.05,-178.53
360,-2.78,8.58,1.48,-37.60,71.78,-156.37
370,-2.81,8.85,1.05,-22.52,59.45,-114.99
380,-3.08,9.50,1.17,-12.57,47.18,-95.21
390,-3.64,10.30,1.20,-0.61,37.66,-82.70
400,-3.97,10.43,0.64,2.56,37.35,-80.69
410,-3.77,10.27,0.66,-6.10,35.10,-74.65
420,-3.78,9.94,0.76,-13.61,42.11,-70.37
430,-3.84,10.10,2.35,-23.44,52.86,-63.90
440,-4.68,9.40,1.75,-49.26,67.93,-69.09
450,-4.71,8.74,1.90,-54.14,66.41,-80.26
460,-4.79,8.07,2.81,-61.10,68.73,-94.85
470,-5.10,8.25,3.11,-72.02,77.21,-110.11
480,-5.47,7.82,3.01,-94.91,80.08,-141.42
490,-5.25,7.39,2.99,-107.79,80.08,-161.99
500,-5.07,6.19,1.91,-104.31,75.74,-182.50
510,-5.14,5.48,1.56,-88.75,64.33,-188.11
520,-5.01,6.07,1.48,-59.02,57.50,-190.80
530,-5.29,6.22,1.28,-43.76,60.00,-196.41
540,-5.94,6.38,1.30,-33.39,70.43,-208.19
550,-6.18,6.34,1.05,-30.33,78.67,-218.57
560,-6.83,5.35,0.76,-25.33,80.63,-227.17
570,-7.13,5.55,0.75,-10.50,77.09,-230.04
580,-6.87,5.98,1.23,19.17,76.17,-237.85
590,-7.12,5.67,1.50,24.90,76.11,-244.75
600,-7.32,5.05,1.41,-3.17,70.68,-247.99
610,-7.51,4.23,1.02,-21.30,66.77,-250.61
620,-8.02,4.38,0.79,-17.88,66.65,-257.75
630,-8.15,4.81,0.53,-5.80,70.98,-264.16
640,-8.75,5.47,0.49,-0.24,68.91,-264.65
650,-9.01,5.69,0.25,-5.62,74.65,-255.00
660,-8.95,4.44,-0.05,-19.35,74.83,-231.38
670,-8.91,3.52,-0.06,-16.91,69.09,-211.67
680,-9.27,2.28,0.48,-9.28,60.42,-182.25
690,-9.66,2.30,0.75,-11.84,60.49,-170.04
700,-10.56,2.68,0.87,-18.74,68.73,-176.09
710,-10.85,2.84,0.51,-20.39,71.78,-186.65
720,-10.30,2.32,0.04,-11.23,63.11,-195.25
730,-9.87,1.47,-0.23,-7.39,48.46,-188.29
740,-9.11,0.81,-0.29,-10.19,26.31,-158.57
750,-9.06,0.58,-0.08,-16.78,16.30,-135.56
760,-9.57,0.48,-0.49,-16.97,13.00,-115.97
770,-9.71,0.41,-0.38,-6.71,8.91,-110.53
780,-9.48,0.19,-0.31,1.71,5.86,-110.17
790,-9.01,-0.44,-0.38,0.98,-7.02,-103.82
800,-8.81,-0.56,-0.10,-0.98,-18.92,-95.64
810,-9.20,-0.29,-0.41,-8.24,-23.93,-84.41
820,-9.29,-0.31,-0.46,-9.95,-23.56,-76.84
830,-9.42,-0.88,-0.73,-4.76,-23.19,-68.30
840,-9.38,-1.29,-0.38,0.31,-27.34,-61.16
850,-9.24,-1.46,-0.10,8.97,-25.57,-56.46
860,-9.49,-1.31,-0.07,14.77,-27.34,-56.52
870,-9.63,-0.80,-0.12,15.87,-31.74,-53.04
880,-9.71,-0.73,-0.39,16.85,-33.20,-46.45
890,-9.50,-0.96,-0.13,22.03,-37.84,-32.47
900,-9.52,-1.13,-0.07,30.88,-36.44,-21.97
910,-9.60,-1.23,0.31,47.73,-36.74,-8.85
920,-9.87,-1.00,0.34,50.60,-38.94,-0.79
930,-10.08,-0.85,0.96,43.09,-45.04,10.25
940,-10.14,-1.09,1.23,28.81,-42.60,13.12
950,-10.09,-1.27,1.06,12.82,-43.21,10.93
960,-10.13,-1.43,1.18,13.18,-42.97,5.62
970,-10.05,-1.20,1.17,18.62,-31.74,-3.78
980,-10.23,-1.08,1.17,21.79,-24.48,-6.47
990,-10.23,-0.81,1.05,21.30,-18.49,-6.96
1000,-10.06,-0.88,0.99,17.94,-16.24,-3.97
1010,-10.04,-0.83,1.04,21.48,-10.07,0.55
1020,-9.87,-0.76,1.18,26.73,-5.31,2.08
1030,-9.98,-0.66,1.32,31.98,-1.22,2.93
1040,-10.00,-0.29,1.27,32.71,-2.01,4.15
1050,-9.98,-0.44,1.35,31.98,-1.89,10.44
1060,-9.77,-0.46,1.61,27.16,-2.93,17.33
1070,-10.00,-0.76,1.61,8.91,-2.26,22.34
1080,-10.10,-0.89,1.38,0.24,-5.25,17.88
1090,-9.93,-1.03,1.19,-1.28,-0.67,8.61
1100,-9.95,-0.85,1.14,-1.34,4.21,3.30
1110,-10.05,-0.79,1.01,-2.20,9.03,0.73
1120,-9.82,-0.60,0.89,0.12,12.94,-2.20
1130,-9.71,-0.58,0.76,1.71,15.14,-1.83
1140,-9.69,-0.78,0.46,2.69,15.50,5.80
1150,-9.74,-0.79,0.22,9.28,11.54,7.39
1160,-9.53,-0.89,0.42,22.09,10.93,12.08
1170,-9.70,-0.82,0.55,28.56,13.31,15.01
1180,-9.78,-0.72,1.11,34.12,18.37,19.96
1190,-10.08,-0.43,1.60,29.54,21.24,21.06
1200,-10.26,-0.48,1.49,16.60,23.86,15.99
1210,-10.23,-0.53,1.30,11.35,20.63,11.54
1220,-9.97,-0.72,0.97,12.08,16.54,7.39
1230,-9.76,-0.63,1.14,12.45,11.96,8.54
1240,-9.98,-0.56,1.06,10.44,12.63,12.70
1250,-10.05,-0.63,1.01,8.79,10.50,16.36
1260,-10.25,-0.60,0.76,14.22,4.88,20.81
1270,-10.27,-0.59,0.68,16.05,-1.65,21.00
1280,-9.88,-0.51,0.81,13.92,-7.32,22.83
1290,-9.69,-0.73,0.83,9.40,-4.94,20.14
1300,-9.72,-0.73,0.69,8.30,-2.62,17.76
1310,-9.66,-0.52,1.22,10.93,2.20,13.00
1320,-9.86,-0.50,1.13,10.01,7.02,5.07
1330,-9.82,-0.40,1.08,5.80,5.43,0.55
1340,-9.78,-0.14,0.81,0.49,1.53,0.85
1350,-9.78,-0.23,0.61,-1.22,-3.42,1.95
1360,-9.81,-0.26,0.50,3.72,-5.31,7.81
1370,-9.70,-0.27,0.54,7.32,-5.37,10.07
1380,-9.76,-0.22,0.56,9.52,-3.17,12.57
1390,-10.10,-0.63,1.10,11.66,-2.93,15.56
1400,-11.23,0.40,0.70,-2.50,4.88,17.52
1410,-10.93,0.48,0.79,-4.33,0.43,8.85
1420,-10.14,-0.20,0.92,-4.64,0.79,5.25
1430,-9.86,-0.60,0.69,-0.61,4.52,6.16
1440,-9.75,-0.35,0.85,7.32,5.74,7.57
1450,-9.69,-0.02,1.11,6.71,6.29,6.35
1460,-9.85,0.25,1.11,2.62,7.51,6.04
1470,-9.90,-0.03,0.75,-5.80,3.85,6.41
1480,-9.88,-0.27,0.54,-8.79,0.49,7.87
1490,-9.90,-0.57,0.24,-2.20,-1.28,9.22
