timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.17,9.79,0.49,0.31,0.55,-0.24
10,-0.16,9.76,0.45,-0.61,-0.55,-0.24
20,-0.12,9.79,0.52,0.55,0.18,0.12
30,-0.13,9.82,0.46,0.61,0.67,0.24
40,-0.17,9.76,0.47,0.12,0.37,-0.06
50,-0.10,9.82,0.53,-0.79,-0.49,0.43
60,-0.12,9.77,0.55,-0.24,-0.18,0.49
70,-0.11,9.83,0.50,0.06,-0.37,0.00
80,-0.12,9.75,0.52,-0.37,0.43,-0.24
90,-0.20,9.78,0.67,0.24,0.79,1.40
100,-0.19,9.83,0.45,-1.10,0.00,0.61
110,-0.16,9.77,0.47,-0.18,0.31,0.55
120,-0.16,9.77,0.47,-0.55,0.00,0.18
130,-0.11,9.84,0.47,-0.31,-0.24,0.12
140,-0.14,9.75,0.54,-0.18,0.49,0.49
150,-0.15,9.72,0.48,-0.61,-0.24,-0.31
160,-0.15,9.71,0.47,0.67,0.67,0.06
170,-0.08,9.72,0.48,-0.85,-0.18,-0.37
180,-0.14,9.82,0.49,-0.37,-0.98,-0.55
190,-0.17,9.74,0.49,-0.18,0.55,0.49
200,-0.15,9.80,0.52,-0.43,-0.43,-0.98
210,-0.05,9.72,0.44,0.79,0.55,-0.12
220,-0.22,9.77,0.45,0.85,0.06,-0.06
230,-0.15,9.84,0.56,0.49,1.40,-0.37
240,-0.21,9.80,0.54,0.12,0.06,-0.12
250,-0.13,9.81,0.51,-0.98,-0.31,0.12
260,-0.18,9.69,0.53,-0.92,-0.37,-0.24
270,-0.17,9.72,0.49,-0.31,-0.79,0.37
280,-0.21,9.74,0.48,-0.12,0.12,0.12
290,-0.08,9.85,0.42,-0.24,-0.12,0.61
300,-0.19,9.74,0.49,-0.06,0.00,0.24
310,-0.14,9.77,0.48,-0.67,-0.31,0.06
320,-0.20,9.76,0.58,-0.37,-0.12,-0.18
330,-0.19,9.76,0.57,0.24,0.00,-0.24
340,-0.14,9.75,0.52,0.12,0.92,-0.85
350,-0.09,9.70,0.48,-1.16,0.31,0.67
360,-0.16,9.84,0.48,-0.24,0.12,0.67
370,-0.16,9.76,0.51,0.06,0.85,0.85
380,-0.20,9.70,0.51,-0.79,-0.61,0.55
390,-0.19,9.74,0.56,-0.55,0.00,-0.12
400,-0.14,9.67,0.52,0.06,0.98,0.12
410,-0.12,9.83,0.54,-0.31,-0.12,0.24
420,-0.08,9.73,0.53,-0.18,0.79,0.00
430,-0.14,9.76,0.49,0.00,1.22,-0.18
