timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.93,0.20,0.37,0.18,-1.53,0.85
10,-9.98,0.20,0.43,-0.61,-1.95,0.49
20,-9.89,0.30,0.39,-0.73,-1.40,1.10
30,-9.88,0.17,0.35,-0.18,0.37,0.00
40,-9.96,0.15,0.42,-0.85,-0.61,-0.85
50,-9.87,0.11,0.41,-0.06,0.79,-0.12
60,-9.92,0.08,0.34,0.37,-1.28,0.49
70,-9.86,0.09,0.48,-0.79,-2.26,0.43
80,-9.97,0.07,0.41,-0.85,-2.44,0.31
90,-9.89,0.21,0.47,-0.24,-1.16,0.55
100,-9.94,0.23,0.58,0.85,0.55,0.55
110,-9.94,0.15,0.37,0.37,2.93,0.12
120,-9.90,0.18,0.41,-1.22,2.93,0.73
130,-9.87,-0.02,0.23,-0.61,2.14,-0.31
140,-9.91,0.09,0.08,0.85,-0.18,0.85
150,-9.92,0.12,0.42,-0.06,-2.32,-0.43
160,-9.93,0.15,0.34,0.49,-1.04,0.18
170,-9.93,0.13,0.47,-1.04,-1.10,-0.67
180,-9.89,0.16,0.40,-0.55,0.79,0.24
190,-9.88,0.21,0.34,0.06,0.98,0.37
200,-9.94,0.25,0.35,-0.18,1.53,0.00
210,-9.92,0.20,0.29,-0.24,0.00,0.06
220,-9.94,0.23,0.35,0.06,-0.49,-0.43
230,-9.92,0.20,0.34,-0.31,-1.28,0.00
240,-9.86,0.24,0.41,-0.06,-0.43,0.24
250,-9.89,0.21,0.34,-0.06,0.43,-0.06
260,-9.95,0.11,0.44,-0.55,-0.24,0.49
270,-9.94,0.11,0.29,-0.18,0.49,0.24
280,-9.89,0.16,0.37,0.24,0.12,0.00
290,-9.88,0.11,0.37,-0.92,-0.18,0.06
300,-9.92,0.16,0.37,0.12,-1.22,0.37
310,-9.83,0.25,0.36,-0.12,0.85,0.55
320,-9.92,0.26,0.36,-0.92,-0.79,1.04
330,-9.85,0.17,0.36,-0.31,0.55,0.37
340,-9.94,0.12,0.37,-0.24,1.16,0.61
350,-9.89,0.14,0.36,-0.12,1.71,-0.31
360,-9.97,0.11,0.25,0.31,0.67,0.31
370,-9.90,0.13,0.30,-0.55,-0.18,-0.43
380,-9.94,0.18,0.39,-0.92,-1.22,-0.24
390,-9.88,0.15,0.40,-0.67,-0.85,0.18
400,-9.83,0.09,0.42,0.31,0.12,0.67
410,-9.94,0.14,0.38,0.12,1.10,-0.37
420,-9.92,0.18,0.19,0.49,1.40,0.92
430,-9.95,0.22,0.22,0.61,0.43,0.31
440,-9.89,0.17,0.38,-0.37,-0.49,-0.12
450,-9.90,0.16,0.46,0.85,0.49,-0.37
460,-9.87,0.11,0.38,0.18,-0.24,1.28
470,-9.88,0.22,0.40,-0.37,0.73,0.00
480,-9.93,0.16,0.37,0.06,1.59,-0.06
490,-9.95,0.21,0.15,0.49,1.16,0.55
500,-9.90,0.24,0.39,-0.67,-1.53,0.61
510,-10.02,0.11,0.44,0.85,-0.98,0.61
520,-9.95,0.16,0.47,-0.43,-2.01,0.00
530,-9.92,0.16,0.52,-0.06,-1.04,0.67
540,-9.85,0.07,0.52,-0.31,-0.61,-0.43
550,-9.85,0.11,0.57,0.00,0.73,-0.06
560,-9.83,0.13,0.47,-0.18,3.97,0.73
570,-9.89,0.15,0.34,0.73,5.37,-0.24
580,-10.05,0.09,-0.17,-0.98,1.28,-0.37
590,-9.94,0.08,0.14,0.18,-2.32,-0.18
600,-9.83,0.14,0.48,0.18,-2.08,0.79
610,-9.91,0.11,0.52,0.61,-1.65,0.37
620,-9.89,0.18,0.52,-0.98,-0.12,0.37
630,-9.89,0.15,0.40,-0.55,0.06,-0.49
640,-9.90,0.17,0.38,-0.61,3.36,0.06
650,-9.91,0.18,0.40,-0.85,2.26,-0.24
660,-9.88,0.18,-0.01,0.49,0.61,0.12
670,-9.94,0.12,0.11,-1.10,-2.87,-0.06
680,-9.96,0.30,0.45,0.85,-2.26,-0.24
690,-9.87,0.23,0.46,-1.04,-3.17,-0.31
