timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.08,9.90,0.52,-0.43,-0.24,0.00
10,-0.17,9.79,0.55,-0.37,0.00,0.06
20,-0.13,9.77,0.57,-0.49,-0.92,0.61
30,-0.13,9.74,0.50,-0.49,-0.06,-0.12
40,-0.21,9.72,0.54,-0.24,-0.43,0.24
50,-0.19,9.78,0.55,-0.12,-0.85,-0.85
60,-0.14,9.77,0.49,-0.06,-0.24,-0.98
70,-0.22,9.78,0.50,-0.73,-0.92,1.16
80,-0.12,9.80,0.55,0.37,0.92,0.92
90,-0.12,9.83,0.43,0.61,0.00,-0.18
100,-0.13,9.82,0.48,-0.85,0.31,-0.06
110,-0.10,9.76,0.46,-0.24,0.18,-0.12
120,-0.16,9.72,0.50,-0.24,0.18,0.12
130,-0.22,9.82,0.50,-0.37,0.12,0.43
140,-0.18,9.78,0.51,-0.92,-0.92,0.92
150,-0.21,9.80,0.50,-0.24,0.00,0.49
160,-0.20,9.76,0.47,-0.55,-0.43,0.00
170,-0.11,9.78,0.51,0.43,-0.31,0.61
180,-0.13,9.81,0.49,0.49,-0.06,0.06
190,-0.13,9.85,0.53,0.00,1.34,0.73
200,-0.08,9.77,0.58,-0.55,-0.24,0.73
210,-0.09,9.76,0.48,0.18,-0.06,-0.49
220,-0.03,9.81,0.51,-1.34,-0.98,0.00
230,-0.14,9.78,0.46,-0.49,-0.67,0.24
240,-0.23,9.81,0.51,-0.06,-0.73,-0.24
250,-0.14,9.84,0.51,0.18,0.43,-0.06
260,-0.12,9.76,0.52,-0.43,0.67,0.24
270,-0.16,9.84,0.50,-0.37,-0.37,-0.12
280,-0.13,9.86,0.53,-1.04,-1.34,-0.49
290,-0.20,9.76,0.47,0.24,-0.37,-0.24
300,-0.14,9.85,0.43,-0.06,0.37,0.55
310,-0.13,9.84,0.52,0.73,0.24,0.67
320,-0.13,9.79,0.58,0.49,-0.24,-0.37
330,-0.12,9.76,0.45,-0.61,0.00,0.37
340,-0.06,9.78,0.50,-0.67,-0.49,0.24
350,-0.19,9.77,0.44,0.85,-0.37,0.00
360,-0.12,9.83,0.53,-0.37,-0.37,0.00
370,-0.14,9.74,0.48,0.24,-0.12,0.18
380,-0.12,9.83,0.51,0.24,0.06,0.73
390,-0.12,9.72,0.53,0.55,0.61,-0.79
400,-0.19,9.77,0.57,0.55,0.18,-0.18
410,-0.10,9.77,0.52,0.12,0.37,0.92
420,-0.12,9.76,0.48,-1.10,-0.92,0.61
430,-0.16,9.81,0.53,0.49,1.04,-0.67
440,-0.14,9.81,0.40,-0.12,-0.55,-0.06
450,-0.04,9.73,0.46,0.00,-0.61,0.24
460,-0.18,9.80,0.50,-0.12,0.79,-0.24
470,-0.15,9.86,0.45,-1.40,-0.85,-0.12
480,-0.14,9.82,0.47,0.24,1.04,-0.49
490,-0.12,9.75,0.46,-0.55,-0.06,0.00
500,-0.12,9.76,0.47,-0.18,-0.49,-0.67
510,-0.17,9.76,0.53,0.18,0.24,0.24
520,-0.18,9.79,0.48,0.12,0.37,0.06
530,-0.17,9.79,0.48,0.24,-0.12,-0.31
540,-0.12,9.73,0.50,0.12,1.16,-0.79
550,-0.16,9.75,0.49,0.85,-0.12,-0.61
560,-0.23,9.82,0.58,-0.67,0.61,0.12
570,-0.04,9.81,0.47,0.43,0.12,0.12
580,-0.21,9.80,0.53,-0.73,0.73,-0.37
590,-0.12,9.82,0.57,-0.31,0.79,1.04
600,-0.16,9.72,0.63,0.31,0.06,0.06
610,-0.03,9.81,0.42,-0.24,-0.67,-0.31
620,-0.10,9.81,0.52,-0.12,-0.18,-0.85
630,-0.16,9.77,0.55,-0.12,-0.31,-0.49
640,-0.22,9.80,0.47,0.55,0.00,-0.18
650,-0.17,9.77,0.50,-0.31,-0.06,0.49
660,-0.18,9.74,0.42,-0.31,0.98,-0.43
670,-0.25,9.80,0.40,0.06,-0.43,0.37
680,-0.16,9.79,0.48,0.31,0.92,0.31
690,-0.19,9.75,0.53,-0.06,-0.12,0.55
700,-0.16,9.77,0.55,-0.37,-0.49,-0.31
710,-0.06,9.80,0.47,-0.49,-0.55,0.43
720,-0.10,9.71,0.55,0.61,-0.43,0.12
730,-0.08,9.74,0.49,-0.18,0.12,0.00
740,-0.08,9.78,0.51,0.43,0.79,0.06
750,-0.15,9.79,0.54,-0.67,-0.43,-0.18
760,-0.16,9.76,0.47,0.18,-0.06,-0.55
770,-0.20,9.75,0.46,0.37,0.24,-0.37
780,-0.25,9.78,0.40,-1.10,-1.04,0.49
790,-0.23,9.77,0.48,-0.55,0.37,0.31
800,-0.18,9.74,0.51,0.24,-0.18,0.49
810,-0.13,9.83,0.48,0.55,0.24,0.37
820,-0.16,9.76,0.44,0.06,-0.18,0.24
830,-0.14,9.84,0.50,-0.49,-0.37,0.24
840,-0.12,9.76,0.47,1.22,0.37,-0.43
850,-0.13,9.81,0.48,-0.73,0.00,-0.18
860,-0.10,9.79,0.49,0.24,1.34,0.06
870,-0.06,9.81,0.48,-0.37,-0.67,0.31
880,-0.28,9.72,0.44,0.12,0.12,0.67
890,-0.15,9.75,0.53,0.24,-0.12,0.43
900,-0.25,9.77,0.50,-0.67,-0.37,0.00
910,-0.13,9.74,0.55,-0.67,-0.31,0.12
920,-0.17,9.75,0.53,0.43,0.43,1.10
930,-0.19,9.79,0.49,-0.79,-0.31,-0.06
940,-0.04,9.79,0.44,-0.12,0.37,0.55
950,-0.12,9.77,0.56,0.12,0.12,-0.43
960,-0.10,9.84,0.50,0.37,0.61,-0.24
970,-0.19,9.79,0.54,-0.12,0.18,-0.18
980,-0.15,9.80,0.53,1.28,1.28,-1.04
990,-0.10,9.71,0.45,-0.79,-0.06,-0.43
1000,-0.15,9.81,0.50,-0.12,-0.55,0.37
1010,-0.12,9.78,0.49,0.61,0.00,0.85
1020,-0.19,9.86,0.48,-0.37,0.24,0.67
1030,-0.11,9.81,0.52,-0.73,-0.43,0.49
1040,-0.13,9.77,0.49,0.06,-0.06,0.98
1050,-0.05,9.72,0.55,-0.43,-0.06,0.92
1060,-0.10,9.71,0.52,-0.43,0.85,-0.31
1070,-0.12,9.83,0.48,-0.49,0.06,0.55
1080,-0.09,9.73,0.47,0.18,0.00,0.18
1090,-0.23,9.78,0.52,-0.24,-0.43,0.12
1100,-0.21,9.80,0.45,-0.79,-0.61,0.12
1110,-0.26,9.80,0.50,-0.49,0.49,-0.24
1120,-0.25,9.81,0.51,0.24,0.61,-0.18
1130,-0.21,9.85,0.51,0.49,0.00,-0.49
1140,-0.14,9.80,0.51,0.24,0.67,-0.49
1150,-0.09,9.81,0.46,0.31,0.43,0.31
1160,-0.15,9.76,0.48,-0.67,-0.12,1.04
1170,-0.05,9.76,0.50,-0.37,0.18,0.18
1180,-0.03,9.69,0.66,-0.61,0.06,0.18
1190,-0.09,9.83,0.56,-1.16,-0.37,-0.31
1200,-0.14,9.80,0.50,-0.12,0.37,0.67
1210,-0.16,9.76,0.55,-0.79,-0.49,0.67
1220,-0.21,9.76,0.49,-0.85,0.43,0.55
1230,-0.23,9.73,0.54,0.37,1.16,-0.24
1240,-0.26,9.75,0.45,0.00,-0.67,-0.18
1250,-0.17,9.77,0.36,-0.24,0.24,-0.06
1260,-0.17,9.80,0.41,0.18,-0.43,0.92
1270,-0.17,9.74,0.52,0.06,0.24,-0.55
1280,-0.10,9.81,0.60,0.06,0.43,0.00
1290,-0.13,9.74,0.55,-0.18,-0.06,-0.18
1300,-0.17,9.83,0.42,-0.12,0.37,-0.31
1310,-0.06,9.75,0.51,-0.61,0.06,0.06
1320,-0.16,9.80,0.51,-0.92,0.24,-0.24
1330,-0.11,9.76,0.48,-0.55,-0.12,0.00
1340,-0.09,9.75,0.47,0.24,0.31,0.24
1350,-0.10,9.81,0.46,-1.53,-0.98,0.37
1360,-0.19,9.71,0.53,1.04,0.67,-0.18
1370,-0.09,9.77,0.48,-0.61,-0.43,0.49
1380,-0.14,9.81,0.58,-0.43,0.43,-0.37
1390,-0.09,9.71,0.53,0.49,0.73,0.06
1400,-0.19,9.80,0.46,0.24,-0.79,0.67
1410,-0.18,9.77,0.42,-0.43,-0.98,0.31
1420,-0.15,9.74,0.47,-0.18,-0.49,0.92
