timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.09,9.81,0.40,-1.10,-5.49,0.31
10,-0.31,9.88,0.29,-2.01,-7.08,-0.55
20,-0.14,9.82,0.41,-3.42,-8.61,-0.06
30,-0.02,9.65,0.51,-2.08,-8.54,-0.24
40,0.04,9.72,0.48,-2.26,-7.14,0.18
50,0.06,9.81,0.56,-1.46,-3.54,0.12
60,-0.03,9.67,0.49,-1.46,-2.32,0.12
70,-0.14,9.74,0.49,-0.31,-3.78,1.04
80,-0.16,9.80,0.43,-0.55,-0.98,0.31
90,-0.12,9.71,0.46,0.61,-1.16,0.12
100,-0.12,9.88,0.43,-0.79,-1.40,0.61
110,-0.09,9.81,0.36,-1.04,-1.16,-0.61
120,-0.18,9.78,0.40,-0.49,-0.24,-1.34
130,-0.12,9.79,0.35,-1.10,-1.77,-0.98
140,-0.08,9.86,0.43,-1.95,-2.93,-1.77
150,-0.08,9.73,0.50,-2.38,-2.08,-1.65
160,-0.00,10.31,0.48,-3.48,-2.44,-2.20
170,-0.03,9.77,0.48,-4.15,-1.89,-2.32
180,-0.16,9.68,0.46,-4.52,-1.65,-2.01
190,0.02,9.74,0.44,-5.92,0.12,-3.11
200,-0.08,9.86,0.46,-6.77,-1.28,-2.38
210,-0.31,7.76,-0.06,-5.07,-1.28,-5.62
220,-0.25,9.78,0.87,-5.07,-1.10,-0.37
230,0.14,9.60,0.26,-3.60,-3.05,0.18
240,0.00,9.79,0.91,0.37,-0.98,0.00
250,-0.28,9.90,0.28,3.97,-0.24,-2.38
260,-0.05,9.65,0.71,-0.43,0.18,-1.95
270,0.04,9.84,1.03,1.28,2.69,-0.18
280,0.49,10.25,0.38,-7.32,22.46,4.94
290,-0.53,9.10,0.14,-6.16,0.61,-0.49
300,0.07,9.70,0.62,-0.06,0.43,0.43
310,0.03,10.09,0.41,-2.56,-1.40,0.61
320,-0.22,9.51,0.62,-2.69,-2.81,-0.43
330,-0.08,9.77,0.42,-2.20,-1.89,-0.06
340,-0.19,9.68,0.55,-2.20,-0.98,-0.18
350,-0.16,9.85,0.50,-1.16,-1.40,-0.55
360,-0.18,9.67,0.56,-1.40,-0.55,-0.37
370,-0.18,9.77,0.43,-0.85,-0.73,-0.37
380,-0.16,9.77,0.51,-0.18,-0.98,0.12
390,-0.07,9.74,0.51,-1.95,-0.92,-0.12
400,-0.08,9.78,0.49,-3.23,-2.75,-0.49
410,-0.15,9.76,0.54,-2.20,-1.77,-0.37
420,-0.12,9.77,0.50,-2.20,-1.95,0.61
430,-0.26,9.69,0.59,-0.37,-0.98,-0.37
440,-0.16,9.80,0.56,-1.83,-1.89,-0.37
450,-0.14,9.71,0.44,-2.32,-1.89,-0.61
460,-0.10,9.67,0.54,-0.79,-0.12,0.43
470,-0.11,9.75,0.53,-0.98,-1.28,-0.73
480,-0.12,9.77,0.47,-1.65,-1.77,0.31
490,-0.18,9.81,0.46,-1.71,-1.71,0.31
500,-0.25,9.69,0.60,-2.01,-1.53,0.61
510,-0.02,9.73,0.50,-2.26,-0.92,-0.55
520,-0.05,9.75,0.55,-3.17,-1.10,0.06
530,0.01,9.74,0.62,-2.26,-1.04,-0.18
540,-0.12,9.66,0.55,-0.79,-1.22,-0.73
550,0.07,10.80,0.37,-1.83,-2.81,-1.34
560,-0.58,8.82,1.01,-7.02,-0.61,-1.77
570,-0.44,9.95,0.20,0.98,-1.22,-0.79
580,0.04,10.01,0.53,-2.81,-1.28,0.31
590,-0.17,9.59,0.51,-2.20,-2.81,0.06
600,-0.07,9.79,0.44,-0.55,-1.46,0.79
610,-0.26,9.73,0.54,-2.01,-1.16,-0.73
620,-0.13,9.66,0.49,-0.73,-1.04,-0.12
630,-0.22,9.81,0.37,-1.65,-2.01,-0.49
640,-0.08,9.73,0.65,-2.38,-1.71,0.85
650,-0.13,9.77,0.47,-2.26,-0.55,-0.92
660,-0.15,9.65,0.56,-1.65,-1.89,-0.37
670,-0.11,9.77,0.57,-0.73,-0.92,0.67
680,-0.09,9.82,0.44,-1.59,-2.14,-0.06
690,-0.27,9.74,0.48,-2.14,-0.92,0.12
700,-0.19,9.74,0.48,-0.37,-1.71,0.55
710,-0.19,9.77,0.39,-0.98,-2.01,0.98
720,-0.27,9.73,0.55,-0.85,-0.73,0.37
730,-0.16,9.79,0.61,-1.28,-2.32,0.37
740,-0.14,9.74,0.52,-1.40,-0.31,-0.55
750,-0.15,9.68,0.54,-2.44,-1.34,0.00
760,-0.08,9.75,0.40,-1.65,-2.20,-0.55
770,-0.03,9.71,0.54,-0.85,-0.73,-0.49
780,-0.10,9.89,0.35,1.16,0.79,-0.61
790,-0.23,9.72,0.50,-0.79,0.73,-0.79
800,-0.27,9.71,0.52,0.18,-0.24,-0.55
810,-0.24,9.92,0.47,0.85,-0.12,0.55
820,-0.19,9.75,0.68,-2.81,-2.26,-0.37
830,-0.23,9.70,0.56,-2.69,-1.89,0.43
840,-0.12,10.06,0.18,-0.92,-1.89,0.37
850,-0.14,9.60,0.60,-3.66,-1.22,-0.18
860,-0.09,9.86,0.38,-0.92,-0.61,-0.92
870,-0.19,9.74,0.58,-2.75,-2.14,-0.24
880,-0.01,9.68,0.56,-1.53,-0.37,-0.18
890,-0.09,9.70,0.55,-2.20,-1.22,0.61
900,-0.13,9.68,0.57,-0.92,-1.28,-0.37
910,-0.20,9.70,0.55,-0.79,-1.40,-0.12
920,-0.23,9.79,0.56,-0.92,-1.28,0.18
930,-0.09,9.80,0.40,-1.22,-2.26,-0.85
940,-0.15,9.75,0.41,-0.85,-0.55,0.18
950,-0.17,9.75,0.48,-1.59,-1.77,-0.79
960,-0.04,9.78,0.57,-2.08,-2.32,-0.06
970,-0.10,9.73,0.63,-0.92,-1.71,0.18
980,-0.14,9.77,0.59,-0.55,-0.31,-0.79
990,-0.04,9.73,0.43,-2.20,-1.34,0.61
1000,-0.07,9.68,0.50,-2.62,-0.61,0.00
1010,-0.13,9.70,0.49,-1.16,-1.77,-0.37
1020,-0.18,9.81,0.56,-1.46,-1.34,-0.79
1030,-0.08,9.80,0.40,-0.31,-0.18,-0.43
1040,-0.14,9.86,0.54,-0.06,-0.18,-1.59
1050,-0.22,9.79,0.51,-1.46,-1.71,-0.73
1060,-0.13,9.88,0.45,-2.01,-1.34,-0.12
1070,-0.21,9.75,0.55,-2.08,-0.85,-0.06
1080,-0.08,9.75,0.51,-1.34,-1.34,-0.61
1090,-0.11,9.66,0.50,-2.81,-1.83,-0.18
1100,-0.12,9.72,0.47,-0.61,-1.95,0.43
1110,-0.08,9.77,0.49,-1.04,-1.34,0.00
1120,-0.16,9.75,0.50,-2.50,-1.04,-0.06
1130,-0.13,9.70,0.60,-1.89,-1.71,0.18
1140,-0.13,9.66,0.57,-2.08,-2.56,-0.55
1150,-0.18,9.68,0.47,-1.40,-1.34,-0.31
1160,-0.18,9.75,0.49,-1.53,-1.46,-0.55
1170,-0.15,9.74,0.52,-1.34,-1.34,0.12
1180,-0.10,9.74,0.47,-3.11,-2.44,0.00
1190,-0.21,9.75,0.48,-2.01,-1.16,-0.18
1200,-0.21,9.72,0.56,-2.44,-2.44,-0.49
1210,-0.14,9.81,0.49,-2.50,-2.81,-0.18
1220,-0.15,9.71,0.66,-0.61,-2.01,0.06
1230,-0.13,9.78,0.62,-0.98,-0.73,-0.55
1240,-0.06,9.73,0.51,-0.92,-1.28,0.06
1250,-0.21,9.66,0.49,-1.16,-0.67,-0.43
1260,-0.17,9.75,0.49,-1.46,-1.22,-0.12
1270,-0.20,9.72,0.50,-1.71,-2.56,0.37
1280,-0.05,9.76,0.56,-1.65,-0.55,-0.73
1290,-0.17,9.81,0.62,-0.18,-1.65,-0.06
1300,-0.15,9.73,0.60,-0.67,-1.16,-0.24
1310,-0.22,9.73,0.56,-1.46,-1.40,-0.67
1320,-0.20,9.80,0.52,-2.14,-1.59,-0.12
1330,-0.18,9.74,0.51,-1.89,-2.56,-0.18
1340,-0.12,9.71,0.41,-1.04,-1.65,0.06
1350,-0.21,9.78,0.53,-2.08,-1.16,-0.37
1360,-0.08,9.67,0.54,-1.71,-2.32,-0.85
1370,-0.07,9.71,0.51,-1.59,-1.22,0.12
1380,-0.15,9.74,0.62,-1.83,-2.32,-0.37
1390,-0.06,9.75,0.54,-1.89,-0.98,0.24
1400,-0.12,9.68,0.52,-2.26,-1.95,-0.24
1410,-0.25,9.72,0.62,-1.34,-1.34,-0.18
1420,-0.17,9.80,0.46,-2.26,-0.79,0.06
1430,-0.14,9.78,0.40,0.00,0.79,-0.24
1440,-0.22,9.81,0.56,-1.16,-0.92,-0.06
1450,-0.15,9.73,0.35,-0.37,1.71,-0.31
1460,-0.16,9.78,0.56,-1.77,-0.73,0.31
1470,-0.21,9.75,0.56,-2.38,-2.20,0.24
1480,-0.16,9.69,0.58,-1.77,-0.73,0.24
1490,-0.14,9.67,0.56,-2.62,-2.26,-0.85
