timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.96,0.11,0.27,0.55,1.04,-0.18
10,-9.92,0.20,0.31,-0.61,-0.98,0.12
20,-9.83,0.16,0.30,-0.31,-0.24,-0.12
30,-9.95,0.14,0.36,-0.85,-0.67,-0.12
40,-9.96,0.10,0.34,0.06,0.73,-0.24
50,-9.89,0.22,0.31,-0.79,0.12,-0.24
60,-9.86,0.14,0.30,-0.79,-0.92,0.79
70,-9.94,0.12,0.31,0.49,0.67,-0.43
80,-9.91,0.18,0.41,-0.79,-0.43,-0.49
90,-9.90,0.15,0.39,-0.98,-1.16,-0.79
100,-9.89,0.11,0.35,-1.16,-0.18,0.37
110,-9.94,0.14,0.33,-1.04,-1.04,-0.61
120,-9.83,0.20,0.32,-1.22,-0.37,0.67
130,-9.96,0.18,0.35,-0.67,-0.49,0.31
140,-9.79,0.26,0.32,0.06,-0.12,0.73
150,-9.84,0.20,0.31,-0.61,-0.49,0.55
160,-9.88,0.15,0.39,-0.18,-1.22,-0.12
170,-9.89,0.17,0.34,0.00,0.43,0.24
180,-9.93,0.12,0.25,-0.24,-0.24,-0.61
190,-9.89,0.20,0.37,-0.79,-0.18,0.67
200,-9.93,0.27,0.34,-0.85,-0.79,-0.49
210,-9.98,0.16,0.42,-0.67,-0.31,0.12
220,-9.85,0.10,0.37,-0.85,0.61,0.18
230,-9.91,0.17,0.39,-0.31,-0.06,-0.18
240,-9.92,0.21,0.41,-0.67,-0.98,-0.24
250,-9.88,0.18,0.39,-0.18,-0.18,0.06
260,-9.91,0.27,0.27,0.18,0.67,0.06
270,-9.86,0.21,0.32,-0.37,0.98,-0.12
280,-9.92,0.20,0.38,-0.73,-0.31,-0.92
290,-9.93,0.16,0.33,-0.24,-0.18,-0.24
300,-9.94,0.08,0.47,0.92,0.73,0.43
310,-9.89,0.20,0.32,-0.06,0.73,0.24
320,-9.93,0.23,0.27,-1.40,-0.61,-0.24
330,-9.91,0.16,0.33,-1.40,-1.22,0.37
340,-9.97,0.13,0.38,-0.85,-0.79,-0.43
350,-9.94,0.19,0.39,-0.06,-0.31,0.06
360,-9.90,0.17,0.28,-1.34,-1.46,-0.49
370,-9.95,0.24,0.30,0.37,0.37,0.31
380,-9.97,0.20,0.30,0.18,0.06,0.18
390,-9.86,0.27,0.32,-0.98,-0.49,-0.49
400,-9.95,0.17,0.41,-0.31,-0.12,0.31
410,-9.86,0.22,0.39,-0.98,-0.37,0.24
420,-9.85,0.14,0.39,-0.55,-0.12,0.37
430,-9.91,0.09,0.35,-1.28,-0.43,0.31
440,-9.89,0.21,0.24,-0.55,-0.67,0.43
450,-9.85,0.25,0.31,-1.16,-1.04,-1.10
460,-9.89,0.11,0.34,-1.04,-0.85,-0.55
470,-9.93,0.17,0.27,-0.49,-0.06,0.31
480,-9.92,0.18,0.31,-0.67,-0.43,-0.06
490,-9.87,0.19,0.34,-0.67,-1.16,0.37
500,-9.94,0.11,0.31,0.00,-0.49,-0.24
510,-9.96,0.17,0.30,-1.40,0.18,0.12
520,-9.84,0.20,0.29,-0.73,-1.10,0.67
530,-9.93,0.08,0.32,-1.34,-1.22,-0.12
540,-10.00,0.15,0.31,0.31,0.24,0.61
550,-9.91,0.17,0.33,-0.18,-0.49,-0.37
560,-9.93,0.20,0.37,-0.06,-0.98,0.85
570,-9.95,0.12,0.26,-0.55,-0.67,-0.24
580,-9.88,0.16,0.36,-1.34,-0.55,0.18
590,-9.91,0.13,0.36,-0.12,-0.18,-0.18
600,-9.89,0.12,0.30,-1.28,-0.79,-0.55
610,-9.84,0.20,0.36,-0.18,-0.31,0.18
620,-9.88,0.16,0.36,-0.73,0.49,-0.37
630,-9.89,0.12,0.40,0.67,0.24,-0.49
640,-9.85,0.16,0.24,0.00,0.37,0.37
650,-9.93,0.17,0.28,-1.40,-0.37,-0.31
660,-9.91,0.16,0.31,-1.22,-2.26,-0.55
670,-9.95,0.16,0.33,-0.12,0.24,-0.06
680,-9.99,0.16,0.35,-1.59,-1.04,0.12
690,-9.92,0.10,0.36,-0.67,0.12,0.31
700,-9.91,0.20,0.44,-0.67,0.18,0.06
710,-9.94,0.15,0.47,-0.79,-0.92,0.12
720,-9.96,0.28,0.36,0.24,0.12,0.00
730,-9.94,0.19,0.30,0.00,0.24,-0.06
740,-9.85,0.15,0.27,-0.55,-0.67,0.31
750,-9.88,0.20,0.26,-0.06,-0.49,-0.06
760,-9.88,0.04,0.36,-0.61,0.43,-0.24
770,-9.90,0.17,0.35,-1.65,-0.79,-0.12
780,-9.92,0.17,0.33,-0.79,-0.06,0.31
790,-9.95,0.13,0.37,-0.06,-0.43,-0.12
800,-10.10,0.13,0.44,0.24,-0.61,0.37
810,-9.93,0.08,0.29,-1.22,-0.37,0.12
820,-9.95,0.29,0.14,-0.79,0.67,0.00
830,-9.84,0.22,0.38,-0.24,-2.14,0.18
840,-9.93,0.15,0.58,-0.67,-1.77,-0.31
850,-9.81,0.16,0.44,-0.55,0.67,-0.85
860,-9.89,0.15,0.28,-0.92,0.00,0.31
870,-9.91,0.22,0.27,-0.61,-0.18,-0.12
880,-9.81,0.19,0.30,-0.18,-0.79,0.12
890,-9.86,0.15,0.35,-0.92,0.00,-0.24
900,-9.95,0.14,0.41,-0.79,-0.92,-0.18
910,-9.96,0.21,0.23,-0.49,-1.04,0.12
920,-9.96,0.25,0.23,-0.61,-0.61,-0.31
930,-9.96,0.18,0.44,-0.43,-1.89,-0.12
940,-9.97,0.13,0.47,0.24,-0.61,0.18
950,-9.95,0.06,0.50,-0.18,0.06,-0.31
960,-9.88,0.15,0.39,-0.31,-0.61,0.43
970,-9.92,0.25,0.19,-0.98,0.06,1.16
980,-9.89,0.15,0.12,-0.12,0.37,0.55
990,-9.93,0.16,0.28,0.79,-0.61,0.00
1000,-9.91,0.13,0.38,-1.22,-2.26,0.24
1010,-9.91,0.08,0.44,-0.55,-0.06,0.43
1020,-9.95,0.14,0.43,-0.12,-0.67,-0.49
1030,-9.93,0.19,0.37,-0.24,0.55,0.49
1040,-9.95,0.20,0.39,0.06,-0.12,0.06
1050,-9.90,0.20,0.27,-0.61,-0.98,0.06
1060,-9.92,0.21,0.39,-1.22,-0.67,-0.06
1070,-9.90,0.20,0.38,-0.67,0.00,0.24
1080,-9.92,0.15,0.24,-0.85,-0.67,-0.31
1090,-9.96,0.25,0.29,-0.37,-0.12,0.37
1100,-9.99,0.11,0.36,-1.34,-1.28,0.24
1110,-9.94,0.20,0.36,-1.40,-1.46,-0.06
1120,-9.89,0.18,0.39,-0.98,-0.37,0.31
1130,-9.81,0.15,0.40,-1.28,-0.18,0.37
1140,-9.92,0.16,0.23,-0.24,0.00,0.31
1150,-9.93,0.22,0.26,-0.49,-0.73,0.61
1160,-9.89,0.14,0.30,-0.24,-0.61,-0.92
1170,-9.92,0.12,0.37,-0.79,-1.59,-0.12
1180,-9.89,0.10,0.33,-0.61,-0.79,0.43
1190,-9.83,0.14,0.33,-0.49,-0.43,-0.06
1200,-9.84,0.20,0.36,-1.16,-1.22,-0.18
1210,-9.97,0.19,0.38,-0.79,-0.49,0.92
1220,-9.94,0.07,0.24,-0.43,-0.85,0.12
1230,-9.93,0.15,0.33,0.61,-0.18,0.31
1240,-9.96,0.15,0.31,-0.31,0.49,-0.12
1250,-9.87,0.18,0.28,0.00,0.18,0.12
1260,-9.94,0.15,0.27,0.06,-0.37,0.67
1270,-9.93,0.14,0.37,-0.37,-0.43,0.06
1280,-9.89,0.22,0.40,-0.49,-0.55,-0.67
1290,-9.85,0.14,0.38,0.06,-0.55,-0.61
1300,-9.85,0.25,0.27,0.37,0.67,-0.49
1310,-9.94,0.22,0.38,-0.24,-0.12,0.00
1320,-9.85,0.21,0.36,-1.04,-0.49,0.12
1330,-9.90,0.14,0.36,-0.67,-0.49,0.24
1340,-9.97,0.11,0.41,-0.43,-0.24,-0.49
1350,-9.84,0.14,0.45,-0.55,-0.49,0.12
1360,-9.94,0.06,0.37,-0.79,-0.24,0.18
1370,-9.98,0.15,0.36,-0.67,-1.34,0.67
1380,-9.79,0.10,0.32,0.24,0.24,-0.18
1390,-9.90,0.13,0.44,0.06,-1.53,-0.92
1400,-9.83,0.21,0.30,-0.49,-0.55,0.18
1410,-9.87,0.23,0.26,-0.73,-0.43,0.06
1420,-10.00,0.22,0.32,-0.55,-0.79,0.31
1430,-9.97,0.24,0.32,-0.85,-0.12,0.12
1440,-9.84,0.21,0.19,-0.06,0.06,-0.12
1450,-9.95,0.31,0.53,-0.55,-1.46,0.12
