timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.02,9.76,0.51,-0.49,-8.91,1.53
10,-0.09,9.66,0.65,-0.06,-8.48,1.10
20,0.07,9.73,0.58,1.34,-4.70,0.92
30,-0.09,9.81,0.58,1.16,-2.14,-0.49
40,0.01,9.75,0.49,0.37,-1.53,-0.55
50,-0.08,9.76,0.44,-0.79,-1.46,-0.79
60,-0.03,9.73,0.58,-1.46,-1.16,-0.98
70,-0.04,9.74,0.35,-1.59,-1.65,-0.61
80,-0.12,9.76,0.50,-3.11,-2.75,-1.10
90,-0.09,9.69,0.49,-1.46,-1.59,0.00
100,-0.08,9.61,0.52,-0.31,-1.16,-0.37
110,-0.13,9.76,0.42,0.67,-0.67,-0.12
120,-0.16,9.85,0.38,-0.61,-2.14,-0.31
130,-0.06,9.78,0.36,-0.61,-1.53,-0.06
140,-0.04,9.81,0.36,-2.08,-1.65,-0.73
150,-0.01,9.75,0.37,-3.11,-2.08,-0.85
160,-0.04,9.79,0.52,-3.91,-0.85,-0.73
170,0.02,9.73,0.48,-4.52,-2.26,-0.92
180,-0.09,9.73,0.41,-3.05,-0.79,-1.16
190,-0.07,10.32,0.54,-2.87,-0.12,-0.73
200,-0.12,9.72,0.62,-1.83,-0.79,-0.61
210,0.03,10.06,0.38,-2.14,-1.04,-0.06
220,-0.12,9.75,0.54,-2.99,-1.34,-1.10
230,-0.14,9.77,0.45,-1.77,-0.55,-0.61
240,0.03,10.02,0.47,-4.21,-0.24,-0.67
250,-0.29,10.85,-0.27,-4.52,25.33,0.79
260,-0.57,11.34,-0.74,-3.36,14.47,-5.25
270,0.13,8.88,1.07,-6.84,-2.93,-1.28
280,-0.18,10.27,0.20,0.43,-0.92,-0.79
290,0.09,9.33,1.06,-5.43,1.53,-3.23
300,-0.21,9.45,0.67,-2.50,5.43,-1.10
310,-0.41,9.78,0.04,0.00,0.43,-0.73
320,-0.20,9.41,0.60,-0.79,-1.65,0.67
330,0.13,10.29,0.54,1.34,-2.20,4.09
340,-0.19,10.03,0.26,-1.22,-1.34,0.85
350,-0.23,9.53,0.64,-4.03,-2.01,-1.65
360,0.06,9.68,0.61,-2.14,-1.28,1.16
370,-0.01,9.90,0.41,1.04,-1.28,0.49
380,-0.17,9.83,0.41,-1.83,-2.32,-0.79
390,-0.06,9.71,0.53,-1.46,-1.34,0.12
400,-0.16,9.78,0.44,-0.92,-1.59,0.18
410,-0.08,9.78,0.47,-1.71,-2.14,-0.18
420,-0.07,9.69,0.51,-2.44,-1.89,-0.06
430,-0.16,9.79,0.54,-1.83,-1.95,-0.18
440,-0.06,9.73,0.55,-1.95,-2.01,0.18
450,-0.18,9.75,0.57,-2.56,-1.95,0.18
460,-0.12,9.74,0.53,-0.37,-0.18,-0.37
470,-0.16,9.72,0.49,-2.01,-1.77,-0.85
480,-0.18,9.76,0.43,-0.98,0.31,0.92
490,-0.11,9.69,0.53,-2.26,-1.65,-0.12
500,-0.08,9.73,0.50,-2.20,-2.87,-0.06
510,-0.04,9.72,0.47,-1.53,-1.53,0.00
520,-0.15,9.72,0.55,-2.87,-0.73,0.37
530,-0.11,9.78,0.44,-0.98,-1.40,-0.61
540,-0.18,9.78,0.61,-0.73,-1.34,-0.12
550,-0.05,9.74,0.46,-0.98,-1.46,0.49
560,-0.11,9.79,0.46,-0.79,-1.28,0.12
570,-0.13,9.71,0.58,-1.04,-0.12,-0.55
580,-0.12,9.63,0.50,-1.10,-1.53,-0.37
590,0.00,9.78,0.44,-2.62,-2.08,-0.06
600,-0.07,9.84,0.60,-2.87,-2.56,-0.49
610,-0.07,9.75,0.46,-1.59,-0.06,-0.98
620,-0.05,9.69,0.55,-2.08,-1.83,-0.37
630,-0.07,9.68,0.50,-1.10,-1.28,-0.31
640,-0.05,9.84,0.45,-1.22,-0.73,-0.06
650,-0.12,9.66,0.50,-0.85,-1.10,-0.24
660,-0.15,9.64,0.50,-1.28,-0.37,0.06
670,-0.05,9.72,0.41,-1.59,-0.92,0.12
680,-0.13,9.70,0.47,-1.95,-2.01,-0.06
690,-0.13,9.82,0.44,-0.31,-0.92,-0.43
700,-0.06,9.64,0.54,-4.21,-1.59,-0.31
710,-0.13,9.55,0.72,-1.95,-1.28,-0.37
720,-0.16,9.67,0.48,1.65,-0.43,0.24
730,-0.01,9.84,0.51,-0.49,-0.73,0.79
740,-0.14,9.94,0.58,-2.87,-1.83,-0.31
750,-0.19,9.70,0.56,-2.87,-1.89,0.12
760,-0.24,9.75,0.50,0.24,-1.46,0.06
770,-0.12,9.86,0.44,-1.04,-1.77,-0.49
780,-0.04,9.56,0.57,-1.53,-2.32,-0.31
790,-0.07,9.77,0.42,-0.12,-1.71,0.37
800,-0.09,9.93,0.43,-2.20,-1.59,-0.67
810,0.03,9.55,0.60,-1.95,-1.46,0.06
820,-0.02,9.98,0.49,-0.61,-0.92,0.92
830,-0.12,10.04,-0.05,-3.85,-1.04,-2.38
840,-0.18,9.10,1.11,-4.27,-3.42,1.40
850,-0.38,10.35,0.05,6.04,-1.65,-0.55
860,-0.19,8.13,1.28,-6.65,-1.59,-1.22
870,0.22,11.04,0.71,8.48,0.49,3.72
880,-0.17,9.60,-0.59,-8.85,8.00,-0.85
890,0.08,9.62,0.62,0.00,-1.10,-0.06
900,-0.06,10.19,0.16,2.81,-1.89,1.53
910,-0.15,9.57,0.63,-5.37,-0.73,-1.40
920,-0.02,9.55,0.67,-1.95,-0.61,0.43
930,0.06,9.93,0.35,-0.43,-1.10,0.85
940,-0.13,9.72,0.48,-2.32,-1.89,-0.55
950,-0.12,9.58,0.45,-0.24,-0.37,-0.06
960,-0.15,9.82,0.34,1.28,-1.22,0.67
970,-0.14,9.74,0.51,-1.59,-0.67,-0.37
980,-0.20,9.73,0.59,-1.59,-2.56,0.18
990,-0.08,9.73,0.39,0.61,-1.71,0.85
1000,0.02,9.73,0.42,-0.55,-1.16,0.18
1010,0.04,9.76,0.47,-0.61,-2.01,0.79
1020,-0.11,9.68,0.53,0.67,-0.92,-0.73
1030,-0.21,9.65,0.63,-2.14,-1.59,-0.37
1040,-0.17,9.64,0.60,-0.55,-0.55,-0.18
1050,-0.14,9.71,0.35,1.46,0.12,1.53
1060,-0.07,10.05,0.23,0.37,-1.34,1.16
1070,-0.19,9.62,0.55,-1.28,0.06,-0.31
1080,-0.06,9.65,0.51,-1.16,-1.65,0.43
1090,-0.05,9.96,0.40,0.12,-0.85,0.18
1100,-0.01,9.69,0.56,-2.93,-1.40,-0.79
1110,-0.08,9.54,0.61,-1.46,-1.46,-0.06
1120,-0.07,9.79,0.48,-0.31,-0.61,0.24
1130,-0.20,9.63,0.58,-2.62,-1.04,-1.28
1140,-0.14,9.74,0.56,-0.12,-1.53,-0.18
1150,-0.07,9.75,0.50,-0.73,-2.01,0.61
1160,-0.06,9.96,0.35,-1.89,-0.92,-0.49
1170,-0.05,9.72,0.36,-2.14,-2.01,0.12
1180,-0.14,9.79,0.46,-1.71,-2.14,-0.79
1190,-0.24,9.71,0.49,-0.73,-0.37,0.00
1200,-0.11,9.85,0.51,-1.83,-2.01,-0.79
1210,-0.09,9.73,0.51,-1.89,-1.59,0.18
1220,-0.17,9.76,0.58,-2.38,-1.65,-0.67
1230,-0.16,9.71,0.37,-0.73,-1.34,-0.92
1240,-0.02,9.76,0.56,-0.85,-0.98,-0.24
1250,-0.04,9.72,0.51,-1.95,-1.65,-0.24
1260,-0.15,9.71,0.54,-2.26,-1.40,-0.24
1270,-0.14,9.75,0.47,-1.22,-0.98,-0.12
1280,-0.00,9.74,0.44,-1.77,-1.77,-0.12
1290,-0.08,9.80,0.47,-1.95,-2.08,-0.37
1300,-0.11,9.74,0.45,-1.10,-1.04,0.37
1310,-0.03,9.82,0.49,-1.04,-0.73,0.12
1320,-0.03,9.79,0.50,-1.10,-2.32,-0.55
1330,0.01,9.80,0.48,-2.62,-1.59,0.43
1340,-0.02,9.81,0.49,-0.79,-1.40,-0.06
1350,-0.19,9.66,0.53,-2.08,-2.50,-0.55
1360,-0.08,9.81,0.47,-0.85,-1.40,-0.98
1370,-0.17,9.77,0.61,-1.34,-0.92,0.00
1380,-0.09,9.68,0.59,-2.08,-0.79,-0.73
1390,-0.18,9.72,0.50,0.06,-0.85,-0.12
1400,-0.16,9.81,0.44,-1.10,-2.14,-0.06
1410,-0.20,9.62,0.49,-0.49,-0.79,0.12
1420,-0.22,9.76,0.53,-1.34,-0.85,-0.73
1430,-0.07,9.84,0.47,-1.65,-1.95,0.00
1440,-0.11,9.70,0.50,-2.14,-1.46,-0.31
1450,-0.12,9.70,0.48,-1.10,-1.16,0.12
1460,-0.12,9.86,0.54,-1.83,-1.59,-0.06
1470,-0.13,9.65,0.61,-2.69,-2.14,-0.06
1480,-0.05,9.73,0.53,-2.08,-1.34,0.37
1490,-0.04,9.76,0.47,-1.10,-0.92,-0.98
