timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.26,9.87,0.46,0.12,0.06,-0.37
10,-0.22,9.66,0.47,-0.37,0.06,0.43
20,-0.11,9.90,0.48,0.98,0.85,1.22
30,-0.13,9.64,0.53,0.18,0.31,-0.18
40,-0.12,9.84,0.56,0.00,0.43,0.00
50,-0.18,9.85,0.54,-1.04,-0.79,-0.18
60,-0.20,9.76,0.49,-0.49,0.55,0.00
70,-0.18,9.66,0.54,0.06,0.79,0.24
80,-0.06,9.82,0.53,0.24,-0.73,-0.18
90,-0.18,9.75,0.48,-1.22,-0.67,-0.24
100,-0.14,9.76,0.49,0.37,0.49,0.31
110,-0.17,9.78,0.49,-0.31,-0.73,-0.31
120,-0.14,9.74,0.55,0.18,0.12,0.06
130,-0.18,9.82,0.52,0.31,-0.37,0.24
140,-0.10,9.81,0.46,-0.73,-0.92,-0.37
150,-0.24,9.76,0.52,-0.37,-0.06,-0.18
160,-0.14,9.75,0.52,-0.06,0.43,0.06
170,-0.12,9.70,0.55,-0.37,0.12,0.37
180,-0.10,9.82,0.44,-0.18,0.85,-0.85
190,-0.13,9.78,0.44,0.43,-0.37,0.43
200,-0.20,9.83,0.50,0.55,0.73,0.24
210,-0.16,9.73,0.47,-0.67,0.43,0.79
220,-0.09,9.78,0.56,-0.31,-0.61,0.18
230,-0.23,9.73,0.57,0.49,0.31,0.55
240,-0.12,9.80,0.46,-0.55,0.00,0.18
250,-0.11,9.79,0.53,-0.06,0.98,-0.79
260,-0.14,9.81,0.50,-0.79,-0.24,0.61
270,-0.15,9.84,0.47,-0.85,-0.92,-0.55
280,-0.14,9.69,0.50,-0.67,-0.67,0.00
290,-0.15,9.80,0.49,-0.67,-0.24,0.37
300,-0.14,9.79,0.51,-0.55,-0.92,-0.37
310,-0.14,9.81,0.54,-0.49,0.37,0.43
320,-0.23,9.71,0.51,-0.61,0.73,0.06
330,-0.19,9.87,0.52,-0.18,-0.61,0.37
340,-0.17,9.86,0.55,-0.12,0.31,0.00
350,-0.19,9.74,0.56,-0.12,0.43,0.55
360,-0.22,9.74,0.54,-0.55,0.37,0.79
370,-0.12,9.70,0.38,-0.24,-0.31,0.98
380,-0.10,9.81,0.49,-0.67,0.24,0.37
390,-0.24,9.75,0.50,-0.49,-0.06,0.06
400,-0.15,9.79,0.48,0.12,0.18,0.61
410,-0.10,9.77,0.50,-0.49,-1.10,-0.37
420,-0.11,9.75,0.49,-0.61,-1.04,1.28
430,-0.16,9.80,0.43,0.12,-0.49,0.37
440,-0.15,9.74,0.51,-1.22,0.06,0.31
450,-0.23,9.80,0.51,0.00,-0.55,0.49
460,-0.14,9.75,0.55,-1.16,-0.24,0.85
470,-0.07,9.76,0.53,0.37,1.04,-0.61
480,-0.11,9.82,0.55,-0.98,-0.43,0.12
490,-0.14,9.80,0.49,-0.18,-0.73,0.37
500,-0.17,9.79,0.52,-0.37,0.55,0.00
510,-0.19,9.76,0.50,-0.79,-0.06,0.18
520,-0.13,9.80,0.50,0.24,1.16,0.37
530,-0.13,9.74,0.52,-0.37,-1.04,-0.12
540,-0.16,9.79,0.56,-0.67,0.12,-0.24
550,-0.13,9.80,0.45,-0.06,-0.55,0.31
560,-0.20,9.70,0.46,0.06,0.18,0.18
570,-0.10,9.78,0.49,-0.79,-0.92,-0.92
580,-0.16,9.75,0.47,0.12,0.31,0.31
590,-0.19,9.74,0.54,0.49,0.00,0.55
600,0.00,9.84,0.45,0.31,0.55,-0.79
610,-0.12,9.74,0.55,-0.18,-0.43,-0.37
620,-0.16,9.78,0.62,0.06,-0.06,-0.61
630,-0.22,9.76,0.53,-0.98,-0.06,0.98
640,-0.07,9.87,0.50,-0.12,1.59,0.31
650,-0.11,9.75,0.54,-0.06,-0.24,0.55
660,-0.09,9.78,0.58,0.18,-0.06,0.73
670,-0.15,9.80,0.51,0.12,0.43,0.55
680,-0.19,9.82,0.55,-0.24,-0.92,-0.06
690,-0.07,9.82,0.47,-0.31,0.24,0.12
700,-0.19,9.81,0.46,1.16,1.65,-0.31
710,-0.19,9.84,0.51,-0.18,-0.24,0.18
720,-0.14,9.77,0.47,0.24,0.79,-0.67
730,-0.20,9.73,0.52,0.24,0.92,0.67
740,-0.15,9.74,0.53,-0.55,-1.10,0.73
750,-0.12,9.78,0.47,0.00,0.00,0.92
760,-0.17,9.73,0.56,0.37,0.31,0.31
