timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.13,9.77,0.54,-0.73,-1.40,-0.98
10,-0.06,9.80,0.52,-1.28,-1.71,-0.73
20,-0.10,9.79,0.41,-2.01,-1.46,-0.49
30,-0.07,9.73,0.55,-1.34,-1.28,0.31
40,-0.13,9.73,0.44,-1.04,-0.92,-0.06
50,-0.08,9.83,0.44,-1.10,-1.40,-0.43
60,-0.11,9.74,0.44,-1.77,-2.20,-0.12
70,0.06,9.78,0.45,-2.01,-1.46,-0.55
80,-0.10,9.71,0.43,-1.65,-1.10,-0.73
90,-0.13,9.67,0.47,-2.01,-1.65,-1.04
100,-0.13,9.68,0.43,-0.92,-1.89,0.00
110,-0.14,9.78,0.46,-3.23,-2.69,-1.16
120,-0.12,9.70,0.48,-0.37,-0.67,-1.10
130,-0.15,9.81,0.45,-1.46,-1.89,-0.67
140,-0.08,9.80,0.35,-2.44,-2.44,-0.55
150,-0.14,9.52,0.23,-1.83,-2.20,-0.73
160,-0.05,9.73,0.46,-1.34,-1.89,-0.49
170,-0.12,9.62,0.47,-2.20,-3.23,-1.22
180,-0.18,9.66,0.50,-1.95,-1.89,-0.79
190,-0.02,9.79,0.53,-1.22,-1.04,-0.55
200,-0.08,9.72,0.42,-0.92,-1.22,0.06
210,-0.11,9.72,0.47,-1.16,-0.98,-0.61
220,-0.13,9.68,0.43,-2.01,-1.04,-0.73
230,-0.15,9.69,0.57,-1.46,-1.83,0.12
240,-0.14,9.73,0.56,-0.98,-0.79,-0.49
250,-0.07,9.80,0.44,-1.95,-0.61,0.49
260,-0.09,9.67,0.51,-1.40,0.73,-0.18
270,-0.16,9.77,0.49,-1.65,-1.71,0.00
280,-0.04,9.84,0.41,-3.05,-0.61,0.00
290,-0.13,9.76,0.47,-3.78,-1.95,-1.22
300,-0.07,9.85,0.46,-4.15,-1.34,-0.73
310,-0.15,9.78,0.49,-5.00,-1.22,-1.53
320,0.26,9.30,0.52,-7.14,-0.55,-3.48
330,0.10,10.41,0.22,-11.84,-0.55,-0.18
340,0.04,9.99,0.47,-20.14,-1.53,-0.55
350,-0.09,9.39,1.05,-18.07,-0.73,0.31
360,0.10,9.23,1.02,-9.03,0.61,0.00
370,-0.23,9.22,0.77,11.54,6.90,-0.12
380,-0.40,9.66,0.32,19.17,2.50,-0.73
390,-0.25,9.56,0.61,17.82,-1.28,-0.92
400,-0.56,11.46,-0.93,13.92,-0.55,1.77
410,-0.80,8.11,1.02,-10.93,-1.89,-4.94
420,0.26,10.14,0.80,2.44,-1.59,2.56
430,0.17,10.24,0.34,-3.97,-1.34,0.61
440,-0.37,9.03,0.75,-2.75,-1.71,-0.85
450,-0.19,9.84,0.44,0.37,-0.55,-0.55
460,-0.08,9.63,0.73,-3.17,-1.59,-0.37
470,-0.08,9.85,0.38,0.55,-0.79,-0.49
480,-0.12,9.79,0.54,-2.56,-1.28,-0.55
490,-0.12,9.77,0.48,-1.10,-1.46,0.85
500,-0.12,9.77,0.39,-0.43,-0.55,0.18
510,-0.16,9.68,0.50,-0.73,-1.89,-0.73
520,-0.12,9.86,0.51,-0.79,-0.85,0.31
530,-0.14,9.67,0.60,-1.16,-1.10,-0.73
540,-0.08,9.78,0.56,-1.53,-1.53,0.18
550,-0.05,9.74,0.44,-2.50,-2.38,0.00
560,-0.07,9.75,0.51,-0.98,-1.16,-0.43
570,-0.18,9.74,0.48,-2.08,-1.65,-0.73
580,-0.13,9.79,0.49,-1.95,-2.56,-0.24
590,-0.17,9.86,0.50,-3.48,-2.99,-0.49
600,0.08,10.13,0.34,0.79,1.53,-1.04
610,-0.16,8.99,0.26,-6.04,-0.49,-4.70
620,0.02,9.90,0.48,4.82,-1.53,-0.18
630,0.07,10.54,0.38,1.59,2.14,2.56
640,-0.18,9.35,0.52,-1.83,-0.79,-0.67
650,-0.24,9.54,0.56,-1.83,-0.37,-0.73
660,-0.18,9.68,0.58,-0.18,-0.37,-0.43
670,-0.05,10.05,0.52,1.59,1.28,0.18
680,-0.06,9.71,0.66,-1.89,-0.61,0.31
690,-0.16,9.88,0.40,0.43,-1.16,0.55
700,-0.14,9.76,0.58,-3.11,-2.14,-0.43
710,-0.04,9.88,0.45,0.06,-0.31,-0.43
720,-0.08,9.76,0.56,-1.65,-1.89,-0.73
730,-0.16,9.65,0.60,-1.40,-0.92,0.00
740,-0.12,9.72,0.43,-1.10,-0.73,-1.16
750,-0.16,9.86,0.50,-1.89,-0.55,-0.61
760,-0.16,9.78,0.57,-3.48,-2.26,-0.12
770,-0.09,9.76,0.41,-2.32,-1.89,-0.12
780,-0.17,9.78,0.56,-1.95,-2.01,-0.79
790,-0.08,9.79,0.53,-1.28,-1.77,-0.31
800,-0.15,9.78,0.63,-0.24,0.24,0.00
810,-0.21,9.74,0.40,-1.28,-1.89,-0.18
820,-0.23,9.78,0.45,-1.83,-1.83,0.06
830,-0.09,9.85,0.47,-2.20,-1.10,0.79
840,-0.05,9.80,0.52,0.61,-1.34,0.18
850,-0.12,9.72,0.46,-0.61,-2.01,-0.12
860,-0.07,9.84,0.54,-0.43,-0.73,0.31
870,-0.13,9.78,0.59,-0.67,-1.10,0.18
880,-0.11,9.74,0.50,-1.71,-2.32,-0.67
890,-0.13,9.76,0.56,-1.22,-1.59,0.12
900,-0.04,9.74,0.52,-1.28,-2.50,0.31
910,-0.08,9.88,0.56,-0.31,-0.73,-0.12
920,-0.07,9.76,0.52,-1.16,-1.22,-0.24
930,-0.14,9.81,0.45,-0.61,-1.40,-0.12
940,-0.14,9.78,0.49,-1.22,-1.95,-0.55
950,-0.12,9.69,0.47,-1.28,-1.89,0.49
960,-0.12,9.73,0.60,-1.34,-1.71,0.18
970,-0.14,9.76,0.57,-0.24,-1.34,0.12
980,-0.10,9.75,0.53,-1.34,-1.04,0.12
990,-0.18,9.67,0.52,-1.40,-0.98,0.00
1000,-0.13,9.83,0.52,-0.61,-1.28,-0.31
1010,-0.09,9.84,0.50,-2.32,-2.56,-0.49
1020,-0.07,9.69,0.43,-1.34,-0.61,0.12
1030,-0.12,9.73,0.46,-0.43,-0.61,0.55
1040,-0.13,9.70,0.49,-0.98,-2.93,0.24
1050,-0.23,9.68,0.57,-2.69,-0.24,-0.12
1060,-0.17,9.73,0.55,0.00,0.61,0.43
1070,0.01,9.73,0.55,-1.89,-2.14,0.43
1080,-0.13,9.80,0.51,-0.12,-0.61,0.61
1090,-0.17,9.62,0.40,-1.71,-1.40,0.00
1100,-0.13,9.96,0.62,-1.59,-2.87,1.10
1110,-0.12,10.03,0.25,-1.10,-1.22,0.73
1120,0.59,4.83,-0.21,-6.47,1.53,-2.14
1130,-0.56,10.38,-0.45,3.30,-2.08,-0.85
1140,0.30,9.68,0.61,-7.93,-0.31,-1.10
1150,0.11,9.89,0.74,1.40,-0.73,1.28
1160,-0.02,9.90,0.06,1.46,-2.01,-0.85
1170,-0.40,9.21,0.73,-3.78,-1.83,-1.53
1180,-0.08,9.78,0.55,-0.98,-3.23,-0.12
1190,-0.10,9.81,0.45,-2.32,-1.34,0.37
1200,-0.26,9.61,0.51,-2.81,-2.93,-0.43
1210,-0.18,9.70,0.39,-0.31,-1.04,-0.73
1220,-0.07,9.72,0.53,-1.83,-0.79,-0.06
1230,-0.14,9.88,0.54,-2.38,-0.37,0.12
1240,-0.03,9.69,0.51,-1.04,-1.28,-0.61
1250,-0.06,9.79,0.44,-1.59,-0.79,-0.49
1260,-0.09,9.82,0.50,-1.65,-1.71,0.18
1270,0.03,9.75,0.42,-0.61,-0.61,0.12
1280,-0.15,9.73,0.49,-1.95,-1.71,-0.79
1290,-0.13,9.70,0.51,-1.59,-0.92,-0.12
1300,-0.22,9.72,0.43,-1.16,-1.28,-0.31
1310,-0.11,9.74,0.51,-1.34,-1.40,0.06
1320,-0.20,9.79,0.43,-1.71,-1.89,0.06
1330,-0.22,9.76,0.48,-1.28,-0.85,-0.49
1340,0.01,9.86,0.49,-0.73,-1.34,-0.31
1350,-0.11,9.83,0.46,-2.08,-1.40,0.18
