timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.12,9.74,0.27,0.43,-1.59,0.98
10,-0.07,9.71,0.43,-0.67,-1.83,1.65
20,0.02,9.74,0.40,0.55,-1.83,1.16
30,0.03,9.78,0.47,-1.77,-2.08,1.04
40,-0.10,9.81,0.30,-1.46,-1.77,-0.43
50,0.04,9.80,0.43,-2.44,-1.95,-1.04
60,-0.06,9.75,0.43,-4.52,-1.65,-1.28
70,-0.02,9.80,0.45,-2.32,-1.10,-0.18
80,0.03,9.74,0.39,-3.42,-1.89,-0.49
90,-0.13,9.66,0.43,-3.72,-1.89,-0.12
100,-0.16,9.71,0.43,-1.10,-0.06,-0.06
110,-0.05,9.74,0.50,-3.05,-2.01,-0.92
120,-0.01,9.91,0.41,-1.16,0.31,0.00
130,0.06,10.23,0.37,-3.17,-0.24,-1.16
140,-0.09,9.73,0.45,-6.53,-0.37,-3.23
150,-0.07,9.84,0.41,-7.93,-0.92,-3.66
160,0.39,10.82,1.16,-2.75,-1.04,-2.14
170,-0.35,10.55,1.74,11.35,7.57,-5.92
180,-0.39,10.19,-1.51,-27.77,18.37,-3.72
190,0.02,9.59,0.63,-17.40,5.00,0.24
200,-0.25,9.35,1.23,-2.26,5.13,-1.59
210,-0.59,8.90,1.06,10.68,1.10,-2.32
220,0.38,10.55,-0.13,3.72,-0.73,5.07
230,-0.43,9.54,0.24,-6.84,-0.73,-3.54
240,-0.44,9.00,0.85,-3.91,-1.83,-1.10
250,-0.09,9.84,0.56,3.42,-1.34,2.69
260,0.06,10.18,0.24,1.34,-2.87,1.10
270,-0.14,9.59,0.53,-4.03,-0.24,-1.95
280,-0.12,9.57,0.66,-1.40,-0.06,-0.55
290,-0.11,9.99,0.35,0.61,-0.55,0.73
300,-0.04,9.89,0.35,-1.65,-1.04,0.12
310,-0.12,9.66,0.45,-2.81,-1.89,-0.92
320,-0.15,9.63,0.52,-2.14,-2.14,0.12
330,-0.15,9.76,0.52,-1.10,-0.92,0.49
340,-0.12,9.76,0.45,-2.20,-1.65,0.00
350,-0.12,9.67,0.48,-0.55,-1.83,-0.31
360,-0.04,9.79,0.45,-1.04,-0.55,-0.06
370,-0.08,9.73,0.49,-1.89,-1.95,0.31
380,-0.08,9.71,0.57,-0.79,-0.73,-0.24
390,-0.02,9.61,0.59,-1.77,-1.53,-0.43
400,-0.10,9.80,0.54,-1.10,-1.22,-0.18
410,-0.11,9.78,0.47,-1.59,-1.28,0.06
420,-0.20,9.66,0.50,-1.46,-0.67,-0.18
430,-0.10,9.75,0.49,-2.08,-2.20,-0.31
