timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.95,0.20,0.35,-0.31,0.06,0.85
10,-9.93,0.13,0.29,-0.73,-0.67,-0.24
20,-9.95,0.17,0.32,-0.24,0.12,-0.98
30,-9.87,0.18,0.35,-0.06,0.55,-0.06
40,-9.88,0.16,0.35,0.12,-0.31,0.49
50,-9.90,0.20,0.46,-0.61,0.61,0.31
60,-9.94,0.16,0.43,-0.43,-0.18,-0.31
70,-9.92,0.14,0.34,0.49,0.12,0.79
80,-9.91,0.07,0.45,-0.85,-0.67,0.67
90,-9.96,0.13,0.35,-0.18,0.31,-0.12
100,-9.98,0.18,0.38,-0.06,-0.24,0.18
110,-9.94,0.17,0.38,0.31,0.55,-0.31
120,-9.97,0.17,0.37,-0.31,0.18,0.06
130,-9.94,0.16,0.36,-1.22,0.61,0.67
140,-9.88,0.12,0.39,-0.24,0.31,1.10
150,-9.93,0.11,0.36,-0.85,0.06,-0.55
160,-9.92,0.19,0.36,-0.18,0.12,0.12
170,-9.95,0.19,0.28,-0.12,0.12,0.24
180,-9.95,0.16,0.37,-0.18,0.67,0.12
190,-9.93,0.17,0.28,0.12,-0.98,-0.49
200,-9.98,0.10,0.33,-0.92,-1.16,-0.31
210,-9.89,0.14,0.28,-0.67,0.31,-0.24
220,-9.87,0.20,0.35,-0.85,-0.67,0.55
230,-9.89,0.14,0.38,-1.04,-0.37,0.55
240,-9.95,0.18,0.30,0.79,0.43,0.67
250,-9.91,0.27,0.29,-0.73,-0.37,0.37
260,-9.98,0.20,0.31,-0.37,-0.12,-0.31
270,-9.89,0.15,0.32,0.67,0.24,-0.06
280,-9.92,0.21,0.30,0.85,0.31,0.31
290,-9.83,0.08,0.27,-0.79,-0.43,0.24
300,-9.91,0.14,0.39,0.06,-0.24,-0.24
310,-10.03,0.16,0.43,-0.55,-0.24,-0.43
320,-9.85,0.16,0.39,-0.18,-0.49,1.28
330,-9.89,0.20,0.38,-0.18,-0.61,0.37
340,-9.89,0.17,0.42,-0.24,-0.18,-0.12
350,-9.87,0.17,0.28,-0.49,-0.49,0.43
360,-10.00,0.15,0.31,-0.55,-0.49,0.31
370,-9.98,0.11,0.42,-0.12,-0.98,-0.73
380,-9.93,0.13,0.41,-0.37,-1.28,0.24
390,-9.84,0.22,0.27,-1.46,-1.16,0.49
400,-9.94,0.17,0.34,-0.92,-0.67,0.37
410,-9.87,0.13,0.31,-0.98,-0.67,0.12
420,-9.95,0.11,0.36,-1.04,0.12,0.18
430,-9.99,0.16,0.41,-0.79,-0.73,0.79
440,-9.84,0.19,0.35,-0.67,-1.16,-0.31
450,-9.89,0.13,0.39,-1.22,-1.46,0.24
460,-9.96,0.11,0.40,-0.92,-1.04,-0.18
470,-9.85,0.19,0.39,-0.12,-0.24,-0.12
480,-9.93,0.13,0.36,-0.55,-0.43,0.24
490,-9.95,0.16,0.41,0.06,0.43,0.00
500,-9.92,0.18,0.35,-0.37,0.12,-0.24
510,-9.89,0.23,0.33,-0.79,-1.16,0.12
520,-9.87,0.20,0.30,-1.34,-0.98,0.00
530,-9.86,0.18,0.35,-0.43,-1.16,0.18
540,-9.96,0.16,0.36,-0.92,-1.10,0.00
550,-9.97,0.11,0.34,-0.24,-0.92,-0.37
560,-9.96,0.16,0.37,-0.67,-0.24,-0.24
570,-9.95,0.11,0.36,-0.98,-0.43,0.49
580,-9.81,0.19,0.34,-0.06,-0.06,0.43
590,-9.93,0.20,0.26,-0.61,0.24,-0.73
600,-9.94,0.16,0.36,-0.85,-0.98,0.12
610,-9.92,0.14,0.34,-0.37,-0.55,0.67
620,-9.82,0.15,0.36,-0.31,-0.55,-0.31
630,-10.19,0.12,0.30,-0.24,-0.18,-0.24
640,-10.06,0.07,0.54,-0.24,-1.46,0.55
