timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.19,9.80,0.50,-0.85,-0.37,-0.43
10,-0.23,9.83,0.43,0.18,-0.06,0.55
20,-0.24,9.70,0.53,-0.85,-0.43,0.18
30,-0.18,9.81,0.44,-0.18,-1.16,0.79
40,-0.21,9.82,0.41,-1.16,-1.34,-0.06
50,-0.27,9.80,0.49,0.18,0.18,0.24
60,-0.21,9.85,0.45,-1.22,-0.18,0.12
70,-0.19,9.80,0.42,0.24,-0.31,0.92
80,-0.21,9.81,0.50,-0.18,-0.06,1.22
90,-0.20,9.79,0.46,-0.18,-0.67,0.31
100,-0.25,9.76,0.52,-0.37,0.49,0.18
110,-0.31,9.74,0.53,0.24,-1.04,0.85
120,-0.25,9.71,0.53,-0.55,0.24,0.31
130,-0.23,9.76,0.54,-0.61,-1.16,0.49
140,-0.18,9.81,0.44,-0.37,-0.24,0.43
150,-0.18,9.83,0.48,-0.12,0.37,0.61
160,-0.24,9.91,0.51,-1.46,-0.55,-0.31
170,-0.24,9.78,0.48,0.55,0.31,-0.43
180,-0.25,9.85,0.48,-0.37,-0.18,-0.06
190,-0.30,9.70,0.51,-0.31,-0.31,-0.49
200,-0.24,9.80,0.44,-0.92,-1.04,0.24
210,-0.20,9.81,0.56,-1.28,-1.16,0.92
220,-0.28,9.76,0.57,-0.18,-0.43,-0.31
230,-0.10,9.80,0.48,-0.49,-0.37,0.12
240,-0.17,9.76,0.46,-0.12,-0.55,-0.24
250,-0.21,9.82,0.50,-0.37,-0.67,0.00
260,-0.25,9.81,0.49,-0.55,-0.43,0.55
270,-0.25,9.75,0.46,-0.43,0.43,0.43
280,-0.27,9.80,0.42,0.00,0.12,0.67
290,-0.26,9.78,0.44,-0.12,0.43,1.04
300,-0.17,9.78,0.42,0.12,0.24,0.43
310,-0.27,9.75,0.52,-0.49,-0.37,0.18
320,-0.18,9.89,0.50,-0.61,-0.85,0.37
330,-0.18,9.81,0.48,-0.06,-0.31,0.06
340,-0.17,9.79,0.51,-0.67,-0.61,0.61
350,-0.17,9.81,0.50,-0.31,-0.61,0.24
360,-0.26,9.86,0.53,-0.43,-0.37,0.18
370,-0.24,9.78,0.54,0.18,-0.49,0.79
380,-0.14,9.82,0.43,-0.92,-0.49,-0.12
390,-0.20,9.70,0.46,-0.85,-1.22,-0.37
400,-0.11,9.93,0.54,-0.31,-1.77,0.73
410,-0.18,9.89,0.49,-0.85,-0.24,0.43
420,-0.33,9.78,0.45,-0.12,0.12,-0.92
430,-0.35,9.58,0.50,-0.18,-0.31,0.43
440,-0.29,9.78,0.58,-0.98,-0.98,1.16
450,-0.18,9.80,0.48,-0.12,0.00,0.98
460,-0.22,9.81,0.44,0.49,-0.18,0.06
470,-0.11,9.85,0.43,0.24,0.06,-0.67
480,-0.21,9.75,0.60,-1.28,-0.61,0.43
490,-0.19,9.75,0.49,-0.24,-0.67,0.92
500,-0.14,9.87,0.58,-0.85,-1.34,0.49
