timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.19,9.66,0.56,1.59,0.79,0.18
10,-0.21,9.91,0.55,1.83,-0.06,-0.24
20,-0.14,9.71,0.49,-0.49,-2.14,0.00
30,-0.11,9.67,0.41,-0.37,-1.10,-0.31
40,-0.13,9.79,0.42,-1.59,-0.73,0.06
50,-0.07,9.85,0.35,-0.37,-1.16,0.55
60,-0.12,9.80,0.45,-1.77,-1.53,0.43
70,-0.14,9.76,0.54,-2.32,-1.16,0.55
80,-0.14,9.80,0.56,-2.38,-1.83,0.85
90,-0.16,9.77,0.48,-2.99,-0.98,0.73
100,-0.13,9.73,0.46,-2.14,-1.95,0.06
110,-0.12,9.70,0.53,-2.32,-1.59,-0.12
120,-0.23,9.36,0.69,-0.24,-2.14,0.18
130,-0.53,9.95,0.08,2.20,-3.42,1.28
140,0.01,9.84,0.46,1.34,-9.70,-0.79
150,0.10,9.27,0.75,0.49,-7.93,-1.65
160,0.19,10.14,0.36,1.46,-3.60,-0.98
170,0.11,9.72,0.62,-0.92,-4.64,-2.44
180,-0.06,10.04,0.25,-3.30,-2.20,-3.23
190,-0.08,9.69,0.64,-3.91,-0.24,-5.19
200,-0.14,9.68,0.56,-3.42,-0.85,-2.69
210,-0.02,9.76,0.75,-2.81,-0.12,-2.93
220,0.24,10.06,1.18,-5.25,11.66,-2.87
230,0.15,6.60,3.33,20.94,-9.46,-26.43
240,-0.63,10.48,-2.63,-10.68,22.83,12.08
250,-0.36,9.85,-0.54,-2.32,-5.00,1.46
260,-0.22,9.53,1.16,-0.98,-11.41,2.26
270,-0.10,9.97,0.56,6.84,-1.59,0.73
280,-0.03,9.76,0.61,13.12,-5.31,-2.20
290,-0.14,10.06,0.34,8.85,-3.17,-2.81
300,-0.33,9.04,0.03,4.33,1.53,-1.16
310,-0.17,9.76,0.03,-0.49,-5.25,6.47
320,0.16,10.11,0.40,-5.31,-6.96,5.07
330,0.14,10.30,0.39,-38.39,15.75,0.67
340,-0.86,13.10,-4.25,-68.66,28.99,3.60
350,-0.20,7.57,1.97,-18.07,6.23,0.06
360,-0.69,8.99,0.85,13.43,5.19,-1.10
370,-0.81,13.14,-0.57,34.18,-8.42,-0.06
380,0.47,9.84,-0.71,-3.42,-0.61,-0.24
390,0.44,8.23,1.63,-19.90,-4.94,2.44
400,-0.10,8.64,1.27,2.14,-1.95,-1.59
410,-0.14,10.64,-0.87,4.33,-0.31,2.20
420,-0.03,9.60,1.35,-11.72,1.40,-2.01
430,0.11,10.18,0.30,6.10,0.61,1.59
440,-0.28,10.10,-0.14,-1.34,-1.53,-0.37
450,-0.10,9.43,0.77,-2.32,-2.20,-0.73
460,-0.10,10.00,0.23,1.83,-0.49,0.18
470,-0.16,9.49,0.72,-2.08,-0.73,0.12
480,-0.18,9.90,0.45,-0.61,-1.04,0.67
490,-0.15,9.73,0.47,-2.14,-1.34,0.00
500,-0.20,9.62,0.54,-0.73,-0.98,-0.37
510,-0.28,9.71,0.56,-1.16,-0.98,-0.37
520,-0.10,9.73,0.50,-0.85,-2.32,-0.31
530,-0.09,9.78,0.49,-0.98,-0.73,0.12
540,-0.09,9.76,0.59,-1.04,-0.37,0.12
550,-0.14,9.65,0.51,-1.40,-2.69,0.67
560,-0.11,9.76,0.59,-0.67,-1.16,-0.73
570,-0.14,9.70,0.51,-1.34,-1.34,-0.79
580,-0.12,9.67,0.46,-1.71,-1.34,-0.67
590,-0.12,9.76,0.47,-0.61,-1.46,-0.73
600,-0.20,9.72,0.49,0.37,-0.85,0.00
610,-0.18,9.80,0.46,-1.22,-0.67,-0.18
620,-0.14,9.73,0.50,-0.18,-0.98,-0.61
630,-0.16,9.71,0.54,-1.04,-1.34,-0.06
640,-0.12,9.84,0.54,-0.18,-0.67,0.18
650,-0.10,9.79,0.44,-0.24,-0.85,0.37
660,-0.01,9.80,0.46,-1.40,-1.83,0.37
670,-0.13,9.74,0.50,-0.12,-1.34,-0.18
680,-0.12,9.77,0.50,-1.04,-1.16,-0.31
690,-0.11,9.81,0.46,-1.53,-1.65,-0.49
700,-0.14,9.71,0.44,-2.26,-1.71,-0.43
710,-0.05,9.70,0.45,-0.98,-1.34,0.24
720,-0.16,9.77,0.42,-2.08,-1.46,-0.61
730,-0.20,9.67,0.50,-0.73,0.49,-0.37
740,-0.21,9.89,0.44,-2.69,-0.24,0.37
750,-0.27,9.60,0.58,-3.11,-1.77,0.92
760,-0.22,9.89,0.41,-1.04,-0.31,-0.12
770,-0.20,9.71,0.42,-2.26,-1.83,-0.43
780,-0.19,9.84,0.50,-2.32,-1.40,-0.85
790,-0.07,9.84,0.38,-1.40,-1.71,-0.12
800,-0.04,9.67,0.51,-2.56,-1.59,-0.43
810,-0.07,9.71,0.60,-1.71,-0.12,0.12
820,-0.04,9.74,0.48,-1.46,-1.46,-0.31
830,-0.12,9.67,0.47,-1.59,-1.71,-0.12
840,-0.15,9.81,0.49,-1.34,-1.71,-0.73
850,-0.27,9.68,0.45,-3.42,-2.38,-0.31
860,-0.22,9.78,0.43,-1.65,-1.95,0.00
870,-0.13,9.73,0.50,-1.89,-0.73,-0.92
880,-0.09,9.76,0.55,-0.98,-0.55,-0.85
890,-0.15,9.82,0.41,-2.56,-2.14,0.06
900,-0.12,9.73,0.53,-1.95,-1.71,-0.06
910,-0.08,9.76,0.58,-1.34,-2.38,0.31
920,-0.11,9.93,0.56,-1.59,-1.34,-0.79
930,-0.07,9.75,0.47,-1.65,-1.28,-0.06
940,-0.03,9.82,0.45,-1.89,-1.89,-0.55
950,-0.10,9.76,0.59,-0.98,0.31,0.06
960,-0.14,9.67,0.44,-0.85,0.12,-0.85
970,-0.19,9.73,0.61,-1.16,-1.89,0.12
980,-0.21,9.82,0.39,-0.61,-1.95,0.12
990,-0.18,9.72,0.51,-1.34,-1.40,1.22
1000,-0.08,9.72,0.53,-1.16,-1.40,-0.18
1010,-0.19,9.73,0.51,-1.46,-1.40,-0.12
1020,-0.07,9.75,0.58,-3.11,-1.71,0.12
1030,-0.17,9.79,0.60,-1.16,-1.65,-0.73
1040,-0.13,9.76,0.55,-1.65,-0.98,-0.73
1050,-0.10,9.78,0.56,-1.83,-1.10,-0.12
1060,-0.04,9.76,0.57,-0.67,-1.28,0.18
1070,-0.12,9.76,0.56,-2.62,-0.92,-1.16
1080,-0.10,9.75,0.49,-2.20,-1.53,-0.12
1090,-0.21,9.79,0.42,-2.81,-1.95,-0.79
1100,-0.16,9.75,0.56,-1.83,-1.71,-0.31
1110,-0.09,9.77,0.50,-2.08,-2.56,0.37
1120,-0.18,9.78,0.59,-2.08,-0.98,-0.73
1130,-0.08,9.68,0.55,-2.38,-2.01,-0.06
1140,-0.12,9.67,0.51,-0.12,-0.79,-0.18
1150,-0.21,9.79,0.44,-0.98,-1.28,0.18
1160,-0.09,9.74,0.45,-0.92,0.00,-0.67
1170,-0.19,9.76,0.50,-0.98,-1.34,-0.85
1180,-0.06,9.84,0.55,-2.38,-1.77,-0.98
1190,-0.15,9.76,0.56,-1.46,-2.20,-0.37
1200,-0.20,9.71,0.53,-2.32,-1.77,-1.22
1210,-0.18,9.76,0.48,-0.37,-1.77,-0.18
1220,-0.13,9.81,0.50,-1.40,-1.40,-0.55
1230,-0.16,9.79,0.59,-1.59,-1.95,0.12
1240,-0.14,9.71,0.52,-1.83,-2.20,-0.55
1250,-0.14,9.78,0.50,-1.22,-1.53,-0.55
1260,-0.11,9.79,0.49,-0.73,-0.67,-0.92
1270,-0.04,9.80,0.49,-3.30,-2.14,-0.92
1280,-0.12,9.74,0.52,-0.06,0.12,-0.92
1290,-0.15,9.74,0.49,-2.75,-2.20,-0.49
1300,-0.03,9.82,0.61,-1.28,-2.26,-0.37
1310,-0.20,9.75,0.42,-1.10,-1.53,0.06
1320,-0.24,9.84,0.51,-1.65,-0.67,-0.24
1330,-0.11,9.69,0.54,-0.12,-1.04,0.31
1340,-0.17,9.76,0.49,-1.28,-1.65,0.00
1350,-0.13,9.79,0.52,-0.85,-2.50,-0.61
1360,-0.19,9.66,0.63,-1.95,-1.89,-0.31
1370,-0.10,9.74,0.54,-1.65,-1.28,-0.24
1380,-0.09,9.82,0.45,-1.71,-0.67,0.06
1390,-0.12,9.68,0.55,-1.59,-1.16,-0.61
1400,-0.18,9.73,0.49,-1.59,-2.69,0.24
1410,-0.21,9.79,0.58,-0.67,-1.16,-0.61
1420,-0.08,9.76,0.46,-2.87,-2.01,-0.31
1430,-0.10,9.69,0.54,-1.59,-0.85,-0.06
1440,-0.11,9.74,0.57,-2.20,-2.44,-0.79
1450,-0.22,9.78,0.62,-1.34,-1.16,0.24
1460,-0.17,9.82,0.54,-2.20,-1.10,0.06
1470,-0.14,9.77,0.39,-1.53,-1.95,0.00
1480,-0.13,9.79,0.56,-1.89,-2.81,-0.61
1490,-0.18,9.70,0.53,-1.22,-1.40,0.61
