timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.94,0.08,0.42,-0.18,0.06,0.49
10,-9.91,0.14,0.30,-0.49,-0.37,-0.31
20,-9.98,0.15,0.33,0.18,0.85,-0.12
30,-9.89,0.20,0.29,-0.92,-0.79,-0.73
40,-9.98,0.11,0.34,-0.55,-0.55,0.18
50,-9.94,0.18,0.31,-0.37,-0.12,0.67
60,-9.93,0.17,0.37,-1.16,-0.92,-0.37
70,-9.96,0.13,0.37,-1.22,-0.37,0.06
80,-9.96,0.19,0.43,-1.46,-2.01,0.31
90,-9.94,0.18,0.30,-0.37,-1.04,0.37
100,-9.96,0.14,0.38,-0.61,-0.18,-0.37
110,-9.86,0.14,0.30,0.00,0.12,0.00
120,-9.94,0.14,0.35,-1.34,-0.92,0.61
130,-9.96,0.26,0.36,0.24,-0.06,0.00
140,-9.92,0.16,0.31,-0.55,0.00,-0.24
150,-9.98,0.18,0.31,0.24,0.49,0.00
160,-9.90,0.21,0.36,1.04,0.98,0.37
170,-9.90,0.19,0.44,0.18,0.55,0.67
180,-9.87,0.16,0.40,0.18,0.24,0.24
190,-9.97,0.17,0.29,-0.73,-0.43,-0.43
200,-9.84,0.21,0.25,-0.49,-0.12,0.06
210,-9.96,0.17,0.30,-0.85,0.12,-1.04
220,-9.89,0.20,0.37,-0.06,-0.31,0.24
230,-9.90,0.06,0.32,-0.67,-0.24,1.40
240,-9.96,0.14,0.31,-0.31,0.85,-0.55
250,-9.89,0.11,0.33,-0.49,0.31,0.31
260,-9.91,0.14,0.36,0.24,0.43,0.43
270,-9.97,0.09,0.31,-0.31,-0.67,0.61
280,-9.87,0.20,0.32,-0.12,0.55,-0.61
290,-10.01,0.17,0.28,-0.73,-0.55,0.18
300,-9.94,0.20,0.34,-0.12,-0.06,-0.37
310,-9.93,0.16,0.41,-0.49,0.18,0.12
320,-10.01,0.25,0.28,0.24,0.31,0.31
330,-9.97,0.21,0.40,-0.61,-0.06,0.43
340,-9.92,0.19,0.44,0.18,0.49,0.43
350,-9.93,0.17,0.33,-0.49,0.61,-0.85
360,-9.91,0.20,0.26,-0.79,-0.55,-0.06
370,-9.95,0.16,0.32,-1.46,-1.04,0.31
380,-9.90,0.15,0.42,0.18,-0.24,-0.31
390,-9.98,0.09,0.44,-0.24,-0.49,-0.31
400,-9.95,0.14,0.29,-0.24,-0.79,-0.55
410,-9.99,0.15,0.34,-0.24,-1.04,-0.55
420,-9.90,0.14,0.40,-0.31,-0.24,0.49
430,-9.93,0.19,0.34,-1.28,-0.43,-0.06
440,-9.90,0.20,0.33,0.18,0.24,-0.61
450,-9.87,0.14,0.37,-0.24,-0.06,-0.43
460,-9.89,0.17,0.30,-0.92,-0.31,-0.24
470,-9.84,0.14,0.29,-0.73,-0.43,-0.43
480,-9.92,0.19,0.30,-0.06,-0.73,0.18
490,-9.94,0.15,0.44,-0.06,-0.67,0.55
500,-9.91,0.16,0.36,-0.43,0.18,-0.12
510,-9.93,0.20,0.33,0.92,0.24,0.18
520,-9.92,0.24,0.30,0.12,-0.79,0.31
530,-9.97,0.15,0.32,-0.49,-0.06,0.12
540,-9.99,0.14,0.41,-0.31,0.12,-0.06
550,-9.92,0.18,0.49,-0.43,-0.18,-0.24
560,-10.05,0.15,0.45,0.24,0.92,0.73
570,-10.04,0.19,0.30,-0.55,-0.73,-0.18
580,-9.88,0.16,0.36,-0.61,-0.31,-0.37
590,-9.98,0.15,0.39,0.18,0.49,-0.12
600,-9.90,0.14,0.35,0.43,0.24,0.73
610,-9.98,0.12,0.32,0.24,0.61,0.00
620,-9.91,0.16,0.32,0.24,0.79,0.06
630,-9.93,0.18,0.42,-0.55,-0.24,0.12
640,-9.89,0.20,0.41,-0.73,-0.79,-0.18
650,-9.93,0.19,0.42,-0.12,-0.31,0.61
660,-9.85,0.20,0.42,0.49,0.49,0.06
670,-9.91,0.19,0.37,-0.06,0.12,0.06
680,-9.86,0.25,0.32,0.43,0.73,0.12
690,-9.92,0.17,0.35,0.49,0.37,0.49
700,-9.87,0.18,0.35,-1.28,-1.40,-0.98
710,-9.84,0.21,0.35,-0.06,0.18,-0.06
720,-10.03,0.18,0.39,0.92,0.24,-0.31
730,-9.88,0.16,0.44,0.18,-0.18,0.00
740,-9.90,0.13,0.36,-0.06,0.31,0.37
750,-9.89,0.09,0.41,-1.34,-1.22,0.31
760,-9.94,0.16,0.33,0.06,0.31,0.31
770,-9.89,0.12,0.30,-0.18,0.18,0.00
780,-9.98,0.15,0.31,0.00,-0.18,0.67
790,-9.93,0.17,0.32,0.06,0.31,-0.12
800,-9.96,0.17,0.36,-0.12,-0.61,0.43
810,-9.97,0.19,0.39,0.12,0.79,-0.43
820,-9.89,0.19,0.39,-0.85,-0.85,-0.55
830,-9.95,0.15,0.44,-0.85,0.61,-0.67
840,-9.89,0.12,0.41,0.31,0.85,-0.18
850,-9.91,0.17,0.33,-0.24,-0.67,0.06
860,-9.98,0.12,0.44,-0.98,0.18,0.49
870,-9.88,0.19,0.30,0.12,-0.24,-0.37
880,-9.90,0.23,0.38,-0.31,0.18,0.85
890,-9.94,0.21,0.40,0.55,0.79,1.10
900,-10.00,0.15,0.37,0.06,0.00,0.12
910,-9.93,0.17,0.29,-0.67,-0.43,0.24
920,-9.95,0.19,0.40,-0.12,0.85,0.67
930,-9.92,0.22,0.30,-0.18,-0.18,0.98
940,-9.96,0.20,0.40,-0.43,0.06,1.04
950,-9.93,0.25,0.25,-0.06,-0.43,-0.18
960,-9.89,0.20,0.44,0.12,-0.43,0.37
970,-9.86,0.10,0.42,-0.12,0.67,-0.55
