timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.90,0.09,0.54,0.06,-0.37,0.31
10,-9.91,0.17,0.55,0.12,0.55,0.12
20,-9.98,0.19,0.47,0.55,1.53,0.73
30,-9.87,0.25,0.42,-0.79,1.83,-0.73
40,-10.01,0.17,0.38,-0.12,2.20,0.18
50,-9.98,0.11,0.39,-0.37,-0.12,0.24
60,-9.90,0.07,0.37,0.18,-0.55,0.18
70,-9.89,0.07,0.51,-0.79,-2.69,0.37
80,-9.88,0.17,0.61,0.24,-3.05,-0.24
90,-9.88,0.10,0.54,-0.24,0.61,0.43
100,-9.94,0.11,0.54,-0.43,2.50,0.85
110,-9.98,0.25,0.33,-0.61,3.72,0.79
120,-9.83,0.25,0.22,-0.37,2.99,0.06
130,-9.88,0.12,0.25,-0.31,-0.18,0.37
140,-9.89,0.17,0.33,0.12,-1.83,-0.12
150,-10.02,0.07,0.59,0.06,-2.81,1.22
160,-9.81,0.18,0.52,1.04,-1.34,-0.49
170,-9.94,0.14,0.58,-0.12,0.06,0.55
180,-9.84,0.09,0.54,0.37,1.59,1.10
190,-9.96,0.22,0.37,-0.67,2.99,-0.24
200,-10.04,0.14,0.34,-0.43,2.75,-0.24
210,-9.93,0.23,0.30,0.06,0.85,0.00
220,-9.94,0.16,0.36,-0.43,-1.59,-0.49
230,-9.93,0.16,0.44,0.06,-2.38,-0.37
240,-10.06,0.16,0.47,-0.49,-2.75,-0.12
250,-9.81,0.10,0.51,-0.06,-0.79,-0.55
260,-9.89,0.15,0.51,-1.04,0.12,0.12
270,-9.96,0.13,0.46,0.12,2.32,0.61
280,-9.88,0.05,0.34,0.31,1.77,0.61
290,-9.87,0.15,0.34,-1.34,-0.18,0.06
300,-9.90,0.12,0.39,0.31,0.37,0.85
310,-9.93,0.14,0.36,-0.06,0.18,0.18
320,-9.88,0.17,0.39,-0.06,0.12,0.06
330,-9.90,0.14,0.39,-0.37,-1.40,0.12
340,-9.90,0.22,0.46,0.24,-0.06,0.12
350,-9.85,0.17,0.45,0.55,-0.24,-0.67
360,-9.94,0.11,0.53,-0.49,0.00,-0.12
370,-9.88,0.18,0.45,-0.79,0.85,0.24
380,-9.89,0.15,0.41,-0.24,0.92,-0.79
390,-9.94,0.12,0.47,0.31,1.10,1.04
400,-9.98,0.11,0.42,-0.67,0.43,0.00
410,-9.96,0.14,0.38,-0.61,0.00,-0.12
420,-9.96,0.05,0.39,-0.24,1.22,0.00
430,-9.93,0.08,0.38,-0.37,0.31,-0.24
440,-9.89,0.08,0.36,-0.12,-1.28,-0.43
450,-9.91,0.16,0.42,0.18,-0.85,-0.06
460,-9.95,0.10,0.50,0.37,0.24,0.00
470,-9.83,0.29,0.39,0.00,-0.24,-0.24
480,-9.90,0.27,0.47,-0.61,1.40,0.49
490,-9.94,0.18,0.39,0.00,2.62,-0.73
500,-9.94,0.07,0.41,1.40,2.38,0.12
510,-9.91,0.23,0.40,-0.61,-0.06,0.24
520,-9.91,0.12,0.39,-0.24,-0.12,0.12
530,-9.90,0.14,0.52,-0.12,-0.55,0.24
540,-9.87,0.16,0.44,-0.79,-0.31,0.73
550,-9.97,0.14,0.45,-0.31,-0.18,0.31
560,-9.94,0.09,0.45,0.18,0.31,0.55
570,-9.92,0.18,0.43,-0.79,1.04,0.49
580,-9.87,0.20,0.40,0.55,1.59,0.18
590,-9.90,0.19,0.36,-0.49,1.53,-0.12
600,-9.97,0.19,0.46,-1.04,0.00,0.79
610,-9.94,0.17,0.37,-0.24,0.00,-0.37
620,-9.96,0.07,0.42,0.00,-0.37,-0.06
630,-9.94,0.14,0.48,-0.24,-0.24,-0.49
640,-9.89,0.14,0.45,0.00,0.85,-0.37
650,-9.92,0.14,0.42,-0.55,1.28,0.31
660,-9.96,0.12,0.36,0.06,1.71,-0.18
670,-10.01,0.20,0.35,0.24,0.67,0.24
680,-9.93,0.10,0.37,0.43,-0.24,0.55
690,-9.95,0.13,0.38,-0.18,-1.22,0.98
700,-9.97,0.14,0.50,-0.24,-2.08,-0.31
710,-9.95,0.15,0.51,-0.12,-1.22,-0.24
720,-9.91,0.18,0.59,0.49,0.67,0.37
730,-9.89,0.24,0.42,-0.18,0.12,1.28
740,-9.96,0.13,0.40,0.12,1.59,-0.18
750,-9.97,0.19,0.35,-1.10,1.59,-0.73
760,-9.96,0.19,0.46,0.18,0.92,-0.37
770,-9.86,0.20,0.29,-1.34,0.12,1.04
780,-9.89,0.11,0.34,0.31,-0.06,-0.06
790,-9.95,0.03,0.37,-0.43,-2.38,0.31
800,-9.97,0.15,0.43,0.73,-1.77,-0.24
810,-9.90,0.16,0.53,-0.18,-0.92,-0.06
820,-9.88,0.21,0.50,0.43,0.18,-0.92
830,-9.91,0.19,0.39,-0.43,1.04,-0.55
840,-9.87,0.22,0.34,-0.18,1.53,0.92
850,-9.96,0.19,0.36,0.55,1.71,0.24
860,-9.92,0.17,0.38,-0.37,-0.55,0.12
870,-9.97,0.16,0.50,0.85,-1.65,0.79
880,-9.88,0.19,0.49,0.12,-0.73,-0.12
890,-9.94,0.19,0.51,0.92,0.06,-0.67
900,-9.90,0.15,0.55,-0.79,-0.06,0.61
910,-9.93,0.19,0.47,0.18,2.75,0.55
920,-9.96,0.14,0.40,-1.04,2.38,0.61
930,-9.95,0.13,0.26,0.31,2.14,-0.06
940,-9.98,0.09,0.27,-0.43,0.55,0.31
950,-9.92,0.10,0.34,-0.98,-2.01,0.43
960,-9.89,0.04,0.40,0.43,-2.56,0.00
970,-9.90,0.14,0.47,0.67,-2.32,0.06
980,-9.95,0.20,0.52,0.12,-1.77,0.55
990,-9.93,0.14,0.55,0.18,0.37,0.49
1000,-9.89,0.14,0.36,-0.24,2.08,0.49
1010,-9.98,0.14,0.35,-1.10,2.14,0.79
1020,-9.95,0.17,0.30,0.12,1.53,-0.43
1030,-9.95,0.16,0.27,-0.31,-1.16,0.92
1040,-9.94,0.17,0.34,-0.12,-1.53,0.49
1050,-10.01,0.20,0.46,-0.73,-2.99,0.06
1060,-9.89,0.23,0.61,-0.06,-2.99,0.12
1070,-9.87,0.20,0.59,0.31,-1.10,-0.37
1080,-9.93,0.29,0.48,-0.85,1.59,0.49
1090,-9.94,0.14,0.45,0.49,3.66,0.18
1100,-9.97,0.07,0.27,0.18,2.38,0.24
1110,-9.91,0.07,0.25,-0.18,1.53,0.00
1120,-9.95,0.00,0.33,0.61,0.43,-0.18
1130,-9.93,0.07,0.35,0.06,-1.40,0.24
1140,-9.90,0.20,0.40,-0.31,-2.44,0.79
1150,-9.90,0.19,0.49,-0.06,-1.83,0.24
1160,-9.90,0.26,0.50,-0.24,0.61,0.43
1170,-9.95,0.14,0.48,-0.85,0.55,0.31
1180,-9.93,0.18,0.45,-0.31,1.95,-0.12
1190,-9.96,0.19,0.31,0.43,0.67,-0.67
1200,-9.94,0.23,0.39,-0.31,-0.55,0.24
1210,-9.88,0.23,0.31,-0.12,-1.71,0.37
1220,-9.96,0.20,0.53,-0.49,-2.56,-0.49
1230,-9.91,0.24,0.51,0.37,-2.20,0.67
1240,-9.88,0.33,0.52,0.31,0.55,0.24
1250,-9.95,0.21,0.56,-0.24,1.40,-0.43
1260,-9.91,0.17,0.44,-0.98,1.95,-1.34
1270,-9.90,0.08,0.35,-1.22,2.99,0.00
