timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.19,9.82,0.41,-0.06,0.18,0.37
10,-0.09,9.77,0.44,-0.61,-1.10,0.24
20,-0.08,9.76,0.54,-0.06,-0.12,0.31
30,-0.19,9.76,0.47,-0.79,0.00,0.00
40,-0.15,9.85,0.49,0.18,-0.61,0.24
50,-0.15,9.74,0.41,0.49,0.18,-0.18
60,-0.16,9.84,0.51,-0.98,-0.12,-0.12
70,-0.21,9.73,0.56,-0.67,-0.49,0.49
80,-0.17,9.80,0.50,0.49,0.06,0.43
90,-0.14,9.78,0.50,0.00,-0.24,0.18
100,-0.17,9.81,0.49,-0.55,-0.12,0.00
110,-0.11,9.83,0.42,-0.31,-0.31,-0.06
120,-0.16,9.79,0.53,-0.73,-0.49,0.31
130,-0.03,9.84,0.47,-0.12,1.16,0.37
140,-0.16,9.85,0.58,-0.06,-0.37,0.31
150,-0.16,9.82,0.47,0.37,1.10,0.24
160,-0.12,9.73,0.44,-0.67,-0.61,-0.37
170,-0.27,9.72,0.53,0.37,-0.73,-0.61
180,-0.15,9.75,0.48,-0.85,0.00,0.55
190,-0.18,9.80,0.54,-1.10,-1.22,-0.12
200,-0.13,9.80,0.46,-0.06,0.37,0.00
210,-0.14,9.81,0.55,0.00,0.18,0.06
220,-0.15,9.83,0.50,0.31,0.55,0.31
230,-0.12,9.76,0.53,-0.18,0.85,-0.37
240,-0.11,9.77,0.56,-0.73,-0.55,-0.79
250,-0.21,9.73,0.57,-0.37,-0.24,-0.18
260,-0.18,9.76,0.43,-0.67,0.06,-0.24
270,-0.21,9.76,0.55,0.18,0.06,0.37
280,-0.16,9.75,0.48,-0.12,0.67,0.24
290,-0.19,9.71,0.53,-0.49,-0.85,0.00
300,-0.13,9.75,0.53,-0.61,-0.79,-0.18
310,-0.13,9.82,0.57,0.12,-0.12,0.00
320,-0.12,9.72,0.46,-0.31,-0.06,0.55
330,-0.11,9.81,0.48,-1.34,-0.73,0.18
340,-0.08,9.81,0.43,0.79,0.67,0.79
350,-0.16,9.80,0.43,0.55,1.10,-0.73
360,-0.15,9.76,0.45,-0.37,0.06,0.00
370,-0.11,9.82,0.44,-0.24,-0.49,0.00
380,-0.18,9.75,0.49,0.73,-0.24,0.00
390,-0.20,9.77,0.48,0.12,-0.12,0.43
400,-0.20,9.81,0.55,-0.61,0.24,0.49
410,-0.10,9.77,0.48,-0.92,-0.61,0.24
420,-0.21,9.78,0.50,1.28,0.37,-0.24
430,-0.15,9.76,0.56,-0.18,0.12,-0.61
440,-0.12,9.84,0.48,-0.55,0.61,0.67
450,-0.14,9.71,0.50,-1.10,0.79,-0.31
460,-0.09,9.87,0.57,-1.10,-0.24,-0.37
470,-0.17,9.69,0.55,-0.73,-0.79,0.18
480,-0.13,9.85,0.61,0.31,0.12,0.43
490,-0.19,9.67,0.51,0.37,-0.31,0.31
500,-0.11,9.80,0.53,-0.37,-0.31,0.49
510,-0.15,9.86,0.45,0.43,0.06,0.12
520,-0.15,9.73,0.52,0.79,0.49,-0.92
530,-0.06,9.86,0.56,0.37,0.61,0.49
540,-0.19,9.70,0.46,-0.37,0.37,-0.49
550,-0.12,9.79,0.44,-0.43,-0.18,0.67
560,-0.20,9.79,0.53,-1.04,-0.31,0.67
570,-0.14,9.72,0.50,-0.55,-0.49,0.31
580,-0.19,9.73,0.54,0.79,0.55,0.61
590,-0.10,9.79,0.50,0.31,0.37,0.18
600,-0.22,9.81,0.52,0.18,0.61,0.55
610,-0.16,9.83,0.48,-0.49,0.12,-0.73
620,-0.11,9.84,0.43,0.92,0.61,0.24
630,-0.22,9.77,0.57,-0.18,0.18,0.43
640,-0.13,9.70,0.53,-0.61,-0.37,0.24
650,-0.16,9.75,0.54,0.24,0.31,0.61
660,-0.17,9.84,0.46,0.18,0.06,-0.98
670,-0.19,9.71,0.51,-0.24,0.73,-0.67
680,-0.08,9.89,0.55,0.12,0.24,0.49
690,-0.17,9.82,0.51,-1.04,-0.18,0.06
700,-0.13,9.72,0.45,-0.43,-0.43,-0.06
710,-0.04,9.84,0.50,-0.18,-0.31,-0.06
720,-0.16,9.76,0.42,0.06,0.43,0.12
730,-0.17,9.79,0.56,0.00,0.79,0.06
740,-0.18,9.82,0.48,-0.24,-0.18,0.00
750,-0.18,9.67,0.55,-0.31,0.61,0.18
760,-0.14,9.81,0.45,-0.37,-0.92,0.24
770,-0.12,9.74,0.57,-0.24,-1.10,0.24
780,-0.11,9.78,0.52,-0.24,-0.06,0.00
790,-0.22,9.80,0.51,-1.16,-0.31,0.06
800,-0.09,9.84,0.49,0.00,-0.98,-0.12
810,-0.22,9.72,0.52,0.55,0.49,0.37
820,-0.12,9.87,0.47,0.55,0.49,0.67
830,-0.17,9.84,0.44,0.00,0.61,1.16
840,-0.14,9.73,0.63,-0.98,-0.85,-0.73
850,-0.13,9.79,0.53,0.06,-0.98,1.04
860,-0.13,9.84,0.50,0.12,0.37,-0.37
870,-0.11,9.83,0.52,0.12,-0.18,-0.18
880,-0.22,9.79,0.58,-0.79,-0.98,-0.12
890,-0.15,9.87,0.49,-0.12,0.73,0.43
900,-0.14,9.76,0.54,-0.85,-0.37,0.24
910,-0.18,9.76,0.57,0.37,0.49,0.00
920,-0.05,9.86,0.52,0.06,0.92,0.37
930,-0.12,9.70,0.48,0.31,0.61,0.24
940,-0.25,9.79,0.53,-0.61,0.55,-0.37
950,-0.15,9.85,0.58,-0.37,-0.43,0.00
960,-0.14,9.68,0.57,-1.34,-0.61,0.18
970,-0.22,9.75,0.58,0.24,1.40,0.37
980,-0.20,9.74,0.40,0.43,0.37,0.12
990,-0.16,9.83,0.33,0.31,0.31,0.61
1000,-0.22,9.78,0.54,-0.06,0.37,0.37
1010,-0.20,9.75,0.56,-0.12,0.49,-0.49
1020,-0.25,9.79,0.45,0.43,0.31,0.18
1030,-0.17,9.80,0.50,0.55,-0.55,-0.24
1040,-0.18,9.78,0.54,0.18,0.18,0.06
1050,-0.15,9.82,0.57,0.00,0.37,0.43
1060,-0.18,9.68,0.50,-0.67,-0.12,-0.31
1070,-0.10,9.73,0.52,-0.61,-0.49,0.43
1080,-0.20,9.71,0.52,-0.31,-0.79,0.31
1090,-0.07,9.84,0.48,0.24,0.24,-0.12
1100,-0.18,9.76,0.51,-0.24,0.37,0.79
1110,-0.13,9.81,0.51,-0.18,0.49,0.55
1120,-0.21,9.72,0.49,0.85,1.16,-0.43
1130,-0.20,9.74,0.43,0.06,0.43,-0.79
1140,-0.10,9.78,0.49,-0.31,-0.12,1.34
1150,-0.13,9.79,0.39,2.08,1.71,-0.06
1160,-0.15,9.72,0.48,-1.04,-0.61,-0.37
1170,-0.12,9.77,0.54,-0.55,-0.55,-0.31
1180,-0.16,9.77,0.56,-0.73,-0.06,0.55
1190,-0.23,9.59,0.56,-0.92,-1.16,-0.18
1200,-0.17,9.81,0.47,0.00,0.37,0.67
1210,-0.11,9.70,0.44,0.00,0.12,-0.06
1220,-0.07,9.83,0.46,0.49,0.12,0.24
1230,-0.23,9.65,0.53,-1.40,-0.67,-0.92
1240,-0.12,9.98,0.48,-0.24,-0.73,-0.31
1250,-0.12,9.71,0.45,-0.06,0.12,-0.12
1260,-0.13,9.76,0.49,0.43,0.12,-0.67
1270,-0.16,9.70,0.49,-0.49,0.67,0.31
1280,-0.25,9.84,0.54,-0.12,-0.79,0.12
1290,-0.14,9.65,0.41,-0.79,-0.49,0.98
1300,-0.23,9.87,0.42,-0.12,-0.61,0.00
1310,-0.21,9.75,0.51,-0.31,0.12,0.24
1320,-0.18,9.86,0.54,-0.43,0.18,1.22
1330,-0.13,9.78,0.50,-1.28,-0.37,-0.43
1340,-0.08,9.71,0.44,-0.79,-0.55,1.04
1350,-0.08,9.93,0.42,-0.06,0.67,0.92
1360,-0.18,9.69,0.51,-0.49,0.06,-0.12
1370,-0.18,9.85,0.52,0.24,0.37,0.37
1380,-0.27,9.78,0.50,-0.85,0.00,0.43
1390,-0.16,9.81,0.50,0.55,0.37,0.49
1400,-0.09,9.87,0.47,-0.06,0.73,-0.37
1410,-0.17,9.82,0.43,-0.18,0.92,0.12
1420,-0.17,9.79,0.44,-0.43,-0.37,0.43
1430,-0.14,9.82,0.53,-0.31,-0.24,-0.49
1440,-0.09,9.66,0.58,-0.73,0.18,-0.73
