timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-10.02,0.16,0.39,-0.31,0.00,0.43
10,-9.86,0.11,0.29,-0.12,-0.24,0.12
20,-9.92,0.16,0.41,0.24,-0.12,0.55
30,-9.85,0.24,0.36,-0.85,0.18,-0.18
40,-9.99,0.11,0.42,-0.73,-1.89,0.12
50,-9.92,0.15,0.41,0.24,0.79,-0.61
60,-9.96,0.08,0.47,-0.67,-0.31,-0.06
70,-9.90,0.12,0.31,-0.67,-0.55,-0.24
80,-9.91,0.09,0.27,0.31,0.79,0.12
90,-9.93,0.19,0.33,-0.67,-1.40,0.12
100,-10.01,0.14,0.40,0.61,0.55,-0.31
110,-9.97,0.18,0.33,-0.61,0.18,0.73
120,-9.89,0.22,0.36,0.61,0.00,-0.18
130,-9.95,0.10,0.37,-0.55,0.18,0.37
140,-9.94,0.12,0.41,-0.18,-0.98,-0.12
150,-9.91,0.15,0.37,-0.37,-0.12,0.12
160,-9.89,0.14,0.40,0.18,0.49,-0.12
170,-9.94,0.14,0.36,0.73,0.43,0.67
180,-9.95,0.14,0.32,-0.85,-0.12,-0.18
190,-9.96,0.09,0.38,-1.04,-0.73,-0.12
200,-9.93,0.15,0.32,-0.37,-0.18,-0.24
210,-9.85,0.13,0.41,-0.98,-1.16,-0.61
220,-9.93,0.14,0.39,-1.53,-0.24,0.31
230,-9.96,0.17,0.38,-0.12,1.40,-0.12
240,-9.89,0.20,0.39,-0.24,-0.31,-0.43
250,-10.02,0.14,0.41,-1.10,0.06,0.06
260,-9.88,0.19,0.38,0.06,0.31,-0.55
270,-9.88,0.25,0.29,0.24,-0.06,0.24
280,-9.98,0.16,0.42,0.18,-0.12,0.79
290,-9.90,0.13,0.36,-0.31,-0.55,0.18
300,-9.88,0.15,0.35,-1.34,-0.61,0.24
310,-9.91,0.16,0.37,-0.79,0.92,0.55
320,-9.91,0.12,0.50,0.43,-0.12,-0.49
330,-9.96,0.09,0.32,-0.49,0.06,0.18
340,-9.88,0.15,0.31,0.12,1.10,0.55
350,-9.93,0.19,0.27,-0.55,-0.37,0.24
360,-9.95,0.14,0.38,-0.37,0.43,0.24
370,-9.99,0.17,0.42,0.00,-0.18,0.55
380,-9.93,0.14,0.39,-0.79,-0.43,0.79
390,-9.97,0.11,0.33,-0.06,0.31,0.73
400,-9.96,0.13,0.34,-0.79,-0.61,0.49
410,-9.84,0.14,0.31,-0.31,0.06,0.12
420,-9.86,0.16,0.25,-0.18,0.12,0.06
430,-9.91,0.16,0.33,-0.06,-0.12,-0.18
440,-9.82,0.20,0.29,-1.83,-1.16,0.12
450,-9.88,0.14,0.35,-0.67,-0.49,0.61
460,-9.99,0.19,0.42,0.43,0.12,-0.67
470,-9.84,0.18,0.38,-0.73,-0.18,0.12
480,-9.94,0.14,0.38,-0.06,0.12,0.24
490,-9.92,0.20,0.37,0.06,0.37,0.06
500,-9.93,0.21,0.37,0.18,0.55,-1.46
510,-9.92,0.16,0.33,-0.73,-0.06,1.04
520,-9.94,0.08,0.37,0.12,0.92,0.43
530,-9.91,0.09,0.32,-0.49,-1.04,-0.55
540,-9.90,0.06,0.39,-0.18,-0.06,0.37
550,-9.91,0.07,0.49,-0.37,0.61,0.12
560,-9.95,0.07,0.33,-1.40,-0.18,0.06
570,-9.96,0.10,0.38,-0.31,-0.12,-0.43
580,-9.98,0.14,0.36,-0.92,-1.34,0.06
590,-9.88,0.20,0.37,0.31,0.55,0.67
600,-9.95,0.12,0.38,-0.49,0.00,0.12
610,-10.00,0.09,0.37,-0.43,-0.12,0.73
620,-9.90,0.27,0.36,-0.79,-1.28,-0.31
630,-9.89,0.17,0.36,-0.85,-0.37,0.85
640,-9.85,0.23,0.31,-1.10,-0.12,0.37
650,-9.97,0.18,0.34,-0.85,-0.79,0.00
