timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.91,0.10,0.42,0.06,-0.55,0.67
10,-9.95,0.05,0.31,0.92,1.46,-0.24
20,-9.85,0.16,0.20,-0.12,-0.06,-0.06
30,-9.97,0.25,0.26,1.04,1.22,-0.06
40,-9.91,0.21,0.29,-0.12,0.61,-0.24
50,-9.96,0.25,0.29,-0.12,-0.43,-1.46
60,-9.93,0.25,0.27,-1.10,-1.77,0.61
70,-9.89,0.21,0.41,-1.53,-1.16,-0.31
80,-9.90,0.20,0.49,-0.31,-0.18,-0.24
90,-9.97,0.21,0.57,-0.31,0.37,-0.24
100,-9.84,0.20,0.50,0.18,1.89,0.55
110,-9.97,0.23,0.36,-0.85,1.65,0.37
120,-9.95,0.15,0.45,-0.24,0.06,-0.31
130,-9.91,0.08,0.37,-0.67,0.49,0.67
140,-9.90,0.09,0.22,-0.12,0.43,-0.49
150,-9.92,0.12,0.25,0.00,0.61,0.79
160,-9.85,0.16,0.31,0.00,-0.24,-0.06
170,-9.85,0.16,0.24,-0.61,-0.79,-0.06
180,-9.94,0.07,0.34,0.18,0.43,0.12
190,-10.05,0.17,0.39,-0.18,-0.18,-0.85
200,-10.02,0.08,0.45,-0.43,-0.18,0.37
210,-9.91,0.21,0.19,-0.55,0.92,-0.24
220,-9.91,0.16,0.31,0.73,0.61,-0.24
230,-9.96,0.17,0.38,0.00,-0.43,0.43
240,-9.93,0.20,0.46,0.06,-0.06,0.37
250,-9.97,0.08,0.50,0.24,0.24,0.00
260,-9.99,0.13,0.41,-1.10,-0.12,0.79
270,-9.86,0.27,0.26,-0.67,0.31,0.12
280,-9.97,0.26,0.24,-0.67,-0.49,0.06
290,-9.98,0.31,0.27,-0.67,0.12,0.18
300,-9.90,0.11,0.38,-0.12,0.12,0.61
310,-9.88,0.08,0.40,-0.73,-1.10,-0.18
320,-9.83,0.13,0.36,0.18,0.73,0.49
330,-9.92,0.08,0.35,0.49,1.28,0.55
340,-9.98,0.08,0.34,0.55,0.73,0.24
350,-9.89,0.12,0.41,0.43,1.22,-0.24
360,-9.98,0.22,0.41,-0.43,-0.37,0.24
370,-9.93,0.21,0.31,-0.18,-0.12,0.79
380,-9.97,0.15,0.33,-0.49,0.00,0.55
390,-9.89,0.23,0.29,-0.24,-0.24,-0.31
400,-9.95,0.18,0.36,0.49,0.67,-0.06
410,-9.89,0.07,0.43,-0.18,0.55,-0.67
420,-9.97,0.14,0.35,-0.79,-1.16,0.12
430,-9.90,0.15,0.34,-1.10,0.12,-1.10
440,-9.97,0.26,0.30,-0.18,-0.37,0.18
450,-9.87,0.29,0.35,-0.24,0.18,1.04
460,-9.93,0.26,0.28,-0.37,-0.43,0.37
470,-9.95,0.20,0.41,0.18,0.18,0.61
480,-9.89,0.17,0.34,-0.67,0.06,0.31
490,-9.92,0.15,0.42,0.43,0.18,0.61
500,-9.94,-0.01,0.41,-0.06,0.79,0.37
510,-9.86,0.07,0.37,0.43,1.46,0.67
520,-9.94,0.07,0.27,0.37,0.79,-0.31
530,-9.97,0.10,0.32,-0.55,-0.18,-0.12
540,-9.92,0.14,0.28,-0.37,-0.49,0.12
550,-9.88,0.20,0.22,-1.04,-0.92,0.12
560,-9.91,0.18,0.33,-0.55,-0.06,-0.49
570,-9.85,0.13,0.36,-0.79,-1.77,0.06
580,-9.95,0.17,0.50,-0.24,-0.92,-0.85
590,-9.88,0.21,0.35,-0.37,0.12,0.92
600,-9.93,0.25,0.37,-1.22,-1.04,-0.67
610,-9.95,0.26,0.35,-1.40,-0.61,0.67
620,-9.87,0.16,0.37,0.00,-0.24,-0.24
630,-9.95,0.16,0.40,0.49,1.22,-0.18
640,-9.86,0.16,0.38,0.79,0.61,0.00
650,-9.94,0.20,0.31,-0.37,-0.55,0.24
660,-9.87,0.08,0.40,-0.06,0.00,0.00
670,-9.90,0.13,0.39,0.24,0.61,0.79
680,-9.94,0.14,0.38,0.61,1.16,0.31
690,-9.89,0.19,0.26,-0.67,0.31,0.31
700,-9.89,0.23,0.31,-0.55,-0.85,0.55
710,-9.93,0.26,0.42,-0.85,-0.85,0.61
720,-9.87,0.19,0.36,-1.46,-1.59,-0.06
730,-9.87,0.12,0.37,0.06,0.73,0.49
740,-9.92,0.18,0.43,-0.61,0.55,0.12
750,-9.82,0.22,0.45,0.12,0.12,-0.49
760,-9.92,0.12,0.40,-0.67,-1.10,0.24
770,-9.97,0.20,0.31,-0.12,0.18,0.12
780,-9.92,0.20,0.36,-0.43,0.43,-0.55
790,-9.95,0.09,0.40,0.12,0.31,-0.24
800,-9.85,0.23,0.38,-0.85,-0.49,0.43
810,-9.89,0.14,0.27,-1.83,-0.43,0.12
820,-9.88,0.16,0.31,-0.61,-0.79,0.00
830,-9.88,0.10,0.41,-1.10,-1.22,-0.49
840,-9.86,0.14,0.43,0.18,0.12,0.31
850,-9.87,0.13,0.24,-0.49,0.67,-0.43
860,-9.88,0.05,0.25,-1.28,-0.31,0.24
