timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.08,9.81,0.52,4.33,-8.97,0.85
10,-0.08,9.80,0.31,4.94,-8.24,1.71
20,-0.09,9.80,0.31,4.58,-7.87,1.40
30,-0.11,9.70,0.42,4.58,-8.61,0.61
40,-0.15,9.72,0.56,5.13,-7.32,1.53
50,-0.06,9.81,0.46,4.70,-4.09,0.18
60,-0.01,9.70,0.35,2.32,-2.81,-0.37
70,0.01,9.93,0.34,1.40,-1.40,-1.40
80,-0.09,9.79,0.28,-0.73,-2.26,-2.38
90,-0.01,9.67,0.32,-2.50,-0.31,-1.46
100,-0.14,9.75,0.31,-3.11,-0.98,-1.53
110,-0.12,9.70,0.39,-4.70,-0.79,-0.67
120,-0.10,9.79,0.35,-3.11,-1.10,-0.37
130,-0.06,9.68,0.42,-3.60,-2.20,-0.24
140,-0.25,9.73,0.35,-4.03,-1.59,-1.34
150,-0.14,9.77,0.42,-3.97,-2.01,-0.73
160,-0.07,9.82,0.40,-0.37,-0.18,-0.12
170,-0.63,9.17,-0.81,-1.40,-0.24,-0.61
180,-0.19,9.73,0.44,-1.22,-2.32,-0.92
190,-0.12,9.72,0.36,0.06,-1.10,-0.98
200,-0.07,9.80,0.27,0.92,-0.12,-0.92
210,-0.13,9.75,0.31,0.12,-1.28,-0.06
220,-0.03,9.86,0.27,-0.55,-1.10,0.79
230,-0.01,9.85,0.37,-3.30,-1.34,0.00
240,-0.06,9.90,0.34,-4.03,0.31,0.06
250,-0.29,10.06,-0.09,-2.26,-0.37,-2.14
260,-0.22,10.23,0.01,-8.30,-1.16,-1.16
270,-0.08,9.54,0.32,-14.65,-0.18,-0.55
280,-0.09,9.74,0.43,-16.97,-2.01,-0.67
290,-0.17,9.73,0.58,-15.69,-1.34,-0.92
300,-0.22,9.40,0.60,-6.90,-1.04,-0.98
310,-0.09,9.68,0.51,-4.09,-2.08,-0.18
320,-0.09,9.72,0.45,-1.53,-1.22,-0.37
330,-0.12,9.73,0.52,-2.62,-0.67,-1.10
340,-0.07,9.67,0.46,-1.77,-0.92,-0.18
350,0.05,9.91,0.41,-2.62,-1.22,-0.98
360,-0.07,10.01,0.55,-0.06,-1.83,2.32
370,-0.25,9.28,0.66,0.06,-1.46,-1.04
380,-0.06,9.45,0.80,4.46,-1.53,-0.98
390,-0.56,8.95,0.91,28.14,0.12,-4.46
400,-0.13,9.90,-0.47,45.72,-0.55,-1.95
410,-0.68,10.08,-1.26,23.93,-1.89,0.55
420,0.20,9.77,0.55,-7.75,-20.81,-0.92
430,-0.02,9.81,1.13,0.79,-8.85,0.37
440,-0.29,10.27,-0.24,-26.98,10.93,-4.27
450,-0.25,10.03,-1.06,-54.32,19.84,2.20
460,1.82,10.45,3.59,-65.43,5.74,-6.47
470,-0.79,7.12,1.68,-32.47,16.42,-1.89
480,-0.28,8.87,1.27,15.50,2.69,-0.43
490,-0.08,9.22,1.73,42.79,-5.74,-0.12
500,0.22,11.24,-0.90,30.21,-4.58,10.50
510,-0.19,8.84,-0.58,-13.98,-0.67,0.92
520,0.93,12.62,1.52,-33.39,-0.73,-0.67
530,-1.17,8.12,0.97,0.92,4.03,1.34
540,0.09,10.75,-0.25,15.87,-1.53,5.55
550,0.09,10.31,0.38,-11.17,-0.55,-2.62
560,-0.39,9.24,0.79,-8.54,-1.16,-4.94
570,-0.08,9.78,0.59,2.87,-2.50,1.40
580,0.15,10.40,0.23,2.62,-1.34,1.83
590,-0.18,9.57,0.72,-7.63,-1.59,-2.20
600,-0.28,9.34,0.71,-2.44,-1.53,-1.04
610,-0.02,9.99,0.37,2.75,-1.28,1.16
620,-0.03,9.99,0.22,-1.10,-1.71,-0.24
630,-0.16,9.56,0.64,-3.23,-0.79,-1.04
640,-0.14,9.66,0.52,-1.65,-1.16,-0.06
650,-0.06,9.89,0.56,-1.22,-2.08,-0.18
660,-0.08,9.75,0.53,-3.48,-2.01,-0.67
670,-0.11,9.74,0.50,-3.72,-3.30,0.06
680,-0.20,9.74,0.55,-4.27,-3.05,0.31
690,-0.08,9.66,0.59,0.49,0.85,-0.31
700,-0.18,9.72,0.52,-1.71,-1.95,0.00
710,-0.03,9.73,0.44,-0.73,-0.61,-0.92
720,-0.20,9.79,0.65,1.10,-0.24,0.73
730,-0.14,9.75,0.53,-0.12,-0.79,0.49
740,-0.09,9.73,0.50,-1.04,-2.32,0.61
750,-0.15,9.66,0.50,-1.59,-1.59,0.00
760,-0.12,9.79,0.54,0.24,-0.43,0.43
770,-0.07,9.78,0.57,-0.24,-2.62,0.31
780,-0.17,9.75,0.40,0.92,-0.67,0.00
790,-0.17,9.75,0.45,-2.01,-1.53,0.00
800,-0.16,9.79,0.55,-0.73,-2.38,-0.37
810,-0.21,9.74,0.54,-0.43,-0.79,-0.12
820,-0.23,9.79,0.59,0.37,-1.53,-0.37
830,-0.21,9.74,0.54,-0.12,-1.10,0.37
840,-0.04,9.75,0.51,-0.43,-1.22,0.00
850,-0.08,9.71,0.53,-0.73,-2.14,0.98
860,-0.02,9.74,0.44,-0.79,-0.85,0.61
870,-0.07,9.79,0.44,-0.85,-1.89,0.73
880,-0.10,9.78,0.44,0.55,0.24,0.00
890,-0.16,9.46,0.28,-1.16,-0.12,-0.43
900,-0.22,9.69,0.60,-0.43,-0.85,-0.92
910,-0.08,9.84,0.39,1.53,-1.04,0.98
920,-0.23,9.76,0.45,-1.16,-0.55,-0.18
930,-0.14,9.55,0.29,-1.34,-1.34,-0.92
940,-0.08,9.66,0.61,-1.46,-1.22,0.06
950,-0.04,9.95,0.49,0.61,-0.18,0.31
960,-0.00,9.79,0.39,-0.92,-0.98,-0.61
970,-0.08,9.59,0.58,-1.89,-1.71,-1.46
980,-0.02,9.86,0.44,-1.46,-1.65,-0.79
990,-0.13,9.76,0.60,-2.26,-1.22,-0.31
1000,-0.01,9.74,0.48,-0.67,0.00,-0.98
1010,-0.13,9.78,0.44,-4.58,-3.05,-0.43
