timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.05,9.73,0.36,-1.40,-1.65,0.92
10,-0.04,9.85,0.33,-0.85,-0.61,1.65
20,-0.05,9.76,0.40,-1.83,-0.61,1.16
30,-0.08,9.79,0.43,-1.10,-0.06,0.00
40,-0.08,9.83,0.42,-2.44,-1.10,0.06
50,0.00,9.85,0.45,-3.48,-1.59,-1.16
60,-0.06,9.71,0.50,-3.54,-1.71,-1.34
70,-0.08,9.62,0.46,-3.48,-1.83,-0.49
80,-0.17,9.65,0.53,-0.85,-0.55,0.18
90,-0.13,9.75,0.51,-0.98,-3.05,1.04
100,-0.11,9.70,0.51,-0.55,-1.16,0.43
110,-0.02,9.79,0.30,-0.37,-0.61,-0.06
120,-0.07,9.84,0.37,-1.28,-2.26,0.31
130,-0.02,9.80,0.39,-1.83,-0.49,-0.79
140,-0.10,9.81,0.38,-1.34,-0.61,-1.65
150,-0.11,9.69,0.54,-2.08,-0.92,-0.67
160,-0.07,9.75,0.54,-1.10,-1.40,-1.22
170,-0.02,9.80,0.28,0.18,-1.95,0.06
180,-0.03,9.73,0.44,0.12,-1.10,-0.24
190,-0.05,9.85,0.44,-0.31,-0.67,-0.67
200,-0.07,9.80,0.49,-0.55,-1.16,-0.43
210,-0.10,9.79,0.39,-0.31,0.18,-1.83
220,0.03,9.75,0.67,-2.14,1.22,-1.71
230,-0.03,9.70,0.56,-6.41,8.91,-1.34
240,-0.15,9.75,0.22,-7.75,8.54,-1.10
250,-0.20,9.75,0.18,-8.24,5.13,-0.31
260,-0.02,9.57,0.33,-6.71,5.55,-0.18
270,0.06,9.75,0.76,-1.65,3.30,-0.12
280,0.00,9.91,0.93,-0.61,7.32,-0.73
290,-0.10,9.87,0.56,-1.28,14.16,0.12
300,-0.09,9.83,0.53,-3.11,15.99,-1.59
310,-0.04,9.88,0.43,-4.09,18.19,-2.14
320,-0.39,9.38,0.53,1.46,20.51,-3.05
330,-0.25,9.95,-0.92,-12.02,14.04,-0.79
340,-0.08,9.96,0.57,-4.64,-0.55,-1.59
350,-0.02,9.91,0.52,-4.58,-1.10,-1.40
360,-0.67,9.45,0.18,-1.95,-0.18,-5.98
370,-0.33,9.45,0.58,-2.20,-1.16,-2.08
380,0.11,9.90,0.58,-0.67,-0.79,1.40
390,-0.10,9.70,0.57,-2.62,-1.16,0.24
400,-0.11,9.67,0.59,-1.89,-1.40,-0.73
410,-0.07,9.73,0.50,-0.49,-1.22,-0.18
420,-0.04,9.76,0.60,-1.10,-1.89,0.55
430,-0.07,9.79,0.45,-1.95,-0.85,-0.55
440,-0.16,9.71,0.48,-1.46,-1.71,-0.12
450,-0.04,9.83,0.52,-1.83,-2.62,-0.18
460,-0.08,9.79,0.49,0.31,-1.46,-0.24
470,-0.14,9.79,0.51,-1.65,-1.65,-0.31
480,-0.14,9.71,0.50,-1.83,-1.95,-0.12
490,-0.06,9.77,0.45,-2.44,-1.16,-0.31
500,-0.19,9.72,0.41,-1.46,-1.22,-0.43
510,-0.13,9.74,0.52,-1.59,-2.26,0.43
520,-0.10,9.83,0.43,-1.10,-2.14,-0.37
530,-0.07,9.77,0.46,-1.10,-0.92,-0.85
540,-0.14,9.82,0.53,-2.38,-1.46,0.37
550,-0.09,9.75,0.51,-1.34,-1.53,-0.73
560,-0.17,9.72,0.53,0.00,-0.79,-0.85
570,-0.07,9.66,0.44,-1.53,-0.73,0.55
580,-0.07,9.78,0.44,-2.81,-2.26,0.06
590,-0.11,9.71,0.38,-0.73,-0.43,-0.06
600,-0.14,9.68,0.55,-2.20,-1.10,0.49
610,0.04,9.87,0.42,-0.85,-1.16,0.31
620,-0.25,9.72,0.52,-1.40,-1.34,0.67
630,-0.12,9.81,0.51,-2.32,-1.10,-0.24
640,-0.02,9.67,0.58,-0.85,-0.73,0.00
650,-0.08,9.75,0.47,-1.83,-1.34,0.43
660,-0.08,9.69,0.49,-2.08,-2.44,0.12
670,-0.14,9.73,0.47,-1.40,-1.83,-0.73
680,-0.10,9.79,0.51,-0.61,-1.40,0.00
690,-0.06,9.72,0.44,-0.85,-1.77,-0.37
700,-0.09,9.72,0.49,-1.46,-2.20,0.06
710,-0.12,9.77,0.56,-1.77,-1.65,-0.49
720,-0.08,9.73,0.50,-0.98,-0.85,0.43
730,-0.12,9.71,0.58,-1.95,-1.77,0.00
740,-0.10,9.80,0.55,-1.65,-1.16,0.24
750,-0.21,9.47,0.34,-2.01,-1.10,-1.83
760,-0.66,8.96,1.16,-5.13,-1.34,0.06
770,0.01,10.33,0.25,7.32,-0.98,1.95
780,0.15,10.28,0.05,-1.95,-0.43,0.49
790,-0.18,9.15,0.74,-1.59,-0.61,-0.12
800,-0.20,9.90,0.25,2.75,-1.16,0.31
810,-0.08,9.78,0.54,-2.93,-1.89,-0.98
820,-0.16,9.79,0.44,-1.40,-2.50,0.18
830,-0.25,9.64,0.51,-1.89,-1.71,-0.79
840,-0.12,9.67,0.66,-1.22,-1.10,0.55
850,-0.08,9.84,0.43,0.12,-0.73,0.18
860,-0.12,9.76,0.51,-0.79,-2.87,-0.79
870,-0.11,9.69,0.51,-0.98,-1.89,0.24
880,-0.03,9.78,0.52,-0.43,-2.56,-0.06
890,-0.05,9.76,0.54,-1.53,-1.46,-0.24
900,-0.15,9.63,0.53,-0.67,-1.22,0.24
910,-0.11,9.76,0.53,-0.43,-1.53,0.37
920,-0.15,9.75,0.40,-2.14,-0.98,0.73
930,-0.43,9.49,1.08,-2.93,-1.65,-0.98
940,-0.16,9.53,0.60,1.71,-1.95,1.59
950,-0.18,10.10,0.36,-3.05,-2.01,-0.79
960,-0.20,9.42,0.68,-4.52,-2.20,-0.92
970,0.29,10.78,-0.24,7.57,-2.14,3.42
980,-0.10,9.86,0.19,-8.48,-0.92,-2.14
990,-0.23,9.11,0.83,-2.01,-1.77,-0.73
1000,-0.06,9.68,0.37,2.01,-2.20,1.46
1010,-0.08,9.76,0.65,-3.66,-1.77,-0.55
1020,-0.03,9.64,0.73,-1.71,-1.71,0.06
1030,-0.04,9.96,0.26,0.12,-1.10,0.43
1040,-0.05,9.61,0.47,-2.32,-1.28,-1.10
1050,-0.08,9.81,0.42,0.18,-1.71,1.16
1060,-0.09,9.81,0.45,-1.40,-1.40,1.34
1070,-0.07,9.79,0.51,-0.67,-1.83,-0.24
1080,0.02,9.80,0.50,-0.06,-1.59,0.73
1090,-0.09,9.88,0.55,-2.44,-1.34,-0.43
