timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.92,0.23,0.44,0.61,5.68,-0.55
10,-9.95,0.14,0.36,3.30,3.54,0.49
20,-10.04,0.11,0.22,7.57,0.92,0.79
30,-9.96,0.13,0.32,12.82,-2.99,0.18
40,-9.92,0.19,0.52,11.47,-4.64,0.49
50,-9.94,0.28,0.58,7.20,-2.99,0.49
60,-9.98,0.25,0.67,2.38,-1.04,-0.12
70,-10.00,0.24,0.55,-2.81,1.59,-1.22
80,-9.97,0.22,0.65,-2.08,2.81,-1.40
90,-10.03,0.14,0.33,-1.46,5.62,-2.20
100,-9.99,0.14,0.49,-1.40,4.46,-1.59
110,-9.93,0.11,0.24,-0.73,4.46,-0.67
120,-10.02,0.23,0.49,-1.04,0.67,-0.85
130,-10.05,0.21,0.74,6.47,0.98,-1.40
140,-10.12,-0.82,0.64,12.02,2.38,-0.37
150,-9.79,0.45,0.43,7.14,7.39,-3.11
160,-9.85,0.17,0.30,-2.38,10.25,-2.38
170,-9.83,0.09,0.60,-3.36,11.11,-2.20
180,-10.11,0.28,0.20,-2.75,11.35,-2.87
190,-10.09,0.16,-0.12,-3.05,8.24,-2.44
200,-10.18,0.24,-0.10,-2.56,-2.69,-2.75
210,-9.78,-0.03,0.54,-4.33,-6.35,-2.93
220,-9.14,0.56,3.62,-8.67,3.48,-1.16
230,-10.17,-0.74,-1.84,-23.99,11.90,-2.32
240,-9.73,0.39,-1.02,-33.63,-16.97,-3.97
250,-10.15,-0.27,-1.43,-26.31,-26.86,-0.12
260,-10.18,0.70,-0.40,-11.17,-52.37,0.49
270,-6.89,-0.94,4.75,-15.08,-33.63,-12.27
280,-10.05,1.19,2.66,-5.07,20.20,1.83
290,-9.60,-0.21,1.14,-0.92,37.48,-2.08
300,-9.94,0.20,0.14,-2.14,41.75,-0.73
310,-11.07,0.65,-3.59,-2.14,31.31,-0.98
320,-10.09,0.00,0.08,-19.35,-26.98,2.50
