timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.92,0.14,0.33,-4.88,0.67,0.18
10,-9.91,0.20,0.27,-5.37,-0.85,0.55
20,-9.94,0.12,0.33,-3.60,-1.53,0.43
30,-9.93,0.27,0.40,-2.44,-1.04,0.67
40,-9.95,0.19,0.42,-2.69,-0.98,0.61
50,-9.92,0.27,0.41,-2.50,-0.24,-1.10
60,-9.97,0.22,0.37,-1.71,1.16,-1.10
70,-9.87,0.26,0.35,-2.20,-0.67,-2.20
80,-9.94,0.16,0.34,-1.04,-0.67,-1.10
90,-10.02,0.19,0.33,-1.53,0.67,-1.10
100,-9.94,0.19,0.32,-3.30,-0.24,-0.92
110,-9.97,0.11,0.33,-2.81,-0.31,-1.28
120,-9.94,0.05,0.15,-2.69,-1.10,-0.98
130,-9.94,0.06,0.04,-3.78,-3.11,0.61
140,-9.82,-0.48,-0.52,-4.46,-5.31,1.10
150,-9.91,0.26,0.29,-4.21,-7.20,1.53
160,-9.92,0.16,0.32,-5.62,-8.06,1.83
170,-9.96,0.25,0.21,-5.00,-7.32,0.85
180,-10.05,0.36,0.20,-5.49,-8.24,0.73
190,-10.02,0.37,-0.12,-2.44,-16.24,-2.69
200,-9.95,0.22,0.16,0.85,-18.98,-3.30
210,-10.12,0.04,-0.13,-0.49,-22.58,-2.87
220,-9.89,-0.15,0.78,-0.24,-26.98,-2.93
230,-10.01,0.31,0.57,-0.18,-24.54,-1.77
240,-9.87,0.17,0.73,0.00,-23.38,-2.87
250,-9.74,0.25,1.09,-0.73,-21.91,-2.38
260,-9.76,0.23,1.34,-1.40,-11.84,-2.62
270,-9.89,0.20,1.03,-1.40,-5.25,-3.11
280,-9.97,0.16,0.61,-1.40,1.04,-2.44
290,-9.85,0.11,0.56,-2.14,1.10,-1.83
300,-9.94,0.12,0.25,-1.83,1.10,-1.77
310,-9.98,0.18,0.24,-0.18,-0.43,-0.98
320,-9.88,0.00,0.49,-1.34,-6.29,-0.55
330,-9.98,0.89,0.68,-1.71,-10.86,1.89
340,-9.94,0.12,0.58,-2.14,-2.93,0.12
350,-9.85,0.15,1.13,-1.95,-1.22,-0.31
360,-8.94,-2.00,1.80,-3.30,28.26,-7.87
370,-10.28,1.05,0.09,-2.87,35.89,3.05
380,-9.98,-0.02,-0.94,-1.83,20.08,-0.79
390,-10.21,0.32,-0.11,-1.59,7.69,0.55
400,-9.72,0.22,0.71,-2.14,2.44,-0.24
410,-9.90,0.07,0.74,-1.77,3.91,-0.06
420,-9.92,0.09,0.41,-1.16,6.90,0.06
430,-9.95,0.23,0.39,-1.22,7.08,-0.55
440,-9.95,0.28,0.45,-7.32,7.02,-0.06
450,-9.97,0.26,0.33,-7.75,6.47,-0.61
460,-9.59,-0.14,0.43,-1.28,4.82,-0.49
470,-10.16,0.38,0.57,-2.56,5.25,-0.98
480,-9.96,0.23,0.52,-1.10,6.71,-0.06
490,-9.94,0.11,0.32,-1.83,6.71,-1.04
500,-9.92,0.05,0.27,-2.01,5.80,-0.55
510,-9.97,0.17,0.37,-0.85,5.80,-0.92
520,-10.04,0.17,-0.12,-1.95,2.01,-0.73
530,-9.92,0.02,-0.04,-0.73,-1.83,-0.49
540,-9.96,0.14,0.52,-1.71,-6.10,-1.16
550,-9.94,0.23,0.56,-0.92,-4.33,0.24
560,-9.90,0.22,0.54,-0.73,-2.32,0.24
