timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-10.04,0.10,0.32,-1.95,-1.16,0.61
10,-9.88,0.18,0.18,-1.10,-1.10,1.16
20,-9.90,0.11,0.29,-1.28,-2.32,0.61
30,-9.91,0.18,0.37,-1.40,-1.65,0.92
40,-9.99,0.17,0.39,-1.89,-1.10,0.73
50,-9.87,0.23,0.28,-1.16,-1.28,-0.55
60,-9.90,0.29,0.34,-1.65,-2.14,0.00
70,-9.97,0.21,0.28,-1.28,-1.65,-0.85
80,-9.97,0.09,0.27,-1.16,-2.14,-0.79
90,-9.83,0.17,0.28,-2.62,-4.39,-1.40
100,-10.03,0.23,0.23,-2.75,-4.52,-1.22
110,-9.95,0.19,-0.01,-3.48,-6.90,-1.40
120,-10.02,0.12,0.14,-1.89,-8.30,-1.53
130,-10.04,0.11,0.25,-3.36,-10.93,-1.04
140,-9.88,0.09,0.34,-2.14,-12.45,-0.92
150,-10.18,0.66,1.14,-2.44,-17.21,0.61
160,-10.01,0.25,0.73,-0.98,-9.89,-0.31
170,-9.90,0.13,0.53,0.00,-7.51,-0.43
180,-9.93,0.17,0.33,-0.98,-7.69,-0.43
190,-9.92,0.14,0.58,-1.28,-7.75,-1.34
200,-9.95,0.11,0.63,-0.98,-5.86,-0.73
210,-9.76,0.12,0.97,-0.31,-3.36,-0.67
220,-9.95,0.26,0.60,-1.95,3.78,-1.71
230,-10.04,0.16,0.37,-3.30,3.60,-2.81
240,-10.02,0.25,-0.18,-12.39,2.44,-1.16
250,-10.06,-0.49,0.01,-15.38,-2.26,-2.62
260,-9.90,0.12,0.27,-9.16,-8.24,0.12
270,-10.08,0.03,-0.02,-5.74,-10.19,-0.37
280,-10.26,0.09,0.07,-1.34,-22.64,0.12
290,-9.78,-0.06,1.18,-5.07,-22.34,0.18
300,-8.44,2.31,5.58,-10.38,-6.23,-2.56
310,-8.88,-1.33,2.55,-13.18,33.75,-4.52
320,-9.84,0.16,0.82,-1.65,53.04,-1.83
330,-10.55,0.23,-1.44,-0.18,54.87,-0.06
340,-9.42,0.51,-3.78,-14.77,3.91,-3.11
350,-10.06,0.56,0.21,-17.46,-18.92,0.37
360,-9.47,-0.13,0.78,-2.01,-10.93,-0.43
370,-9.81,-0.06,0.88,-2.56,-1.83,-0.73
380,-9.85,0.26,0.87,-2.26,5.07,-0.24
390,-9.99,0.08,-0.14,-1.04,11.05,-1.10
400,-10.12,0.11,-1.14,-2.20,2.75,-1.16
410,-9.91,0.23,0.74,-1.65,-10.56,0.24
420,-9.77,0.13,0.85,-0.49,-5.80,-0.06
430,-9.81,0.11,0.89,-1.59,2.99,-0.24
440,-9.88,0.17,-0.09,-1.28,6.23,-1.16
450,-10.03,0.17,-0.25,-1.83,-3.60,-0.12
460,-9.83,0.08,0.68,-1.28,-7.14,-0.31
470,-9.89,0.23,0.77,-0.31,0.61,0.18
480,-9.92,0.10,0.12,-1.40,3.48,-0.24
490,-10.10,0.05,0.07,-1.59,-2.99,-0.24
500,-9.92,0.13,0.61,-0.73,-4.94,0.12
510,-9.92,0.19,0.61,-1.53,-0.61,-0.92
520,-10.04,0.10,0.11,-1.22,1.53,-0.06
530,-9.97,0.16,0.09,-0.73,-2.62,-0.73
540,-9.90,0.13,0.59,-2.44,-5.37,-0.06
550,-9.83,0.21,0.55,-1.22,-1.77,0.12
560,-9.95,0.21,0.22,-1.28,1.16,-0.61
570,-9.89,0.08,0.23,-2.08,-2.08,-0.37
580,-9.96,0.06,0.54,-1.40,-2.87,0.06
590,-9.95,0.07,0.45,-1.89,-0.92,0.85
600,-9.92,0.18,0.20,-0.85,0.18,-0.06
610,-9.94,0.06,0.45,-1.71,-2.38,-0.06
620,-9.98,0.09,0.40,-1.65,-2.08,-0.85
630,-9.98,0.15,0.36,-0.98,-0.37,-0.31
640,-9.92,0.06,0.34,-1.89,-1.89,0.37
650,-9.89,0.14,0.32,-1.40,-2.44,0.00
660,-9.85,0.19,0.42,-1.46,-1.28,-0.61
670,-9.87,0.14,0.33,-1.59,-1.34,-0.55
680,-10.03,0.17,0.28,-0.61,-0.85,-0.55
690,-9.90,0.13,0.31,-0.79,-2.44,-0.73
700,-9.89,0.17,0.36,-1.22,-0.79,-0.31
710,-9.93,0.14,0.38,-1.53,-0.85,0.00
720,-9.98,0.09,0.38,-1.16,-1.53,-0.24
730,-9.81,0.18,0.34,-1.04,-1.40,-0.49
740,-9.94,0.09,0.40,-1.59,-1.46,-0.18
750,-9.91,0.15,0.40,-0.73,-0.98,-0.55
760,-9.86,0.10,0.35,-1.28,-1.95,-0.73
770,-9.87,0.09,0.34,-1.59,-2.26,-0.24
780,-9.90,0.17,0.35,-1.83,-2.01,-0.61
790,-9.99,0.21,0.35,-2.44,-2.14,0.92
800,-9.83,-0.28,0.32,0.00,-1.22,-0.98
810,-10.15,0.32,0.27,-1.77,-1.89,-0.06
820,-9.97,0.18,0.31,-1.40,-0.98,-0.31
830,-9.93,0.23,0.50,-1.28,-1.46,-0.37
840,-10.17,1.50,0.05,-1.89,-1.40,-5.68
850,-8.65,-2.88,0.67,-4.39,-4.82,3.97
860,-9.03,-2.72,0.22,-4.58,1.16,-13.73
870,-10.50,0.68,0.08,-7.63,-1.83,6.71
880,-9.09,-1.13,0.37,-1.53,-1.83,-1.71
890,-10.45,1.19,0.48,-2.20,-2.81,3.97
900,-9.67,-0.23,0.27,-1.16,0.24,-1.28
910,-10.09,0.32,0.13,-2.44,-1.71,0.37
920,-9.98,0.08,0.53,-1.65,-3.05,0.24
930,-9.98,0.22,0.58,-1.59,-1.40,0.61
940,-9.85,-0.10,0.35,-1.16,0.24,-0.73
950,-9.99,0.26,0.23,-1.95,-1.83,0.06
960,-9.92,0.14,0.43,-1.28,-2.20,-0.37
970,-9.94,0.07,0.42,-0.49,-1.10,0.92
980,-9.80,0.10,0.30,-0.49,-0.67,-0.61
990,-9.90,0.27,0.31,-1.40,-0.85,-0.18
1000,-9.92,0.07,0.43,-1.71,-1.65,0.12
1010,-9.89,0.08,0.39,-1.40,-1.95,-0.18
1020,-9.95,0.18,0.27,-1.46,-2.20,0.18
1030,-9.90,0.04,0.39,-1.59,-0.67,0.12
1040,-9.99,0.20,0.35,-1.71,-1.40,0.43
1050,-9.77,-0.15,0.35,-1.22,-0.98,-0.73
1060,-9.81,0.15,0.41,-1.34,-0.85,2.14
1070,-10.04,0.39,0.20,-1.34,-0.43,0.31
1080,-9.92,0.10,0.18,-1.83,-1.10,-0.55
1090,-12.55,0.33,0.31,-1.59,-2.93,6.84
1100,-9.33,-1.74,-0.04,-3.72,0.31,-13.43
1110,-10.74,2.94,0.57,-2.20,-0.92,5.86
1120,-9.05,-0.87,0.19,-1.10,-0.37,-5.19
1130,-10.48,1.46,0.17,-1.34,-1.95,2.08
1140,-9.42,-0.91,0.34,-2.32,-3.11,-2.93
1150,-10.02,0.31,0.35,-0.18,-0.67,-0.37
1160,-9.87,-0.16,0.21,-1.10,0.31,-1.04
1170,-9.93,0.05,0.31,-1.28,-1.89,-0.67
1180,-9.83,0.15,0.37,-1.40,-2.62,-0.37
1190,-9.98,-0.00,0.35,-2.20,-1.28,-0.67
1200,-9.93,0.20,0.22,-1.10,-1.83,0.67
1210,-9.95,0.02,0.47,-2.50,-2.08,0.18
1220,-9.82,0.19,0.40,-0.55,-1.16,-1.16
1230,-9.95,0.19,0.35,-2.08,-1.40,-0.79
1240,-9.97,0.18,0.25,-0.67,-0.67,-0.24
1250,-9.88,0.11,0.48,-1.65,-2.81,-0.98
1260,-10.02,0.14,0.36,-0.98,-0.79,0.12
1270,-9.98,0.06,0.30,-1.46,-1.40,-0.24
1280,-9.83,0.14,0.24,-1.40,-1.77,0.18
1290,-9.88,0.23,0.38,-0.49,-2.01,-0.43
1300,-9.90,0.10,0.37,-1.83,-0.98,-0.18
1310,-9.90,0.06,0.38,-1.10,-1.77,-0.12
1320,-9.98,0.17,0.34,-0.55,-1.04,-0.43
1330,-9.89,0.21,0.34,0.31,-0.85,-0.49
1340,-10.01,0.07,0.32,-2.20,-1.95,-0.37
1350,-9.87,0.11,0.27,-1.46,-1.77,-0.61
1360,-9.90,0.08,0.36,-1.83,-1.40,-0.06
1370,-9.98,0.11,0.33,-1.71,-2.38,-0.43
1380,-9.87,0.10,0.26,-2.93,-1.89,0.43
1390,-9.89,0.12,0.32,-2.50,-2.20,0.06
1400,-9.92,0.19,0.30,-0.73,-0.06,-0.06
1410,-9.94,0.06,0.23,-1.59,-1.34,-0.55
1420,-10.06,0.07,0.33,-2.44,-2.01,0.18
1430,-9.78,0.11,0.36,-1.28,-1.04,-0.43
1440,-9.89,0.15,0.36,-1.34,-1.40,-0.67
1450,-9.85,0.12,0.36,-0.73,-1.22,0.06
1460,-10.00,0.06,0.40,-1.10,-1.71,-0.79
1470,-9.94,0.16,0.44,-1.40,-1.34,-0.37
1480,-9.93,0.06,0.39,-1.46,-1.34,-0.49
1490,-10.00,0.16,0.31,-0.61,-0.85,0.43
