timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.90,0.13,0.40,1.22,0.12,1.22
10,-10.02,0.06,0.40,5.80,0.43,1.65
20,-9.94,0.11,0.40,6.90,-1.59,2.38
30,-9.94,0.18,0.52,6.77,-1.28,1.71
40,-9.94,0.38,0.49,6.59,0.43,0.61
50,-9.76,0.51,0.43,4.76,0.00,-0.79
60,-9.99,0.33,0.48,3.05,1.65,-2.99
70,-9.80,0.25,0.55,-1.04,3.66,-4.39
80,-9.95,0.09,0.25,-2.87,5.07,-3.48
90,-10.03,0.02,0.21,-3.11,3.05,-3.05
100,-9.91,0.22,0.31,-0.31,1.65,-1.34
110,-9.96,0.05,0.11,-0.67,-1.34,-1.65
120,-10.02,0.21,-0.02,0.61,-6.16,-1.16
130,-10.09,0.22,0.06,1.28,-9.64,-1.95
140,-9.98,0.08,0.10,0.31,-12.82,-2.56
150,-9.89,1.16,0.79,5.80,-20.02,0.43
160,-9.90,0.20,0.59,-0.49,-10.80,-2.38
170,-10.02,0.01,0.61,-0.92,-10.93,-2.75
180,-9.91,0.09,0.50,-1.59,-9.70,-2.69
190,-9.95,0.04,0.59,-0.55,-7.81,-1.40
200,-9.87,0.12,0.68,-1.77,-8.79,-0.06
210,-10.12,0.43,0.48,-2.26,-8.61,-0.37
220,-9.69,1.46,2.68,-0.43,-1.89,-5.62
230,-9.80,-0.30,1.14,2.93,14.59,-0.73
240,-10.04,-0.16,0.00,-1.10,7.57,-0.61
250,-9.84,0.22,0.49,0.06,4.82,-1.40
260,-9.84,0.27,0.56,-3.11,2.93,-1.28
270,-9.78,0.07,0.82,-2.26,6.10,-1.04
280,-9.88,0.09,0.66,-2.38,9.52,-1.16
290,-9.90,0.19,0.45,-1.46,10.99,-0.18
300,-10.02,0.17,0.76,-2.01,12.15,-1.04
310,-10.07,0.60,0.78,-1.59,19.90,-0.85
320,-9.72,-0.27,0.90,-1.71,23.74,-2.08
330,-10.08,-0.25,-2.19,-7.57,3.72,-3.30
340,-10.06,0.48,0.39,-10.19,-13.61,1.77
350,-9.68,-0.57,1.43,-0.55,-1.34,-1.89
360,-10.03,0.34,0.13,-1.77,8.48,0.92
