timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.02,9.79,0.43,-1.10,-1.89,-0.18
10,-0.12,9.73,0.51,-1.10,-1.46,-0.43
20,-0.08,9.66,0.46,-1.04,-1.34,0.18
30,-0.11,9.79,0.44,-1.34,-1.89,0.73
40,-0.10,9.66,0.49,0.12,-0.67,0.31
50,0.02,9.82,0.30,-0.37,-1.22,0.37
60,-0.05,9.84,0.52,-1.16,-1.77,0.55
70,-0.04,9.77,0.46,-0.92,-1.10,-0.85
80,-0.11,9.85,0.46,-2.26,-1.59,-0.79
90,-0.07,9.79,0.39,-2.32,-2.01,-0.67
100,-0.20,9.71,0.47,-2.75,-0.67,-1.22
110,-0.08,9.73,0.44,-3.05,-2.14,-0.73
120,-0.19,9.70,0.42,-1.59,-2.08,-0.55
130,-0.06,9.72,0.41,-0.79,-2.38,-0.49
140,-0.02,9.79,0.44,-1.46,-3.78,-1.16
150,-0.08,9.86,0.58,-1.28,-1.59,-0.43
160,-0.19,9.76,0.44,-2.14,-1.46,-1.16
170,-0.00,10.08,0.46,-0.92,-2.14,-0.61
180,-0.11,9.61,0.42,-2.75,-2.01,-1.89
190,-0.04,9.83,0.57,-2.81,-0.61,-1.28
200,-0.16,9.77,0.55,-3.78,-2.01,-1.53
210,-0.12,9.72,0.46,-2.93,-1.77,-0.85
220,-0.19,9.69,0.40,-2.38,-2.01,-1.16
230,-0.28,9.71,0.54,-1.89,-1.89,-0.24
240,-0.16,9.68,0.53,-3.11,-1.53,-0.31
250,-0.19,8.06,-0.24,2.44,-2.14,-6.16
260,0.28,10.30,0.50,-1.95,-0.67,4.21
270,-0.27,9.80,0.20,-3.85,1.28,-0.49
280,-0.12,9.68,0.65,-4.58,0.00,-1.04
290,0.10,10.74,0.06,-5.80,0.92,-1.53
300,-0.20,9.39,0.70,-6.96,5.37,0.73
310,-0.19,9.91,0.09,-2.38,4.70,-0.06
320,-0.19,9.74,0.42,-7.93,-0.61,0.55
330,-0.12,9.84,0.58,-9.03,-1.46,0.24
340,0.21,9.73,0.71,-12.57,4.15,0.06
350,-0.01,9.73,0.63,-11.29,8.67,0.00
360,-0.09,9.88,0.33,-12.39,8.67,-0.79
370,-0.95,8.71,0.42,-12.45,5.80,0.49
380,0.17,9.05,1.77,25.94,-9.34,2.08
390,0.03,9.04,1.57,53.04,-7.93,-2.56
400,1.51,8.68,-1.19,14.77,-11.47,-6.41
410,0.19,8.76,-0.72,-11.47,0.37,1.59
420,0.80,9.74,2.40,-39.37,0.31,-3.11
430,-0.80,7.66,0.71,-11.78,5.31,1.77
440,-0.83,10.47,-0.02,27.34,-1.22,-0.43
450,0.44,9.87,-0.68,7.14,-3.60,4.70
460,-0.07,8.89,1.39,-19.65,-1.83,-4.88
470,-0.10,9.20,1.35,3.54,-0.98,0.98
480,-0.33,10.33,-0.35,8.91,-0.61,1.53
