timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.08,9.71,0.45,1.34,-3.54,0.31
10,-0.04,9.73,0.44,2.20,-4.94,-0.06
20,-0.11,9.67,0.37,2.01,-3.72,0.55
30,-0.10,9.74,0.35,2.44,-3.85,1.04
40,-0.16,9.73,0.40,3.97,-2.99,0.43
50,-0.02,9.90,0.27,2.38,-1.71,0.92
60,-0.06,9.89,0.29,0.31,-1.77,-0.61
70,-0.09,9.82,0.30,-0.67,-1.34,-1.46
80,-0.05,9.83,0.27,-0.73,-1.59,-1.53
90,-0.14,9.72,0.36,-2.50,-1.16,-0.98
100,-0.12,9.61,0.33,-0.55,-1.83,0.55
110,-0.10,9.73,0.28,0.85,-2.14,0.92
120,-0.16,9.66,0.45,2.75,-4.21,2.69
130,-0.10,9.75,0.44,4.52,-3.54,1.16
140,-0.08,9.81,0.40,7.87,-3.36,1.10
150,-0.11,9.76,0.22,10.19,-2.26,-0.49
160,-0.42,9.39,0.09,4.03,-0.31,-1.04
170,-0.02,9.78,0.25,2.99,-2.93,-1.59
180,-0.09,9.79,0.22,2.14,-1.40,-2.01
190,-0.03,9.69,0.09,0.06,-1.65,-2.01
200,-0.10,9.70,0.19,-3.60,-1.77,-1.59
210,-0.13,9.86,0.11,-8.30,-1.34,-2.01
220,-0.31,8.39,0.62,-6.23,-1.53,-4.70
230,0.15,10.46,-0.77,-17.88,-0.31,1.59
240,0.13,11.58,-0.30,-34.00,-0.73,0.49
250,-0.61,11.15,0.09,-45.04,2.44,-1.89
260,-1.17,8.50,1.32,-21.24,2.26,-9.03
270,0.37,10.04,0.81,-8.54,2.93,0.24
280,-0.11,9.50,0.78,-6.23,17.27,-0.61
290,-0.64,9.97,0.07,-4.76,15.50,0.06
300,0.03,9.75,0.49,-7.87,5.00,-0.06
310,0.12,9.64,0.76,-9.03,7.20,1.10
320,-0.32,9.18,1.13,8.48,5.00,-1.53
330,-0.42,10.99,-0.24,12.82,5.43,1.16
340,0.55,9.82,0.67,-8.91,1.59,-4.39
350,-1.21,8.52,0.07,7.45,3.23,-1.28
360,0.09,10.54,-0.25,3.36,-2.08,0.31
370,-0.00,9.96,0.44,-8.30,-0.98,-2.50
380,-0.23,9.04,0.74,-3.72,-1.40,-0.49
390,-0.16,9.68,0.46,2.69,-1.53,1.89
400,-0.02,10.04,0.28,-2.20,-1.77,-0.43
410,-0.12,9.66,0.49,-5.37,-1.83,-0.79
420,-0.10,9.52,0.58,-4.76,-3.66,-1.40
430,-0.13,9.80,0.55,0.31,-1.04,0.06
440,0.03,9.94,0.51,-0.92,-1.16,-0.06
450,-0.10,9.62,0.59,-2.75,-1.34,-0.55
460,-0.07,9.62,0.56,-0.06,-1.04,0.79
470,-0.00,9.93,0.36,0.85,-1.28,0.43
480,-0.10,9.87,0.43,-3.54,-2.26,0.24
490,-0.09,9.71,0.40,-1.71,0.98,-0.18
500,-0.10,9.68,0.59,-0.43,1.53,0.18
510,-0.06,9.63,0.48,-3.91,-2.32,0.18
520,-0.10,9.90,0.47,-1.53,-0.37,-0.67
530,-0.12,9.73,0.59,-1.34,-1.10,0.55
540,-0.13,9.70,0.61,-0.49,-0.37,-0.37
550,-0.10,9.79,0.49,0.06,-1.46,-0.24
560,-0.05,9.68,0.48,-1.59,-1.22,0.24
570,-0.08,9.69,0.49,-0.73,-1.10,-0.49
580,-0.14,9.69,0.47,-1.71,-1.83,-0.31
590,-0.11,9.69,0.43,-0.85,-1.10,-0.06
600,-0.19,9.64,0.55,-1.65,-2.08,-0.12
610,-0.10,9.68,0.53,-2.20,-2.44,-0.06
620,-0.14,9.68,0.54,-0.18,-1.22,0.37
630,-0.13,9.75,0.51,-0.61,-1.16,0.12
640,-0.14,9.76,0.46,0.12,-0.67,0.00
650,-0.16,9.70,0.54,-1.10,-0.24,0.06
660,0.11,9.84,0.43,-0.67,-1.16,-0.43
670,0.03,9.79,0.49,-1.53,-1.89,0.73
680,0.05,9.73,0.58,-0.79,-0.85,0.18
690,0.00,9.64,0.57,-1.46,0.24,0.67
700,-0.09,9.75,0.54,-0.24,0.49,0.79
710,-0.00,9.78,0.45,-1.53,-1.95,1.34
720,-0.12,9.75,0.51,-1.53,-1.89,1.16
730,-0.14,9.74,0.49,-0.06,-2.14,-0.67
740,-0.12,9.87,0.38,0.24,0.85,0.12
750,-0.22,9.77,0.43,-2.38,-1.10,-1.40
760,-0.08,9.58,0.54,-1.59,1.28,-0.18
770,-0.25,9.62,0.64,0.00,-0.55,0.92
780,-0.07,9.93,0.43,3.91,2.99,0.18
790,-0.07,9.88,0.52,0.55,1.77,-1.28
800,0.05,9.61,0.58,-1.16,-1.34,-0.18
810,-0.04,9.72,0.50,0.06,-1.28,0.61
820,-0.15,9.85,0.40,-0.12,-0.49,-0.61
830,-0.14,9.72,0.41,-1.28,-1.89,-0.73
840,-0.18,9.81,0.44,-2.14,-1.28,-0.61
850,-0.15,9.71,0.47,-1.83,-1.95,-0.12
860,-0.07,9.65,0.43,-1.95,-1.22,1.16
870,-0.07,9.91,0.46,-1.65,-1.34,0.49
880,-0.13,9.67,0.52,-2.20,-2.14,-1.28
890,-0.14,9.75,0.45,-0.55,-1.16,-0.43
900,-0.06,9.76,0.43,-0.55,-0.12,-0.37
910,-0.05,9.78,0.55,-0.31,-1.04,-0.61
920,-0.09,9.75,0.49,-0.73,-1.59,-0.98
930,-0.04,9.73,0.47,-1.22,-1.59,-0.12
940,-0.09,9.75,0.53,-1.71,-0.43,-0.24
950,-0.18,9.73,0.61,-2.20,-1.34,-0.79
960,-0.17,9.73,0.55,-0.98,0.37,0.06
970,-0.06,9.87,0.44,-1.46,-1.16,-0.24
