timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.85,0.01,0.67,2.26,-5.68,0.31
10,-9.90,0.13,0.44,1.53,-3.17,0.31
20,-10.04,0.16,0.40,1.83,-2.62,-0.55
30,-10.02,0.17,0.34,3.36,-3.60,-0.24
40,-9.92,0.10,0.32,4.82,-5.74,0.18
50,-9.96,0.17,0.33,4.70,-7.14,0.37
60,-9.86,0.23,0.41,3.48,-6.65,0.79
70,-9.87,0.28,0.56,2.93,-5.68,0.49
80,-9.92,0.25,0.52,0.00,-3.91,-0.61
90,-9.93,0.11,0.52,-0.24,-1.46,-0.49
100,-9.97,-0.00,0.22,2.20,-2.20,-0.06
110,-9.97,-0.12,0.41,10.01,-5.13,-0.06
120,-10.02,0.25,0.56,23.68,-8.48,-0.67
130,-9.87,0.34,0.68,28.32,-6.04,-1.65
140,-9.79,0.65,0.63,11.66,0.92,-2.20
150,-9.95,0.16,0.79,-1.77,6.71,-4.21
160,-10.01,0.27,0.71,-4.46,8.97,-3.97
170,-9.78,0.28,0.60,-2.44,12.02,-3.30
180,-9.94,0.11,0.17,-3.30,12.39,-3.17
190,-9.94,0.01,0.22,-4.27,9.70,-3.30
200,-10.12,0.39,-0.01,-6.84,3.72,-1.65
210,-9.90,0.16,0.50,-13.49,-2.75,-1.83
220,-9.91,0.04,0.47,-16.85,-2.75,-1.16
230,-9.99,-0.07,-0.06,-16.36,-3.66,-1.59
240,-9.90,-0.21,-0.52,-10.62,-4.58,-0.61
250,-10.33,0.50,-1.67,-1.40,-18.80,0.24
260,-9.99,0.02,-0.89,-0.43,-39.49,-0.24
270,-8.90,-0.51,3.73,-7.75,-25.76,-2.56
280,-9.40,0.57,3.11,-4.88,5.68,1.46
290,-9.51,-0.04,1.59,-2.08,35.46,-1.04
300,-9.87,0.17,0.89,-1.53,44.13,-1.34
310,-9.63,0.55,-3.17,-21.48,-0.79,-2.38
320,-9.75,0.35,0.84,-39.55,-30.03,4.15
330,-9.52,-0.17,0.96,-0.85,-1.40,-0.73
340,-9.95,0.23,0.65,-0.49,3.72,-0.12
350,-10.04,0.15,-0.24,-1.53,1.89,0.12
360,-9.87,-0.00,-0.02,-1.46,-3.91,0.31
370,-9.72,0.16,0.80,-1.53,-4.27,0.31
380,-9.89,0.14,0.60,-0.98,0.18,0.00
390,-10.03,0.09,-0.13,-2.08,0.31,0.24
400,-10.08,0.09,0.13,-0.31,-2.75,-0.92
410,-9.82,0.15,0.69,-1.71,-2.69,0.00
420,-9.89,0.04,0.56,-1.34,0.49,0.12
430,-10.08,0.06,-0.01,-1.95,-0.37,-0.24
440,-9.94,0.14,0.19,-0.98,-2.69,-0.61
450,-9.92,0.11,0.57,-1.59,-3.48,-1.04
460,-9.99,-0.04,0.44,-0.98,-0.12,-0.67
470,-9.87,0.13,0.11,-1.53,-0.31,-0.73
480,-10.02,0.02,0.35,-1.71,-2.56,-0.61
490,-9.94,0.10,0.50,-0.92,-1.46,-0.73
500,-9.92,0.13,0.29,-0.79,-0.61,-0.55
510,-9.93,0.14,0.19,-1.83,-1.71,-0.61
520,-9.97,0.08,0.40,-1.34,-2.01,-0.55
530,-9.91,0.10,0.38,-0.79,-0.79,-0.79
540,-9.94,-0.00,0.33,-1.65,-1.04,0.24
550,-9.96,0.11,0.24,-1.34,-0.61,-0.24
560,-9.94,0.12,0.46,-2.38,-2.44,-0.73
570,-9.87,0.02,0.36,-1.83,-1.22,0.00
580,-9.90,0.11,0.22,-1.65,-1.04,-0.18
590,-9.95,0.15,0.30,0.06,-1.89,0.18
600,-10.06,0.15,0.34,-1.28,-0.92,-0.49
610,-9.85,0.10,0.32,-1.89,-0.55,0.43
620,-9.91,0.07,0.34,-1.10,-1.83,0.31
630,-9.91,0.24,0.39,-1.95,-1.40,0.12
640,-9.82,0.18,0.37,-1.59,-1.28,-0.18
650,-9.92,0.15,0.38,-1.53,-0.49,-0.55
660,-9.98,0.04,0.36,-1.65,-1.34,-0.31
670,-9.98,0.05,0.36,-1.28,-0.85,-0.67
680,-9.90,0.05,0.32,-2.26,-1.40,-0.79
690,-9.94,0.07,0.33,-0.73,-1.10,-0.37
700,-9.92,0.03,0.27,-0.79,-0.12,-0.31
710,-9.85,0.11,0.37,-1.40,-1.04,0.24
720,-9.97,0.10,0.30,-1.71,-1.34,-0.92
730,-9.95,0.11,0.35,-1.53,-1.77,0.00
740,-9.94,0.17,0.29,-1.34,-1.34,1.04
750,-10.03,0.23,0.32,-1.40,-1.53,-0.67
760,-10.06,0.18,0.29,-1.16,-1.46,-0.37
770,-9.87,0.02,0.28,-0.37,-1.46,-0.31
780,-10.09,0.40,0.44,-1.04,-1.34,-0.24
790,-9.75,-0.14,0.30,-0.73,-1.59,-0.49
800,-9.67,0.11,0.40,-1.53,-0.18,-2.56
810,-9.98,-0.00,0.28,-0.92,-0.92,0.37
820,-9.58,-0.60,0.36,-1.22,-2.26,-1.22
830,-10.21,0.64,0.27,-0.98,-1.59,1.16
840,-9.85,0.00,0.36,-0.61,-1.46,-0.43
850,-9.91,0.21,0.30,-1.34,-1.95,0.00
860,-9.95,0.20,0.33,-1.77,-1.53,0.73
870,-9.94,0.21,0.33,-0.85,-1.40,-0.06
880,-9.87,0.10,0.33,-2.01,-1.83,-1.04
890,-9.96,0.32,0.32,-1.16,-1.71,-0.55
900,-9.96,-0.11,0.28,-0.61,-1.16,-0.31
910,-9.98,0.24,0.31,-1.10,-2.01,0.06
920,-9.80,-0.05,0.41,-2.62,-2.69,-0.43
930,-9.83,-0.04,0.39,-1.59,-1.65,0.43
940,-9.93,0.31,0.30,-1.10,-0.85,0.31
950,-9.84,0.18,0.24,-2.08,-0.98,-0.43
960,-9.85,-0.11,0.45,-1.40,-2.32,0.73
970,-10.20,0.85,0.39,-2.32,-0.98,0.37
980,-9.82,-0.27,0.30,-0.49,-0.43,-0.61
990,-10.53,0.23,0.23,-1.46,-1.65,-0.12
1000,-11.21,0.42,0.43,-2.14,-3.23,3.30
1010,-9.20,-0.89,0.27,-0.92,-0.12,-2.14
1020,-10.58,1.04,0.21,-1.28,-0.49,0.67
1030,-9.87,0.23,0.23,-2.20,-3.05,0.24
1040,-9.94,0.20,0.48,-0.61,-1.71,-1.40
1050,-10.12,0.34,0.33,-0.79,-0.24,0.67
1060,-9.82,0.00,0.10,-0.85,-1.34,-0.61
1070,-10.03,0.21,0.25,-1.28,-2.08,-0.18
1080,-9.86,0.01,0.51,-1.95,-2.44,-0.79
1090,-9.89,0.17,0.35,-2.08,-1.16,-0.43
1100,-9.87,0.04,0.31,-0.85,-0.73,-0.79
1110,-9.99,0.01,0.33,-0.67,-2.44,-0.98
1120,-9.91,0.11,0.30,-0.79,-1.16,-0.92
1130,-9.89,0.02,0.19,-0.37,-0.79,-0.37
1140,-9.90,0.11,0.37,-1.53,-1.89,0.18
1150,-9.95,0.05,0.39,-1.89,-2.14,-0.31
1160,-9.96,0.07,0.31,-1.83,-1.89,-0.43
1170,-9.91,0.10,0.29,-1.34,-2.20,-0.12
1180,-9.94,0.06,0.38,-1.46,-2.62,0.00
1190,-9.98,0.04,0.50,-1.16,-1.77,0.00
1200,-9.92,0.04,0.31,-2.01,-0.98,-0.85
1210,-9.89,0.13,0.32,-1.04,-1.59,-1.10
1220,-9.90,0.17,0.39,-1.34,-1.95,0.31
1230,-9.94,0.12,0.30,-2.32,-1.40,-0.67
1240,-9.89,0.08,0.37,-0.85,-1.22,-0.18
1250,-9.88,0.09,0.34,-1.95,-1.40,-0.79
1260,-9.86,0.14,0.38,-1.16,-0.92,-0.73
1270,-9.90,0.10,0.37,-1.16,-0.79,-0.85
1280,-9.92,0.08,0.29,-0.85,0.00,0.31
1290,-9.84,0.23,0.29,-2.26,-0.85,-0.37
1300,-9.93,0.18,0.34,-1.77,-1.83,-0.61
1310,-9.90,0.16,0.33,-1.34,-1.53,-0.79
1320,-9.86,0.10,0.33,-1.53,-1.65,0.24
1330,-9.89,0.21,0.39,-1.77,-1.28,0.12
1340,-9.93,0.06,0.35,-0.12,-1.34,-0.24
1350,-9.94,0.05,0.31,-0.43,-1.04,-0.61
1360,-9.85,0.25,0.39,-1.71,-1.28,-0.61
1370,-9.94,0.02,0.27,-1.28,-1.16,-1.04
1380,-9.98,0.15,0.30,-1.04,-1.95,-0.67
1390,-9.95,0.14,0.29,-1.10,-1.77,-0.12
1400,-9.92,0.14,0.35,-1.10,-2.20,-0.18
1410,-9.96,0.04,0.33,-0.98,-1.77,-0.24
1420,-9.98,0.14,0.36,-1.95,-1.95,-0.67
1430,-9.89,0.10,0.44,-2.38,-2.14,0.06
1440,-9.92,0.03,0.38,-1.53,-2.08,-0.18
1450,-9.87,0.20,0.39,-1.46,-2.08,-0.24
1460,-10.00,0.08,0.29,-2.08,-1.53,-0.24
1470,-9.91,0.17,0.35,-1.65,-0.85,-0.49
1480,-9.90,0.17,0.39,-0.67,-0.73,-0.24
1490,-9.94,0.11,0.16,-1.95,-1.28,0.12
