timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.91,0.01,0.67,3.54,5.68,-3.72
10,-9.92,0.16,0.60,3.23,5.55,-2.56
20,-9.90,0.13,0.67,3.72,6.77,-2.44
30,-9.89,0.24,0.63,2.26,6.41,-1.71
40,-9.90,0.11,0.64,2.32,8.85,-1.65
50,-9.94,0.15,0.44,0.67,8.24,-0.73
60,-10.03,0.29,0.42,-1.22,6.41,-0.67
70,-9.85,0.19,0.35,-0.79,6.47,-0.98
80,-9.80,0.13,0.42,-1.83,5.49,-1.40
90,-9.94,0.06,0.55,-0.79,6.41,-1.04
100,-10.12,0.16,0.35,-1.40,6.41,-0.98
110,-10.01,0.05,0.31,5.98,1.53,-0.92
120,-9.96,0.17,0.21,8.91,-0.67,-2.01
130,-9.98,0.29,0.06,5.49,-3.05,-2.08
140,-9.85,0.28,0.22,3.30,-4.70,-2.14
150,-10.03,0.34,1.59,2.01,-7.75,-1.28
160,-9.83,-0.02,0.92,2.44,-7.26,-2.14
170,-9.80,0.10,0.59,-1.40,0.00,-2.20
180,-9.81,0.19,0.54,-1.28,0.98,-1.77
190,-9.90,0.16,0.55,-0.73,2.75,-2.75
200,-9.88,0.09,0.59,-1.65,3.97,-2.81
210,-9.91,0.15,0.66,-3.23,5.80,-2.44
220,-9.85,0.06,0.63,-3.05,6.84,-1.95
230,-10.07,0.01,0.45,-1.83,8.79,-1.59
240,-9.90,-0.02,0.48,-1.28,10.07,-0.55
250,-9.88,1.44,0.34,-15.93,11.90,2.38
260,-9.95,0.20,-0.51,-42.79,15.08,-0.73
270,-10.15,0.27,-1.23,-60.55,2.14,-1.10
280,-10.15,-0.27,-2.90,-66.35,-15.81,-4.27
290,-10.42,0.03,-1.00,-48.28,-66.10,0.43
300,-9.90,-1.35,2.48,-46.57,-70.98,4.21
310,-9.26,1.54,3.39,-37.78,-34.48,11.35
320,-9.34,1.29,3.32,-34.85,-7.57,-1.46
330,-9.62,-0.40,4.19,-35.16,56.27,-21.00
340,-8.66,-1.06,0.42,-8.73,67.02,0.61
350,-9.75,1.26,0.12,-0.37,69.82,0.61
360,-11.98,0.33,-5.64,-7.63,35.28,-2.50
370,-11.19,-1.33,-0.02,-33.51,-38.21,-0.43
380,-9.72,-0.40,0.59,-1.40,-12.27,-2.75
390,-10.10,0.12,0.64,-1.95,-10.80,0.37
400,-9.88,0.14,0.78,-1.59,-4.94,-0.92
410,-9.89,0.04,0.85,-1.40,-0.12,0.24
420,-9.85,0.15,0.66,-1.16,5.13,-0.24
430,-9.94,0.05,0.51,-1.34,6.59,-0.12
440,-10.01,0.09,-0.36,-0.79,7.51,-0.37
450,-10.10,0.02,-0.56,-2.01,-0.92,0.31
460,-9.89,0.14,0.61,-1.10,-8.06,-0.73
470,-9.94,0.05,0.73,-2.38,-6.35,0.55
480,-9.90,0.10,0.83,-0.79,0.00,0.06
490,-9.93,0.23,0.61,-1.71,2.93,0.18
500,-10.06,0.11,-0.35,-0.61,1.89,-1.04
510,-9.95,0.14,0.03,-2.32,-4.27,0.12
520,-9.84,0.02,0.69,-1.34,-4.88,0.12
530,-9.85,0.12,0.76,-1.77,-0.79,-0.31
540,-10.01,0.18,0.10,-2.01,2.26,-1.28
550,-9.89,0.01,-0.13,-1.10,-0.06,0.12
560,-9.48,-0.11,0.48,-1.16,-4.03,-3.48
570,-9.72,0.22,0.66,-0.98,-3.17,2.08
580,-10.11,-0.22,0.50,-1.28,-0.18,-1.95
590,-9.94,-0.00,0.03,-1.46,1.95,-0.37
600,-10.32,0.82,0.33,-1.46,-1.95,3.23
610,-9.69,-0.27,0.45,-1.46,-2.32,-2.44
620,-10.08,0.45,0.48,-1.46,-0.43,1.46
630,-9.77,-0.10,0.25,-0.85,0.55,-0.43
640,-10.02,0.28,0.25,-0.98,-1.59,-0.85
650,-9.63,-0.64,0.48,-1.46,-2.38,0.61
660,-9.73,-0.34,0.38,-0.55,-0.37,-4.27
670,-9.97,0.06,0.15,-1.59,-0.24,1.22
680,-9.99,0.37,0.22,-0.79,-1.65,-0.73
690,-10.02,0.18,0.42,-1.22,-1.89,0.06
700,-10.08,0.13,0.49,-0.31,-0.79,-0.55
710,-9.82,-0.20,0.20,-0.55,0.12,-0.37
720,-9.98,0.37,0.25,-1.53,-0.37,1.34
730,-9.78,0.06,0.44,-2.38,-2.81,-0.31
740,-10.02,0.21,0.44,-1.16,-1.34,0.12
750,-9.80,0.07,0.13,-1.16,-0.67,-0.67
760,-9.84,0.12,0.20,-0.61,-1.59,-0.06
770,-9.98,-0.04,0.42,-0.67,-2.26,0.00
780,-10.01,0.12,0.40,0.00,-1.16,0.00
790,-9.94,0.11,0.29,-0.61,-0.37,-0.37
800,-9.85,0.23,0.34,-0.31,-0.37,0.55
810,-9.94,0.14,0.39,-0.61,-2.50,0.24
820,-9.97,0.20,0.40,0.31,-0.61,-0.49
830,-9.96,0.18,0.43,-0.79,-1.10,-0.06
840,-9.99,0.22,0.23,-1.28,-1.59,-0.67
850,-10.00,0.16,0.29,-0.92,-0.79,0.49
860,-9.92,0.05,0.26,-0.55,-0.12,-0.79
870,-9.97,0.17,0.25,-0.92,-1.40,-0.55
880,-9.96,-0.06,0.32,-1.22,-1.71,1.10
890,-9.88,0.20,0.38,-0.55,-0.37,-0.31
900,-9.91,0.10,0.37,-0.79,-1.34,-0.55
910,-9.86,0.21,0.23,-1.16,-1.28,-0.06
920,-10.10,0.51,0.36,-1.28,-2.14,-0.55
930,-9.85,0.08,0.43,-1.16,-1.46,-0.37
940,-10.04,0.23,0.43,-1.65,-1.28,0.49
950,-10.09,0.16,0.30,-1.83,-1.59,0.31
960,-10.00,-0.13,0.37,-1.34,-1.53,-0.55
970,-9.95,0.17,0.42,-0.92,-1.40,0.06
980,-9.88,-0.02,0.29,-2.62,-1.46,-0.79
990,-9.95,-0.08,0.26,-1.46,-2.44,-1.04
1000,-9.94,0.09,0.33,-2.38,-2.20,0.92
1010,-9.92,-0.02,0.40,-1.71,-1.89,-0.06
1020,-9.95,0.33,0.38,-1.59,-1.59,0.00
1030,-9.99,0.12,0.23,-0.55,-0.67,-0.37
1040,-9.99,0.22,0.38,-2.32,-2.75,0.12
1050,-9.93,0.10,0.48,-2.01,-2.26,-0.73
1060,-9.87,0.11,0.40,-0.92,-1.89,-0.31
1070,-9.87,0.11,0.29,-0.73,-1.04,-0.31
1080,-9.93,-0.03,0.35,-0.98,-0.73,-0.24
1090,-9.94,0.05,0.33,-1.83,-1.71,-0.31
1100,-9.93,0.11,0.32,-1.28,-2.08,-0.31
1110,-9.93,0.15,0.31,-0.79,-1.22,-0.67
1120,-9.95,0.21,0.27,-0.49,-2.08,0.00
1130,-9.95,0.13,0.34,-0.79,-1.53,-0.79
1140,-9.92,0.18,0.31,-0.73,-1.40,-0.24
1150,-9.84,0.01,0.33,-1.34,-1.95,-0.37
1160,-9.94,0.12,0.42,-1.46,-1.59,-0.85
