timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.04,9.77,0.44,-1.22,-1.83,-0.98
10,-0.04,9.69,0.46,-1.53,-1.89,-1.71
20,-0.07,9.70,0.52,-0.67,-0.43,-0.24
30,-0.18,9.71,0.47,-1.10,-0.73,-0.06
40,-0.14,9.81,0.46,-1.34,-0.12,0.49
50,-0.06,9.86,0.39,-2.20,-1.16,-0.24
60,-0.12,9.83,0.46,-2.50,-0.24,-0.31
70,-0.11,9.90,0.54,-3.23,-0.92,-0.37
80,-0.07,9.75,0.46,-3.23,-2.32,-0.49
90,-0.07,9.77,0.50,-2.01,-0.18,-0.61
100,-0.16,9.69,0.47,-2.62,-2.08,-0.67
110,-0.20,9.68,0.41,-0.49,-1.95,-0.49
120,-0.59,9.70,-0.09,0.37,-7.26,-0.67
130,0.11,9.77,0.61,0.67,-11.35,-0.31
140,0.08,9.85,0.69,-0.79,-7.69,-1.16
150,0.43,10.23,0.95,1.22,-7.81,-0.79
160,0.04,9.68,0.65,-2.99,-1.10,-1.95
170,-0.07,9.67,0.51,-3.05,-1.65,-2.26
180,-0.02,9.75,0.51,-3.11,-1.59,-1.34
190,-0.08,9.76,0.45,-1.10,-0.92,-0.61
200,0.04,10.55,0.66,-1.71,-0.37,-1.53
210,-0.19,8.61,3.21,6.77,2.87,-16.91
220,-0.74,11.20,-3.52,-4.82,35.10,6.77
230,-0.10,9.43,-0.50,-13.85,-6.04,-2.93
240,0.06,9.43,1.56,-2.56,-10.01,1.10
250,0.09,10.02,0.81,1.53,-0.98,1.10
260,-0.25,9.45,0.46,-0.98,-1.65,1.71
270,0.09,10.05,0.56,-0.12,-1.95,4.27
280,-0.31,9.63,0.35,-1.16,-0.61,-0.85
290,-0.12,9.54,0.70,-3.60,-2.26,-1.22
300,-0.02,9.85,0.36,0.06,-1.53,0.18
310,-0.05,9.76,0.64,-2.44,-1.77,-0.55
320,-0.03,9.79,0.50,-0.43,-1.04,-0.67
330,-0.14,9.67,0.38,-1.95,-1.46,-0.12
340,-0.13,9.76,0.55,-1.89,-2.01,0.73
350,-0.18,9.76,0.49,-0.85,-2.14,-0.12
360,-0.18,9.80,0.47,0.18,-1.71,-0.98
370,-0.17,9.69,0.54,-1.59,-1.46,0.00
380,-0.16,9.71,0.39,-0.85,-2.01,0.12
390,-0.17,9.74,0.51,-0.12,-1.46,0.55
400,-0.14,9.74,0.51,-1.34,-1.04,0.43
410,-0.06,9.77,0.40,-1.46,-1.40,0.43
420,-0.01,9.67,0.57,-1.65,-2.26,-1.40
430,-0.12,9.78,0.46,-2.32,-2.69,-0.31
440,-0.21,9.79,0.46,-1.53,-0.67,-0.12
450,-0.08,9.68,0.43,-1.04,-1.22,0.92
460,-0.13,9.77,0.55,-1.59,-1.16,-1.04
470,-0.22,9.78,0.52,-2.20,-1.34,-0.43
480,-0.16,9.76,0.61,-1.65,-1.77,0.49
490,-0.07,9.73,0.51,-0.79,-1.95,-0.24
500,-0.20,9.75,0.45,-1.10,-1.34,-0.24
510,-0.10,9.75,0.54,-1.16,-1.46,-0.73
520,-0.17,9.71,0.55,-1.77,-1.59,-0.85
530,-0.08,9.73,0.46,-0.55,-0.92,-0.85
540,-0.09,9.75,0.52,-0.92,-1.59,-0.55
550,-0.13,9.79,0.44,-1.34,-2.26,-0.18
560,-0.07,9.63,0.50,-2.01,-1.53,-0.37
570,-0.12,9.77,0.40,-2.26,-1.95,-0.31
580,-0.09,9.78,0.59,-1.71,-1.16,-0.12
590,-0.17,9.77,0.67,-1.10,-0.73,-0.31
600,-0.23,9.70,0.43,-1.04,-0.79,0.43
610,-0.05,9.73,0.50,-1.59,-0.98,-1.34
620,-0.11,9.75,0.44,-1.16,-1.10,-0.06
630,-0.11,9.76,0.54,-1.04,-1.28,-0.24
640,-0.20,9.68,0.52,-1.10,-1.83,-0.31
650,-0.07,9.77,0.50,-1.34,-1.59,-0.06
660,0.44,11.61,0.02,-2.81,-0.85,-2.50
670,-0.52,9.03,1.60,-11.96,-0.98,2.99
680,-0.26,9.75,0.58,13.85,-1.28,0.37
690,0.24,10.05,-0.35,3.78,-2.50,4.39
700,-0.31,9.04,1.04,-2.26,-2.32,0.55
710,-0.11,10.02,0.05,6.35,-0.06,0.49
720,-0.03,10.07,0.37,-6.59,-1.40,-2.56
730,-0.13,9.49,0.95,-7.45,-2.20,-1.59
740,-0.11,9.73,0.68,2.14,-2.26,2.38
750,-0.17,10.09,0.15,2.44,-2.01,0.06
760,-0.21,9.58,0.65,-5.49,-1.89,-2.38
770,-0.08,9.33,0.72,-1.53,-0.49,0.43
780,-0.09,9.70,0.26,-0.06,-0.49,1.16
790,-0.21,9.66,0.45,-2.38,-2.69,0.24
800,-0.19,9.11,0.65,-2.20,-0.85,-0.06
810,0.29,9.93,0.79,3.91,-1.04,2.75
820,0.05,10.18,0.36,-5.13,-1.71,0.67
830,-0.34,9.11,0.76,-4.15,0.12,-2.99
840,-0.17,9.83,0.34,4.58,0.18,0.24
850,0.13,10.07,0.49,-2.01,-1.89,0.85
860,0.01,9.60,0.72,-0.61,-0.18,0.61
870,-0.16,9.99,0.28,1.53,-0.49,0.73
880,-0.19,9.77,0.53,-3.54,-1.16,-1.04
890,-0.19,9.58,0.68,-2.44,-1.89,-0.43
900,-0.08,9.85,0.43,-0.12,-1.16,0.49
910,-0.18,9.73,0.59,-1.28,-1.53,-0.92
920,-0.12,9.74,0.51,0.24,-0.49,0.18
930,-0.05,9.74,0.48,-0.55,-0.43,0.00
940,-0.04,9.78,0.45,-0.55,-0.31,0.06
950,-0.04,9.78,0.50,-1.46,-2.69,-0.18
960,-0.10,9.79,0.38,-2.01,-1.71,-0.61
970,-0.22,9.68,0.50,-2.32,-1.89,-0.73
980,-0.17,9.81,0.45,-3.42,-2.44,0.12
990,-0.20,9.74,0.49,-1.89,-2.08,-1.04
1000,-0.20,9.79,0.42,-2.14,-2.44,-0.18
1010,-0.07,9.79,0.45,-2.14,-0.79,-0.06
1020,-0.08,9.71,0.40,-1.89,-1.59,-1.22
1030,-0.02,9.71,0.48,-2.20,-0.61,-0.92
1040,-0.02,9.67,0.47,-1.59,-1.65,-0.24
1050,-0.03,9.73,0.56,-1.10,-1.59,0.37
1060,-0.02,9.74,0.51,-0.79,-0.92,-0.31
1070,-0.03,9.79,0.55,-1.22,-1.71,-0.31
1080,-0.10,9.62,0.61,-0.49,-0.73,-0.43
1090,-0.13,9.72,0.59,-2.14,-2.44,0.06
1100,-0.05,9.69,0.40,-0.73,-1.16,-0.85
1110,-0.16,9.76,0.47,-0.06,-0.92,-0.06
1120,-0.08,9.82,0.50,-2.01,-1.95,0.18
1130,0.01,9.85,0.44,-1.65,-0.98,-0.31
1140,-0.15,9.74,0.44,-1.95,-1.16,0.24
1150,-0.18,9.72,0.55,-0.98,-1.83,0.06
1160,-0.08,9.68,0.59,-1.22,-1.34,-0.79
1170,-0.15,9.80,0.49,-1.77,-1.34,-0.12
