timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.12,9.70,0.48,-1.83,-3.11,-0.67
10,-0.08,9.73,0.51,-1.34,-3.36,-0.43
20,-0.05,9.69,0.43,-1.22,-2.81,-0.79
30,-0.05,9.82,0.38,-1.16,-2.93,-0.37
40,-0.16,9.69,0.59,-2.08,-2.81,-0.24
50,-0.05,9.66,0.48,-1.53,-2.69,-1.28
60,-0.10,9.64,0.45,-1.77,-1.71,-0.79
70,-0.13,9.75,0.43,-3.23,-2.99,-0.12
80,-0.07,9.82,0.45,-2.81,-3.42,-0.37
90,-0.03,9.75,0.48,-2.38,-1.65,-1.22
100,-0.11,9.76,0.50,-2.32,-1.77,-0.67
110,-0.02,9.71,0.47,-1.95,-1.65,-0.92
120,-0.11,9.82,0.49,-3.97,-2.08,-2.75
130,-0.08,9.69,0.47,-3.36,-2.32,-0.79
140,-0.10,9.74,0.41,-3.42,-2.32,-1.77
150,-0.08,9.74,0.39,-0.98,-1.28,-1.16
160,0.03,9.83,0.71,-0.73,-0.43,-0.85
170,-0.06,9.65,0.43,-2.14,-2.75,-1.10
180,-0.25,9.68,0.51,-1.53,-1.40,-1.34
190,-0.01,9.74,0.41,-1.46,-1.34,-1.28
200,-0.06,9.87,0.35,-1.04,-1.10,-0.73
210,-0.13,9.77,0.50,-2.08,-2.32,-0.73
220,-0.03,9.90,0.46,-2.93,-0.79,-0.92
230,-0.14,9.67,0.54,-4.52,-1.34,-1.10
240,-0.09,9.64,0.43,-5.19,-1.77,-1.46
250,-0.07,9.65,0.47,-4.70,-0.79,-0.92
260,-0.09,9.81,0.50,-3.78,-0.55,-0.79
270,0.11,9.89,0.48,-1.77,-1.22,-1.40
280,-0.08,9.68,0.50,-5.49,-2.08,-0.49
290,-0.19,9.80,0.47,-2.93,0.18,-1.28
300,0.08,9.92,0.30,-9.52,-0.49,-1.77
310,-0.13,9.96,0.21,-12.45,1.77,-0.37
320,0.02,9.91,0.45,-22.52,-0.79,1.10
330,0.03,9.56,0.74,-23.32,3.97,-0.31
340,0.06,9.30,0.96,-15.93,8.18,0.61
350,-0.12,9.32,0.92,-6.71,9.46,-0.43
360,-0.28,9.05,0.83,9.03,6.41,-0.18
370,-0.26,9.38,0.88,18.25,2.26,0.12
380,-0.71,7.79,1.26,36.62,-8.67,-5.25
390,0.17,12.84,-0.65,33.26,-6.16,8.85
400,-0.31,9.61,-0.46,-15.32,-2.38,0.55
410,0.55,8.96,2.16,-26.00,-1.04,-5.37
420,0.67,10.22,1.24,12.02,-3.11,3.66
430,0.03,10.64,-0.73,6.47,-1.22,2.69
440,-0.82,8.42,0.97,-11.11,0.06,-5.07
450,0.17,9.83,0.77,2.81,-1.16,0.85
460,0.28,10.20,0.31,-3.78,-2.08,0.67
470,-0.27,9.14,0.57,-4.46,-2.01,-2.26
480,-0.31,9.74,0.33,-0.98,-1.89,-0.37
490,-0.07,9.81,0.52,-2.26,-1.46,-0.43
500,-0.01,9.84,0.50,-0.79,-1.77,-0.12
510,-0.02,9.83,0.43,-2.14,-1.22,0.49
520,-0.10,9.68,0.58,0.24,-0.79,0.37
530,-0.21,9.72,0.54,-0.98,-1.40,0.31
540,-0.15,9.65,0.60,-2.01,-2.08,0.67
550,-0.14,9.75,0.51,-0.43,-0.98,0.12
560,-0.11,9.80,0.54,-1.46,-2.01,0.24
570,-0.08,9.77,0.52,-0.12,-0.98,-0.43
580,-0.15,9.81,0.61,-1.34,-1.22,-0.37
590,-0.21,9.71,0.57,-2.26,-0.92,-0.06
600,-0.05,9.78,0.65,-2.08,-1.16,-0.43
610,-0.07,9.73,0.59,-0.37,-1.10,0.00
620,-0.05,9.88,0.51,-1.22,-0.61,-0.49
630,-0.14,9.79,0.44,-0.49,-0.92,-0.37
640,0.41,12.82,0.10,0.06,-0.12,-0.24
650,0.37,7.14,0.30,-8.36,-0.73,5.74
660,-0.19,9.78,0.21,9.89,-1.22,-1.65
670,0.23,10.41,0.68,-8.85,-1.28,-3.48
680,-0.39,8.82,0.85,-4.88,-1.04,0.49
690,-0.41,9.53,0.26,-5.74,-0.79,-3.05
700,0.19,9.63,1.49,-3.30,-0.79,1.59
710,0.13,10.22,0.28,-1.53,-0.43,0.18
720,-0.35,8.95,0.80,-5.19,-1.71,-1.65
730,-0.16,10.05,0.13,0.31,-2.50,0.06
740,-0.16,9.67,0.45,-1.40,-0.79,0.55
750,-0.18,9.85,0.44,-0.43,-2.62,0.61
760,-0.18,9.69,0.49,0.18,-0.98,0.85
770,-0.13,9.75,0.57,0.98,-0.85,0.49
780,-0.02,9.85,0.35,0.85,-0.49,1.10
790,0.08,10.07,0.66,-0.43,-1.10,1.71
800,-0.19,9.71,0.58,-0.24,-1.77,0.24
810,-0.13,10.03,0.33,-0.73,-2.14,-0.31
820,-0.14,9.48,0.55,-2.69,-1.34,-0.49
830,-0.02,10.05,0.46,3.30,-0.49,1.16
840,-0.04,10.32,0.17,-0.06,-1.22,0.73
850,-0.25,9.24,0.75,-5.31,-2.08,-1.22
860,-0.19,9.65,0.59,0.06,-1.83,-0.12
870,-0.10,9.79,0.51,-2.93,-1.04,-0.92
880,-0.04,9.60,0.54,-1.65,-1.04,-0.79
890,-0.08,9.86,0.40,-1.16,-0.67,0.24
900,0.00,9.80,0.43,-1.83,-0.85,-0.73
910,-0.17,9.81,0.53,-3.54,-1.59,-0.31
920,-0.12,9.74,0.53,-1.28,-1.22,-0.24
930,-0.05,9.80,0.49,-1.40,-0.67,-0.18
940,-0.19,9.67,0.46,-1.65,-1.16,-0.31
950,-0.05,9.83,0.53,-1.71,-1.16,-1.22
960,-0.14,9.70,0.45,-0.43,-0.61,-0.06
970,-0.17,9.81,0.50,-0.98,-1.59,-0.43
980,-0.05,9.68,0.57,-1.22,-1.65,-0.98
990,-0.07,9.78,0.41,-0.49,1.53,-0.55
1000,-0.08,9.77,0.48,-2.08,-0.49,0.67
1010,-0.04,9.69,0.53,-1.22,1.04,-0.49
1020,-0.12,9.77,0.49,-1.65,-0.85,-0.49
1030,-0.02,9.77,0.49,-0.06,-1.04,-0.55
1040,-0.16,9.75,0.55,-1.46,-1.22,-0.18
1050,-0.08,9.79,0.45,-1.40,-1.59,0.00
1060,-0.04,9.72,0.45,-1.40,-1.59,-0.85
1070,-0.18,9.78,0.51,-0.98,-1.10,-0.43
1080,-0.19,9.81,0.57,-0.12,-0.12,-0.43
1090,-0.09,9.74,0.50,-1.77,-1.22,-0.98
1100,-0.17,9.77,0.41,-2.01,-1.28,-0.06
1110,-0.07,9.80,0.53,0.73,-0.24,-0.18
1120,0.01,9.85,0.42,-2.01,-1.65,0.31
1130,-0.14,9.84,0.48,-0.37,-0.67,-0.49
1140,-0.13,9.78,0.50,-0.24,-1.22,0.12
1150,-0.08,9.71,0.58,-0.43,-0.55,0.06
1160,-0.07,9.84,0.47,0.18,-1.40,-0.24
1170,-0.08,9.78,0.47,-1.59,-1.95,-0.61
1180,-0.10,9.71,0.52,-1.34,-1.83,-0.85
1190,-0.18,9.71,0.47,-0.55,-2.01,-0.18
1200,-0.07,9.75,0.47,-1.83,-1.95,-0.43
1210,-0.05,9.72,0.43,-0.37,-0.79,-0.73
1220,-0.09,9.72,0.49,-0.61,-0.73,0.12
1230,-0.21,9.75,0.49,-0.43,-1.65,0.37
1240,-0.16,9.72,0.53,0.00,-0.79,-0.79
1250,-0.08,9.72,0.40,-1.46,-2.14,-0.24
1260,-0.08,9.73,0.42,-1.10,-1.46,-0.24
1270,-0.12,9.83,0.48,-1.22,-1.04,-0.49
1280,-0.14,9.74,0.39,-0.79,-1.65,0.12
1290,-0.19,9.81,0.56,-0.43,-1.83,0.18
1300,-0.07,9.73,0.50,-1.83,-0.85,0.61
1310,-0.08,9.81,0.55,-1.89,-1.65,-0.12
1320,-0.05,9.75,0.54,-1.46,-1.83,0.37
1330,-0.11,9.81,0.50,-0.55,-1.16,-0.18
1340,-0.09,9.85,0.53,-1.71,-2.14,-0.18
1350,-0.19,9.69,0.50,-0.49,-1.28,-0.12
1360,-0.17,9.78,0.49,-1.77,-0.73,-0.06
1370,-0.11,9.75,0.56,-1.83,-2.50,0.37
1380,-0.10,9.82,0.57,-1.71,-0.98,0.06
1390,-0.05,9.69,0.64,-1.59,-0.85,0.06
1400,-0.14,9.77,0.47,-0.12,-0.98,0.67
1410,-0.07,9.75,0.50,-2.38,-2.32,-0.24
1420,-0.09,9.76,0.52,-4.15,-3.05,-0.12
1430,-0.06,9.72,0.49,-1.83,-1.16,-0.06
1440,-0.09,9.73,0.54,-1.46,-1.04,-0.55
1450,-0.15,9.74,0.44,-0.37,-0.55,0.12
1460,-0.13,9.73,0.51,-1.28,-0.55,0.31
1470,-0.15,9.85,0.50,-0.98,-0.55,-0.31
1480,-0.09,9.70,0.57,-1.71,-0.24,0.61
1490,-0.13,9.71,0.57,-3.17,-3.11,-1.10
