timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.09,9.73,0.53,-3.85,-0.98,-0.12
10,-0.03,9.70,0.62,-1.04,-1.65,-0.37
20,-0.01,9.73,0.68,1.59,-1.71,-1.04
30,-0.05,9.71,0.62,1.46,-1.40,-1.40
40,-0.06,9.68,0.73,0.98,-2.08,-0.79
50,-0.14,9.76,0.59,3.72,-1.04,-0.49
60,-0.17,9.75,0.51,3.78,-0.49,-0.79
70,-0.14,9.76,0.56,5.13,-0.67,-0.79
80,-0.02,9.74,0.66,3.30,-1.89,-0.37
90,-0.04,9.72,0.52,2.38,-1.16,0.06
100,-0.14,9.81,0.52,2.56,-0.98,-0.06
110,-0.11,9.72,0.65,0.37,-0.85,0.43
120,-0.14,9.84,0.52,0.55,-0.92,-0.73
130,-0.14,9.74,0.52,-0.79,-1.28,-0.55
140,-0.09,9.69,0.56,-1.16,-1.16,-0.79
150,-0.12,9.75,0.22,1.40,-0.37,-0.18
160,0.03,9.78,0.57,3.97,-0.85,-0.73
170,-0.06,9.60,0.68,5.43,-1.28,-0.43
180,-0.21,10.03,0.11,6.84,1.40,-1.34
190,-0.07,9.77,0.49,0.73,0.18,-0.49
200,-0.04,9.66,0.54,2.20,1.77,-0.73
210,-0.18,9.78,0.58,1.46,0.18,-1.22
220,-0.13,9.97,0.46,0.00,-1.46,-0.98
230,-0.09,9.85,0.46,-2.56,-1.10,-1.46
240,0.01,9.87,0.33,-3.66,-2.26,-1.46
250,-0.06,9.77,0.49,-2.20,-1.10,-1.53
260,-0.04,9.71,0.45,-0.92,-0.37,-1.65
270,-0.02,9.65,0.54,-1.95,-0.73,-1.40
280,-0.18,9.66,0.62,-1.10,-0.73,-1.83
290,-0.10,9.76,0.38,-0.67,-1.71,-0.92
300,-0.15,9.86,0.61,-0.85,0.43,-1.16
310,-0.16,9.92,0.31,-2.20,-0.06,-1.16
320,-0.42,10.55,-0.24,-1.83,-1.53,-2.93
330,0.17,9.43,0.98,-11.17,-2.01,0.37
340,-0.06,10.07,0.39,-0.92,-0.06,0.37
350,-0.03,9.96,0.37,-5.74,-0.98,-0.98
360,-0.05,9.58,0.70,-8.91,-2.14,0.00
370,-0.06,9.42,0.77,-4.88,-2.14,-0.92
380,-0.15,9.55,0.74,2.93,-1.10,-0.67
390,-0.02,9.68,0.57,5.92,-1.10,0.55
400,-0.17,9.93,0.16,0.61,-0.85,0.73
410,-0.59,8.52,1.00,-2.87,-3.42,0.92
420,-0.30,10.09,-0.02,0.00,-1.28,-1.53
430,-0.10,9.53,0.88,-5.86,-2.32,0.00
440,-0.14,10.02,0.28,1.59,-1.04,0.31
450,-0.03,9.77,0.53,-3.05,-1.59,0.43
460,-0.25,9.57,0.62,-1.71,-0.85,0.12
470,-0.08,9.74,0.45,-1.10,-1.22,-0.18
480,-0.10,9.68,0.58,-2.01,-2.08,-0.12
490,-0.14,9.76,0.46,0.18,-0.73,0.12
500,-0.12,9.74,0.55,-2.44,-2.32,-0.06
510,-0.18,9.76,0.56,-2.14,-1.65,-0.49
520,-0.18,9.66,0.39,-1.83,-1.59,-1.04
