timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.96,0.13,0.33,-1.77,-5.49,-0.67
10,-9.93,0.12,0.47,-0.31,-4.09,0.12
20,-9.91,0.30,0.48,-0.67,-4.88,0.85
30,-9.81,0.10,0.59,-0.31,-3.36,-0.18
40,-9.80,0.14,0.37,0.49,-1.89,0.79
50,-9.94,0.22,0.51,-2.08,1.16,0.67
60,-9.93,0.47,0.55,-5.37,2.56,-0.98
70,-9.78,0.40,0.55,-8.91,7.39,-3.48
80,-9.99,-0.14,0.76,-7.93,9.83,-2.93
90,-10.11,0.01,-0.42,-4.58,10.25,-3.72
100,-9.91,0.03,0.27,-2.44,4.70,-3.66
110,-9.92,0.03,0.01,-0.92,1.53,-1.89
120,-9.97,-0.04,0.05,-1.53,-1.34,0.49
130,-9.89,-0.01,0.33,-0.12,-3.66,1.10
140,-9.90,-0.15,0.59,1.28,-2.87,2.08
150,-9.79,-0.86,0.54,13.24,4.03,-2.14
160,-9.73,-0.39,0.99,20.26,5.37,-3.48
170,-9.94,-0.36,0.45,-2.93,3.66,-5.98
180,-9.82,0.86,-0.13,-15.38,1.16,-1.65
190,-9.94,1.44,-0.52,-20.26,-4.82,-0.67
200,-10.06,1.21,0.01,-16.97,-6.35,-1.34
210,-9.69,-0.19,0.81,-8.79,-0.61,-1.71
220,-10.16,0.52,-0.07,-29.24,-12.33,0.61
230,-9.10,-1.78,0.53,-18.13,-1.40,-3.54
240,-10.27,0.90,-0.20,-3.54,8.12,2.14
250,-10.03,-0.24,-0.58,-2.08,1.22,-1.53
260,-10.00,0.27,0.86,-1.77,-5.31,0.92
270,-9.83,0.12,0.83,-1.89,0.18,-0.67
280,-10.11,0.22,-0.35,-2.38,2.32,-1.04
290,-9.87,0.15,0.10,-2.26,-4.94,-0.92
300,-9.89,0.14,0.50,-1.28,-5.07,-1.34
310,-9.83,0.21,0.27,-1.28,-2.99,-0.98
320,-9.87,0.18,0.73,-1.46,-3.60,-0.61
330,-9.89,0.03,0.68,-0.18,1.71,-1.10
340,-9.82,0.20,-0.11,-1.34,0.73,-0.24
350,-9.82,0.18,0.30,-1.95,-3.72,-0.92
360,-9.85,0.09,0.49,-1.46,-0.92,-0.85
370,-9.84,0.19,0.34,-0.73,0.61,-0.18
380,-9.99,0.21,0.20,-0.73,0.18,-0.98
390,-9.94,0.10,0.35,-2.01,-1.65,-0.43
400,-9.93,0.13,0.40,-0.98,-1.46,-0.85
410,-9.96,0.15,0.34,-0.85,-0.98,-0.79
420,-9.92,0.06,0.25,-1.10,0.24,-0.43
430,-9.88,0.12,0.30,-1.53,-1.77,-1.40
440,-9.91,0.11,0.43,-1.53,-1.77,0.31
450,-9.26,-0.18,0.40,-1.83,-0.55,-1.22
460,-9.96,0.71,0.21,-0.43,-0.06,1.34
470,-10.07,0.04,0.35,-1.22,-2.14,-1.34
480,-9.84,0.18,0.36,-1.22,-0.49,0.24
490,-9.99,0.12,0.34,-0.92,-1.77,-0.31
500,-10.10,0.18,0.46,-0.79,-1.28,-0.06
510,-9.95,0.06,0.40,-1.40,-1.22,-0.06
520,-10.01,0.24,0.31,-2.56,-1.89,-0.43
530,-9.86,0.12,0.28,-1.28,-1.10,-0.31
540,-9.97,0.26,0.43,-1.28,-1.16,-0.18
550,-10.01,-0.32,0.35,-0.85,-0.43,-0.55
560,-10.15,0.02,0.35,-0.98,-0.43,-1.16
570,-9.86,0.09,0.31,-0.98,-0.12,0.31
580,-9.94,0.17,0.31,-1.10,-1.65,-0.67
590,-9.94,0.14,0.38,-0.79,-0.49,0.00
600,-9.92,0.07,0.50,-1.34,-1.04,-0.61
610,-9.76,0.06,0.38,-1.34,-1.46,-0.18
620,-9.89,0.18,0.29,-0.98,-0.49,0.67
630,-9.90,0.16,0.32,-1.10,0.06,-0.43
640,-10.02,0.11,0.35,-1.46,-0.18,0.85
650,-9.81,0.01,0.38,-1.46,-0.73,-0.37
660,-9.98,0.15,0.40,-1.10,-0.49,0.43
670,-9.85,0.03,0.38,-1.34,-0.61,-1.10
680,-9.85,0.08,0.30,-2.38,-0.85,-0.43
690,-10.00,0.11,0.31,-1.53,-2.50,0.98
700,-9.81,0.01,0.52,-1.28,-2.32,0.73
710,-10.02,0.15,0.38,-1.40,-2.62,0.92
720,-9.84,0.11,0.43,-2.20,-1.83,1.10
730,-9.95,0.30,0.36,-2.14,-1.28,0.06
740,-9.91,0.12,0.29,-1.89,-0.92,-0.18
750,-9.91,0.24,0.24,-0.37,-0.67,0.24
760,-9.92,0.14,0.37,-0.98,-0.67,-0.73
770,-9.82,0.19,0.46,-0.73,-0.43,0.06
780,-10.06,0.24,0.25,-1.59,-0.73,-0.24
790,-9.87,-0.11,0.38,-0.67,-0.79,-0.92
800,-10.00,0.29,0.36,-0.61,-1.34,-0.12
810,-9.85,-0.03,0.41,-0.98,0.12,0.06
820,-9.91,0.17,0.43,-1.53,-0.79,0.61
830,-10.07,0.45,0.33,-1.22,-1.46,0.00
840,-9.87,0.16,0.38,-0.85,-0.79,-0.61
850,-10.63,0.82,0.33,-0.73,-0.43,0.55
860,-9.62,-0.41,0.26,-1.59,-2.14,-3.36
870,-10.06,0.56,0.55,-1.34,-2.14,-0.49
880,-9.68,-0.24,0.51,-1.22,-1.46,-2.20
890,-9.95,0.20,0.32,-1.40,-1.40,-0.55
900,-9.92,-0.00,0.28,-1.89,-1.10,0.31
910,-9.94,0.02,0.38,-2.20,-2.56,-0.92
920,-9.91,0.23,0.47,-1.71,-2.26,-0.37
930,-9.90,0.17,0.28,-0.12,0.00,-0.79
940,-9.91,0.22,0.33,-0.43,0.98,-0.31
950,-9.90,0.09,0.27,-1.28,-1.10,-1.40
960,-9.96,0.22,0.40,-1.89,-2.08,-0.61
970,-9.89,0.08,0.41,-1.22,-0.67,-0.18
980,-9.93,0.16,0.43,0.06,0.49,-0.85
990,-9.88,0.09,0.47,-1.22,-0.98,-1.16
1000,-10.02,0.09,0.38,-0.79,-0.18,-1.22
1010,-9.91,0.10,0.23,-1.04,-0.73,-0.37
1020,-9.95,0.08,0.39,-1.10,-1.89,0.06
1030,-10.00,0.02,0.43,-1.71,-2.56,-0.24
1040,-9.98,-0.01,0.38,-2.81,-3.05,-0.61
1050,-10.00,0.12,0.43,-1.34,-1.22,-0.98
1060,-9.84,0.22,0.29,-1.04,-1.95,-0.73
1070,-9.94,0.13,0.36,-0.85,-0.18,0.31
1080,-9.92,0.11,0.40,-2.01,-1.28,-0.06
1090,-9.91,0.28,0.38,-1.46,-1.22,-0.55
