timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-10.02,0.20,0.47,-1.59,-2.56,1.28
10,-9.98,0.10,0.54,-0.31,-2.38,1.77
20,-9.86,0.27,0.32,-0.37,-4.27,0.98
30,-10.01,0.17,0.43,-1.83,-8.06,1.10
40,-9.99,0.04,0.53,-0.61,-8.48,1.89
50,-9.90,0.17,0.54,0.49,-10.80,2.08
60,-9.90,0.15,0.74,1.65,-9.58,1.71
70,-9.90,0.09,0.77,1.77,-9.09,1.59
80,-9.87,-0.00,0.72,3.17,-7.69,2.81
90,-9.91,-0.01,0.74,6.53,-8.79,4.27
100,-9.99,0.17,0.90,9.52,-9.58,4.39
110,-10.23,-0.04,0.38,14.16,-7.14,6.59
120,-9.46,0.86,0.90,14.59,-5.07,4.27
130,-9.95,0.58,0.62,2.75,-2.62,-3.54
140,-9.92,0.49,0.58,-0.24,-4.15,-4.33
150,-9.86,0.47,1.42,-0.37,-5.19,-5.68
160,-10.12,0.37,0.87,-2.20,-0.85,-6.47
170,-9.81,0.21,0.95,-3.72,0.92,-6.84
180,-9.90,0.01,0.98,-2.62,4.39,-6.65
190,-9.84,0.01,0.99,-1.95,9.40,-6.77
200,-9.92,0.00,0.71,-2.44,13.00,-6.47
210,-9.73,0.40,0.56,-5.49,15.01,-2.44
220,-9.87,0.40,0.85,-12.94,17.21,-4.88
230,-9.91,-0.84,0.49,-24.23,24.11,-4.39
240,-10.07,0.35,0.24,-29.48,25.21,-0.98
250,-10.12,-0.10,-0.66,-37.60,18.55,0.79
260,-10.26,0.49,-1.44,-35.03,6.29,-0.43
270,-10.09,-0.01,-0.72,-13.37,-29.54,0.67
280,-9.94,-0.51,1.17,-7.87,-37.72,2.20
290,-9.46,0.93,2.39,-7.69,-23.99,5.25
300,-8.45,3.45,6.20,-11.41,0.85,-6.77
310,-8.03,-0.74,1.33,-5.92,60.18,0.55
320,-9.71,1.57,0.60,-2.20,69.70,0.67
330,-12.61,0.87,-5.17,-2.08,62.62,-1.34
340,-7.86,-0.09,-2.08,-33.02,-19.71,-4.15
350,-9.22,1.40,0.65,-43.82,-20.20,4.94
360,-9.84,0.02,0.40,-0.24,-3.66,-1.10
370,-9.91,0.08,0.41,-1.34,-1.83,0.55
380,-9.84,0.19,0.49,-1.77,-0.85,-0.43
390,-9.93,-0.01,0.25,-1.34,-0.55,-0.12
400,-9.94,0.00,0.21,-0.98,-0.31,0.00
410,-9.90,0.03,0.45,-1.89,-2.32,-0.18
420,-9.87,0.11,0.42,-0.49,-0.37,-0.49
430,-9.86,0.06,0.29,-1.59,-1.16,0.43
440,-9.85,0.11,0.22,-2.08,-2.01,-0.06
450,-9.91,0.01,0.33,-1.28,-1.89,-0.61
460,-9.89,0.11,0.30,-0.55,-0.98,-0.55
470,-9.92,0.15,0.35,-1.28,-1.10,-0.12
480,-9.90,0.03,0.44,-2.32,-2.38,-0.49
490,-9.86,0.13,0.37,-2.08,-1.10,-0.12
500,-9.97,0.17,0.32,-0.24,-1.34,0.12
510,-10.02,0.11,0.32,-0.49,-0.55,-0.73
520,-9.85,0.15,0.31,-0.79,-1.89,0.18
530,-9.86,0.03,0.43,-2.44,-2.14,-0.61
540,-9.95,0.06,0.40,-0.37,-1.16,-0.12
550,-9.90,0.08,0.32,-1.34,-1.28,0.06
560,-9.90,0.06,0.32,-2.38,-2.26,-0.24
570,-9.95,0.14,0.34,-1.53,-1.22,0.24
580,-9.87,0.05,0.35,-1.34,-1.77,-0.37
590,-10.01,0.06,0.36,-0.98,-0.98,0.24
600,-9.92,0.21,0.28,-0.79,-0.43,-0.43
610,-9.97,0.07,0.33,-1.89,-1.77,0.18
620,-9.90,0.23,0.30,-1.46,-1.65,0.18
630,-9.92,0.11,0.27,-1.04,-0.98,-0.43
640,-9.99,0.15,0.33,-1.59,-2.01,0.37
650,-9.93,0.17,0.40,-2.01,-1.65,-0.55
660,-9.92,0.14,0.36,-1.22,-0.43,-0.79
670,-9.88,0.14,0.32,-0.73,-1.34,-0.24
680,-9.96,0.12,0.30,-1.77,-1.28,-0.73
690,-9.92,0.07,0.22,-0.79,-1.28,-0.31
700,-9.89,0.06,0.26,-1.89,-0.85,0.61
710,-9.04,-1.02,0.31,0.61,-0.79,-3.23
720,-10.49,1.47,0.40,-0.49,-0.85,4.70
730,-9.54,-0.80,0.33,-1.65,0.24,-1.59
740,-10.23,0.70,0.32,-1.46,-1.65,1.04
750,-9.92,0.16,0.33,-1.71,-1.77,-0.49
760,-9.77,-0.27,0.39,-1.16,-1.34,-0.31
770,-9.91,0.26,0.24,-0.79,-0.24,-1.83
780,-9.93,0.16,0.17,-1.34,-1.53,0.06
790,-8.99,-1.34,0.27,-1.53,-4.27,-6.29
800,-10.59,0.87,0.67,-1.89,-2.20,7.93
810,-8.54,-3.14,0.24,-1.89,-0.98,-8.67
820,-10.84,2.27,0.29,-3.05,-0.98,7.57
830,-9.58,-0.31,0.33,-1.10,-1.77,0.79
840,-10.15,0.68,0.28,-0.92,-0.85,-0.12
850,-10.01,0.26,0.23,-2.62,-1.04,1.40
860,-9.88,0.06,0.25,-0.73,-1.71,-0.55
870,-9.97,0.14,0.45,-1.65,-2.08,-0.67
880,-9.73,-0.21,0.33,-1.28,-1.95,-0.79
890,-9.90,0.18,0.30,-2.44,-2.14,0.06
900,-9.93,0.22,0.21,-2.01,-2.75,0.06
910,-9.84,-0.03,0.19,-0.43,-1.10,-1.22
920,-10.08,0.19,0.38,-2.26,-4.58,-0.55
930,-9.77,-0.13,0.50,-0.85,-1.22,-0.79
940,-9.90,0.13,0.42,-2.20,-1.71,0.73
950,-9.80,-0.07,0.30,-0.67,0.06,0.37
960,-10.08,0.37,0.32,-0.37,0.37,1.46
970,-9.95,0.03,0.30,-0.85,-0.43,-0.12
980,-10.00,0.06,0.29,-1.71,-1.83,0.12
990,-9.98,0.08,0.28,-1.53,-0.67,0.06
1000,-9.90,0.10,0.27,-0.98,-0.12,0.18
1010,-9.76,-0.01,0.25,-0.49,-0.85,-0.67
1020,-9.95,0.31,0.21,-0.67,-0.43,0.24
1030,-9.66,-0.13,0.27,-2.08,-2.81,-0.37
1040,-10.30,0.67,0.47,-1.46,-0.79,2.01
1050,-10.05,-0.09,0.07,-1.40,0.37,-2.08
1060,-9.36,0.10,0.47,-1.34,-2.56,-0.55
1070,-10.70,2.15,0.47,-1.59,-0.18,3.42
1080,-9.54,-0.67,0.22,-1.89,-1.65,0.98
1090,-10.27,1.10,0.33,-2.01,-4.33,-0.49
1100,-10.88,2.14,0.44,-2.44,-0.73,4.76
1110,-9.91,-1.62,0.23,-1.28,-0.73,-5.49
1120,-9.97,0.36,0.16,-0.49,-2.81,-0.49
1130,-9.87,-0.28,0.49,-3.60,-3.91,-0.49
1140,-9.80,-0.04,0.36,-1.04,-0.12,-1.46
1150,-9.94,0.15,0.14,-0.61,-0.31,0.00
1160,-9.88,-0.04,0.30,-0.49,-1.95,-0.92
1170,-9.90,0.24,0.55,-1.71,-1.83,0.24
1180,-9.89,0.11,0.29,-1.53,-1.46,-0.85
1190,-9.98,0.21,0.28,-2.50,-2.01,-0.18
1200,-9.99,0.14,0.48,-1.65,-2.01,0.12
1210,-9.86,-0.00,0.34,-0.98,-1.40,-0.37
1220,-9.97,0.21,0.27,-1.46,-0.37,-0.43
1230,-9.95,0.05,0.19,-2.81,-2.87,-0.98
1240,-9.92,0.12,0.43,-1.53,-2.50,-0.61
1250,-9.91,0.13,0.34,-1.59,-1.22,-0.12
1260,-9.92,0.09,0.33,-1.53,-1.53,-0.31
1270,-9.96,-0.01,0.34,-2.38,-2.01,0.49
1280,-9.98,0.14,0.25,-1.83,-1.40,0.12
1290,-9.94,0.05,0.32,-1.95,-1.83,-0.43
1300,-9.94,0.06,0.39,-1.95,-2.01,-0.37
1310,-9.89,0.10,0.43,-1.28,-2.14,-0.31
1320,-9.90,0.15,0.44,-0.73,-1.28,-0.37
1330,-9.89,0.16,0.38,-2.20,-0.85,-0.24
1340,-9.87,0.09,0.39,-2.32,-2.32,0.12
1350,-9.95,0.13,0.35,-0.85,-1.34,-0.12
1360,-9.83,0.13,0.34,-1.71,-1.53,-1.53
1370,-10.04,0.06,0.29,-0.43,-1.28,-0.37
1380,-9.92,0.08,0.31,-1.53,-1.65,-0.37
1390,-9.85,0.09,0.31,-0.24,-1.22,-1.16
1400,-9.95,0.05,0.30,-1.10,-1.22,-0.18
1410,-9.87,0.17,0.28,-1.28,-1.40,0.61
1420,-9.91,0.22,0.42,-0.43,-0.67,-0.31
1430,-9.96,0.13,0.37,-1.71,-2.01,-0.43
1440,-9.87,0.08,0.37,-0.55,-0.98,-0.06
1450,-9.90,0.14,0.31,-1.40,-1.28,-1.28
1460,-9.92,0.16,0.34,-0.61,-1.83,-0.79
1470,-9.89,0.08,0.32,-1.10,-1.16,-0.61
1480,-9.87,0.09,0.41,0.37,-0.85,-0.18
1490,-9.87,0.10,0.31,-1.89,-2.14,-0.31
