timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.14,9.77,0.35,-0.55,-1.83,-0.55
10,-0.11,9.63,0.49,-0.18,-0.67,0.73
20,-0.17,9.76,0.43,1.95,0.12,-0.31
30,-0.13,9.76,0.43,0.79,-2.01,0.92
40,-0.08,9.77,0.45,0.43,-2.20,0.49
50,-0.10,9.79,0.37,-0.12,-3.72,0.49
60,-0.15,9.85,0.39,1.40,-1.71,0.85
70,-0.15,9.67,0.44,0.49,-3.36,1.04
80,-0.13,9.77,0.42,1.04,-2.32,0.67
90,0.10,9.85,0.27,0.61,-2.75,-0.18
100,-0.15,9.77,0.35,0.06,-2.81,-0.67
110,-0.22,9.73,0.33,-0.92,-5.25,-1.04
120,-0.15,9.76,0.35,1.83,-5.86,-1.10
130,-0.21,9.79,0.09,0.55,-12.51,0.61
140,-0.11,9.74,0.29,0.49,-14.71,-0.18
150,-0.02,9.70,0.95,4.39,-11.96,-0.61
160,0.03,9.79,0.76,7.75,-6.53,0.12
170,-0.04,9.80,0.29,8.73,-2.75,-0.73
180,-0.03,10.02,0.18,9.22,-3.17,-1.46
190,-0.05,9.88,0.11,2.81,-0.92,-3.30
200,-0.06,9.95,0.19,1.22,-0.92,-3.11
210,0.10,9.44,1.06,-0.43,-2.08,-3.91
220,0.80,11.85,1.58,7.57,-1.28,-2.75
230,0.61,10.08,-0.10,-4.58,0.12,3.36
240,0.05,9.73,1.41,-11.96,5.98,-1.04
250,-0.33,10.21,-0.69,-22.16,18.80,-0.55
260,-0.38,9.56,-0.01,-25.70,9.52,-0.61
270,-0.27,9.84,0.05,-30.70,5.74,-0.06
280,-0.11,10.96,0.19,-32.90,5.07,0.79
290,-0.22,9.21,2.08,9.40,3.11,-3.85
300,0.32,10.01,0.65,26.25,8.48,0.85
310,-0.37,9.49,-0.41,15.44,5.98,-3.60
320,-0.50,9.48,-0.19,4.88,1.65,1.28
330,0.11,10.66,-1.13,-41.93,6.10,5.25
340,0.71,11.06,4.29,-54.57,3.30,-2.75
350,-0.28,8.30,0.82,-4.52,16.24,2.50
360,-0.54,8.32,0.89,23.44,-1.77,-3.17
370,-0.48,12.41,-1.09,27.65,-2.56,3.85
380,-0.53,11.40,-0.08,-19.65,1.46,-1.71
390,-0.21,7.74,1.92,-15.99,0.31,-3.11
400,-0.44,10.71,-0.22,13.49,-0.85,-0.31
410,0.56,10.86,0.01,-5.19,-2.87,2.81
420,-0.34,8.75,0.76,-4.33,-0.43,1.04
430,-0.07,10.03,0.15,4.82,-0.37,-0.67
440,-0.02,9.64,0.68,-5.31,-0.49,-0.98
450,-0.14,9.70,0.63,-0.49,-0.85,-0.31
460,-0.14,9.80,0.53,-2.99,-1.28,-0.31
470,-0.14,9.45,0.77,-1.34,-2.08,0.00
480,-0.16,9.86,0.45,0.24,-0.49,-0.12
490,-0.10,9.68,0.60,-2.81,-2.14,-0.61
500,-0.18,9.68,0.38,-1.28,-1.46,-0.55
510,-0.11,9.80,0.54,-1.89,-2.38,-0.24
520,-0.14,9.71,0.52,-1.10,-0.85,0.67
530,-0.04,9.81,0.51,0.37,0.92,-0.37
540,-0.05,9.76,0.43,0.43,0.98,-0.73
550,-0.16,9.76,0.45,-0.37,0.61,-0.73
560,-0.18,9.74,0.50,-1.22,0.37,-0.24
570,-0.16,9.65,0.39,-1.40,-0.37,0.49
580,-0.11,9.71,0.58,-0.06,-0.06,-0.24
590,-0.18,9.69,0.44,-0.12,0.67,0.37
600,-0.14,9.77,0.49,-0.18,-0.06,-0.55
610,-0.15,9.75,0.52,-0.18,1.10,-0.43
620,-0.04,9.79,0.47,0.24,1.71,0.00
630,-0.22,9.72,0.55,-1.71,-0.67,0.18
640,-0.16,9.88,0.55,-2.56,-2.08,1.04
650,-0.13,9.83,0.50,-1.46,-1.65,0.12
660,-0.06,10.10,0.35,-1.34,-1.16,-0.79
670,-0.27,9.28,0.34,-4.46,-1.59,-2.81
680,0.27,10.62,0.37,3.54,-2.50,0.67
690,-0.39,9.67,0.02,-3.97,-0.31,-0.43
700,-0.27,9.52,0.53,1.10,-2.32,-1.04
710,-0.20,9.99,0.10,-1.65,-1.22,-0.06
720,-0.12,9.48,0.77,-5.00,-2.01,-0.37
730,-0.19,10.02,0.31,-1.04,-1.71,-0.92
740,-0.15,9.62,0.73,-2.93,-2.08,0.06
750,-0.05,9.80,0.43,-0.43,-1.40,-0.79
760,-0.02,9.84,0.69,-5.00,-3.48,0.18
770,-0.07,9.82,0.78,-2.44,-0.12,-0.37
780,-0.14,9.85,1.13,-2.99,0.37,0.67
790,-0.16,9.51,0.56,-2.01,1.95,-0.24
800,-0.33,9.97,0.06,-1.04,0.00,-1.59
810,0.02,9.82,0.53,-2.69,-0.67,0.31
820,-0.25,9.54,0.07,-0.18,-1.53,-0.92
830,-0.07,9.64,0.51,-1.83,-1.89,-0.79
840,-0.12,9.66,0.75,-0.31,-2.62,1.04
850,-0.16,10.03,0.29,0.06,-3.36,0.06
860,-0.13,9.69,0.63,-3.97,-3.85,-0.06
870,-0.21,9.90,0.45,1.10,-3.11,0.00
880,-0.33,9.85,0.70,-1.89,-3.42,-0.55
890,-0.54,9.64,-0.16,0.12,-4.76,-1.22
900,-0.39,9.54,-0.22,0.24,-4.52,1.65
910,0.40,10.19,0.71,1.89,-1.89,1.16
920,0.20,9.71,0.68,-3.05,14.77,-0.73
930,-0.02,9.77,0.15,-0.06,18.37,-0.98
940,0.04,9.74,0.71,-1.16,9.28,0.24
950,-0.23,9.64,1.68,-1.71,5.49,-0.37
960,-0.53,9.58,0.16,2.87,3.66,-1.10
970,-0.05,9.82,0.40,-3.66,-2.01,0.06
980,-0.07,9.58,0.53,-1.95,-0.67,-0.06
990,0.22,10.12,0.45,0.24,-1.34,2.32
1000,-0.33,9.77,0.22,-1.65,-0.67,-0.06
1010,-0.22,9.47,0.64,-1.10,-0.49,-1.59
1020,-0.14,10.11,0.53,-1.71,-1.83,0.24
1030,-0.35,9.56,0.39,-1.16,-0.24,-1.40
1040,0.08,10.11,0.60,-1.65,-1.22,0.73
1050,-0.28,9.29,0.41,-0.31,-0.61,-1.40
1060,-0.18,9.69,0.58,-2.38,-1.77,-0.55
1070,-0.04,9.85,0.40,-1.59,-1.34,0.00
1080,-0.19,9.73,0.51,-1.10,-1.53,-0.49
1090,-0.04,9.78,0.44,-0.73,-1.71,-0.67
1100,-0.09,9.78,0.52,-0.55,-0.73,-1.04
1110,-0.16,9.62,0.61,-0.37,-0.73,-0.49
1120,-0.11,9.78,0.58,-1.46,-1.10,-0.31
1130,-0.13,9.71,0.58,-1.40,-1.10,-0.43
1140,-0.10,9.72,0.48,-1.16,-0.43,-0.31
1150,-0.12,9.77,0.41,-0.43,-1.53,-0.24
1160,-0.19,9.81,0.53,-1.77,-2.99,0.37
1170,-0.14,9.76,0.51,-2.38,-0.79,0.12
1180,-0.15,9.76,0.55,-1.22,-1.46,-0.12
1190,-0.12,9.69,0.57,-0.37,-0.67,-0.18
1200,-0.04,9.73,0.54,-1.34,-0.61,0.37
1210,-0.01,9.70,0.56,-1.65,-1.83,-0.24
1220,-0.15,9.83,0.52,-1.95,-1.59,0.67
1230,-0.17,9.74,0.50,-0.98,-1.59,0.12
1240,-0.06,9.74,0.38,-1.59,-1.34,-0.12
1250,-0.08,9.75,0.43,-0.06,-0.98,-0.12
1260,-0.05,9.78,0.44,-2.56,-2.32,-0.43
1270,-0.12,9.78,0.50,-1.65,-1.71,-0.18
1280,-0.13,9.77,0.59,-2.38,-2.08,0.00
1290,-0.14,9.73,0.58,-1.59,-1.71,-0.55
1300,-0.11,9.79,0.56,-2.32,-1.34,0.43
1310,-0.18,9.72,0.47,-1.22,-0.98,-0.24
1320,-0.15,9.78,0.45,-0.37,-0.85,-0.98
1330,0.03,9.64,0.49,-1.10,-0.98,-0.24
1340,-0.02,9.70,0.49,-0.12,0.55,0.18
1350,-0.17,9.73,0.55,-1.65,-1.40,-0.37
1360,-0.09,9.81,0.42,-0.37,-0.79,0.00
1370,-0.19,9.71,0.57,-0.67,0.67,-0.12
1380,-0.19,9.63,0.63,-3.23,-1.95,-0.06
1390,-0.15,9.72,0.58,-2.14,-0.85,0.12
1400,-0.11,9.76,0.49,-0.49,0.85,0.00
1410,-0.20,9.76,0.54,-2.38,-1.22,-0.31
1420,-0.12,9.75,0.41,-1.59,-1.65,-0.85
1430,-0.16,9.70,0.53,-1.10,-2.38,0.24
1440,-0.10,9.74,0.63,-0.79,-2.20,0.18
1450,-0.21,9.72,0.52,-1.53,-1.28,-0.06
1460,-0.04,9.84,0.54,-0.79,-0.55,-0.12
1470,-0.08,9.77,0.53,-1.10,-0.43,-0.24
1480,-0.12,9.81,0.47,-2.69,-2.20,-0.12
1490,-0.10,9.77,0.44,-3.17,-1.22,0.00
