timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.03,9.85,0.49,-1.22,-0.06,0.61
10,-0.05,9.86,0.48,-0.85,-0.67,0.00
20,-0.07,9.92,0.54,-0.73,0.24,-0.18
30,-0.01,9.93,0.49,0.55,1.34,0.49
40,-0.01,9.82,0.57,-0.31,0.12,-0.18
50,-0.07,9.91,0.55,-0.06,0.43,0.55
60,-0.12,9.85,0.59,-0.37,0.43,0.67
70,-0.13,9.80,0.57,0.18,1.10,-0.06
80,-0.19,9.81,0.47,0.37,1.71,0.18
90,-0.14,9.83,0.45,-0.12,0.00,0.06
100,-0.17,9.79,0.49,0.06,1.28,-0.37
110,-0.11,9.85,0.44,0.31,0.37,0.12
120,-0.11,9.88,0.56,-0.06,0.00,0.24
130,-0.05,9.88,0.53,0.49,1.04,0.00
140,-0.08,9.92,0.59,-0.43,-1.16,-0.37
150,-0.17,9.84,0.56,0.24,0.31,-0.31
160,-0.12,9.86,0.64,0.49,0.12,0.85
170,-0.06,9.90,0.50,0.49,1.16,-0.12
180,-0.15,9.85,0.49,0.67,1.53,-0.43
190,-0.13,9.90,0.51,-0.18,0.73,-0.24
200,-0.11,9.84,0.44,0.49,-0.06,0.73
210,-0.13,9.87,0.38,0.85,1.22,0.24
220,-0.15,9.90,0.48,0.67,0.73,-0.06
230,-0.12,9.84,0.60,0.12,0.43,0.00
240,-0.09,9.90,0.50,0.61,0.85,-0.18
250,-0.07,9.84,0.59,0.79,0.98,-0.55
260,-0.13,9.92,0.58,-0.37,0.55,0.31
270,-0.05,9.84,0.50,0.79,1.10,0.18
280,-0.11,9.83,0.58,0.31,0.98,-0.06
290,-0.06,9.91,0.46,0.49,0.85,0.37
300,-0.17,9.93,0.53,0.67,1.04,-0.12
310,-0.12,9.83,0.60,0.85,1.40,-0.06
320,-0.12,9.90,0.56,-0.06,1.28,0.24
330,-0.21,9.76,0.54,0.61,0.98,-0.67
340,-0.08,9.85,0.49,0.06,1.10,0.18
350,-0.15,9.84,0.46,-0.24,0.79,-0.18
360,-0.15,9.95,0.48,0.73,0.31,0.67
370,-0.06,9.96,0.43,-1.16,-0.79,0.18
380,-0.18,9.72,0.51,0.37,1.16,0.73
390,-0.17,9.80,0.52,-0.24,0.24,0.24
400,-0.11,9.82,0.55,-0.55,0.24,1.28
410,-0.12,9.86,0.51,0.55,1.34,0.24
420,-0.05,9.82,0.51,0.73,1.46,1.16
430,-0.15,9.94,0.53,0.67,2.20,-0.43
440,-0.11,9.87,0.51,0.31,0.49,0.24
450,-0.02,9.89,0.61,0.18,1.04,0.24
460,-0.10,9.85,0.53,0.55,0.55,-0.49
470,-0.08,9.87,0.48,0.55,0.92,0.31
480,-0.14,9.85,0.44,-0.37,0.31,-0.06
490,-0.10,9.78,0.50,0.55,1.04,-0.55
500,-0.15,9.89,0.49,-0.37,0.37,0.06
510,-0.16,9.81,0.56,0.55,0.31,0.55
520,-0.05,9.84,0.48,0.92,0.73,-0.06
530,-0.05,9.88,0.46,-0.37,0.55,0.85
540,-0.07,9.90,0.51,0.12,0.79,-0.06
550,-0.10,9.82,0.53,0.24,0.12,0.55
560,-0.07,9.89,0.61,0.06,0.55,-0.06
570,-0.05,9.85,0.44,-0.06,0.55,0.00
580,-0.05,9.89,0.49,0.79,0.49,0.00
590,-0.10,9.84,0.49,0.00,0.79,-0.67
600,-0.21,9.84,0.56,-0.55,1.46,0.12
610,-0.11,9.87,0.44,-0.67,-0.49,-0.31
620,-0.12,9.90,0.42,0.31,1.04,-0.67
630,-0.05,9.86,0.51,0.06,0.43,0.31
640,-0.13,9.78,0.53,0.31,0.67,-0.18
650,-0.14,9.82,0.50,0.31,0.43,-0.43
660,-0.19,9.84,0.53,1.53,1.40,0.92
670,-0.07,9.84,0.51,0.06,0.85,0.37
680,-0.11,9.85,0.48,-0.18,0.92,-0.43
690,-0.18,9.84,0.48,-0.61,-0.37,0.00
700,-0.12,9.87,0.50,0.55,2.01,-0.24
710,-0.03,9.84,0.45,-0.55,0.73,0.18
720,-0.16,9.91,0.41,0.61,0.61,0.49
730,-0.18,9.82,0.46,-0.06,0.92,0.00
740,-0.19,9.90,0.49,-0.55,-0.61,-0.43
750,-0.10,9.83,0.50,0.98,0.98,-0.06
760,-0.01,9.87,0.56,-0.24,-0.12,-0.49
770,-0.09,9.94,0.48,-0.06,0.12,0.37
780,-0.11,9.88,0.55,0.37,0.37,-0.24
790,-0.12,9.81,0.51,-0.31,1.04,0.55
800,-0.16,9.92,0.53,-0.18,0.73,-0.92
810,-0.16,9.82,0.60,0.00,0.67,0.73
820,-0.23,9.90,0.49,0.85,0.43,-0.55
830,-0.05,9.86,0.50,0.12,0.37,-0.18
840,0.00,9.81,0.42,0.73,0.55,0.37
850,-0.11,9.83,0.52,0.79,1.77,0.43
860,-0.10,9.91,0.51,0.98,1.04,0.00
870,-0.11,9.87,0.54,0.43,0.98,0.00
880,-0.02,9.85,0.49,0.37,1.46,0.49
890,-0.06,9.84,0.55,0.61,0.85,0.79
900,-0.11,9.79,0.60,0.85,0.79,0.00
910,-0.07,9.78,0.42,0.55,-0.31,0.24
920,-0.17,9.82,0.57,0.85,0.73,0.55
930,-0.04,9.87,0.52,0.43,0.73,0.00
940,-0.05,9.86,0.55,0.12,1.04,0.43
950,-0.07,9.84,0.48,-0.61,0.31,1.04
960,-0.01,9.87,0.54,-0.67,0.98,-0.12
970,-0.04,9.83,0.52,-0.12,0.67,-0.06
980,-0.08,9.92,0.53,0.18,1.10,-0.67
990,-0.07,9.83,0.51,-0.18,0.73,-0.24
1000,-0.09,9.88,0.54,0.00,0.73,0.85
1010,-0.06,9.90,0.52,0.67,1.22,-0.61
1020,-0.16,9.86,0.49,-0.49,0.67,-0.49
1030,-0.17,9.78,0.53,0.18,0.73,-0.06
1040,-0.17,9.89,0.43,0.18,1.40,0.61
1050,-0.18,9.82,0.51,0.06,-0.43,-0.61
1060,-0.09,9.88,0.48,-0.67,-0.43,-0.12
1070,-0.12,9.87,0.52,-0.55,0.18,0.37
1080,-0.05,9.85,0.55,0.31,-0.37,0.24
1090,-0.05,9.84,0.50,-0.43,0.18,0.00
1100,-0.01,9.92,0.46,-0.37,0.43,0.73
1110,-0.05,9.87,0.48,0.55,0.98,-0.18
1120,-0.03,9.84,0.47,0.37,0.43,-0.18
1130,-0.03,9.87,0.50,-0.43,-0.37,0.55
1140,-0.12,9.87,0.57,-0.24,0.85,0.12
1150,-0.04,9.89,0.47,0.06,0.92,-0.12
1160,-0.07,9.94,0.51,1.28,1.40,0.24
