timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.76,0.20,0.43,0.37,-0.06,-0.18
10,-9.84,0.17,0.40,-0.18,0.12,0.92
20,-9.66,0.28,0.33,0.43,0.92,0.00
30,-9.82,0.15,0.29,0.67,1.16,0.12
40,-9.73,0.29,0.36,0.61,1.46,0.31
50,-9.79,0.24,0.40,0.43,1.16,0.43
60,-9.77,0.34,0.33,0.24,0.61,0.49
70,-9.76,0.29,0.33,0.37,0.73,0.31
80,-9.75,0.28,0.38,0.12,0.61,0.31
90,-9.80,0.18,0.46,-0.37,0.55,0.00
100,-9.78,0.26,0.46,-0.55,0.67,1.34
110,-9.70,0.32,0.34,0.18,0.79,-0.85
120,-9.66,0.31,0.32,0.37,1.77,0.79
130,-9.85,0.22,0.34,0.73,0.49,-0.55
140,-9.67,0.25,0.31,1.22,1.22,-0.18
150,-9.77,0.22,0.36,0.55,0.73,0.06
160,-9.69,0.16,0.40,0.61,1.59,-0.24
170,-9.78,0.26,0.42,0.24,1.40,-0.24
180,-9.82,0.28,0.25,0.18,1.40,-0.12
190,-9.81,0.23,0.37,0.31,1.34,-0.24
200,-9.80,0.30,0.33,-0.37,0.79,0.12
210,-9.78,0.25,0.44,-0.79,-0.12,-0.37
220,-9.78,0.25,0.36,-1.10,0.85,-0.18
230,-9.63,0.23,0.38,-0.06,0.49,-0.49
240,-9.85,0.28,0.34,0.06,0.43,-0.06
250,-9.71,0.22,0.33,-0.49,0.00,0.85
260,-9.65,0.23,0.37,-0.24,-0.18,-0.18
270,-9.68,0.20,0.38,0.37,0.37,0.12
280,-9.67,0.15,0.51,-0.43,0.61,0.12
290,-9.77,0.31,0.34,-0.24,1.04,-0.37
300,-9.70,0.26,0.31,0.18,1.40,0.18
310,-9.74,0.29,0.30,0.43,-0.12,-0.43
320,-9.72,0.20,0.41,-0.12,1.04,-0.85
330,-9.81,0.33,0.37,0.00,0.85,0.12
340,-9.83,0.23,0.36,0.49,1.46,0.12
350,-9.74,0.17,0.41,-0.24,0.61,0.18
360,-9.72,0.26,0.37,-0.18,0.24,0.18
370,-9.78,0.28,0.34,-0.85,0.43,-0.24
380,-9.72,0.23,0.32,-0.92,-0.43,-0.12
390,-9.71,0.25,0.36,-0.37,-0.55,-0.49
400,-9.80,0.41,0.26,0.06,0.37,0.18
410,-9.71,0.27,0.37,-0.37,-0.55,0.00
420,-9.76,0.13,0.44,0.43,0.12,-0.37
