timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.02,9.86,0.47,-0.18,0.67,0.31
10,-0.01,9.95,0.54,0.49,1.34,-0.61
20,0.03,9.89,0.39,0.31,1.04,-0.67
30,0.02,9.84,0.37,-0.31,0.31,0.24
40,-0.03,9.87,0.56,-0.12,0.31,-0.49
50,-0.02,9.88,0.40,-0.55,-1.04,0.18
60,0.04,9.94,0.47,-0.67,-0.49,-0.92
70,0.00,9.80,0.44,0.24,0.31,0.31
80,0.04,9.93,0.47,-0.31,0.18,-0.98
90,0.06,9.82,0.49,0.06,0.79,0.43
100,-0.05,9.93,0.47,-0.12,0.24,-0.12
110,0.03,9.91,0.45,0.12,0.55,-0.18
120,-0.01,9.82,0.49,-0.67,0.18,0.37
130,-0.00,9.89,0.45,-0.12,0.12,0.12
140,0.01,9.89,0.43,0.18,0.43,-0.43
150,-0.03,9.92,0.50,1.04,1.65,0.00
160,0.02,9.80,0.54,0.55,0.06,0.43
170,0.04,9.84,0.52,0.79,1.16,-0.24
180,0.03,9.93,0.52,1.16,1.04,0.55
190,-0.00,9.77,0.54,0.31,0.12,0.43
200,0.01,9.85,0.46,1.04,1.16,0.18
210,-0.03,9.84,0.51,0.18,0.49,0.43
220,0.01,9.96,0.45,1.10,0.43,-0.37
230,0.01,9.84,0.40,0.37,0.67,-0.18
240,-0.07,9.89,0.40,-0.49,0.43,-0.12
250,-0.05,9.83,0.59,-0.37,0.18,0.73
260,-0.06,9.85,0.48,-0.55,0.31,0.06
270,-0.04,9.84,0.53,-0.37,0.24,0.12
280,0.04,9.89,0.37,-0.98,-0.18,0.12
290,0.01,9.82,0.57,-0.12,0.98,0.49
300,0.00,9.93,0.48,-0.24,0.37,-0.49
310,-0.03,9.96,0.42,-0.61,-0.12,-0.18
320,0.01,9.85,0.45,-0.49,0.31,0.24
330,-0.03,9.95,0.45,0.24,0.43,1.04
340,0.05,9.83,0.60,0.43,0.73,0.24
350,0.01,9.87,0.49,-0.24,0.49,0.61
360,0.06,9.86,0.50,0.85,1.10,0.49
370,-0.07,10.00,0.48,0.12,1.34,-0.31
380,-0.13,9.86,0.46,0.61,0.79,1.04
390,0.05,9.88,0.47,0.67,0.06,0.06
400,-0.01,9.92,0.49,-0.06,1.10,-0.67
410,-0.05,9.87,0.54,-0.43,0.92,-0.18
420,-0.04,9.92,0.47,-0.49,0.18,0.24
430,-0.00,9.88,0.51,-0.06,0.55,0.61
440,-0.02,9.95,0.49,0.73,0.49,0.79
450,-0.05,9.88,0.40,1.22,1.65,-0.24
460,0.06,9.80,0.57,0.79,1.10,0.00
470,0.06,10.02,0.49,0.55,0.98,-0.18
480,0.05,9.88,0.56,0.43,0.43,0.24
490,-0.01,9.81,0.55,0.18,0.73,-0.85
500,0.07,9.86,0.61,-0.31,0.98,0.49
510,0.03,9.77,0.57,-0.06,0.00,-0.06
520,-0.03,9.86,0.48,-0.24,0.18,-0.24
530,-0.02,9.84,0.42,0.37,1.65,-0.49
540,-0.09,9.86,0.46,-0.37,0.24,0.00
550,-0.11,9.84,0.53,-0.79,0.31,0.00
560,0.02,9.89,0.50,-0.12,0.24,1.04
570,-0.01,9.88,0.53,0.79,0.79,-0.18
580,-0.05,9.85,0.41,-0.79,0.37,-0.43
590,-0.01,9.91,0.52,0.00,0.98,0.43
600,-0.04,9.92,0.56,-0.18,-0.37,0.79
610,0.05,9.91,0.44,-0.06,0.31,0.37
620,-0.06,9.87,0.50,0.18,1.28,0.61
630,-0.12,9.84,0.45,0.12,1.16,-0.55
640,-0.09,9.89,0.55,-0.43,0.37,0.24
650,-0.01,9.95,0.47,-0.06,-0.06,0.61
660,-0.11,9.84,0.51,-0.49,0.55,0.67
670,0.01,9.97,0.42,1.53,1.28,0.06
680,-0.06,9.92,0.46,0.18,0.18,1.22
690,-0.00,9.86,0.45,0.55,0.43,0.49
700,-0.03,9.85,0.52,-0.31,1.10,-0.85
