timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-0.02,9.87,0.51,0.67,0.55,0.06
10,-0.04,9.85,0.54,0.43,1.16,0.18
20,-0.02,9.91,0.44,0.98,1.34,-0.31
30,0.01,9.86,0.42,0.73,0.49,-0.85
40,-0.07,9.96,0.42,-0.18,0.61,0.55
50,-0.00,9.94,0.42,-0.55,0.49,0.73
60,-0.05,9.77,0.49,0.37,0.98,-0.12
70,-0.11,9.81,0.50,-0.37,1.28,-0.31
80,0.02,9.84,0.54,-0.18,0.67,0.18
90,0.05,9.87,0.50,0.24,1.10,-0.06
100,-0.01,9.94,0.45,0.92,0.55,-0.61
110,0.00,9.94,0.42,-0.24,0.67,0.37
120,-0.05,9.85,0.53,0.37,1.59,0.31
130,0.04,9.86,0.54,0.06,0.43,0.31
140,0.00,9.86,0.42,-0.24,0.12,-0.55
150,0.01,9.87,0.48,0.00,0.43,-0.55
160,-0.06,9.79,0.53,0.67,1.04,-0.31
170,-0.05,9.87,0.50,0.37,0.79,0.31
180,0.01,9.84,0.56,1.10,1.89,0.06
190,0.02,9.85,0.48,0.49,0.85,0.61
200,-0.02,9.84,0.51,-0.24,0.31,0.79
210,-0.01,9.81,0.53,0.37,1.40,0.79
220,-0.01,9.91,0.50,0.67,0.98,0.00
230,-0.00,9.82,0.47,-0.06,0.98,0.24
240,-0.03,9.81,0.46,-0.49,0.43,-0.31
250,-0.00,9.92,0.48,0.37,1.22,-0.73
260,-0.00,9.86,0.53,-0.67,0.37,0.00
270,0.02,9.93,0.48,0.24,0.67,0.00
280,-0.09,9.93,0.50,-0.98,-0.43,-0.24
290,-0.05,9.84,0.53,0.31,0.43,0.49
300,0.03,9.82,0.52,-0.43,0.49,-0.43
310,0.01,9.86,0.48,0.79,1.16,-0.06
320,-0.05,9.91,0.49,-0.37,1.16,0.37
330,-0.03,9.79,0.48,0.43,0.79,0.79
340,0.00,9.86,0.54,0.00,0.31,-0.43
350,-0.03,9.92,0.54,0.55,1.34,-0.67
360,-0.05,9.83,0.57,-0.61,0.43,-1.34
370,0.02,9.81,0.48,-0.85,0.06,0.06
380,0.02,9.80,0.38,0.31,0.98,0.06
390,-0.06,9.78,0.48,-0.18,2.14,0.06
400,-0.10,9.89,0.56,-0.31,1.34,-0.24
410,-0.07,9.84,0.57,0.00,0.92,-0.24
420,-0.20,9.94,0.51,0.12,1.04,0.49
430,-0.11,9.90,0.45,1.28,1.53,0.37
440,0.07,9.81,0.42,-0.12,0.79,-0.31
450,-0.05,9.84,0.41,0.06,1.34,-0.31
460,-0.05,9.88,0.44,-0.98,0.85,-0.37
470,0.02,9.94,0.55,-0.37,1.10,0.61
480,0.06,9.89,0.56,-0.12,1.59,-0.49
490,0.07,9.94,0.45,-0.79,0.85,-0.67
500,0.04,9.93,0.42,0.37,0.55,-0.49
510,0.04,9.91,0.44,-0.31,-0.43,-0.79
520,-0.01,9.90,0.47,-0.67,1.10,0.06
530,0.02,9.83,0.46,-0.24,0.67,0.12
540,-0.18,9.82,0.50,1.04,0.55,-0.24
550,-0.08,9.88,0.46,0.55,1.46,-0.24
560,-0.10,9.86,0.61,-0.06,0.31,0.06
570,0.02,9.90,0.48,-0.61,0.67,0.43
580,-0.14,9.88,0.53,0.55,1.10,0.37
590,-0.01,9.75,0.61,0.98,0.85,-0.18
600,0.01,9.78,0.52,-0.24,0.92,0.00
610,0.03,9.89,0.47,-0.31,0.61,-0.49
620,0.01,9.82,0.48,-0.37,0.92,-0.49
630,-0.02,9.88,0.47,0.85,0.49,0.18
640,0.06,9.89,0.39,-0.31,1.10,0.18
650,-0.05,9.86,0.47,0.61,1.04,0.55
660,0.02,9.87,0.47,0.43,0.24,-0.24
670,-0.04,9.89,0.48,-0.24,0.00,-0.18
680,-0.03,9.92,0.42,-0.73,-0.06,-0.55
690,-0.03,9.74,0.45,0.31,0.06,0.12
700,-0.00,9.87,0.45,-0.06,1.10,0.06
710,-0.07,9.78,0.49,0.00,0.18,-0.43
720,-0.03,9.89,0.51,0.31,1.40,0.43
730,-0.06,9.82,0.56,0.24,0.18,0.43
740,-0.04,9.82,0.58,-0.49,-0.06,-0.55
750,0.00,9.82,0.51,0.67,1.40,0.24
760,-0.08,9.89,0.55,0.00,0.61,-0.06
770,0.02,9.88,0.38,-0.37,-0.06,0.37
780,-0.02,9.88,0.40,0.43,1.16,-0.31
790,0.05,9.90,0.37,0.55,0.79,-0.67
800,-0.03,9.75,0.47,-0.24,0.31,-0.37
810,-0.06,9.92,0.54,-0.73,0.00,-0.92
820,-0.01,9.86,0.58,1.16,0.85,0.49
830,-0.10,9.84,0.54,-0.18,0.85,0.67
840,0.03,9.83,0.55,0.31,0.98,0.43
850,-0.02,9.88,0.49,0.31,0.73,0.85
860,0.05,9.87,0.54,-0.67,0.85,0.37
870,0.03,9.89,0.43,0.92,1.04,0.31
880,-0.05,9.82,0.51,0.85,1.10,-0.24
890,0.01,9.86,0.51,0.00,0.24,-0.06
900,-0.07,9.76,0.59,0.49,1.22,-0.85
910,-0.07,9.88,0.63,0.79,0.49,-0.12
920,-0.16,9.86,0.43,-0.73,0.67,0.43
930,-0.10,9.81,0.42,-0.06,1.10,0.37
940,-0.11,9.80,0.46,0.55,1.65,-0.06
950,-0.01,9.88,0.49,0.31,1.46,0.18
960,0.06,9.91,0.38,-1.16,-0.06,-0.49
970,0.00,9.90,0.50,-0.12,-0.31,0.00
980,-0.01,9.94,0.52,-0.49,0.12,0.43
990,-0.03,9.92,0.54,0.43,1.16,0.06
1000,-0.02,9.88,0.47,0.43,0.55,0.61
1010,0.01,9.80,0.58,0.79,0.85,-0.43
1020,0.07,9.86,0.47,-0.49,0.79,0.43
1030,0.03,9.82,0.51,0.18,1.89,0.49
1040,0.01,9.85,0.54,0.12,1.28,0.00
1050,-0.06,9.85,0.47,-0.18,0.24,-0.37
1060,-0.04,9.92,0.50,-0.37,0.49,0.18
1070,-0.00,9.89,0.50,0.37,0.43,0.43
1080,-0.07,9.83,0.56,-0.67,0.24,0.00
1090,-0.05,9.90,0.46,-0.92,-0.67,0.61
1100,-0.05,9.90,0.38,0.31,0.43,-0.12
1110,0.06,9.90,0.44,0.00,0.98,0.55
1120,0.01,9.86,0.49,0.12,0.18,-0.12
1130,0.03,9.81,0.37,-0.06,0.92,-0.06
1140,0.06,9.85,0.53,0.31,1.16,-0.18
1150,-0.05,9.84,0.47,0.24,0.49,-0.18
1160,0.02,9.87,0.48,-0.73,-0.55,-0.18
1170,-0.07,9.88,0.53,0.00,0.55,-0.12
1180,-0.05,9.88,0.48,0.24,0.73,-0.24
1190,-0.08,9.84,0.41,-0.12,0.61,0.55
1200,-0.05,9.88,0.49,-0.49,0.31,0.55
1210,-0.07,9.90,0.47,0.31,0.24,0.00
1220,0.07,9.90,0.54,0.18,1.28,0.12
1230,0.06,9.78,0.51,-0.18,0.85,0.12
1240,0.01,9.85,0.48,0.92,1.22,-0.61
1250,0.01,9.88,0.39,0.92,1.59,-0.12
1260,-0.06,9.87,0.43,0.00,1.40,-0.49
1270,-0.02,9.82,0.55,-0.18,-0.49,0.18
1280,0.00,9.89,0.55,-0.55,0.67,-0.24
1290,-0.07,9.83,0.53,0.06,0.79,-0.31
1300,0.04,9.94,0.54,-0.18,1.04,-0.43
1310,0.07,9.86,0.51,0.06,-0.55,-0.43
1320,0.02,9.88,0.48,-0.49,-0.37,-0.98
1330,0.08,9.85,0.52,0.43,1.16,0.49
1340,-0.05,9.83,0.53,-0.31,0.37,-0.67
1350,0.07,9.90,0.48,0.18,0.12,-0.49
1360,-0.00,9.86,0.55,-0.73,0.18,-0.67
1370,-0.05,9.95,0.48,-0.67,0.24,0.06
1380,-0.05,9.83,0.56,0.06,1.22,0.92
1390,-0.05,9.86,0.55,0.06,0.49,-0.24
1400,-0.02,9.88,0.46,0.85,1.16,-0.24
1410,0.00,9.95,0.48,0.37,0.31,-0.92
1420,-0.02,9.83,0.49,0.06,1.22,-0.06
1430,0.05,9.93,0.55,0.49,0.00,0.79
1440,-0.03,9.86,0.51,-0.31,0.98,-0.12
1450,-0.01,9.85,0.53,1.04,0.92,-0.37
1460,0.00,9.87,0.50,0.43,0.92,-0.12
1470,-0.05,9.79,0.45,0.37,0.61,0.79
1480,-0.06,9.89,0.51,0.18,0.49,-0.06
1490,-0.05,9.90,0.46,0.67,0.43,-0.12
