timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,0.01,9.98,0.49,-0.24,0.12,-0.43
10,0.05,9.85,0.48,0.18,0.85,-0.06
20,-0.02,9.90,0.44,-0.24,-0.12,-0.73
30,-0.01,9.83,0.41,0.06,0.31,0.37
40,0.05,9.75,0.54,0.06,0.49,-0.37
50,-0.04,9.85,0.65,0.79,1.22,0.37
60,-0.01,9.91,0.61,-0.37,0.06,0.43
70,-0.02,9.85,0.51,1.16,0.98,0.00
80,-0.07,9.91,0.45,0.00,0.24,0.12
90,0.07,9.85,0.37,0.37,1.16,-0.31
100,0.07,9.91,0.38,0.67,1.16,0.06
110,-0.02,9.89,0.53,0.18,0.61,-0.06
120,0.01,9.90,0.50,-0.06,0.79,0.24
130,0.04,9.93,0.46,0.24,0.18,-0.18
140,0.01,9.85,0.45,-0.24,0.73,-0.37
150,-0.13,9.87,0.50,0.55,0.18,0.24
160,-0.05,9.81,0.57,0.37,1.40,-0.37
170,-0.03,9.87,0.59,1.40,1.04,0.73
180,-0.04,9.93,0.49,1.28,0.49,-0.49
190,-0.08,9.93,0.40,0.79,0.67,-0.06
200,-0.07,9.80,0.43,-0.06,-0.43,0.12
210,-0.04,9.79,0.53,-0.43,0.37,0.37
220,0.06,9.82,0.48,0.18,0.73,0.12
230,-0.00,9.80,0.60,-0.37,0.37,0.67
240,0.03,9.86,0.51,0.61,1.22,0.55
250,-0.03,9.92,0.46,0.73,1.65,-0.31
260,-0.09,9.80,0.56,-0.06,0.61,0.12
270,-0.03,9.74,0.56,0.06,0.43,-0.73
280,-0.03,9.86,0.54,0.12,-0.12,0.18
290,0.05,9.84,0.52,-0.12,0.92,-0.06
300,-0.06,9.90,0.41,0.67,0.55,0.31
310,0.06,9.91,0.45,0.18,1.10,-0.49
320,-0.11,9.87,0.54,0.24,0.18,0.00
330,0.03,9.93,0.54,0.55,1.22,-0.49
340,-0.00,9.89,0.48,0.49,1.16,-0.49
350,-0.04,9.81,0.58,-0.43,-0.43,0.92
360,0.02,9.86,0.37,-0.85,0.73,0.55
370,-0.02,9.89,0.51,-0.55,0.18,0.12
380,-0.00,9.90,0.53,-0.43,-0.06,-0.06
390,-0.05,9.92,0.47,0.24,0.98,0.67
400,-0.01,9.83,0.54,0.18,0.85,0.24
410,-0.04,9.83,0.48,-0.49,0.18,-0.37
420,-0.10,9.93,0.54,1.22,2.38,0.61
430,-0.17,9.85,0.51,-0.24,0.12,0.12
440,0.02,9.89,0.41,0.18,1.22,0.85
450,-0.06,9.85,0.52,-0.18,0.43,0.55
460,-0.03,9.84,0.42,0.18,0.00,0.61
470,-0.06,9.88,0.54,0.18,1.65,-0.06
480,0.02,9.84,0.54,0.55,0.24,0.18
490,-0.01,9.85,0.52,-0.24,0.24,0.31
500,-0.07,9.79,0.55,0.67,1.40,-0.31
510,0.05,9.86,0.59,0.00,0.85,0.12
520,-0.02,9.89,0.51,1.28,0.85,0.55
530,-0.07,9.86,0.51,0.85,0.79,-0.12
540,-0.08,9.90,0.39,-0.37,-0.12,0.55
550,-0.08,9.87,0.40,-0.37,0.92,0.18
560,-0.08,9.84,0.50,0.06,1.16,-0.31
570,-0.08,9.92,0.49,0.24,1.83,0.18
580,0.06,9.93,0.52,0.12,0.79,-0.12
590,-0.03,9.83,0.54,-0.12,0.24,-0.06
600,-0.01,9.88,0.57,-1.10,0.85,0.24
610,-0.04,9.80,0.57,0.37,0.31,-0.67
620,0.04,9.93,0.57,0.12,1.16,-0.31
630,-0.03,9.82,0.44,0.67,1.16,0.18
640,0.03,9.89,0.39,-0.73,0.00,0.85
650,-0.03,9.81,0.46,0.06,-0.18,0.92
660,-0.06,9.82,0.46,0.67,1.59,-0.85
670,-0.06,9.79,0.57,0.61,0.49,0.37
680,-0.04,9.83,0.51,-0.24,-0.37,0.79
690,0.01,9.84,0.54,0.85,0.61,0.49
700,-0.02,9.87,0.50,-0.06,1.16,-0.55
710,-0.06,9.89,0.46,1.22,1.34,-0.06
720,-0.12,9.91,0.46,0.37,0.55,-0.18
730,0.09,9.78,0.52,0.24,0.00,0.24
740,-0.03,9.90,0.47,-0.12,0.06,0.12
750,0.01,9.81,0.54,0.12,0.43,-0.06
760,-0.01,9.88,0.54,-0.37,-0.24,-0.06
770,0.02,9.80,0.59,0.55,0.79,-0.55
780,0.09,9.86,0.56,0.12,1.22,0.67
790,0.09,9.92,0.53,0.67,-0.12,-0.18
800,0.03,9.83,0.38,0.37,0.79,-0.49
810,-0.08,9.86,0.41,-0.43,0.31,0.18
820,0.07,9.88,0.47,0.06,0.00,-0.06
830,0.00,9.84,0.64,-0.55,0.49,0.12
840,-0.06,9.93,0.62,0.92,0.31,-0.67
850,-0.04,9.80,0.56,0.00,1.10,-0.49
860,-0.01,9.89,0.57,0.85,-0.06,0.06
870,-0.01,9.87,0.42,-0.18,0.49,0.73
880,-0.09,9.89,0.48,0.55,0.85,-0.37
890,0.02,9.86,0.47,-0.12,0.67,-0.12
900,0.02,9.82,0.50,0.06,0.49,0.18
910,0.04,9.89,0.49,0.12,0.61,-0.31
920,-0.11,9.78,0.52,0.43,0.55,0.12
930,-0.10,9.92,0.54,-0.55,0.24,-0.85
940,-0.12,9.85,0.47,0.67,0.73,-0.12
950,-0.08,9.88,0.46,-0.31,0.24,0.00
960,-0.05,9.82,0.38,0.73,0.61,0.06
970,-0.01,9.93,0.41,0.31,1.10,-0.06
980,0.02,9.86,0.39,0.49,-0.12,-0.18
990,0.12,9.86,0.48,-0.73,-0.67,-0.49
1000,0.04,9.84,0.51,-0.79,0.18,0.37
1010,0.03,9.90,0.50,0.43,1.04,-0.43
1020,0.05,9.89,0.56,0.85,1.16,0.43
1030,-0.04,9.89,0.53,0.55,1.22,-0.49
1040,0.06,9.86,0.51,-0.43,0.61,-0.49
1050,0.02,9.92,0.59,0.06,0.73,-0.06
1060,0.06,9.85,0.42,-0.24,1.16,0.18
1070,0.07,9.93,0.44,-0.61,0.49,-0.12
1080,-0.00,9.88,0.43,0.37,0.85,0.06
1090,-0.02,9.90,0.54,-0.73,-0.43,0.12
1100,-0.11,9.76,0.52,0.61,0.79,-0.18
1110,-0.04,9.92,0.48,0.79,1.22,-0.06
1120,-0.04,9.86,0.41,-0.49,-0.18,0.31
1130,-0.07,9.81,0.50,0.92,0.12,-0.37
1140,-0.04,9.95,0.53,0.06,0.98,-0.37
1150,0.02,9.94,0.48,0.12,0.85,0.49
1160,0.10,9.83,0.41,-0.24,0.24,0.12
1170,0.05,9.86,0.52,-0.24,0.18,-0.24
1180,-0.00,9.87,0.57,0.06,0.37,-0.18
1190,-0.10,9.86,0.49,-0.37,-0.06,-0.06
1200,-0.08,9.76,0.55,0.61,0.61,-0.43
1210,-0.11,9.84,0.48,0.98,2.08,0.31
1220,-0.05,9.79,0.43,0.06,0.79,0.00
1230,-0.03,9.87,0.48,0.12,0.31,0.31
1240,0.03,9.85,0.45,-0.37,0.37,0.55
1250,-0.01,9.87,0.49,0.37,1.34,0.24
1260,0.04,9.83,0.61,0.43,0.92,0.85
1270,0.12,9.81,0.64,0.55,1.77,-0.55
1280,0.06,9.91,0.66,0.92,1.53,0.00
1290,0.01,9.87,0.58,-0.18,-0.24,0.18
1300,0.04,9.83,0.58,0.73,0.61,0.61
1310,-0.02,9.92,0.43,0.06,-0.06,0.18
1320,-0.04,9.84,0.35,0.37,1.83,-0.49
1330,-0.05,9.93,0.41,0.49,0.55,-0.43
1340,-0.08,9.87,0.52,-0.61,-0.12,0.00
1350,-0.09,9.95,0.51,-0.92,0.37,0.61
1360,-0.16,9.91,0.51,0.67,1.22,0.79
1370,-0.11,9.85,0.39,-0.24,0.31,-0.12
1380,-0.02,9.86,0.50,-0.12,-0.06,-0.31
1390,0.01,9.91,0.54,1.46,0.43,-0.12
