timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-9.82,0.27,0.34,0.49,0.24,0.24
10,-9.74,0.29,0.50,0.12,1.53,0.12
20,-9.71,0.21,0.45,0.12,0.43,-0.37
30,-9.78,0.30,0.44,0.92,2.08,0.31
40,-9.75,0.22,0.41,-0.49,0.55,-0.31
50,-9.80,0.18,0.38,-0.06,0.67,-0.31
60,-9.72,0.26,0.38,1.28,2.08,0.31
70,-9.79,0.22,0.37,0.49,0.49,-0.12
80,-9.80,0.22,0.28,0.49,2.69,0.79
90,-9.77,0.19,0.37,0.61,1.04,0.00
100,-9.75,0.27,0.44,0.55,1.10,0.18
110,-9.81,0.24,0.30,-1.22,0.06,0.00
120,-9.84,0.25,0.42,1.53,1.34,0.12
130,-9.75,0.26,0.44,0.18,0.85,-0.12
140,-9.68,0.26,0.43,0.37,1.22,-1.16
150,-9.76,0.30,0.32,-0.18,0.92,-0.12
160,-9.83,0.16,0.40,-0.43,0.55,0.49
170,-9.77,0.24,0.33,0.85,1.53,0.12
180,-9.77,0.20,0.33,-0.12,0.98,-0.55
190,-9.76,0.23,0.46,0.67,1.22,-0.12
200,-9.86,0.25,0.29,-0.92,0.37,-0.24
210,-9.81,0.20,0.39,0.31,0.31,-0.73
220,-9.73,0.23,0.39,1.10,0.79,-0.12
230,-9.76,0.27,0.36,0.43,0.12,0.12
240,-9.76,0.14,0.36,0.06,0.31,-0.12
250,-9.78,0.24,0.38,-0.55,-0.24,0.37
260,-9.79,0.27,0.27,-0.43,1.16,0.43
270,-9.69,0.23,0.30,-0.12,1.04,0.31
280,-9.76,0.30,0.37,-0.85,0.31,-0.37
290,-9.79,0.28,0.41,-0.55,-0.06,-0.55
300,-9.74,0.19,0.42,0.06,0.00,0.24
310,-9.78,0.20,0.28,0.37,0.55,-0.18
320,-9.75,0.24,0.27,-0.43,0.49,0.06
330,-9.71,0.17,0.45,-0.98,-0.61,-0.67
340,-9.73,0.20,0.36,-0.31,0.98,0.24
350,-9.72,0.23,0.38,0.49,1.16,-0.49
360,-9.79,0.19,0.43,0.00,1.28,-0.49
370,-9.70,0.26,0.40,-0.61,-0.24,0.00
380,-9.71,0.28,0.34,1.22,1.53,0.67
390,-9.69,0.33,0.36,-0.06,0.43,-0.24
400,-9.77,0.17,0.37,0.00,0.37,-0.12
410,-9.64,0.21,0.38,0.24,0.85,-0.12
420,-9.75,0.31,0.36,-0.12,0.12,-0.67
430,-9.81,0.22,0.44,-1.10,0.92,0.37
440,-9.82,0.21,0.38,-0.37,-0.18,-0.61
450,-9.70,0.26,0.36,-0.12,0.43,0.55
460,-9.82,0.25,0.32,0.73,0.55,-0.49
470,-9.70,0.24,0.43,-0.37,0.37,-0.49
480,-9.81,0.27,0.41,0.79,1.40,0.67
490,-9.74,0.26,0.37,0.00,0.92,-0.24
500,-9.75,0.25,0.34,0.73,1.22,-0.37
510,-9.77,0.28,0.37,-0.85,-0.31,0.55
520,-9.78,0.28,0.38,0.55,1.16,0.49
530,-9.81,0.26,0.38,-0.49,-0.24,-0.18
540,-9.77,0.30,0.33,0.37,0.43,0.06
550,-9.80,0.26,0.37,-0.43,0.06,0.31
560,-9.70,0.25,0.42,0.61,0.43,0.12
570,-9.72,0.26,0.35,-1.16,-0.55,0.12
580,-9.78,0.29,0.40,-0.79,0.85,-0.67
590,-9.78,0.25,0.39,-0.12,1.28,-0.43
600,-9.78,0.31,0.45,-0.43,0.06,-0.43
610,-9.78,0.23,0.36,-0.12,0.31,-0.31
620,-9.83,0.21,0.41,0.61,1.16,0.43
630,-9.74,0.20,0.39,0.43,0.98,-0.18
640,-9.83,0.17,0.34,0.92,0.55,-0.18
650,-9.75,0.30,0.40,0.61,0.92,0.85
660,-9.80,0.17,0.33,-0.55,0.73,0.24
670,-9.73,0.24,0.40,0.00,0.37,0.79
680,-9.73,0.22,0.42,0.18,0.92,0.31
690,-9.76,0.24,0.35,-0.24,0.43,-0.43
700,-9.75,0.23,0.29,0.24,0.18,0.00
710,-9.77,0.19,0.36,0.18,0.67,0.00
720,-9.72,0.28,0.37,0.92,0.79,0.06
730,-9.76,0.30,0.42,-0.24,0.92,0.12
740,-9.77,0.17,0.42,-0.43,0.24,0.06
750,-9.79,0.25,0.34,0.55,0.61,0.12
760,-9.76,0.26,0.37,0.12,0.12,0.37
770,-9.79,0.27,0.43,0.61,0.79,-0.37
780,-9.75,0.18,0.48,0.00,1.04,-0.18
790,-9.75,0.21,0.44,0.49,1.53,0.06
800,-9.78,0.28,0.30,0.79,2.56,-0.06
810,-9.79,0.25,0.30,0.79,1.34,-0.06
820,-9.84,0.27,0.37,0.00,0.67,0.06
830,-9.80,0.20,0.26,0.00,0.37,-0.61
840,-9.86,0.17,0.37,0.00,-0.37,0.12
850,-9.76,0.24,0.38,-0.18,0.55,0.24
860,-9.79,0.25,0.37,0.55,0.61,0.31
870,-9.80,0.18,0.40,1.04,1.46,0.31
880,-9.78,0.22,0.42,0.31,0.37,0.18
890,-9.76,0.32,0.33,-0.06,-0.37,0.43
900,-9.75,0.27,0.31,-0.37,0.31,-0.37
910,-9.78,0.26,0.36,0.67,0.49,0.43
920,-9.86,0.26,0.40,-0.55,-0.24,-0.61
930,-9.77,0.27,0.36,-0.06,0.98,-0.67
940,-9.80,0.26,0.38,0.12,1.10,0.43
950,-9.78,0.18,0.30,0.49,0.24,-0.06
960,-9.79,0.18,0.41,0.31,1.34,0.55
970,-9.78,0.22,0.42,-0.31,0.73,0.37
980,-9.73,0.19,0.35,0.43,0.67,-0.31
990,-9.80,0.30,0.37,0.55,0.43,-0.24
1000,-9.83,0.25,0.38,-0.37,1.16,0.37
1010,-9.79,0.27,0.36,-1.16,-0.18,-0.37
1020,-9.78,0.25,0.38,0.00,0.18,0.12
1030,-9.76,0.28,0.43,-0.18,0.18,-0.12
1040,-9.78,0.22,0.40,0.67,1.10,0.24
1050,-9.77,0.20,0.49,0.43,1.22,-0.49
1060,-9.69,0.28,0.30,0.12,0.85,-0.12
1070,-9.82,0.22,0.35,0.12,0.00,0.06
1080,-9.74,0.26,0.34,0.85,1.16,-0.31
1090,-9.80,0.22,0.36,0.31,1.10,-0.92
1100,-9.75,0.30,0.48,-0.49,0.49,-0.06
1110,-9.83,0.25,0.33,1.04,0.98,-0.61
1120,-9.74,0.24,0.39,0.67,1.16,-0.37
1130,-9.73,0.29,0.30,-0.31,0.31,-0.37
1140,-9.76,0.31,0.43,-0.49,-0.49,-0.37
1150,-9.77,0.27,0.38,-0.49,0.37,0.12
1160,-9.72,0.19,0.41,0.49,1.04,0.24
1170,-9.79,0.29,0.33,0.12,0.12,0.12
1180,-9.81,0.23,0.31,-0.43,0.37,-0.61
1190,-9.78,0.24,0.27,-0.24,0.24,-0.06
1200,-9.79,0.27,0.29,0.06,0.12,-0.43
1210,-9.87,0.21,0.43,-1.04,-0.49,0.00
1220,-9.72,0.25,0.42,-0.12,0.73,0.06
1230,-9.80,0.26,0.35,0.98,1.34,0.00
1240,-9.72,0.29,0.30,0.43,0.00,-0.73
1250,-9.82,0.22,0.42,-0.61,-0.61,-0.31
1260,-9.78,0.25,0.48,-0.49,1.10,-0.55
1270,-9.72,0.26,0.29,0.12,0.06,-0.18
1280,-9.79,0.30,0.34,0.73,1.65,0.24
1290,-9.71,0.20,0.39,0.67,1.16,-0.73
1300,-9.84,0.19,0.38,-0.31,0.79,0.31
1310,-9.71,0.26,0.39,-0.12,0.61,0.85
1320,-9.71,0.27,0.32,-0.06,0.18,-0.31
1330,-9.79,0.20,0.42,0.37,0.67,-0.55
1340,-9.79,0.35,0.31,-0.73,0.49,0.24
1350,-9.77,0.23,0.29,-0.67,-0.31,-0.18
1360,-9.74,0.20,0.36,-1.04,-0.31,1.16
1370,-9.71,0.28,0.41,-0.06,0.49,0.06
1380,-9.74,0.28,0.37,-0.12,0.79,-0.37
1390,-9.75,0.19,0.33,-0.92,1.04,0.06
1400,-9.72,0.27,0.38,0.31,0.24,0.49
1410,-9.79,0.23,0.40,0.18,1.16,0.31
1420,-9.73,0.19,0.40,0.18,0.79,0.31
1430,-9.77,0.22,0.32,-0.06,0.49,0.00
1440,-9.72,0.29,0.31,-0.73,0.06,-0.24
1450,-9.78,0.20,0.35,0.37,0.61,-0.55
1460,-9.80,0.29,0.37,0.00,0.55,0.12
1470,-9.78,0.26,0.42,-0.24,0.37,0.67
1480,-9.80,0.26,0.38,1.22,1.59,-0.31
1490,-9.72,0.22,0.37,1.16,1.22,-0.12
